n,alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_sparse_explicit_sketch_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_reconstruct_sec,cs_small_eig_sec,cs_lift_sec,cs_kmeans_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
200,0.1414213562373095,5,SIGN Bidirectional,7.581432808778804,0.46,0.01172645118405699,0.015098374999979569,0.0005703749999952379,0.012078125000016371,,,,,,,,,0.015098374999979569,0.01509129299995493,7.082000024638546e-06,0.027746874999991178,,,,,,,,,,,,,,,,,,,,,,,,5.2458999959981156e-05,12.0,2.0,0.0014558749999764586,0.0005566250000015316,0.00013699999999516876,0.0002737089999982345,9.042000044701126e-06,0.012606582999978855
200,0.1414213562373095,6,Random Projection,7.675993156587875,0.4,0.018147781850054515,0.010407916000019668,0.000849375000029795,0.011288000000035936,4.7375000008287316e-05,0.0004035830000361784,0.0003602499999715292,9.587499999952342e-05,0.00012895799994794288,0.0002818329999740854,8.33299998248549e-06,0.009076249999964148,0.010407916000019668,0.01040245699988418,5.459000135488168e-06,0.0225452910000854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,6,Random Sampling,9.22797150123431,0.46,0.012135342084308248,0.02249299999999721,0.000849375000029795,0.011336957999958486,,,,,,,,,0.02249299999999721,0.022487792999982048,5.207000015161611e-06,0.03467933299998549,0.00032841699999153207,0.0003918749999911597,0.012315875000012966,4.558399996312801e-05,5.1125000027241185e-05,0.009354916999996021,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,6,Non-random,8.696843821368454,0.23,0.015901507466042963,0.025428708999982064,0.000849375000029795,0.0110255419999703,,,,,,,,,0.025428708999982064,0.025426999999979216,1.7090000028474606e-06,0.03730362599998216,,,,,,,0.015995666999970126,0.009416083000019171,1.524999998991916e-05,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,6,CountSketch,7.399654128434367,0.51,0.027923277740589045,0.013237291999985246,0.000849375000029795,0.011639500000001135,,,,,,,,,0.013237291999985246,0.013658750000104192,0.0,0.025726167000016176,,,,,,,,,,9.362500003362584e-05,12.0,6.0,29.0,0.0,0.00046254200003659207,0.00046254200003659207,0.00037779199999476987,0.00038162499998861676,0.00014804099998855236,0.00012708299999530936,0.0003294169999890073,5.916000020533829e-06,0.011270167000020592,,,,,,,,,
200,0.1414213562373095,6,SIGN Bidirectional,7.53607869581859,0.38,0.023085771100807548,0.013214375000018208,0.000849375000029795,0.010844750000046588,,,,,,,,,0.013214375000018208,0.013209332999963408,5.042000054800155e-06,0.02490850000009459,,,,,,,,,,,,,,,,,,,,,,,,5.3292000018245744e-05,12.0,2.0,0.0017092919999868172,0.0005118749999724059,0.00011245799998960138,0.00019483300002320902,4.957999976795691e-06,0.010622624999996333
200,0.1414213562373095,7,Random Projection,7.29839917955084,0.6799999999999999,0.022512602555503608,0.015685374999975465,0.0008819170000151644,0.010612792000017635,4.716699999107732e-05,0.00047491700001955905,0.00036491700001306526,0.00010045800001989846,0.0001314579999984744,0.00038412499998230487,1.029200001312347e-05,0.01416604199999938,0.015685374999975465,0.015679376000036882,5.998999938583438e-06,0.027180084000008264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,7,Random Sampling,10.173386792804806,0.8200000000000001,0.013235478460352362,0.020382957999970586,0.0008819170000151644,0.011613542000020516,,,,,,,,,0.020382957999970586,0.02037999999998874,2.957999981845205e-06,0.032878417000006266,0.00033133300001964017,0.00030558299999938754,0.009815124999988711,4.3624999989333446e-05,4.908399995429136e-05,0.009835250000037377,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,7,Non-random,8.773927533696622,0.31,0.015296592532205527,0.03257470799997009,0.0008819170000151644,0.011728291999986595,,,,,,,,,0.03257470799997009,0.03257216599996582,2.5420000042686297e-06,0.04518491699997185,,,,,,,0.019403582999984792,0.01315483299998732,1.3749999993706297e-05,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,7,CountSketch,6.273424261057868,0.5900000000000001,0.019267163238197813,0.01440362499999992,0.0008819170000151644,0.012010957999962102,,,,,,,,,0.01440362499999992,0.014634291999982452,0.0,0.027296499999977186,,,,,,,,,,4.8084000013659534e-05,12.0,7.0,24.0,0.0,0.0002522500000168293,0.0002522500000168293,0.0003043749999847023,0.0002472919999831902,8.874999997487976e-05,0.00011504200000445053,0.000201083000035851,4.83299999132214e-06,0.013120332999960738,,,,,,,,,
