n,alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
200,0.1414213562373095,4,Random Sampling,9.027521184057564,0.32,0.0224381870582343,0.075429582997458,0.001036166009726,0.0104667499836068,,,,,,,,,0.075429582997458,0.0754250829922966,4.5000051613897085e-06,0.0869324989907909,0.0002894999925047,0.0003852079971693,0.0023936250072438,5.729199619963765e-05,0.0058778329985216,0.0664216250006575,,,,,,,,,,,,
200,0.1414213562373095,4,Non-random,8.530850272304386,0.23,0.0120487403782071,0.0415380829945206,0.001036166009726,0.0069818749907426,,,,,,,,,0.0415380829945206,0.0415367500099819,1.3329845387488604e-06,0.0495561239949893,,,,,,,0.0123965000093448,0.0291332500055432,6.999995093792677e-06,,,,,,,,,
200,0.1414213562373095,5,Random Projection,7.811555669947907,0.22,0.0101507343522234,0.0265883750107605,0.0011873330222442,0.0015250830037984,2.3083004634827375e-05,0.0003072909894399,0.0001227080065291,7.604199345223606e-05,7.208299939520657e-05,7.474998710677028e-05,5.417008651420474e-06,0.02590350000537,0.0265883750107605,0.0265848739945795,3.501016180962324e-06,0.0293007910368032,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,5,Random Sampling,9.477907311837775,0.37,0.0055729112099505,0.0302825830003712,0.0011873330222442,0.0035831249842885,,,,,,,,,0.0302825830003712,0.0302807500120252,1.8329883459955456e-06,0.035053041006904,0.0004127499996684,0.000201749993721,0.0010250000050291,1.8999999156221747e-05,3.0499999411404133e-05,0.0285917500150389,,,,,,,,,,,,
200,0.1414213562373095,5,Non-random,8.738729855885229,0.22,0.0060887918390011,0.0313906669907737,0.0011873330222442,0.0019033339922316,,,,,,,,,0.0313906669907737,0.0313892499834764,1.4170072972774506e-06,0.0344813340052496,,,,,,,0.0168774159974418,0.0145050839928444,6.749993190169334e-06,,,,,,,,,
200,0.1414213562373095,6,Random Projection,7.675993156587879,0.4,0.0181477818500545,0.0273863339971285,0.0009953750122804,0.0026799170009326,2.2082997020334005e-05,0.0003007499908562,9.024998871609569e-05,6.941598257981241e-05,6.933399708941579e-05,5.7124998420476913e-05,4.5000051613897085e-06,0.0267701249977108,0.0273863339971285,0.0273835829575546,2.7510395739227533e-06,0.0310616260103415,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,6,Random Sampling,9.227971501234297,0.46,0.012135342084308,0.0169348749914206,0.0009953750122804,0.002762000018265,,,,,,,,,0.0169348749914206,0.0169295420346315,5.332956789061427e-06,0.0206922500219661,0.0007737500127404,0.0004537090135272,0.0031870840175542,5.0790986279025674e-05,8.550001075491309e-05,0.0123787079937756,,,,,,,,,,,,
200,0.1414213562373095,6,Non-random,8.69684382136839,0.23,0.0159015074660429,0.0315384580171667,0.0009953750122804,0.0020028750004712,,,,,,,,,0.0315384580171667,0.0315369169984478,1.5410187188535929e-06,0.0345367080299183,,,,,,,0.016233166999882,0.0152968750044237,6.874994141981006e-06,,,,,,,,,
200,0.1414213562373095,7,Random Projection,7.298399179550832,0.6799999999999999,0.0225126025555033,0.0247568330087233,0.00121004198445,0.0045830410090275,2.2624997654929757e-05,0.0003354999935254,0.0001148750016,7.604199345223606e-05,7.34579807613045e-05,7.091602310538292e-05,5.7089782785624266e-06,0.0240542920073494,0.0247568330087233,0.0247534169757273,3.4160329960286617e-06,0.0305499160022009,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,7,Random Sampling,10.173386792804775,0.8200000000000001,0.0132354784603526,0.049006624991307,0.00121004198445,0.0075244169856887,,,,,,,,,0.049006624991307,0.0490018329874146,4.792003892362118e-06,0.0577410839614458,0.0033114999823737,0.0004298750136513,0.0017011249728966,4.412501584738493e-05,3.7582998629659414e-05,0.0434776250040158,,,,,,,,,,,,
200,0.1414213562373095,7,Non-random,8.773927533696622,0.31,0.0152965925322055,0.0417294159997254,0.00121004198445,0.0017883330001495,,,,,,,,,0.0417294159997254,0.0417282500129658,1.1659867595881224e-06,0.0447277909843251,,,,,,,0.0150948330119717,0.026626041973941,7.3750270530581474e-06,,,,,,,,,
200,0.1414213562373095,8,Random Projection,7.430721786531227,0.2,0.0067919728863539,0.0250008339935448,0.0004154159978497,0.0031206669809762,1.1249998351559045e-05,0.0001564169942867,4.966699634678662e-05,3.12910124193877e-05,2.562499139457941e-05,3.354201908223331e-05,2.209009835496545e-06,0.0246892499853856,0.0250008339935448,0.0249992510071024,1.5829864423722029e-06,0.0285369169723708,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,8,Random Sampling,8.70393090397469,0.3,0.0055157594369877,0.0514020840055309,0.0004154159978497,0.0055529579985886,,,,,,,,,0.0514020840055309,0.0513988749880809,3.209017449989915e-06,0.0573704580019693,0.0002889579918701,0.0003870420041494,0.0013986249978188,2.054200740531087e-05,5.274999421089888e-05,0.0492509579926263,,,,,,,,,,,,
200,0.1414213562373095,8,Non-random,8.407852125357055,0.16,0.0074444282617453,0.0482067080156412,0.0004154159978497,0.0069662499881815,,,,,,,,,0.0482067080156412,0.0482052500301506,1.4579854905605316e-06,0.0555883740016724,,,,,,,0.0077958750189282,0.0404001669958233,9.208015399053693e-06,,,,,,,,,
200,0.1414213562373095,9,Random Projection,7.541106610557213,0.19,0.0054319537127476,0.0700394170125946,0.0004152499896008,0.0043599159980658,1.09999964479357e-05,0.0001503330131527,4.604199784807861e-05,3.079199814237654e-05,2.6790978154167533e-05,3.220900543965399e-05,2.0840088836848736e-06,0.0697384170198347,0.0700394170125946,0.0700376680179033,1.748994691297412e-06,0.0748145830002613,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,9,Random Sampling,9.130478955176589,0.38,0.0109767188830225,0.1096227499947417,0.0004152499896008,0.0065273330255877,,,,,,,,,0.1096227499947417,0.109619916009251,2.8339854907244444e-06,0.1165653330099303,0.0013047080137766,0.0006457080016843,0.0024759999942034,1.979200169444084e-05,3.233298775739968e-05,0.1051413750101346,,,,,,,,,,,,
