n,alpha_n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec
600,0.08164965809277261,10,SIGN,0.07194941700436175,0.006442334037274122,0.043225042056292295,5.891593173146248e-05,12,2,0.004942167084664106,0.003061958122998476,0.0004038340412080288,0.0001296249683946371,1.037493348121643e-05,0.06333424989134073,0.07194941700436175,0.07194112497381866,8.292030543088913e-06,0.12161679309792817
600,0.08164965809277261,11,SIGN,0.07053820905275643,0.006491292035207152,0.03541341610252857,5.866703577339649e-05,12,2,0.002965667052194476,0.0008630829397588968,0.0011306670494377613,4.570791497826576e-05,4.624947905540466e-06,0.06546575017273426,0.07053820905275643,0.0705341671127826,4.041939973831177e-06,0.11244291719049215
600,0.08164965809277261,12,SIGN,0.10385095910169184,0.005837958073243499,0.045338625088334084,5.1999930292367935e-05,12,2,0.00512495799921453,0.0029451658483594656,0.0019214579369872808,5.0042057409882545e-05,4.582805559039116e-06,0.09374529193155468,0.10385095910169184,0.10384349850937724,7.4605923146009445e-06,0.15502754226326942
600,0.08164965809277261,13,SIGN,0.08015404199250042,0.007170625030994415,0.040736666880548,4.8916786909103394e-05,12,2,0.0008585001341998577,0.002303167013451457,0.001716666854918003,8.883303962647915e-05,6.791902706027031e-06,0.07512287492863834,0.08015404199250042,0.08014575066044927,8.291332051157951e-06,0.12806133390404284
600,0.08164965809277261,14,SIGN,0.07790254103019834,0.00871212501078844,0.03550237510353327,3.533391281962395e-05,12,2,0.002801917027682066,0.0008143340237438679,0.0001360420137643814,3.4333206713199615e-05,4.00003045797348e-06,0.07407358312048018,0.07790254103019834,0.07789954333566129,2.9976945370435715e-06,0.12211704114452004
600,0.08164965809277261,15,SIGN,0.05954066710546613,0.006210082909092307,0.019209666876122355,3.3292220905423164e-05,12,2,0.0006592078134417534,0.0008622079622000456,0.00016562500968575478,3.2708048820495605e-05,3.6249402910470963e-06,0.05778116709552705,0.05954066710546613,0.05953783309087157,2.834014594554901e-06,0.08496041689068079
600,0.08164965809277261,16,SIGN,0.06820820807479322,0.005341624841094017,0.0530648329295218,5.658390000462532e-05,12,2,0.0037014170084148645,0.002646917011588812,0.0002702081110328436,8.762511424720287e-05,8.875038474798203e-06,0.061430833069607615,0.06820820807479322,0.06820245925337076,5.748821422457695e-06,0.12661466584540904
600,0.08164965809277261,17,SIGN,0.051466917153447866,0.007386834127828479,0.05638174992054701,3.174995072185993e-05,12,2,0.004254166968166828,0.004115208052098751,0.0010219591204077005,8.499994874000549e-05,9.458977729082108e-06,0.04194341599941254,0.051466917153447866,0.051460959017276764,5.958136171102524e-06,0.11523550120182335
600,0.08164965809277261,18,SIGN,0.07074912497773767,0.005296208895742893,0.04279454192146659,3.600004129111767e-05,12,2,0.006526250159367919,0.0012220421340316534,0.0025405827909708023,0.0001677079126238823,1.2625008821487427e-05,0.060237874975427985,0.07074912497773767,0.07074308302253485,6.041955202817917e-06,0.11883987579494715
600,0.08164965809277261,19,SIGN,0.08075187494978309,0.005991332931444049,0.04200762487016618,6.416602991521358e-05,12,2,0.0037543331272900105,0.001753124874085188,0.0034791668877005577,6.837490946054459e-05,5.1658134907484055e-06,0.07162208412773907,0.08075187494978309,0.08074641576968133,5.459180101752281e-06,0.12875083275139332
600,0.08164965809277261,20,SIGN,0.062173291109502316,0.006484416080638766,0.03817804204300046,4.5000109821558e-05,12,2,0.007674917113035917,0.004038874991238117,0.0007417909801006317,5.9582991525530815e-05,4.37488779425621e-06,0.04960254183970392,0.062173291109502316,0.06216708291321993,6.20819628238678e-06,0.10683574923314154
800,0.07071067811865475,1,SIGN,0.08481004205532372,0.009999249828979373,0.07419991702772677,7.229112088680267e-05,12,2,0.009448458906263113,0.00524591701105237,0.003754040924832225,0.0001087910495698452,1.1750031262636185e-05,0.06616141693666577,0.08481004205532372,0.08480266598053277,7.37607479095459e-06,0.16900920891202986
800,0.07071067811865475,2,SIGN,0.08828320796601474,0.014698792016133666,0.06658620783127844,4.5625027269124985e-05,12,2,0.0030739589128643274,0.004879791988059878,0.0037507081869989634,0.00010041706264019012,1.1834083124995232e-05,0.07641433412209153,0.08828320796601474,0.08827666938304901,6.538582965731621e-06,0.16956820781342685
800,0.07071067811865475,3,SIGN,0.10219854209572077,0.010359124979004264,0.07069608313031495,5.7625118643045425e-05,12,2,0.01526754186488688,0.0020267090294510126,0.0030518330167979,6.849993951618671e-05,5.790963768959045e-06,0.08171549998223782,0.10219854209572077,0.1021934999153018,5.042180418968201e-06,0.18325375020503998
800,0.07071067811865475,4,SIGN,0.059221416944637895,0.011860999977216125,0.0652437920216471,8.283299393951893e-05,12,2,0.005026458064094186,0.001812624977901578,0.002405417151749134,0.00011274986900389194,1.2958887964487076e-05,0.04976154211908579,0.059221416944637895,0.059214584063738585,6.832880899310112e-06,0.13632620894350111
800,0.07071067811865475,5,SIGN,0.08834866690449417,0.008014707826077938,0.0755081670358777,4.35409601777792e-05,12,2,0.005987915908917785,0.0050875418819487095,0.0003705420531332493,6.841705180704594e-05,6.250105798244476e-06,0.07677933387458324,0.08834866690449417,0.08834354183636606,5.125068128108978e-06,0.1718715417664498
800,0.07071067811865475,6,SIGN,0.07176266703754663,0.007204707944765687,0.07825637492351234,8.012494072318077e-05,12,2,0.009715374791994691,0.00388587499037385,0.0007435409352183342,7.100007496774197e-05,5.5409036576747894e-06,0.05725337495096028,0.07176266703754663,0.07175483158789575,7.835449650883675e-06,0.15722374990582466
