dataset,alpha,tau_label,tau_value,group,group_n,method,rep,r,ell,k,q,test_matrix_scaling,embedding_wall_sec,clustering_wall_sec,total_method_wall_sec,rp_draw_omega_sec,rp_test_matrix_entry_std,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eigh_sec,rp_lift_sec,eigen_decomposition_wall_sec,ARI_true,NMI_true,F1_macro_true,ds_bucket_build_sec,ds_draw_and_initial_multiply_sec,ds_power_iter_sec,ds_qr_sec,ds_build_core_sec,ds_small_eigh_sec,ds_lift_sec,ds_num_buckets,ds_min_bucket_dim,ds_max_bucket_dim,ds_bucket_summary
lastfm-asia-scaled-by-dim,0.5,0,0.0,high_deg_9_plus,1835,Gaussian RP,8,20,38,18,1,by_dim,0.032151666000117984,0.6796932919996834,0.7118449579998014,0.0014358749999701104,0.16222142113076254,0.002600458999950206,0.02048479099994438,0.0033312499999738066,0.00024937499983934686,0.0032730829998399713,0.03137483299951782,0.24256690462514063,0.4013869398404534,0.3766509785616076,,,,,,,,,,,
lastfm-asia-scaled-by-dim,0.5,0,0.0,all,7624,Degree-stratified RP,8,20,38,18,1,by_dim,0.042392042000301444,0.619537125000079,0.6619291670003804,,,,,,,,0.04165924999961135,0.14093027987259626,0.2766889187237554,0.30190812187368415,0.0004129589997319272,0.0021086659999127733,0.018364167000072484,0.017849083000328392,0.0023918329998195986,0.0002482499999132415,0.00028429199983293074,8.0,2.0,7.0,"[1,2):n=1754,ell=3;[2,4):n=1979,ell=4;[4,8):n=1786,ell=6;[8,16):n=1265,ell=7;[16,32):n=576,ell=6;[32,64):n=212,ell=6;[64,128):n=46,ell=4;[128,256):n=6,ell=2"
lastfm-asia-scaled-by-dim,0.5,0,0.0,low_deg_1_2,2942,Degree-stratified RP,8,20,38,18,1,by_dim,0.042392042000301444,0.619537125000079,0.6619291670003804,,,,,,,,0.04165924999961135,0.04379825803619525,0.1436466554752075,0.19663559198373784,0.0004129589997319272,0.0021086659999127733,0.018364167000072484,0.017849083000328392,0.0023918329998195986,0.0002482499999132415,0.00028429199983293074,8.0,2.0,7.0,"[1,2):n=1754,ell=3;[2,4):n=1979,ell=4;[4,8):n=1786,ell=6;[8,16):n=1265,ell=7;[16,32):n=576,ell=6;[32,64):n=212,ell=6;[64,128):n=46,ell=4;[128,256):n=6,ell=2"
lastfm-asia-scaled-by-dim,0.5,0,0.0,mid_deg_3_8,2847,Degree-stratified RP,8,20,38,18,1,by_dim,0.042392042000301444,0.619537125000079,0.6619291670003804,,,,,,,,0.04165924999961135,0.1322640650102487,0.2911283276622886,0.29948152653440296,0.0004129589997319272,0.0021086659999127733,0.018364167000072484,0.017849083000328392,0.0023918329998195986,0.0002482499999132415,0.00028429199983293074,8.0,2.0,7.0,"[1,2):n=1754,ell=3;[2,4):n=1979,ell=4;[4,8):n=1786,ell=6;[8,16):n=1265,ell=7;[16,32):n=576,ell=6;[32,64):n=212,ell=6;[64,128):n=46,ell=4;[128,256):n=6,ell=2"
lastfm-asia-scaled-by-dim,0.5,0,0.0,high_deg_9_plus,1835,Degree-stratified RP,8,20,38,18,1,by_dim,0.042392042000301444,0.619537125000079,0.6619291670003804,,,,,,,,0.04165924999961135,0.4537985507926287,0.5823655047688854,0.46543347316448386,0.0004129589997319272,0.0021086659999127733,0.018364167000072484,0.017849083000328392,0.0023918329998195986,0.0002482499999132415,0.00028429199983293074,8.0,2.0,7.0,"[1,2):n=1754,ell=3;[2,4):n=1979,ell=4;[4,8):n=1786,ell=6;[8,16):n=1265,ell=7;[16,32):n=576,ell=6;[32,64):n=212,ell=6;[64,128):n=46,ell=4;[128,256):n=6,ell=2"
lastfm-asia-scaled-by-dim,0.5,0,0.0,all,7624,Gaussian RP,9,20,38,18,1,by_dim,0.029376624999713385,0.7168008339999687,0.7461774589996821,0.0012429999997038976,0.16222142113076254,0.001716999999644031,0.021916083000178332,0.0034555830002318544,0.0002558339997449366,0.0001551660002405697,0.028742665999743622,0.09049313223284636,0.17542043639881863,0.23603051213762916,,,,,,,,,,,
lastfm-asia-scaled-by-dim,0.5,0,0.0,low_deg_1_2,2942,Gaussian RP,9,20,38,18,1,by_dim,0.029376624999713385,0.7168008339999687,0.7461774589996821,0.0012429999997038976,0.16222142113076254,0.001716999999644031,0.021916083000178332,0.0034555830002318544,0.0002558339997449366,0.0001551660002405697,0.028742665999743622,0.02996398229689227,0.09472439085075281,0.16540222048258363,,,,,,,,,,,
lastfm-asia-scaled-by-dim,0.5,0,0.0,mid_deg_3_8,2847,Gaussian RP,9,20,38,18,1,by_dim,0.029376624999713385,0.7168008339999687,0.7461774589996821,0.0012429999997038976,0.16222142113076254,0.001716999999644031,0.021916083000178332,0.0034555830002318544,0.0002558339997449366,0.0001551660002405697,0.028742665999743622,0.07197105149455527,0.17080203124057053,0.2207569881729393,,,,,,,,,,,
lastfm-asia-scaled-by-dim,0.5,0,0.0,high_deg_9_plus,1835,Gaussian RP,9,20,38,18,1,by_dim,0.029376624999713385,0.7168008339999687,0.7461774589996821,0.0012429999997038976,0.16222142113076254,0.001716999999644031,0.021916083000178332,0.0034555830002318544,0.0002558339997449366,0.0001551660002405697,0.028742665999743622,0.31376542289318915,0.4363248282470285,0.3818285490653863,,,,,,,,,,,
lastfm-asia-scaled-by-dim,0.5,0,0.0,all,7624,Degree-stratified RP,9,20,38,18,1,by_dim,0.04583100000036211,0.6019883330000084,0.6478193330003705,,,,,,,,0.04550383400010105,0.1217207405785033,0.25761799994515133,0.272121280607665,0.00022662499986836337,0.0027356659998076793,0.019339749999744527,0.02167595800028721,0.001273209000373754,0.00013566699999500997,0.00011695900002450799,8.0,2.0,7.0,"[1,2):n=1754,ell=3;[2,4):n=1979,ell=4;[4,8):n=1786,ell=6;[8,16):n=1265,ell=7;[16,32):n=576,ell=6;[32,64):n=212,ell=6;[64,128):n=46,ell=4;[128,256):n=6,ell=2"
