rep,method,F1,NMI,ARI,time_rand_sec,time_post_sec,time_total_sec
11,Non-random,0.3253323241991251,0.5596128257637444,0.09557902491740447,0.0,0.23363508299999936,0.23363587499999916
12,Random Projection,0.30785441180671635,0.5423994668812261,0.0985549980660429,,,0.17652750000000061
12,Random Sampling (p=0.7),0.2624425784417121,0.5135837858534926,0.07975220485492747,0.0070891250000002515,0.2324692920000011,0.2395693329999986
12,Random Sampling (p=0.8),0.27793603469322076,0.5314871437478205,0.0886378476870679,0.007192584000000224,0.230086291000001,0.23728712499999993
12,Non-random,0.35496427880998693,0.5600475303589894,0.09128511837561391,0.0,0.22625516700000148,0.22625616700000073
13,Random Projection,0.289789156464441,0.5453451752605972,0.09015059103952767,,,0.18159920799999973
13,Random Sampling (p=0.7),0.27245011828605425,0.5007076750009163,0.09090199574786388,0.007165333000001439,0.22838216699999947,0.23555329100000044
13,Random Sampling (p=0.8),0.29585430968929843,0.5207621974991633,0.08493443110089352,0.007214583999999746,0.22846358399999822,0.23568550000000066
13,Non-random,0.31571027046785044,0.5542068348376568,0.09057181576228449,0.0,0.22154054099999954,0.22154091600000037
14,Random Projection,0.33667811955010796,0.5492147470000042,0.09825457859424165,,,0.17341133399999897
14,Random Sampling (p=0.7),0.29523294517688253,0.5125504914252306,0.08919908026044442,0.0071136669999987134,0.2442034159999995,0.2513252080000008
14,Random Sampling (p=0.8),0.281574775006642,0.5137903730707228,0.07554063515086472,0.007119207999998878,0.23602875100000098,0.24315412500000022
14,Non-random,0.32563701353716795,0.5519666477957751,0.10996089907582149,0.0,0.24060300000000012,0.24060350000000064
15,Random Projection,0.29660579939093135,0.5545147987816681,0.09924143163786407,,,0.17690175000000075
15,Random Sampling (p=0.7),0.2522328345185732,0.515002048615723,0.07577819975195764,0.0073436249999989656,0.235299208999999,0.24264866700000098
15,Random Sampling (p=0.8),0.27795351661425766,0.5298124159054545,0.092533215218363,0.007161832999997841,0.2358755410000022,0.24304774999999879
15,Non-random,0.31334212849489546,0.550254913429772,0.09178356043395529,0.0,0.23119058400000014,0.2311910420000025
16,Random Projection,0.3251591271536133,0.5536147609322815,0.09296345135419878,,,0.18412183399999904
16,Random Sampling (p=0.7),0.2812222996812804,0.506779696768494,0.085983265513082,0.007076749999999521,0.25428887499999675,0.26137533400000024
16,Random Sampling (p=0.8),0.28883750050960566,0.5447088114482876,0.10193531160033842,0.007253583000000674,0.23806729100000013,0.2453282080000001
16,Non-random,0.30654898838035466,0.5551809516910173,0.09206209151989281,0.0,0.22676595800000143,0.2267663750000004
17,Random Projection,0.3331132157698525,0.5554196084959844,0.0919989478717452,,,0.1813364170000007
17,Random Sampling (p=0.7),0.2618151069686188,0.5040476313462072,0.0781949060946656,0.007073250000001252,0.23038450099999963,0.23746654199999995
17,Random Sampling (p=0.8),0.2990830963621732,0.5282500123857232,0.0952797616113454,0.007221582999999754,0.22895979199999772,0.23618904199999946
17,Non-random,0.31853797577404563,0.5602038110242905,0.09535767897272111,0.0,0.22531879200000304,0.22531929200000178
18,Random Projection,0.3137625869845818,0.5405464145993563,0.08295524259507094,,,0.17382183400000173
18,Random Sampling (p=0.7),0.26875589924064686,0.4964289805661661,0.083803191195403,0.007113875000001713,0.23456591699999763,0.24168866699999825
18,Random Sampling (p=0.8),0.2911088160245261,0.5406653157685912,0.09567208631847136,0.007191124999998522,0.22898108300000075,0.23618337499999953
18,Non-random,0.3362129354965592,0.5548174578222711,0.08885134045875097,0.0,0.22519420800000134,0.2251949169999996
19,Random Projection,0.30255358074158323,0.5502645060120239,0.09186927819519067,,,0.1689319160000018
19,Random Sampling (p=0.7),0.26792481657937356,0.4930116172828723,0.060584211531118544,0.007044458999999392,0.2256791249999992,0.23273187499999892
19,Random Sampling (p=0.8),0.28763541694274314,0.5245481100898233,0.09795883185686521,0.007224500000003076,0.24453879200000017,0.25177504199999845
19,Non-random,0.33115462041988875,0.5626805704716925,0.08747005720169752,0.0,0.22645308300000266,0.22645362500000132
20,Random Projection,0.31259117564735767,0.5248681891208911,0.09019683947326737,,,0.17435062499999887
20,Random Sampling (p=0.7),0.2803077323787111,0.49097688702411507,0.0757704541486044,0.007157541999998074,0.23568129100000235,0.24284437500000067
20,Random Sampling (p=0.8),0.2719402286937842,0.5195895715538766,0.09097428966485087,0.007156209000001468,0.22925004200000032,0.2364131659999984
20,Non-random,0.31660631789736193,0.5527279750063331,0.09257818888928179,0.0,0.23127891700000092,0.23127908400000052
