K,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
2,14,Random Sampling,16.252297024301807,0.0,0.0016056696058965,0.1183138750202488,0.0257357920054346,0.1412909160135314,,,,,,,,,0.1183138750202488,0.1183072100102435,6.665010005235672e-06,0.2853405830392148,0.0072420419892296,0.0192847920116037,0.0109799170168116,0.0040129999979399,0.0036541250010486,0.07313333399361,,,,,,,,,,,,
2,14,Non-random,23.86129373176439,0.0,0.001637249228395,0.3268353340099565,0.0257357920054346,0.1562399590038694,,,,,,,,,0.3268353340099565,0.326833416998852,1.9170111045241356e-06,0.5088110850192606,,,,,,,0.2719863750098739,0.054166374990018,0.00068066699896,,,,,,,,,
2,15,Random Projection,13.37543437173177,0.0,0.0011874202784754,0.0502844579750672,0.0216409999993629,0.1434617920021992,5.76250022277236e-05,0.0030809169984422,0.0001915000029839,0.0004585410060826,0.0034161660005338,5.6374992709606886e-05,7.541995728388429e-06,0.043012541020289,0.0502844579750672,0.0502812070189975,3.250956069678068e-06,0.2153872499766294,,,,,,,,,,,,,,,,,,
2,15,Random Sampling,16.861686491174137,0.0,0.0009894875532684,0.2068417920090723,0.0216409999993629,0.1569639999943319,,,,,,,,,0.2068417920090723,0.2068361669953446,5.62501372769475e-06,0.3854467920027673,0.0086083750065881,0.0099770000088028,0.0151722919836174,0.0010038329928647,0.0054505000007338,0.1666241670027375,,,,,,,,,,,,
2,15,Non-random,23.83074346349675,0.0,0.0009862075617284,0.31473808400915,0.0216409999993629,0.1552728329843375,,,,,,,,,0.31473808400915,0.314734584040707,3.4999684430658817e-06,0.4916519169928506,,,,,,,0.2517539590189699,0.0618273330037482,0.0011532920179888,,,,,,,,,
2,16,Random Projection,13.17540654125157,0.0,0.0024380719831464,0.0897437079984229,0.0183690410049166,0.1734201250073965,6.200000643730164e-05,0.0079562500177416,0.0003428329946473,0.0056897080212365,0.0016456670127809,7.179199019446969e-05,6.54099858365953e-06,0.0739641250111162,0.0897437079984229,0.0897389160527382,4.791945684701204e-06,0.2815328740107361,,,,,,,,,,,,,,,,,,
2,16,Random Sampling,17.32170853238527,0.0,0.0008243997748001,0.0540347500063944,0.0183690410049166,0.1429655420070048,,,,,,,,,0.0540347500063944,0.0540300000284332,4.749977961182594e-06,0.2153693330183159,0.0106472079933155,0.0132327080063987,0.0060198749997653,0.0011031670146621,0.0032375830051023,0.0197894590091891,,,,,,,,,,,,
2,16,Non-random,23.756814006683133,0.0,0.0023485725308642,0.3158736249897629,0.0183690410049166,0.1365219580184202,,,,,,,,,0.3158736249897629,0.3158710839634295,2.541026333346963e-06,0.4707646240130998,,,,,,,0.2415056249883491,0.0732047499914188,0.0011607089836616,,,,,,,,,
2,17,Random Projection,13.693571297920531,0.0,0.001402868171821,0.0877263330039568,0.0306507500063162,0.1532213329919614,7.183302659541368e-05,0.0170901249803137,0.0006552499835379,0.0059788330108858,0.00435624999227,7.154099876061082e-05,6.791990017518401e-06,0.0594896670081652,0.0877263330039568,0.0877202909905463,6.04201341047883e-06,0.2715984160022344,,,,,,,,,,,,,,,,,,
2,17,Random Sampling,17.747636193585215,0.0,0.0013422577511518,0.0918886250001378,0.0306507500063162,0.1721896670060232,,,,,,,,,0.0918886250001378,0.0918819999496918,6.625050446018577e-06,0.2947290420124773,0.0084497919888235,0.0155669169907923,0.0269298749917652,0.0023853330058045,0.0022720409906469,0.0362780419818591,,,,,,,,,,,,
2,17,Non-random,24.04618183956253,0.0,0.0012514467592592,0.3425499169970862,0.0306507500063162,0.1326990000088699,,,,,,,,,0.3425499169970862,0.3425478340068366,2.082990249618888e-06,0.5058996670122724,,,,,,,0.2745528340165037,0.0668662500102073,0.0011287499801255,,,,,,,,,
2,18,Random Projection,13.684802829479898,0.0,0.0017891971136179,0.0419269169797189,0.0209679590188898,0.1403664159879554,0.0001409169926773,0.0071249579777941,0.000345250009559,0.0005409999866969,0.0010484170052222,9.437499102205038e-05,1.4791992725804448e-05,0.0326110829773824,0.0419269169797189,0.0419207919330801,6.125046638771892e-06,0.2032612919865641,,,,,,,,,,,,,,,,,,
2,18,Random Sampling,17.570586878404107,0.0,0.003268467614425,0.0587917089869733,0.0209679590188898,0.2161359169986099,,,,,,,,,0.0587917089869733,0.0587874169577844,4.2920291889458895e-06,0.2958955850044731,0.0050818749878089,0.0084885830001439,0.0098834169912152,0.0010154999908991,0.0015902919985819,0.0327277499891351,,,,,,,,,,,,
2,18,Non-random,23.82462614177617,0.0,0.0016734182098765,0.3570894169970415,0.0209679590188898,0.2325642500072717,,,,,,,,,0.3570894169970415,0.3570868750393856,2.5419576559215784e-06,0.6106216260232031,,,,,,,0.2737881670182105,0.0816255829995498,0.0016731250216253,,,,,,,,,
2,19,Random Projection,13.364844139770788,0.0,0.0017550109972906,0.0460871249961201,0.0231967920262832,0.2098582079925108,6.295801722444594e-05,0.0021242499933578,0.0001804579806048,0.0006110839894972,0.0043158330081496,0.0001070419966708,1.579101081006229e-05,0.0386656659829895,0.0460871249961201,0.0460830819793045,4.043016815558076e-06,0.2791421250149142,,,,,,,,,,,,,,,,,,
2,19,Random Sampling,16.969157321299402,0.0,0.0018208673541708,0.1180655419884715,0.0231967920262832,0.1796289159974549,,,,,,,,,0.1180655419884715,0.1180601649684831,5.377019988372922e-06,0.3208912500122096,0.0056755830009933,0.0116969159862492,0.0154547910206019,0.0009583749924786,0.0037828749918844,0.0804916249762754,,,,,,,,,,,,
2,19,Non-random,23.95326111576516,0.0,0.0015950520833333,0.3012774580274708,0.0231967920262832,0.1430557499988936,,,,,,,,,0.3012774580274708,0.3012755419767927,1.9160506781190634e-06,0.4675300000526476,,,,,,,0.2345738749718293,0.0660605840093921,0.0006410829955711,,,,,,,,,
2,20,Random Projection,13.772658679027504,0.0,0.0009542074323303,0.0736998750071507,0.0228901669906917,0.168810958013637,6.366599700413644e-05,0.0107315000204835,0.0003037920105271,0.0008025830029509,0.0044241249852348,0.0001124159898608,1.5666009858250618e-05,0.0572410830063745,0.0736998750071507,0.0736948310222942,5.043984856456518e-06,0.2654010000114795,,,,,,,,,,,,,,,,,,
2,20,Random Sampling,16.702432701924224,0.0,0.001226280310668,0.1184127499873284,0.0228901669906917,0.1551308749767486,,,,,,,,,0.1184127499873284,0.1184062070096843,6.542977644130588e-06,0.2964337919547688,0.0065345840121153,0.0202630829880945,0.0128397910157218,0.0013898329925723,0.0064897080010268,0.0708892080001533,,,,,,,,,,,,
2,20,Non-random,23.889575863816745,0.0,0.0008692611882716,0.4667950829898473,0.0228901669906917,0.1751835000177379,,,,,,,,,0.4667950829898473,0.4667930839932523,1.9989965949207544e-06,0.664868749998277,,,,,,,0.2750292079872452,0.1910279169969726,0.0007359590090345,,,,,,,,,
