K,rep,method,time_sec,instance_gen_sec,metric_eval_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec
5,2,SIGN,0.19063837500289083,0.0163932500872761,0.1622015000320971,0.00013204081915318966,15,2,0.008059917017817497,0.00725554209202528,0.0024626250378787518,8.654198609292507e-05,1.2082979083061218e-05,0.17262270906940103,0.19063837500289083,0.19063145900145173,6.9160014390945435e-06,0.369233125122264
5,3,SIGN,0.2416415410116315,0.02415829082019627,0.21573124988935888,7.66250304877758e-05,15,2,0.014757791068404913,0.006617290899157524,0.0011081669945269823,0.00011024996638298035,3.220885992050171e-05,0.2189306658692658,0.2416415410116315,0.24163299868814647,8.542323485016823e-06,0.48153108172118664
5,4,SIGN,0.21690233401022851,0.018963209120556712,0.2625588751398027,8.79999715834856e-05,15,2,0.007977584144100547,0.007220499916002154,0.001270584063604474,7.704203017055988e-05,3.041699528694153e-05,0.20022966689430177,0.21690233401022851,0.21689379401504993,8.539995178580284e-06,0.4984244182705879
5,5,SIGN,0.203809707891196,0.016749874921515584,0.21389924990944564,0.00013949978165328503,15,2,0.006784416968002915,0.006326708011329174,0.002584042027592659,0.00010566599667072296,3.0374852940440178e-05,0.18782658409327269,0.203809707891196,0.20379729173146188,1.2416159734129906e-05,0.43445883272215724
5,6,SIGN,0.14997891709208488,0.016068541910499334,0.22532316599972546,8.941697888076305e-05,15,2,0.003977041924372315,0.0066491670440882444,0.0027356669306755066,0.00010012509301304817,1.1417083442211151e-05,0.1364032079000026,0.14997891709208488,0.1499660429544747,1.2874137610197067e-05,0.3913706250023097
5,7,SIGN,0.1168533330783248,0.027370375115424395,0.20315491617657244,8.979206904768944e-05,15,2,0.007485207868739963,0.008005999960005283,0.003135666949674487,7.1333022788167e-05,1.0791001841425896e-05,0.09804604109376669,0.1168533330783248,0.1168448319658637,8.501112461090088e-06,0.34737862437032163
5,8,SIGN,0.10339683317579329,0.018026416888460517,0.15103608299978077,0.0001325418706983328,15,2,0.008155083982273936,0.009048790903761983,0.001115000108256936,0.00012995791621506214,3.374996595084667e-05,0.08477345784194767,0.10339683317579329,0.10338858258910477,8.250586688518524e-06,0.2724593330640346
5,9,SIGN,0.22284570802003145,0.02217629086226225,0.1436764169484377,0.00010858406312763691,15,2,0.007181042106822133,0.0057910841424018145,0.0027719999197870493,0.00010508298873901367,2.4541979655623436e-05,0.20685633388347924,0.22284570802003145,0.2228386690840125,7.038936018943787e-06,0.3886984158307314
5,10,SIGN,0.2043184998910874,0.02031762502156198,0.21587399998679757,0.00012162490747869015,15,2,0.009430957958102226,0.007537083933129907,0.003977375105023384,7.337494753301144e-05,1.195794902741909e-05,0.18315516598522663,0.2043184998910874,0.20430754078552127,1.095910556614399e-05,0.44051012489944696
5,11,SIGN,0.13728191703557968,0.017791584134101868,0.18706258293241262,0.0009051668457686901,15,2,0.007205916102975607,0.007358375005424023,0.002953791059553623,0.00011454219929873943,2.6124995201826096e-05,0.1187087909784168,0.13728191703557968,0.1372727071866393,9.209848940372467e-06,0.3421360841020942
5,12,SIGN,0.16679112520068884,0.019616459030658007,0.17538324999623,7.399986498057842e-05,15,2,0.006261457921937108,0.004006125032901764,0.001838665921241045,9.495904669165611e-05,1.354212872684002e-05,0.15449670795351267,0.16679112520068884,0.16678545786999166,5.667330697178841e-06,0.36179083422757685
5,13,SIGN,0.19461050000973046,0.018909791950136423,0.16096500004641712,7.899990305304527e-05,15,2,0.00576512492261827,0.009944749996066093,0.0010586660355329514,0.0001027500256896019,2.6209047064185143e-05,0.177626458927989,0.19461050000973046,0.19460295885801315,7.541151717305183e-06,0.374485292006284
5,14,SIGN,0.16194366686977446,0.02496700012125075,0.20916812494397163,7.637497037649155e-05,15,2,0.011231290875002742,0.007312416099011898,0.0018760000821202993,0.00010249996557831764,2.5958986952900887e-05,0.14131183386780322,0.16194366686977446,0.16193637484684587,7.292022928595543e-06,0.39607879193499684
5,15,SIGN,0.13809745805338025,0.017050459049642086,0.16342324996367097,7.999991066753864e-05,15,2,0.009153208928182721,0.00826375000178814,0.0007076668553054333,6.620818749070168e-05,1.1250143870711327e-05,0.11980929202400148,0.13809745805338025,0.13809137605130672,6.0820020735263824e-06,0.3185711670666933
5,16,SIGN,0.1882115420885384,0.018704208079725504,0.14858604199253023,7.687509059906006e-05,15,2,0.005526750115677714,0.00954395905137062,0.0028801248408854008,8.733314462006092e-05,1.3084150850772858e-05,0.1700766251888126,0.1882115420885384,0.18820475158281624,6.790505722165108e-06,0.35550179216079414
5,17,SIGN,0.2090260840486735,0.02088374993763864,0.19764775014482439,9.008403867483139e-05,15,2,0.007430542027577758,0.011209249962121248,0.0028692500200122595,8.187512867152691e-05,1.1999858543276787e-05,0.1873260831926018,0.2090260840486735,0.2090190842282027,6.9998204708099365e-06,0.42755758413113654
5,18,SIGN,0.22136908303946257,0.01943108392879367,0.19628029107116163,8.479203097522259e-05,15,2,0.00456579215824604,0.008432082831859589,0.0015409169718623161,0.00011445791460573673,2.5667017325758934e-05,0.2065971668343991,0.22136908303946257,0.22136087575927377,8.207280188798904e-06,0.43708045803941786
5,19,SIGN,0.16929845907725394,0.01900375005789101,0.1429532920010388,7.479218766093254e-05,15,2,0.005696167005226016,0.006588959135115147,0.0008349588606506586,6.654183380305767e-05,1.1167023330926895e-05,0.15602016705088317,0.16929845907725394,0.1692927530966699,5.705980584025383e-06,0.33125550113618374
5,20,SIGN,0.256699041929096,0.020587917184457183,0.20417516701854765,8.595804683864117e-05,15,2,0.007845375221222639,0.007188334129750729,0.023537417175248265,9.204098023474216e-05,1.1708121746778488e-05,0.21793029201216996,0.256699041929096,0.25669112568721175,7.916241884231567e-06,0.4814621261321008
6,1,SIGN,0.2447503749281168,0.021764874923974276,0.2602609999012202,8.26660543680191e-05,16,2,0.005036915885284543,0.007160417037084699,0.00053641595877707,0.00010579219087958336,1.4459015801548958e-05,0.2318070000037551,0.2447503749281168,0.24474366614595056,6.7087821662425995e-06,0.5267762497533113
6,2,SIGN,0.2952467920258641,0.01744333398528397,0.2082275829743594,8.370797149837017e-05,16,2,0.007520582992583513,0.010092457989230752,0.0008629169315099716,7.262500002980232e-05,1.158309169113636e-05,0.2765971249900758,0.2952467920258641,0.2952409989666194,5.79305924475193e-06,0.5209177089855075
6,3,SIGN,0.25709374994039536,0.018317624926567078,0.18313966714777052,9.454204700887203e-05,16,2,0.008161417208611965,0.004887209041044116,0.0020665419287979603,0.00010920804925262928,3.3041927963495255e-05,0.24173375009559095,0.25709374994039536,0.25708571029827,8.039642125368118e-06,0.45855104201473296
