n,method,rep,seed,K,m,rho_n,rho_n_multiplier,rho_n_base_equivalent,density_regime,num_hyperedges_total,theta_nnz,theta_density,misclassification_rate,ARI,NMI,generation_wall_sec,hypergraph_laplacian_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
2000,CountSketch random projection,3,220260509,3,3,16.0,4.0,4.0,rho_n_x4,40488,234828,0.058707,0.0,1.0,1.0,1.7717529579999791,0.15354183399995236,0.2138411249999308,0.009720874999970874,0,0.0,60.732,89.0,40179.08736,20.08954368,60.268631039999995,0.11077788894447224,0.0005922499999542197,163,5,23,0,0.0034232499999689026,0.10391266700003143,0.0414925839999114,0.014725542000064706,0.008266917000014473,9.874999989278876e-05,0.17256587500003207,0.00015408400008709577,0.041116499999930056,0.9999997592024449,0.654213404715595,2.1391312509999807,0.000144,1.6e-05,sparse,5.312501999999995,2.500521375000062,22.832972526550293,554.53515625,554.53515625,0.0
2000,CountSketch random projection,4,220260510,3,3,16.0,4.0,4.0,rho_n_x4,40353,234020,0.058505,0.0,1.0,1.0,1.8023464999999987,0.1516642500000671,0.2045487499999581,0.00969424999993862,0,0.0,60.5295,88.0,40179.08736,20.08954368,60.268631039999995,0.11077788894447224,0.0006241669999553778,163,5,22,0,0.003344833000028302,0.09555524999996123,0.04183112500004427,0.013722666000035133,0.010222375000012107,0.00013133300001300086,0.16568054099991514,0.00022104200002104335,0.038638042000002315,0.9999998050952271,0.6558202019462065,2.1585503750000044,0.000144,1.6e-05,sparse,5.460777000000007,2.5147102500000074,22.762396812438965,554.53515625,554.53515625,0.0
2000,CountSketch random projection,5,220260511,3,3,16.0,4.0,4.0,rho_n_x4,40581,234996,0.058749,0.0,1.0,1.0,1.7906777499999862,0.15239358300004824,0.20313191599996117,0.008933625000054235,0,0.0,60.8715,96.0,40179.08736,20.08954368,60.268631039999995,0.11077788894447224,0.0005828329999530979,163,2,22,0,0.0034073750000516156,0.09743458299999475,0.04193849999990107,0.013702833000024839,0.008595624999998108,0.00010137499998563726,0.16581720900001073,0.0001702079999859052,0.0371402499999931,0.9999997918844168,0.6565634082201365,2.146199000000024,0.000144,1.6e-05,sparse,5.526723999999831,2.4892219579999164,22.865225791931152,554.53515625,554.53515625,0.0
2000,CountSketch random projection,6,220260512,3,3,16.0,4.0,4.0,rho_n_x4,40055,232196,0.058049,0.0,1.0,1.0,1.7594220419999829,0.15107741700001043,0.20079570899997634,0.008913624999991043,0,0.0,60.0825,90.0,40179.08736,20.08954368,60.268631039999995,0.11077788894447224,0.000582791999931942,163,4,23,0,0.003312374999950407,0.09528304100001606,0.038749458999973285,0.013908249999985856,0.009487541999988025,0.00011108299997886206,0.1615117089999103,0.00024316700000781566,0.0390352920001078,0.9999997364459574,0.6515685751354062,2.111289627000019,0.000144,1.6e-05,sparse,5.513498000000027,2.4521890420001,22.588377952575684,554.53515625,554.625,0.08984375
2000,CountSketch random projection,7,220260513,3,3,16.0,4.0,4.0,rho_n_x4,40443,234332,0.058583,0.0,1.0,1.0,1.7637917089999746,0.148370333999992,0.20550587500008533,0.008944249999899512,0,0.0,60.6645,91.0,40179.08736,20.08954368,60.268631039999995,0.11077788894447224,0.0005912920000810118,163,4,22,0,0.003356917000019166,0.0964038749999645,0.037020750000010594,0.013735167000049842,0.01049258299997291,0.00011166700005560415,0.16175762499995017,0.000167540999996163,0.04357654199998251,0.9999998281838879,0.6573544852555837,2.1176637509998955,0.000144,1.6e-05,sparse,5.557450000000017,2.4513269579999815,22.799643516540527,554.625,554.8828125,0.2578125
2000,CountSketch random projection,8,220260514,3,3,16.0,4.0,4.0,rho_n_x4,40037,232286,0.0580715,0.0,1.0,1.0,1.7537740419999182,0.14964625000004617,0.20247124999991684,0.008944499999984146,0,0.0,60.0555,91.0,40179.08736,20.08954368,60.268631039999995,0.11077788894447224,0.0005928330000415372,163,3,22,0,0.003347666999957255,0.09488845799990031,0.03898750000007567,0.013708457999996426,0.008127166999997826,9.191699996335956e-05,0.15979758299999958,0.00015883399998983805,0.042510250000077576,0.9999997725368341,0.657860183916739,2.1058869590000313,0.000144,1.6e-05,sparse,5.363039999999955,2.443928958000015,22.591418266296387,554.8828125,554.9765625,0.09375
2000,CountSketch random projection,9,220260515,3,3,16.0,4.0,4.0,rho_n_x4,39922,231386,0.0578465,0.0,1.0,1.0,1.7545896659999016,0.1514166250000244,0.20627154199996767,0.009711417000062283,0,0.0,59.883,92.0,40179.08736,20.08954368,60.268631039999995,0.11077788894447224,0.0005696670000361337,163,4,22,0,0.003348707999975886,0.0957244170000422,0.04174195900009181,0.014530333999914546,0.008556582999972306,0.00028462500006298797,0.1648618340000212,0.00034345899996424123,0.04106020799997623,0.9999998186311169,0.6554505664947612,2.1122717919998877,0.000144,1.6e-05,sparse,5.460854000000154,2.467378542000006,22.516165733337402,554.9765625,555.1484375,0.171875
2000,CountSketch random projection,10,220260516,3,3,16.0,4.0,4.0,rho_n_x4,40337,233854,0.0584635,0.0,1.0,1.0,1.79979783400006,0.15241224999999758,0.22823029199992106,0.009183499999949163,0,0.0,60.5055,87.0,40179.08736,20.08954368,60.268631039999995,0.11077788894447224,0.0005928330000415372,163,3,25,0,0.0033507919999919977,0.11839066699997147,0.040907041000082245,0.013566167000021778,0.009222750000049018,0.00012741600005483633,0.18624208300002465,0.00025729100002536143,0.04172516699998141,0.9999997426526187,0.656209053050922,2.180434625000089,0.000144,1.6e-05,sparse,5.286434000000099,2.554371083000092,22.74295711517334,555.1484375,555.19140625,0.04296875
3000,CountSketch random projection,1,320260507,3,3,16.0,4.0,4.0,rho_n_x4,60644,356434,0.03960377777777778,0.0,1.0,1.0,2.6641583339999215,0.22871966599996085,0.28598170800000844,0.011937332999991668,0,0.0,60.644,91.0,60327.17511111111,20.10905837037037,60.32717511111111,0.11088886422225243,0.0006292499999744905,163,7,29,0,0.0052230419998977595,0.14889995800001543,0.0534250420000717,0.021164459000033276,0.008188249999989239,0.000348791999954301,0.23793162499998743,0.00018320800006677018,0.047862707999911436,0.9999996207952893,0.6543187758687091,3.178855540999848,6.4e-05,7.111111111111111e-06,sparse,6.8574610000000575,3.7120784159999403,34.67271327972412,555.19140625,556.625,1.43359375
3000,CountSketch random projection,2,320260508,3,3,16.0,4.0,4.0,rho_n_x4,60213,353866,0.03931844444444445,0.0,1.0,1.0,2.604839375000097,0.23093762500002413,0.290253000000007,0.011619207999956416,0,0.0,60.213,86.0,60327.17511111111,20.10905837037037,60.32717511111111,0.11088886422225243,0.0005967079999891212,163,5,34,0,0.0050858329999528,0.14629445900004612,0.056863709000026574,0.02090854200002923,0.009153790999903322,0.0001521660000207703,0.23911154200004603,0.00019825000003947935,0.05093791700005568,0.999999601830458,0.6595318276975417,3.126024709000262,6.4e-05,7.111111111111111e-06,sparse,6.978570999999874,3.6642199169999685,34.42729473114014,556.625,556.65234375,0.02734375
