n,rep,seed,K,m_values,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_laplacian_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,hypergraph_degree_mean,hypergraph_degree_max,zhou_laplacian_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,algorithm_total_wall_sec,p_in_m2,p_out_m2,num_edges_m2,sampling_m2,p_in_m3,p_out_m3,num_edges_m3,sampling_m3,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
5000,1,5020305447,3,"2,3",31221,0.0058,0.9826691927740884,0.964291188375689,1.4882630000000745,0.09582709999995132,0.05868709999992916,0.03001840000001721,0,13.7474,28.0,92446,0.01417089999995369,9.909999994306418e-05,0.04441040000006069,1.6427704999999833,0.0048,0.0006,24926,sparse,1.44e-06,1.6e-07,6295,sparse,2.359375,1.8010644999999386,9.528538703918457,213.52734375,213.02734375,-0.5
5000,2,5020305448,3,"2,3",31349,0.0078,0.976745165064331,0.9543922122152948,1.6030626000000439,0.09515320000002703,0.051575899999988906,0.03735759999995025,0,13.811,30.0,92930,0.013298299999974006,9.909999994306418e-05,0.03817309999999452,1.7497862999999825,0.0048,0.0006,24992,sparse,1.44e-06,1.6e-07,6357,sparse,2.546875,1.915514700000017,9.567850112915039,213.02734375,213.0390625,0.01171875
5000,3,5020305449,3,"2,3",31199,0.0052,0.9844554802389099,0.9673597993282524,1.5590607999999975,0.09574770000006083,0.04996029999995244,0.031186499999989792,0,13.7402,28.0,92438,0.01348480000001473,9.539999996377446e-05,0.03637500000002092,1.7047637000000577,0.0048,0.0006,24896,sparse,1.44e-06,1.6e-07,6303,sparse,2.484375,1.8604274000000487,9.523868560791016,213.0390625,213.125,0.0859375
5000,4,5020305450,3,"2,3",30982,0.0066,0.9803030359096995,0.9605460805412799,1.543586399999981,0.09912609999992128,0.05098529999997936,0.03160609999997632,0,13.635,35.0,91604,0.014423700000065764,0.00014689999989059288,0.036409100000014405,1.693692199999873,0.0048,0.0006,24771,sparse,1.44e-06,1.6e-07,6211,sparse,2.46875,1.8480891000000383,9.454290390014648,213.125,212.80078125,-0.32421875
5000,5,5020305451,3,"2,3",31119,0.006,0.982077251260106,0.9631085710625462,1.5687365,0.09491460000003826,0.05162319999999454,0.03242499999998927,0,13.7098,30.0,92302,0.01341309999997975,8.32000000627886e-05,0.03812170000003334,1.7152691000001141,0.0048,0.0006,24808,sparse,1.44e-06,1.6e-07,6311,sparse,2.4375,1.8781180999999378,9.501273155212402,212.80078125,212.84765625,0.046875
5000,6,5020305452,3,"2,3",31107,0.006,0.9820753684538044,0.9637520602492972,1.5366983999999775,0.09390139999993607,0.053262999999901695,0.032165200000008554,0,13.6996,28.0,92156,0.013276600000040162,8.139999999912106e-05,0.03989909999995689,1.6838568999999097,0.0048,0.0006,24823,sparse,1.44e-06,1.6e-07,6284,sparse,2.453125,1.8460351999999602,9.494914054870605,212.84765625,212.7421875,-0.10546875
5000,7,5020305453,3,"2,3",31474,0.0048,0.9856482725238506,0.9697247823552235,1.5771604999999909,0.09991230000002815,0.05340149999994992,0.0298497999999654,0,13.8324,32.0,92632,0.013856200000077479,0.00011610000001383014,0.039423199999987446,1.7304683000000978,0.0048,0.0006,25260,sparse,1.44e-06,1.6e-07,6214,sparse,2.59375,1.8976408999999421,9.585641860961914,212.7421875,212.9765625,0.234375
5000,8,5020305454,3,"2,3",31576,0.0082,0.9755556781708407,0.9527642364432697,1.6084538999999722,0.09540719999995417,0.04947179999999207,0.026705600000013874,0,13.9292,29.0,93988,0.0133687000000009,9.319999992385419e-05,0.03600470000003497,1.7533276999998861,0.0048,0.0006,25082,sparse,1.44e-06,1.6e-07,6494,sparse,2.546875,1.9055528999999751,9.650093078613281,212.9765625,213.06640625,0.08984375
5000,9,5020305455,3,"2,3",31045,0.0068,0.9797049824001594,0.9592603055283775,1.5313732999999274,0.09287179999989803,0.05141969999999674,0.03271600000005037,0,13.6786,30.0,92174,0.013597399999980553,8.490000004712783e-05,0.037731199999939236,1.6756585999997924,0.0048,0.0006,24742,sparse,1.44e-06,1.6e-07,6303,sparse,2.453125,1.830144099999984,9.477495193481445,213.06640625,212.921875,-0.14453125
5000,10,5020305456,3,"2,3",31061,0.007,0.9791030204497844,0.9578350526976961,1.5315687999999454,0.09743479999997362,0.052556500000036976,0.0327829999999949,0,13.679,28.0,92038,0.014004399999976158,0.00010759999997844716,0.03843819999997322,1.6815537999998469,0.0048,0.0006,24788,sparse,1.44e-06,1.6e-07,6273,sparse,2.4375,1.8291531999999506,9.481977462768555,212.921875,212.80078125,-0.12109375
