n,alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
200,0.1414213562373095,11,Random Projection,6.9948579325339555,0.26,0.004881061404000547,0.05059170801541768,0.0009675409819465131,0.0029133339994587004,2.4125009076669812e-05,0.00046258297516033053,0.00018333300249651074,7.666699821129441e-05,9.295900235883892e-05,6.895899423398077e-05,5.08397351950407e-06,0.049673750007059425,0.05059170801541768,0.050587459962116554,4.248053301125765e-06,0.054472582996822894,,,,,,,,,
200,0.1414213562373095,11,Random Sampling,8.984310886389165,0.44000000000000006,0.01065936935079878,0.03375420899828896,0.0009675409819465131,0.0027447920001577586,,,,,,,,,0.03375420899828896,0.03375095801311545,3.250985173508525e-06,0.03746654198039323,0.0002452910121064633,0.0005427910073194653,0.003151709010126069,1.8749997252598405e-05,5.4625008488073945e-05,0.02973779197782278,,,
200,0.1414213562373095,11,Non-random,8.663812041267722,0.15000000000000002,0.0074983113527181955,0.06185116700362414,0.0009675409819465131,0.005176582984859124,,,,,,,,,0.06185116700362414,0.06184879201464355,2.374988980591297e-06,0.06799529097042978,,,,,,,0.010046042007161304,0.05179712499375455,5.62501372769475e-06
200,0.1414213562373095,12,Random Projection,7.193038512052308,0.68,0.02144736254937217,0.08277995800017379,0.00111554199247621,0.0026554579962976277,2.4874985683709383e-05,0.00030495799728669226,0.0001478340127505362,6.979098543524742e-05,9.06249915715307e-05,6.024999311193824e-05,4.875008016824722e-06,0.08207366600981914,0.08277995800017379,0.08277687398367561,3.0840164981782436e-06,0.08655095798894763,,,,,,,,,
200,0.1414213562373095,12,Random Sampling,8.180063222154391,0.28,0.005459935685481865,0.02672575000906363,0.00111554199247621,0.021789375023217872,,,,,,,,,0.02672575000906363,0.026720917026977986,4.832982085645199e-06,0.04963066702475771,0.00037691599573008716,0.0004539170186035335,0.004026500013424084,0.00010379200102761388,8.612498641014099e-05,0.021673667011782527,,,
200,0.1414213562373095,12,Non-random,8.629542997735832,0.18,0.009048242382714178,0.09235516699845903,0.00111554199247621,0.012402041000314057,,,,,,,,,0.09235516699845903,0.09235120698576793,3.960012691095471e-06,0.1058727499912493,,,,,,,0.05363016598857939,0.03865100000984967,7.004098733887076e-05
200,0.1414213562373095,13,Random Projection,7.437946339356117,0.21000000000000002,0.009139584296774,0.03506324999034405,0.0004988749860785902,0.016933917009737343,1.2083008186891675e-05,0.00014591700164601207,4.975000047124922e-05,3.383401781320572e-05,2.5667017325758934e-05,3.374999505467713e-05,2.374988980591297e-06,0.03475833300035447,0.03506324999034405,0.035061709029832855,1.5409605111926794e-06,0.05249604198615998,,,,,,,,,
200,0.1414213562373095,13,Random Sampling,9.22934898612083,0.31,0.01985675597698161,0.04284858299070038,0.0004988749860785902,0.005745208007283509,,,,,,,,,0.04284858299070038,0.042845793010201305,2.789980499073863e-06,0.04909266598406248,0.000815833976957947,0.0002056660014204681,0.001085584022803232,3.833300434052944e-05,5.3333991672843695e-05,0.040647042013006285,,,
200,0.1414213562373095,13,Non-random,8.565774748178978,0.16,0.0023126515309371543,0.040947375004179776,0.0004988749860785902,0.004125084000406787,,,,,,,,,0.040947375004179776,0.04094558299402706,1.7920101527124643e-06,0.04557133399066515,,,,,,,0.019408166990615427,0.021530250000068918,7.166003342717886e-06
200,0.1414213562373095,14,Random Projection,7.398503643146033,0.69,0.021806345370354044,0.038275625003734604,0.0005586250044871122,0.00813270898652263,2.379098441451788e-05,0.00030720801441930234,0.00015308300498872995,7.083298987708986e-05,9.041701559908688e-05,5.82499778829515e-05,4.750007065013051e-06,0.03756479101139121,0.038275625003734604,0.0382731230056379,2.501998096704483e-06,0.046966958994744346,,,,,,,,,
