K,method,rep,seed,n,m,rho_n,rho_n_multiplier,rho_n_base_equivalent,density_regime,num_hyperedges_total,theta_nnz,theta_density,misclassification_rate,ARI,NMI,generation_wall_sec,hypergraph_laplacian_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
3,CountSketch random projection,1,20560507,5000,3,32.0,4.0,8.0,rho_n_x4,200975,1170904,0.04683616,0.0,1.0,1.0,8.961559666,0.8209218329999999,0.7200188750000223,0.017589250000014545,0,0.0,120.585,164.0,201246.91435520002,40.249382871040005,120.74814861312001,0.11097779555911182,0.0008192919999885362,163,18,51,0,0.017722124999977495,0.48841762499998254,0.08805129199998873,0.06401558300001398,0.008976708999995253,0.00037300000002460365,0.6684477919999949,0.0002568330000087826,0.05130879199998617,0.9999997573230803,0.652512687711588,10.50249491599999,4.608e-05,5.12e-06,sparse,16.898105999999984,12.418983499999996,114.37378215789795,729.5703125,730.8671875,1.296875
3,CountSketch random projection,2,20560508,5000,3,32.0,4.0,8.0,rho_n_x4,202134,1176516,0.04706064,0.0,1.0,1.0,9.054291250000006,0.8116376669999852,0.7286774170000001,0.01862554199999522,0,0.0,121.2804,165.0,201246.91435520002,40.249382871040005,120.74814861312001,0.11097779555911182,0.0008309579999945527,163,16,46,0,0.017674250000027314,0.4908049169999913,0.08711387500000001,0.0649391249999951,0.009057209000019384,0.00024449999997955274,0.6707383330000027,0.00025800000000231194,0.0576763329999892,0.9999997607862738,0.6521458117980544,10.594601582999985,4.608e-05,5.12e-06,sparse,17.025824,12.518625000000014,114.96160793304443,729.8671875,732.6796875,2.8125
3,CountSketch random projection,3,20560509,5000,3,32.0,4.0,8.0,rho_n_x4,201232,1171376,0.04685504,0.0,1.0,1.0,8.99969575,0.8196850420000032,0.7220566670000039,0.018026582999993934,0,0.0,120.7392,161.0,201246.91435520002,40.249382871040005,120.74814861312001,0.11097779555911182,0.000827916999980971,163,16,49,0,0.017621125000005122,0.4883937500000002,0.08567166699998552,0.06490820799999142,0.009492832999995926,0.00023383399999943322,0.6672155000000259,0.00025041600000008657,0.054583583000010094,0.9999997661839848,0.6535301139245457,10.54143029100004,4.608e-05,5.12e-06,sparse,16.94382999999999,12.465781958000008,114.45571041107178,732.6796875,738.515625,5.8359375
3,CountSketch random projection,4,20560510,5000,3,32.0,4.0,8.0,rho_n_x4,201534,1173192,0.04692768,0.0,1.0,1.0,8.966493125,0.8127599160000045,0.741597291000005,0.01750733399998694,0,0.0,120.9204,166.0,201246.91435520002,40.249382871040005,120.74814861312001,0.11097779555911182,0.0007552499999974316,163,17,46,0,0.017815458000001172,0.5055107090000206,0.0852905839999778,0.06543162500000221,0.010385709000019006,0.0002784170000040831,0.6855677909999827,0.00041679200000999117,0.05560650000001033,0.9999997061168917,0.6533538163433015,10.520844124000007,4.608e-05,5.12e-06,sparse,16.96532400000001,12.446649291,114.63432216644287,738.515625,740.1640625,1.6484375
3,CountSketch random projection,5,20560511,5000,3,32.0,4.0,8.0,rho_n_x4,201400,1172554,0.04690216,0.0,1.0,1.0,8.987183167000012,0.8189101250000022,0.7208990000000028,0.017632542000001195,0,0.0,120.84,161.0,201246.91435520002,40.249382871040005,120.74814861312001,0.11097779555911182,0.00081450000001837,163,20,47,0,0.01758825000001707,0.4873880000000099,0.08565416700000128,0.06566058399999974,0.00966870799999242,0.0003065829999968628,0.6671603750000088,0.0002533749999997781,0.05347970799999757,0.999999756133915,0.651165746109809,10.52698675000002,4.608e-05,5.12e-06,sparse,16.92057299999999,12.448580291000013,114.56627082824707,739.1640625,740.50390625,1.33984375
3,CountSketch random projection,6,20560512,5000,3,32.0,4.0,8.0,rho_n_x4,200648,1167852,0.04671408,0.0,1.0,1.0,9.027139624999961,0.8055502920000208,0.7169032920000404,0.019424292000053356,0,0.0,120.3888,160.0,201246.91435520002,40.249382871040005,120.74814861312001,0.11097779555911182,0.0008000830000014503,163,19,49,0,0.017977499999972224,0.48615087499996434,0.08792633400003069,0.06466520800000808,0.00774670799995647,0.0002398749999770189,0.6655849590000003,0.0002583329999765738,0.05105466699995986,0.99999969189625,0.6510495036976576,10.549587875999919,4.608e-05,5.12e-06,sparse,16.926259000000016,12.477839208999967,114.1109266281128,740.50390625,740.30078125,-0.203125
3,CountSketch random projection,7,20560513,5000,3,32.0,4.0,8.0,rho_n_x4,201209,1171508,0.04686032,0.0,1.0,1.0,9.023654208999972,0.8227871670000013,0.7214157500000056,0.01755591699998149,0,0.0,120.7254,165.0,201246.91435520002,40.249382871040005,120.74814861312001,0.11097779555911182,0.0007608750000258624,163,17,47,0,0.017881667000040125,0.48798633399997016,0.08857558399995469,0.06477599999999484,0.007900041000027613,0.00020866699998123295,0.6681538329999626,0.00025104100001271945,0.05300616699997818,0.999999770985396,0.6513856397268408,10.567852416999926,4.608e-05,5.12e-06,sparse,16.950980000000015,12.494686041999955,114.47342205047607,740.30078125,742.09765625,1.796875
3,CountSketch random projection,8,20560514,5000,3,32.0,4.0,8.0,rho_n_x4,200776,1168526,0.04674104,0.0,1.0,1.0,9.01098166700001,0.8250476669999784,0.7196258750000197,0.017791124999973817,0,0.0,120.4656,163.0,201246.91435520002,40.249382871040005,120.74814861312001,0.11097779555911182,0.0007445839999604686,163,15,54,0,0.01760479199998599,0.48669100000000753,0.08851449999997385,0.06507766699996864,0.009796875000006366,0.0003932089999807431,0.6688842500000192,0.00024566600001207917,0.05049200000001974,0.9999997462698815,0.6527559812004667,10.55565125000004,4.608e-05,5.12e-06,sparse,16.953832999999975,12.474874458999977,114.19078350067139,741.09765625,741.3203125,0.22265625
3,CountSketch random projection,9,20560515,5000,3,32.0,4.0,8.0,rho_n_x4,200966,1170220,0.0468088,0.0,1.0,1.0,8.973417708,0.8052167909999639,0.7231797919999963,0.017963583999971888,0,0.0,120.5796,159.0,201246.91435520002,40.249382871040005,120.74814861312001,0.11097779555911182,0.0007765830000039387,163,15,46,0,0.017509333000020888,0.4891777079999997,0.08753108300004442,0.0658363750000035,0.008495167000035053,0.00021450000002687375,0.6696051670000429,0.00025312499997198756,0.053316291999976784,0.9999997526671754,0.6516603400129392,10.501809082999955,4.608e-05,5.12e-06,sparse,16.761798999999996,12.389804292000008,114.32584381103516,740.3203125,739.14453125,-1.17578125
3,CountSketch random projection,10,20560516,5000,3,32.0,4.0,8.0,rho_n_x4,201015,1170142,0.04680568,0.0,1.0,1.0,8.951152125000021,0.8052406250000104,0.7241017499999884,0.017720416999964073,0,0.0,120.609,161.0,201246.91435520002,40.249382871040005,120.74814861312001,0.11097779555911182,0.0006832920000192644,163,18,45,0,0.01741645800001379,0.4872366669999906,0.08918008300003066,0.06418037499997808,0.009992124999996577,0.00036495799997737777,0.6691112089999933,0.0002506659999994554,0.054735332999996444,0.9999997760034222,0.6522362745481673,10.480489958000021,4.608e-05,5.12e-06,sparse,16.89687600000002,12.38596054200002,114.33497905731201,739.14453125,740.14453125,1.0
