n,rep,seed,K,m,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_laplacian_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,hypergraph_degree_mean,hypergraph_degree_max,zhou_theta_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,algorithm_total_wall_sec,rho_n,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb,rho_label,rho_schedule_value
10000,5,10020290431,3,3,12551,0.6623,4.8235147659037146e-05,0.002109450107576806,0.32549524994101375,0.02323362499009818,0.13658900000154972,0.023190125008113682,230,3.7653,13.0,85028,0.0165640419581905,7.30839092284441e-05,0.11994899995625019,0.48531500075478107,1.0,3.6e-07,4e-08,sparse,2.727291000000008,0.539790750015527,9.002845764160156,266.359375,266.5,0.140625,rho_1,1.0
1000,1,1020263427,3,3,8759,0.002,0.9940030362131663,0.9876058551993107,0.24398799997288734,0.01630395802203566,0.03192229091655463,0.00453820894472301,0,26.277,43.0,51638,0.0020965839503332973,2.954190131276846e-05,0.029792790999636054,0.2922108748462051,6.907755278982137,0.00024867919004335694,2.763102111592855e-05,sparse,1.731628999999998,0.32056374999228865,4.238030433654785,266.5,266.5,0.0,rho_log_n,6.907755278982137
1000,2,1020263428,3,3,8507,0.001,0.996996990984967,0.9938015906454756,0.25628716603387147,0.016563249984756112,0.03897604194935411,0.004100708058103919,0,25.521,43.0,50166,0.0012832909123972058,3.187509719282389e-05,0.037657166947610676,0.3118227489758283,6.907755278982137,0.00024867919004335694,2.763102111592855e-05,sparse,2.2314680000000067,0.3397573339752853,4.115307807922363,266.5,266.515625,0.015625,rho_log_n,6.907755278982137
1000,3,1020263429,3,3,8772,0.0,1.0,1.0,0.2664083340205252,0.01708145800512284,0.03223079105373472,0.004730707965791225,0,26.316,46.0,51686,0.002245957963168621,3.8375030271708965e-05,0.02994283300358802,0.3157169580226764,6.907755278982137,0.00024867919004335694,2.763102111592855e-05,sparse,2.206132999999994,0.34301079099532217,4.237903594970703,266.515625,266.515625,0.0,rho_log_n,6.907755278982137
1000,4,1020263430,3,3,8454,0.002,0.9940030362131663,0.9876058551993109,0.25876920798327774,0.016139707993716,0.035348957986570895,0.004358499892987311,0,25.362,45.0,50020,0.0021423749858513474,3.0667055398225784e-05,0.03317283291835338,0.3102547909365967,6.907755278982137,0.00024867919004335694,2.763102111592855e-05,sparse,2.0955730000000017,0.33612933300901204,4.100069046020508,266.515625,266.515625,0.0,rho_log_n,6.907755278982137
1000,5,1020263431,3,3,8734,0.002,0.9939940000962764,0.987603151547432,0.26179050002247095,0.017117416951805353,0.03295650007203221,0.005859958007931709,0,26.202,41.0,51542,0.0022679170360788703,3.483297768980265e-05,0.03065091697499156,0.31186158396303654,6.907755278982137,0.00024867919004335694,2.763102111592855e-05,sparse,2.200540999999987,0.3400172080146149,4.224756240844727,266.515625,266.515625,0.0,rho_log_n,6.907755278982137
2000,1,2020266427,3,3,19154,0.001,0.997000001506756,0.9931713431656936,0.5415402919752523,0.03484504099469632,0.035946583026088774,0.010114207980223,0,28.731,48.0,114642,0.002213625004515052,4.191603511571884e-05,0.03368824999779463,0.612329124007374,7.600902459542082,6.840812213587874e-05,7.6009024595420825e-06,sparse,2.851699999999994,0.6800318330060691,9.559087753295898,266.515625,268.671875,2.15625,rho_log_n,7.600902459542082
2000,2,2020266428,3,3,19260,0.0005,0.998500000753378,0.9965856718389802,0.5190245829289779,0.034015333047136664,0.03921237506438047,0.00831683399155736,0,28.89,45.0,115180,0.002272374927997589,4.5208027586340904e-05,0.03689112490974367,0.5922486238414422,7.600902459542082,6.840812213587874e-05,7.6009024595420825e-06,sparse,2.3786130000000014,0.6626166249625385,9.601818084716797,268.671875,269.140625,0.46875,rho_log_n,7.600902459542082
2000,3,2020266429,3,3,19165,0.002,0.9940022642882489,0.9869736004059662,0.520214542048052,0.03383304097224027,0.04996687499806285,0.009916375041939318,0,28.7475,45.0,114668,0.0038296669954434037,4.700000863522291e-05,0.04608737491071224,0.6040116249350831,7.600902459542082,6.840812213587874e-05,7.6009024595420825e-06,sparse,2.617494999999991,0.6745627919444814,9.554763793945312,269.140625,269.140625,0.0,rho_log_n,7.600902459542082
2000,4,2020266430,3,3,19110,0.001,0.9970011265043625,0.9931716871806343,0.5138397919945419,0.03365037508774549,0.048821000033058226,0.006286666030064225,0,28.665,54.0,114346,0.003533791983500123,3.945804201066494e-05,0.04524499992839992,0.5963084170361981,7.600902459542082,6.840812213587874e-05,7.6009024595420825e-06,sparse,2.471948999999995,0.6512438340578228,9.531695365905762,269.140625,269.40625,0.265625,rho_log_n,7.600902459542082
2000,5,2020266431,3,3,18985,0.001,0.9970022515028151,0.9931720306795767,0.5189690419938415,0.033016375033184886,0.04513058299198747,0.006391500006429851,0,28.4775,47.0,113610,0.003511750022880733,6.958399899303913e-05,0.04154604102950543,0.5971127920784056,7.600902459542082,6.840812213587874e-05,7.6009024595420825e-06,sparse,2.585996999999992,0.6549075420480222,9.470266342163086,269.40625,269.6875,0.28125,rho_log_n,7.600902459542082
3000,1,3020269427,3,3,30084,0.0003333333333333333,0.9989998331666945,0.9976006833367455,0.8279467499814928,0.05454941699281335,0.06478983396664262,0.012019166024401784,0,30.084,49.0,180974,0.005698916967958212,8.558400440961123e-05,0.05900216696318239,0.9472828349098563,8.006367567650246,3.2025470270600984e-05,3.5583855856223314e-06,sparse,3.2887560000000065,1.0524003329919651,15.157632827758789,269.6875,277.1875,7.5,rho_log_n,8.006367567650246
3000,2,3020269428,3,3,30283,0.0016666666666666668,0.9950031751779104,0.9890037081165618,0.8073672499740496,0.0535767920082435,0.07602595805656165,0.011249458999373019,0,30.283,50.0,182014,0.003057124908082187,4.716601688414812e-05,0.07291758304927498,0.9369659159565344,8.006367567650246,3.2025470270600984e-05,3.5583855856223314e-06,sparse,2.9862210000000005,1.0369862919906154,15.244033813476562,276.1875,279.734375,3.546875,rho_log_n,8.006367567650246
3000,3,3020269429,3,3,30196,0.0,1.0,1.0,0.7924917920026928,0.05232720903586596,0.08972716704010963,0.014173875097185373,0,30.196,53.0,181678,0.005011416040360928,4.7915964387357235e-05,0.0846639999654144,0.9345423330087215,8.006367567650246,3.2025470270600984e-05,3.5583855856223314e-06,sparse,3.0019589999999994,1.0303725419798866,15.216068267822266,279.734375,282.296875,2.5625,rho_log_n,8.006367567650246
3000,4,3020269430,3,3,30278,0.0003333333333333333,0.9989998331666945,0.9976006833367455,0.78026970801875,0.05351112491916865,0.06186866690404713,0.01140925008803606,0,30.278,50.0,182106,0.002998082898557186,4.783307667821646e-05,0.05882016709074378,0.8956469160038978,8.006367567650246,3.2025470270600984e-05,3.5583855856223314e-06,sparse,2.806758000000002,1.0037540829507634,15.256579399108887,282.296875,286.671875,4.375,rho_log_n,8.006367567650246
3000,5,3020269431,3,3,30027,0.0006666666666666666,0.9979991666680852,0.9952012136631723,0.8077782079344615,0.05534262501168996,0.05833508400246501,0.014242416946217418,0,30.027,51.0,180578,0.005236041033640504,5.066709127277136e-05,0.0530439589638263,0.9214515000348911,8.006367567650246,3.2025470270600984e-05,3.5583855856223314e-06,sparse,2.951221000000004,1.0685365840326995,15.13241958618164,286.671875,288.96875,2.296875,rho_log_n,8.006367567650246
4000,1,4020272427,3,3,41561,0.0005,0.9985007508445467,0.9965856732033885,1.0855786659521982,0.07130979199428111,0.05568674998357892,0.012832417036406696,0,31.17075,51.0,250574,0.006526250042952597,4.825007636100054e-05,0.049109291983768344,1.2125722500495613,8.294049640102028,1.8661611690229562e-05,2.0735124100255068e-06,sparse,2.9354359999999815,1.3273894999874756,21.041322708129883,288.96875,295.078125,6.109375,rho_log_n,8.294049640102028
4000,2,4020272428,3,3,41789,0.00025,0.9992500938204385,0.9981351045139838,1.0895507499808446,0.09256900008767843,0.06578587496187538,0.0159932920942083,0,31.34175,54.0,252014,0.007663291995413601,0.00036916695535182953,0.05774850002489984,1.2479007090441883,8.294049640102028,1.8661611690229562e-05,2.0735124100255068e-06,sparse,3.522786999999994,1.4334292500279844,21.15861701965332,294.078125,301.453125,7.375,rho_log_n,8.294049640102028
4000,3,4020272429,3,3,41922,0.0005,0.9985001875000586,0.9962702093463284,1.1945048340130597,0.07407629198860377,0.05846570897847414,0.01584087498486042,0,31.4415,53.0,252782,0.006680290913209319,5.083403084427118e-05,0.05173041601665318,1.3270426669623703,8.294049640102028,1.8661611690229562e-05,2.0735124100255068e-06,sparse,3.265814000000006,1.4942060830071568,21.22433853149414,301.453125,308.671875,7.21875,rho_log_n,8.294049640102028
4000,4,4020272430,3,3,41422,0.00025,0.9992500938204385,0.9981351045139839,1.0715342500479892,0.07079074997454882,0.08206320798490196,0.010695457924157381,0,31.0665,51.0,249798,0.003965416923165321,4.912493750452995e-05,0.07804579194635153,1.2243853338295594,8.294049640102028,1.8661611690229562e-05,2.0735124100255068e-06,sparse,3.2166799999999967,1.359342333045788,20.97654914855957,308.671875,310.84375,2.171875,rho_log_n,8.294049640102028
4000,5,4020272431,3,3,41456,0.0,1.0,1.0,1.0718529999721795,0.07018670893739909,0.05798074998892844,0.015004790970124304,0,31.092,52.0,250006,0.003935000044293702,4.4874963350594044e-05,0.05399545805994421,1.2000150419771671,8.294049640102028,1.8661611690229562e-05,2.0735124100255068e-06,sparse,3.262561000000005,1.3449615829158574,20.99342918395996,310.84375,312.859375,2.015625,rho_log_n,8.294049640102028
5000,1,5020275427,3,3,53512,0.0006,0.9982000003605185,0.9954023000425996,1.4027866669930518,0.09799945796839893,0.0773825830547139,0.016296333051286638,0,32.1072,53.0,323290,0.008753000060096383,7.645797450095415e-05,0.06854900007601827,1.5781645830720663,8.517193191416238,1.2264758195639383e-05,1.362750910626598e-06,sparse,4.132021000000009,1.7717417089734226,27.177265167236328,312.859375,320.640625,7.78125,rho_log_n,8.517193191416238
5000,2,5020275428,3,3,53669,0.0004,0.9988003602402016,0.9971872389132873,1.3641558330273256,0.09346070804167539,0.06961820798460394,0.02099366602487862,0,32.2014,58.0,324034,0.008744374965317547,0.0003536660224199295,0.06051429104991257,1.527228873106651,8.517193191416238,1.2264758195639383e-05,1.362750910626598e-06,sparse,3.6075779999999895,1.7055742091033608,27.243757247924805,320.640625,321.21875,0.578125,rho_log_n,8.517193191416238
5000,3,5020275429,3,3,53594,0.0008,0.9976003606246768,0.9941221053121848,1.4183054170571268,0.09907016693614423,0.06282016693148762,0.018623749958351254,0,32.1564,53.0,323736,0.009381708921864629,7.629208266735077e-05,0.053358708042651415,1.5801922930404544,8.517193191416238,1.2264758195639383e-05,1.362750910626598e-06,sparse,3.6679550000000063,1.8086766250198707,27.220712661743164,321.21875,322.21875,1.0,rho_log_n,8.517193191416238
5000,4,5020275430,3,3,53593,0.0004,0.9988000000961729,0.9969348669751001,1.3649493750417605,0.10454829095397145,0.08733370900154114,0.014167833025567234,0,32.1558,56.0,323668,0.008290958008728921,5.437491927295923e-05,0.07898541598115116,1.556828414904885,8.517193191416238,1.2264758195639383e-05,1.362750910626598e-06,sparse,3.979331000000002,1.738368249963969,27.214466094970703,322.21875,324.421875,2.203125,rho_log_n,8.517193191416238
5000,5,5020275431,3,3,53232,0.0006,0.9982000003605185,0.9954023000425996,1.3792748750420287,0.09814920800272375,0.055462250020354986,0.01827333401888609,0,31.9392,58.0,321456,0.005051499931141734,6.916606798768044e-05,0.0503373749088496,1.5328821239527315,8.517193191416238,1.2264758195639383e-05,1.362750910626598e-06,sparse,3.704083999999966,1.7284420420182869,27.028318405151367,324.421875,328.0,3.578125,rho_log_n,8.517193191416238
6000,1,6020278427,3,3,65541,0.0003333333333333333,0.9990001666666667,0.9973904495982251,1.6777862090384588,0.11577454197686166,0.06716962496284395,0.01945979194715619,0,32.7705,55.0,396158,0.010077124927192926,5.7458062656223774e-05,0.05703254195395857,1.8607278759591281,8.699514748210191,8.699514748210191e-06,9.666127498011324e-07,sparse,4.279450999999995,2.077780459076166,33.33639621734619,328.0,345.4375,17.4375,rho_log_n,8.699514748210191
6000,2,6020278428,3,3,66103,0.00016666666666666666,0.9994999583125017,0.9986951868229895,1.7115354579873383,0.12114537495654076,0.06950012501329184,0.01906866696663201,0,33.0515,53.0,399552,0.010331708006560802,7.458392065018415e-05,0.0590901660034433,1.9021772908745334,8.699514748210191,8.699514748210191e-06,9.666127498011324e-07,sparse,4.269486000000029,2.13048283290118,33.6201171875,344.4375,357.765625,13.328125,rho_log_n,8.699514748210191
6000,3,6020278429,3,3,65594,0.0,1.0,1.0,1.6959716249257326,0.11675987497437745,0.06558833399321884,0.014869417063891888,0,32.797,57.0,396338,0.01018466695677489,7.149996235966682e-05,0.05532875005155802,1.8783164168708026,8.699514748210191,8.699514748210191e-06,9.666127498011324e-07,sparse,4.179038999999989,2.0784449580824003,33.35615634918213,357.765625,345.59375,-12.171875,rho_log_n,8.699514748210191
6000,4,6020278430,3,3,65768,0.0003333333333333333,0.9990000416666858,0.9973904115726164,1.7008655830286443,0.12035379104781896,0.0791862909682095,0.023162415949627757,0,32.884,59.0,397502,0.006427791086025536,8.400005754083395e-05,0.07267091702669859,1.9004020822467282,8.699514748210191,8.699514748210191e-06,9.666127498011324e-07,sparse,4.37584099999998,2.1486807499313727,33.45051670074463,345.59375,346.171875,0.578125,rho_log_n,8.699514748210191
6000,5,6020278431,3,3,65506,0.0003333333333333333,0.9989997916667552,0.9973903355403931,1.672853833064437,0.17093570798169822,0.09885100007522851,0.02708654198795557,0,32.753,55.0,395948,0.010850708931684494,6.791704799979925e-05,0.08792883309070021,1.9426370001165196,8.699514748210191,8.699514748210191e-06,9.666127498011324e-07,sparse,3.692467000000022,2.1919876250904053,33.312238693237305,346.171875,322.65625,-23.515625,rho_log_n,8.699514748210191
7000,1,7020281427,3,3,77647,0.0005714285714285715,0.9982858370498225,0.9956264590243986,2.02582529198844,0.14084691694006324,0.06818229192867875,0.024871500092558563,0,33.27728571428572,57.0,469678,0.01205408398527652,7.670896593481302e-05,0.05604708299506456,2.234850084874779,8.85366542803745,6.504733783864249e-06,7.227481982071388e-07,sparse,4.717872,2.4848904160317034,39.54957962036133,322.65625,339.40625,16.75,rho_log_n,8.85366542803745
