dataset,rep,method,time_sec,time_sec_excl_sampling,time_sampling_sec,target_rank,n_nodes,n_edges,sign_draw_omega_sec,sign_subspace_iter_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_embedding_dim,sign_power_parameter
Youtube,20,SIGN Bidirectional,3.020265416998882,3.020265416998882,0.0,7,1134890,2987624,0.10398850000638049,2.710826292008278,0.1887500419979915,0.00016158400103449821,0.012634375001653098,17,2
Internet,1,SIGN Bidirectional,3.91313616700063,3.91313616700063,0.0,4,1696415,11095298,0.09363558300537989,3.4078992499999003,0.39038574999722186,6.870899233035743e-05,0.013148375001037493,14,2
Internet,2,SIGN Bidirectional,3.9279657500010217,3.9279657500010217,0.0,4,1696415,11095298,0.1469978329987498,3.370756457996322,0.396457749986439,0.00011612499656621367,0.010550042003160343,14,2
Internet,3,SIGN Bidirectional,3.969229541005916,3.969229541005916,0.0,4,1696415,11095298,0.13630749999720138,3.4181914159998996,0.3925844170007622,7.154099876061082e-05,0.016990749994874932,14,2
Internet,4,SIGN Bidirectional,3.916178707993822,3.916178707993822,0.0,4,1696415,11095298,0.14059620798798278,3.377526250013034,0.3802398749976419,7.02499964972958e-05,0.014064541988773271,14,2
Internet,5,SIGN Bidirectional,4.277355957994587,4.277355957994587,0.0,4,1696415,11095298,0.11490566699649207,3.770905458004563,0.36745024999254383,7.004199142102152e-05,0.01949520800553728,14,2
Internet,6,SIGN Bidirectional,3.954742082991288,3.954742082991288,0.0,4,1696415,11095298,0.14304137499129865,3.4194182499923045,0.3758984169980977,6.745899736415595e-05,0.013245458001620136,14,2
Internet,7,SIGN Bidirectional,3.907475083004101,3.907475083004101,0.0,4,1696415,11095298,0.12808904200210236,3.3519001249951543,0.40756675000011455,7.079201168380678e-05,0.016835124988574535,14,2
Internet,8,SIGN Bidirectional,3.9847432499955175,3.9847432499955175,0.0,4,1696415,11095298,0.1262916249979753,3.442188790999353,0.39541008399100974,6.666699482593685e-05,0.016465249995235354,14,2
Internet,9,SIGN Bidirectional,3.9738425420073327,3.9738425420073327,0.0,4,1696415,11095298,0.14413516700733453,3.438811750005698,0.3686104160005925,7.566600106656551e-05,0.018331125000258908,14,2
Internet,10,SIGN Bidirectional,3.9391997500060825,3.9391997500060825,0.0,4,1696415,11095298,0.14403620900702663,3.4024399999907473,0.3740964169992367,6.52919989079237e-05,0.014917041989974678,14,2
Internet,11,SIGN Bidirectional,3.895762416999787,3.895762416999787,0.0,4,1696415,11095298,0.12745408399496228,3.3598939579969738,0.3880077919893665,6.966599903535098e-05,0.015977834002114832,14,2
Internet,12,SIGN Bidirectional,3.9958925829996588,3.9958925829996588,0.0,4,1696415,11095298,0.1298184589977609,3.447464333003154,0.3716209580015857,7.525000546593219e-05,0.043688250007107854,14,2
Internet,13,SIGN Bidirectional,4.06799837500148,4.06799837500148,0.0,4,1696415,11095298,0.11871920799603686,3.540992041991558,0.3872083340102108,7.012499554548413e-05,0.014703209002618678,14,2
Internet,14,SIGN Bidirectional,4.181818875003955,4.181818875003955,0.0,4,1696415,11095298,0.1360791660117684,3.641959750006208,0.38320199999725446,7.516700134146959e-05,0.015107084007468075,14,2
Internet,15,SIGN Bidirectional,3.9478807910054456,3.9478807910054456,0.0,4,1696415,11095298,0.12280316599935759,3.415100916987285,0.3880338750022929,6.920800660736859e-05,0.01820545799273532,14,2
Internet,16,SIGN Bidirectional,4.027409208996687,4.027409208996687,0.0,4,1696415,11095298,0.12048695799603593,3.5029241660085972,0.3867586249980377,7.220800034701824e-05,0.013567041009082459,14,2
Internet,17,SIGN Bidirectional,3.861549582987209,3.861549582987209,0.0,4,1696415,11095298,0.14181958400877193,3.3215874999877997,0.38348312499874737,7.829199603293091e-05,0.009920916010742076,14,2
Internet,18,SIGN Bidirectional,3.9902315420040395,3.9902315420040395,0.0,4,1696415,11095298,0.16436987499764655,3.3997227499930887,0.4042545419943053,7.333299436140805e-05,0.015428792001330294,14,2
Internet,19,SIGN Bidirectional,4.028807124996092,4.028807124996092,0.0,4,1696415,11095298,0.13885362500150222,3.5030010000045877,0.3670889589993749,7.154099876061082e-05,0.011774290993344039,14,2
Internet,20,SIGN Bidirectional,3.957037792002666,3.957037792002666,0.0,4,1696415,11095298,0.14978020801208913,3.4267767499986803,0.3623980419943109,7.008400280028582e-05,0.014874207990942523,14,2
