n,method,rep,seed,K,m,rho_n,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_theta_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,rs_sample_matrix_wall_sec,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
2000,Random sampling,1,220260427,3,3,4.0,10022,0.055,0.8421895339267471,0.7755163019361383,0.350460666930303,0.022504957974888384,0.0961993329692632,0.008418874931521714,0,0.0,15.033,29.0,10044.77184,5.02238592,15.067157759999999,0.11077788894447224,0.0017261250177398324,0.003563457983545959,31734,22382,0.7,43340,0.0052980000618845224,4.04169550165534e-05,0.09085779206361622,1.0717057435052209,0.7928952124780105,0.46916183398570865,3.6e-05,4e-06,sparse,2.987437,0.5622143750078976,5.85151481628418,269.03125,272.1875,3.15625
2000,Random sampling,2,220260428,3,3,4.0,10085,0.0445,0.8709598144305789,0.8082559394476005,0.3518522080266848,0.02270145807415247,0.07719520793762058,0.010118208010680974,0,0.0,15.1275,30.0,10044.77184,5.02238592,15.067157759999999,0.11077788894447224,0.0017467919969931245,0.003501208033412695,31938,22213,0.7,43047,0.0052567500388249755,4.7208042815327644e-05,0.0718880839413032,1.0562264697868697,0.7897032667173662,0.4517457081237808,3.6e-05,4e-06,sparse,2.442457000000001,0.5511710419086739,5.865438461303711,272.1875,275.15625,2.96875
2000,Random sampling,3,220260429,3,3,4.0,10030,0.0455,0.8680310332181824,0.8034053062442581,0.3329605420585722,0.02214566699694842,0.06610341696068645,0.009626457933336496,0,0.0,15.045,29.0,10044.77184,5.02238592,15.067157759999999,0.11077788894447224,0.0016802499303594232,0.003545665997080505,31757,22139,0.7,42855,0.005246208980679512,4.3042004108428955e-05,0.06081129203084856,1.063461914112175,0.7927877930263554,0.4212067520711571,3.6e-05,4e-06,sparse,2.229560999999997,0.5174279169877991,5.832883834838867,275.15625,276.9375,1.78125
2000,Random sampling,4,220260430,3,3,4.0,10128,0.0515,0.8513432478584955,0.7833251300201406,0.353091457975097,0.022544458974152803,0.0625765830045566,0.008303457987494767,0,0.0,15.192,29.0,10044.77184,5.02238592,15.067157759999999,0.11077788894447224,0.0016479999758303165,0.0034112499561160803,32051,22338,0.7,43278,0.005067083053290844,3.774999640882015e-05,0.057468916988000274,1.0607362580509556,0.7855919848213632,0.43820966698694974,3.6e-05,4e-06,sparse,2.3192770000000067,0.5425253339344636,5.88740348815918,276.9375,277.6875,0.75
2000,Random sampling,5,220260431,3,3,4.0,10088,0.0545,0.8431733411715058,0.7761755858336367,0.33807770791463554,0.02266608306672424,0.06639966601505876,0.010058416053652763,0,0.0,15.132,30.0,10044.77184,5.02238592,15.067157759999999,0.11077788894447224,0.001782582956366241,0.003614083048887551,31952,22341,0.7,43318,0.005406124982982874,5.466595757752657e-05,0.06093545805197209,1.0592626288829539,0.7878329542077966,0.42714003997389227,3.6e-05,4e-06,sparse,2.2290299999999945,0.5246751250233501,5.873639106750488,277.6875,280.296875,2.609375
2000,Random sampling,6,220260432,3,3,4.0,10131,0.0435,0.8739673224084338,0.813075144088813,0.34208966698497534,0.022597583010792732,0.061979084042832255,0.013312957948073745,0,0.0,15.1965,31.0,10044.77184,5.02238592,15.067157759999999,0.11077788894447224,0.0018726669950410724,0.0035614590160548687,32014,22405,0.7,43405,0.00544295902363956,7.695797830820084e-05,0.05645475001074374,1.0644607924933174,0.7963828383390327,0.42666191700845957,3.6e-05,4e-06,sparse,2.44679,0.5436524579999968,5.8930158615112305,280.296875,282.34375,2.046875
2000,Random sampling,7,220260433,3,3,4.0,9938,0.0585,0.8321307565194255,0.7620695977744609,0.338665375020355,0.022362499963492155,0.06384287506807595,0.008245958015322685,0,0.0,14.907,30.0,10044.77184,5.02238592,15.067157759999999,0.11077788894447224,0.0016720410203561187,0.003662583068944514,31531,22069,0.7,42721,0.005344207980670035,5.41249755769968e-05,0.05844125000294298,1.0682426350828491,0.7949170220331052,0.42486745794303715,3.6e-05,4e-06,sparse,2.0556920000000005,0.5190942499320954,5.796976089477539,282.34375,282.59375,0.25
2000,Random sampling,8,220260434,3,3,4.0,10107,0.061,0.8252189164883146,0.7528598729136473,0.3452240420738235,0.022299167001619935,0.07644695800263435,0.00779962504748255,0,0.0,15.1605,29.0,10044.77184,5.02238592,15.067157759999999,0.11077788894447224,0.0017519169487059116,0.003356333007104695,31994,22305,0.7,43229,0.00513095804490149,4.904100205749273e-05,0.07126395800150931,1.058773514445724,0.7893979471177167,0.44396716612391174,3.6e-05,4e-06,sparse,2.332498000000001,0.5380908750230446,5.880487442016602,282.59375,282.609375,0.015625
2000,Random sampling,9,220260435,3,3,4.0,10179,0.0545,0.8430736761781964,0.7736911694280645,0.35839583398774266,0.022767583024688065,0.05988812504801899,0.009383499971590936,0,0.0,15.2685,33.0,10044.77184,5.02238592,15.067157759999999,0.11077788894447224,0.0016726249596104026,0.003743667039088905,32224,22371,0.7,43370,0.005425791954621673,8.866703137755394e-05,0.054369666962884367,1.0555859333276991,0.7864763926827418,0.4410475429613143,3.6e-05,4e-06,sparse,2.402729000000001,0.5509210840100423,5.913300514221191,282.609375,283.703125,1.09375
2000,Random sampling,10,220260436,3,3,4.0,9948,0.05,0.855490953256898,0.7886401378687947,0.3396097499644384,0.02195508300792426,0.08388170797843486,0.010599915985949337,0,0.0,14.922,28.0,10044.77184,5.02238592,15.067157759999999,0.11077788894447224,0.0016561669763177633,0.003670583013445139,31513,22050,0.7,42667,0.005337459035217762,6.0999998822808266e-05,0.07847995904739946,1.0666982853095095,0.8000541778739378,0.44544325105380267,3.6e-05,4e-06,sparse,2.3609459999999984,0.5430301669985056,5.7921857833862305,283.703125,285.109375,1.40625
