n,rep,seed,K,m,rho_n,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,p_in,p_out,sampling_mode,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_lift_sec,rs_sample_matrix_wall_sec,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec
5000,8,520260514,3,3,4.0,25289,156024,0.00624096,0.38157187499996326,0.0569814169999745,0,0.0,15.1734,30.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,5.76e-06,6.4e-07,sparse,CountSketch random projection,countsketch_random_projection,0.0258,0.9240678759269206,0.8748705629858035,0.017296791000035228,0.19016654099999641,0.00023233299998537404,0.067809082999986,0.2582122499999855,0.9999784629216705,0.6873291870923542,0.6967612489999055,2.8867410000002565,0.27737512499999184,20.947465896606445,649.37109375,649.37109375,0.0,,,,,,,,,,,,,0.0006092090000038297,163.0,18.0,51.0,0.0,0.00179462500000227,0.06819387500001994,0.09869579099995462,0.01212162500002023,0.008504958999992596,0.00020462499998075145
5000,9,520260515,3,3,4.0,25049,154661,0.00618644,0.3770708339999942,0.05604566699997804,1,0.0002,15.0294,29.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,5.76e-06,6.4e-07,sparse,Non-random,non_random,0.0166,0.9508133351816365,0.9129639177535869,0.016995124999994005,0.05278924999998935,0.00012474999999767533,0.06871962499997153,0.12164054199996599,1.0000000000000002,0.6943160642130729,0.5547501259999308,1.4027470000000903,0.14057383300001902,5.351375579833984,649.37109375,649.37109375,0.0,,,,,,,,,,,,,,,,,,,,,,,
5000,9,520260515,3,3,4.0,25049,154661,0.00618644,0.3770708339999942,0.05604566699997804,1,0.0002,15.0294,29.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,5.76e-06,6.4e-07,sparse,Gaussian random projection,gaussian_random_projection,0.0238,0.9298526248673182,0.8834118316497743,0.017115042000000358,0.22255950000004532,0.0002646249999997963,0.06547837499999787,0.2883074590000092,0.999977040412722,0.6896289439473707,0.7214190010000152,3.2032030000000304,0.30731062499995687,27.071242332458496,649.37109375,649.37109375,0.0,0.009135333000017454,0.09586020899996583,0.09710408300003337,0.012142333000042527,0.008050000000025648,0.00022437500001615263,,,,,,,,,,,,,,,,,
5000,9,520260515,3,3,4.0,25049,154661,0.00618644,0.3770708339999942,0.05604566699997804,1,0.0002,15.0294,29.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,5.76e-06,6.4e-07,sparse,Random sampling,random_sampling,0.0594,0.8296656807298675,0.757532027680312,0.016929584000024533,0.08948766700001443,0.00011591700001645222,0.0752087500000016,0.16481733400001986,1.0616346456124786,0.793726281500613,0.5979288350000047,1.9075339999999414,0.18361300000003666,6.955183029174805,649.37109375,649.37109375,0.0,,,,,,,0.006237333000001399,0.08322833400001173,79830.0,55705.0,0.7,107903.0,,,,,,,,,,,
5000,9,520260515,3,3,4.0,25049,154661,0.00618644,0.3770708339999942,0.05604566699997804,1,0.0002,15.0294,29.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,5.76e-06,6.4e-07,sparse,CountSketch random projection,countsketch_random_projection,0.0298,0.9125667312490425,0.859672200489894,0.016946542000027875,0.19217399999996587,0.0004029159999845433,0.06943437500001437,0.2620239999999967,0.9999823276429393,0.6890223338180318,0.695127791999937,2.916639000000032,0.28081812499999614,20.931867599487305,649.37109375,649.37109375,0.0,,,,,,,,,,,,,0.0006060410000259253,163.0,14.0,44.0,0.0,0.0018015829999740163,0.06806045799999083,0.10132249999998066,0.012310000000013588,0.007766749999973399,0.00021612500000856016
5000,10,520260516,3,3,4.0,25185,155500,0.00622,0.37435370899999043,0.05564504100004797,0,0.0,15.111,30.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,5.76e-06,6.4e-07,sparse,Non-random,non_random,0.0168,0.9502216329101315,0.9121821482702039,0.01733854200000451,0.0545377500000086,0.00014191700000765195,0.07077733300002365,0.12546420800003943,1.0000000000000002,0.6883524521083988,0.5554557500000783,1.4263889999997446,0.14482716599997048,5.380180358886719,649.37109375,649.37109375,0.0,,,,,,,,,,,,,,,,,,,,,,,
5000,10,520260516,3,3,4.0,25185,155500,0.00622,0.37435370899999043,0.05564504100004797,0,0.0,15.111,30.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,5.76e-06,6.4e-07,sparse,Gaussian random projection,gaussian_random_projection,0.0262,0.9229394572361452,0.8735581140303947,0.017045791999976245,0.20877899999999272,0.0003555829999868365,0.06431941700003563,0.2734607909999909,0.9999783044839657,0.682938817585675,0.7034527500000536,3.0516310000002704,0.2932878329999653,27.080843925476074,649.37109375,649.37109375,0.0,0.009192666999979338,0.07943416700004491,0.09818549999999959,0.01246041699999978,0.009191375000000335,0.0002477090000070348,,,,,,,,,,,,,,,,,
5000,10,520260516,3,3,4.0,25185,155500,0.00622,0.37435370899999043,0.05564504100004797,0,0.0,15.111,30.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,5.76e-06,6.4e-07,sparse,Random sampling,random_sampling,0.0624,0.821520198258601,0.7486203364782882,0.01716700000002902,0.08876108399999794,0.00010904199996275565,0.07485362500000292,0.1637284160000263,1.065779863972249,0.792678935085339,0.593722501000002,1.9121579999996356,0.18277412499998036,7.022141456604004,649.37109375,649.37109375,0.0,,,,,,,0.0062629170000150225,0.08247670800000151,80250.0,56428.0,0.7,109357.0,,,,,,,,,,,
5000,10,520260516,3,3,4.0,25185,155500,0.00622,0.37435370899999043,0.05564504100004797,0,0.0,15.111,30.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,5.76e-06,6.4e-07,sparse,CountSketch random projection,countsketch_random_projection,0.024,0.9293163787175436,0.8826906013592437,0.01708762500004468,0.19874425000000429,0.00022449999994478276,0.06792587500001446,0.26689929200000506,0.9999815888600936,0.6828786973117166,0.6968933750000019,2.910149000000274,0.2859387909999782,20.941469192504883,649.37109375,649.37109375,0.0,,,,,,,,,,,,,0.0006057919999875594,163.0,16.0,48.0,0.0,0.0017944999999599531,0.07569641700001739,0.10013004199998932,0.012086707999969803,0.00818058300001212,0.00019112500001483568
6000,1,620260507,3,3,4.0,30564,188746,0.005242944444444444,0.45389558299996224,0.0685942080000359,0,0.0,15.282,30.0,30192.89688888889,5.032149481481482,15.096448444444444,0.1109999938302488,4e-06,4.4444444444444444e-07,sparse,Non-random,non_random,0.016833333333333332,0.9501480236114774,0.9125835016672017,0.0226018339999996,0.06440387499998224,0.00024408299998412986,0.07648720899999262,0.14114508299996942,0.9999999999999991,0.6944503590013203,0.6636249579999571,1.6378770000001168,0.16608770800002048,6.5292205810546875,649.37109375,649.41015625,0.0390625,,,,,,,,,,,,,,,,,,,,,,,
6000,1,620260507,3,3,4.0,30564,188746,0.005242944444444444,0.45389558299996224,0.0685942080000359,0,0.0,15.282,30.0,30192.89688888889,5.032149481481482,15.096448444444444,0.1109999938302488,4e-06,4.4444444444444444e-07,sparse,Gaussian random projection,gaussian_random_projection,0.025,0.9263974318542794,0.8781734377366772,0.019950459000028786,0.24816995899999483,0.00026345899999569156,0.07599070800000618,0.3244288750000237,0.9999776624268935,0.6887954615097698,0.8469139169999949,3.568004000000201,0.34671408399998427,32.439494132995605,649.41015625,665.06640625,15.65625,0.011167833000001792,0.10128374999999323,0.11120770800005175,0.015341750000004595,0.008746583999993618,0.0003780840000331409,,,,,,,,,,,,,,,,,
6000,1,620260507,3,3,4.0,30564,188746,0.005242944444444444,0.45389558299996224,0.0685942080000359,0,0.0,15.282,30.0,30192.89688888889,5.032149481481482,15.096448444444444,0.1109999938302488,4e-06,4.4444444444444444e-07,sparse,Random sampling,random_sampling,0.04666666666666667,0.8648888001280417,0.799179819107135,0.019708125000022392,0.10210558300002504,0.00021662499995045437,0.07911441700002797,0.1814426669999989,1.061370217841428,0.7953171724780498,0.7039264160000016,2.10789399999976,0.20333779200001345,8.477876663208008,665.06640625,665.06640625,0.0,,,,,,,0.007501916000023812,0.09456516700004158,97373.0,68038.0,0.7,131894.0,,,,,,,,,,,
6000,1,620260507,3,3,4.0,30564,188746,0.005242944444444444,0.45389558299996224,0.0685942080000359,0,0.0,15.282,30.0,30192.89688888889,5.032149481481482,15.096448444444444,0.1109999938302488,4e-06,4.4444444444444444e-07,sparse,CountSketch random projection,countsketch_random_projection,0.026333333333333334,0.922534448051577,0.8730890818221696,0.019966500000009546,0.23381699999998773,0.0002579590000095777,0.07456387499996708,0.3086439999999584,0.9999742458915959,0.6874821291163798,0.8311286249999625,3.4178149999997913,0.3307800000000043,25.071786880493164,665.06640625,665.06640625,0.0,,,,,,,,,,,,,0.0006392089999849304,163.0,23.0,54.0,0.0,0.002128583000001072,0.09387529199995015,0.1115080420000254,0.015946999999982836,0.009426916999984769,0.0002443750000225009
6000,2,620260508,3,3,4.0,30021,185532,0.005153666666666667,0.448094875000038,0.0666519170000015,0,0.0,15.0105,31.0,30192.89688888889,5.032149481481482,15.096448444444444,0.1109999938302488,4e-06,4.4444444444444444e-07,sparse,Non-random,non_random,0.013,0.9613750961229447,0.9292525553179426,0.020258875000024545,0.06273362499996438,0.00013329099999737082,0.07489233300003661,0.13776604099996348,1.0000000000000002,0.691680440973386,0.6525060410000378,1.5980060000001686,0.16038408299999674,6.418876647949219,665.06640625,665.06640625,0.0,,,,,,,,,,,,,,,,,,,,,,,
