dataset,rep,method,n,m_edges,k,r,ell,q,sampling_p,rs_eigensolver,clustering_wall_sec,residual_rel_fro,eigenvalue_rel_l2_vs_general,subspace_distance_vs_general,rayleigh_abs_sum_ratio,ARI_true,NMI_true,F1_macro_true,dense_convert_sec,dense_general_eigh_sec,eigen_decomposition_wall_sec,total_method_wall_sec,ARI_vs_general_clustering,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eigh_sec,rp_lift_sec,rs_sampling_probability,rs_sample_matrix_sec,rs_sampled_edges,rs_sampled_density,rs_dense_convert_sec,rs_dense_general_eigh_sec,rs_eigen_decomposition_wall_sec,ds_bucket_build_sec,ds_draw_and_initial_multiply_sec,ds_power_iter_sec,ds_qr_sec,ds_build_core_sec,ds_small_eigh_sec,ds_lift_sec,ds_num_buckets,ds_min_bucket_dim,ds_max_bucket_dim,ds_bucket_summary
email-eu-core,6,Random sampling,986,16064,42,20,62,1,0.7,general,0.15589929999259766,0.27833322130087074,1.0062052231766438,0.5895960972089266,0.8606994521964161,0.3119999353774567,0.6032907949003401,0.31319764586718457,,,0.14419370000541676,0.3000929999980144,0.3885604891411175,,,,,,,0.7,0.0013590000016847625,11202.0,0.023044735835160812,0.0020533999922918156,0.14078130001144018,0.142834700003732,,,,,,,,,,,
email-eu-core,6,Degree-stratified RP,986,16064,42,20,62,1,0.7,general,0.15790879999985918,0.16765787538026974,0.5156517742063317,0.49553671107213476,0.903679854635612,0.4128622009020776,0.6548786419329473,0.38811292096298095,,,0.00987179999356158,0.16778059999342076,0.5789646770373559,,,,,,,,,,,,,,0.000265199996647425,0.0020145000016782433,0.0036143000033916906,0.0023360999912256375,0.0008451000030618161,0.0006999000033829361,9.669999417383224e-05,9.0,2.0,13.0,"[1,2):n=95,ell=2;[2,4):n=70,ell=3;[4,8):n=101,ell=4;[8,16):n=127,ell=5;[16,32):n=235,ell=10;[32,64):n=219,ell=13;[64,128):n=105,ell=12;[128,256):n=33,ell=10;[256,512):n=1,ell=3"
email-eu-core,7,Gaussian RP,986,16064,42,20,62,1,0.7,general,0.15626839999458753,0.15597885001689146,0.5085482172082333,0.4868553296623473,0.9175697800712644,0.4087172249311449,0.6661203868284924,0.40043462045642864,,,0.006681899991235696,0.16295029998582322,0.5529161291010105,0.0005028000014135614,0.0018884000019170344,0.0027239000046392903,0.0008054999925661832,0.0006766000005882233,8.469999011140317e-05,,,,,,,,,,,,,,,,,,
email-eu-core,7,Random sampling,986,16064,42,20,62,1,0.7,general,0.15554079999856185,0.2783951711219848,0.938875224085192,0.5715948420247164,0.8690217828516149,0.3284673158727217,0.6249806928031171,0.34504240242645473,,,0.12254899999243207,0.2780897999909939,0.3817923396820533,,,,,,,0.7,0.0013699999981326982,11310.0,0.023266913256174682,0.002199599999585189,0.11897939999471419,0.12117899999429937,,,,,,,,,,,
email-eu-core,7,Degree-stratified RP,986,16064,42,20,62,1,0.7,general,0.16344519999984186,0.16507204860490374,0.6099827584361679,0.5096585046437543,0.9048100194209462,0.3850024549159761,0.6540128680261631,0.3979586362021865,,,0.009719899986521341,0.1731650999863632,0.5674495511788474,,,,,,,,,,,,,,0.00026200000138487667,0.0016420999891124666,0.003840500008664094,0.0024084000033326447,0.0007943999953567982,0.0006911999953445047,8.129999332595617e-05,9.0,2.0,13.0,"[1,2):n=95,ell=2;[2,4):n=70,ell=3;[4,8):n=101,ell=4;[8,16):n=127,ell=5;[16,32):n=235,ell=10;[32,64):n=219,ell=13;[64,128):n=105,ell=12;[128,256):n=33,ell=10;[256,512):n=1,ell=3"
email-eu-core,8,Gaussian RP,986,16064,42,20,62,1,0.7,general,0.1600344999897061,0.15503874098641346,0.5358342725047658,0.47850009591003895,0.920256473170339,0.41615016762141843,0.6612621854376692,0.3986379596656776,,,0.006450699991546571,0.16648519998125266,0.5747101791935313,0.000519900000654161,0.0017738000024110079,0.0025896000006468967,0.0008075999940047041,0.0006769000028725713,8.289999095723033e-05,,,,,,,,,,,,,,,,,,
email-eu-core,8,Random sampling,986,16064,42,20,62,1,0.7,general,0.15979959999094717,0.2798152211711935,0.9851839181567423,0.5760297299184449,0.8637831364999954,0.39405994106168746,0.62350748104347,0.3346561868948405,,,0.1244068999949377,0.2842064999858849,0.4232633212273581,,,,,,,0.7,0.001015500005451031,11235.0,0.023112623380470605,0.0016354999970644712,0.1217558999924222,0.12339139998948667,,,,,,,,,,,
email-eu-core,8,Degree-stratified RP,986,16064,42,20,62,1,0.7,general,0.1535128999967128,0.16208596449829618,0.5814719854147455,0.48650920869094816,0.9122566352982412,0.3982252488654778,0.660205684211142,0.389914924806662,,,0.009945999991032295,0.1634588999877451,0.5678030569641531,,,,,,,,,,,,,,0.00027099999715574086,0.001868899998953566,0.0038391999987652525,0.002278999992995523,0.0008811000006971881,0.0007218000100692734,8.499999239575118e-05,9.0,2.0,13.0,"[1,2):n=95,ell=2;[2,4):n=70,ell=3;[4,8):n=101,ell=4;[8,16):n=127,ell=5;[16,32):n=235,ell=10;[32,64):n=219,ell=13;[64,128):n=105,ell=12;[128,256):n=33,ell=10;[256,512):n=1,ell=3"
email-eu-core,9,Gaussian RP,986,16064,42,20,62,1,0.7,general,0.1718688000109978,0.15947652469147972,0.5593838887715457,0.48698947735523396,0.9124015213822898,0.3785944164694058,0.6469369200060491,0.3475254933127484,,,0.006857000000309199,0.178725800011307,0.5536133076250572,0.0005141000001458451,0.0019511999998940155,0.0027179000026080757,0.0009035999974003062,0.0006955999997444451,7.46000005165115e-05,,,,,,,,,,,,,,,,,,
email-eu-core,9,Random sampling,986,16064,42,20,62,1,0.7,general,0.15966340000159107,0.27858827922082424,1.0025537549485417,0.5588546142974764,0.8673518262647023,0.3326551746389148,0.6198716058582825,0.33268241497991335,,,0.11886580000282265,0.2785292000044137,0.40160064392156286,,,,,,,0.7,0.0013193000049795955,11200.0,0.023040621438475368,0.001926499986439012,0.11562000001140404,0.11754649999784306,,,,,,,,,,,
email-eu-core,9,Degree-stratified RP,986,16064,42,20,62,1,0.7,general,0.154413399999612,0.16408803885289872,0.6578320080378204,0.48245780452312426,0.9097244925595853,0.40057170336613507,0.6611203005502896,0.41425319245863984,,,0.00885099999140948,0.1632643999910215,0.5661663319845031,,,,,,,,,,,,,,0.00020110000332351774,0.00139639999542851,0.0033019999973475933,0.0023519999958807603,0.0008067000017035753,0.0006868000054964796,0.00010599999222904444,9.0,2.0,13.0,"[1,2):n=95,ell=2;[2,4):n=70,ell=3;[4,8):n=101,ell=4;[8,16):n=127,ell=5;[16,32):n=235,ell=10;[32,64):n=219,ell=13;[64,128):n=105,ell=12;[128,256):n=33,ell=10;[256,512):n=1,ell=3"
email-eu-core,10,Gaussian RP,986,16064,42,20,62,1,0.7,general,0.14788530000078026,0.15832242928332882,0.6383412384609682,0.4954517376906514,0.9137132448198354,0.4085742997510957,0.6683024530267243,0.41198485899189324,,,0.006444499987992458,0.15432979998877272,0.5983039738087315,0.000513100007083267,0.001938799992785789,0.002532200000132434,0.0008209999941755086,0.000552500001504086,8.689999231137335e-05,,,,,,,,,,,,,,,,,,
email-eu-core,10,Random sampling,986,16064,42,20,62,1,0.7,general,0.1762077000021236,0.2772317449204112,0.9862579474079344,0.5636086584073733,0.8691301277723424,0.3220181471745886,0.6170428011234312,0.33184400150801846,,,0.17881730002409313,0.35502500002621673,0.4185992381442574,,,,,,,0.7,0.0010040000051958486,11213.0,0.02306736501693074,0.0019826000061584637,0.17583070001273882,0.17781330001889728,,,,,,,,,,,
email-eu-core,10,Degree-stratified RP,986,16064,42,20,62,1,0.7,general,0.35034500001347624,0.1636487973073881,0.5076351460268563,0.4889564712123357,0.9083917557352129,0.41259630545480624,0.6577412537205916,0.37954912431111576,,,0.010225299978628755,0.360570299992105,0.589584577156582,,,,,,,,,,,,,,0.00028059999749530107,0.002005599992116913,0.0037744000001112,0.00259429999277927,0.0008242999901995063,0.0006636000034632161,8.250000246334821e-05,9.0,2.0,13.0,"[1,2):n=95,ell=2;[2,4):n=70,ell=3;[4,8):n=101,ell=4;[8,16):n=127,ell=5;[16,32):n=235,ell=10;[32,64):n=219,ell=13;[64,128):n=105,ell=12;[128,256):n=33,ell=10;[256,512):n=1,ell=3"
