alpha_n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
0.05,4,Random Sampling,0.17658908301382326,0.026615917013259605,0.2567276670015417,,,,,,,,,0.17658908301382326,0.17658250001841225,6.582995411008596e-06,0.45993266702862456,0.008140125020872802,0.011584499996388331,0.051054916984867305,0.004761707998113707,0.0015072910173330456,0.09953395900083706,,,
0.05,4,Non-random,0.3601988750160672,0.026615917013259605,0.23750716698123142,,,,,,,,,0.3601988750160672,0.3601952080207411,3.6669953260570765e-06,0.6243219590105582,,,,,,,0.2535489160218276,0.10195799998473376,0.004688292014179751
0.05,5,Random Projection,0.17090870800893754,0.024489375005941838,0.16375091602094471,7.570799789391458e-05,0.003758583014132455,0.00024270798894576728,0.0036642500199377537,0.0012238750059623271,0.00010233299690298736,2.587502240203321e-05,0.16180966701358557,0.17090870800893754,0.1709029990597628,5.70894917473197e-06,0.3591489990358241,,,,,,,,,
0.05,5,Random Sampling,0.24797079199925065,0.024489375005941838,0.4402739580255002,,,,,,,,,0.24797079199925065,0.24796337602310814,7.415976142510772e-06,0.7127341250306927,0.010010458005126566,0.021897667000303045,0.0610480000032112,0.0031468340021092445,0.0033679170010145754,0.1484925000113435,,,
0.05,5,Non-random,0.4400439169839956,0.024489375005941838,0.24290466599632055,,,,,,,,,0.4400439169839956,0.44004183303331956,2.08395067602396e-06,0.707437957986258,,,,,,,0.32946624999749474,0.10986908301129006,0.0007065000245347619
0.05,6,Random Projection,0.18373816699022427,0.019617209007265046,0.3055733329965733,7.358400034718215e-05,0.006769209023332223,0.0002007500152103603,0.0005306669918354601,0.0036572079989127815,0.00013004199718125165,2.0584004232659936e-05,0.17235062501276843,0.18373816699022427,0.18373266904382035,5.4979464039206505e-06,0.5089287089940626,,,,,,,,,
0.05,6,Random Sampling,0.2219972920138389,0.019617209007265046,0.2938004999887198,,,,,,,,,0.2219972920138389,0.22198974899947643,7.543014362454414e-06,0.5354150010098238,0.008605957991676405,0.01802920800400898,0.0290860410023015,0.0010136670025531203,0.003534457995556295,0.16172041700338013,,,
0.05,6,Non-random,0.3321173329895828,0.019617209007265046,0.19081279102829285,,,,,,,,,0.3321173329895828,0.332115542027168,1.790962414816022e-06,0.5425473330251407,,,,,,,0.20986750000156462,0.12124662499991246,0.0010014170256908983
0.05,7,Random Projection,0.2814398339833133,0.03215537499636412,0.13680687500163913,8.079200051724911e-05,0.00204433299950324,0.00019695801893249154,0.0005653749976772815,0.002738249982940033,0.00011150000500492752,2.995898830704391e-05,0.27566770900739357,0.2814398339833133,0.28143487600027584,4.95798303745687e-06,0.45040208398131654,,,,,,,,,
0.05,7,Random Sampling,0.2968516249966342,0.03215537499636412,0.19350424999720417,,,,,,,,,0.2968516249966342,0.2968437480449211,7.876951713114977e-06,0.5225112499902025,0.00804933300241828,0.01510179101023823,0.05348958299146034,0.003365041018696502,0.007439625012921169,0.20939837500918657,,,
0.05,7,Non-random,0.351699540973641,0.03215537499636412,0.2383001249982044,,,,,,,,,0.351699540973641,0.35169841701281257,1.123960828408599e-06,0.6221550409682095,,,,,,,0.23055087501415983,0.12046899998676963,0.0006785420118831098
