K,rep,seed,n,m,rho_n,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,p_in,p_out,sampling_mode,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,non_random_eigensolver,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_core_eigensolver,rp_lift_sec,rs_sample_matrix_wall_sec,rs_eigensolver,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,cs_draw_hash_sec,cs_hash_seed,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_sparse_explicit_sketch_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_core_eigensolver,cs_lift_sec
4,6,20660512,5000,3,16.0,79992,478778,0.01915112,1.509928199928254,0.1937297000549733,0,0.0,47.9952,77.0,79904.0384,15.980807680000002,47.94242304,0.0623875075135075,2.304e-05,2.56e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0036,0.9904202838218616,0.9806410925799284,0.0343885999172925,,0.2978161999490112,0.0002764000091701,0.0620222999714314,0.3601246001198888,0.9999988726835012,0.5730942054198082,2.06377279991284,1.609375,0.4053265999536961,30.936305046081543,,,,0.0073957000859081,0.2164136001374572,0.0420599000062793,0.0280943000689148,0.0027925998438149,eigsh,0.0003358998801559,,,,,,,,,,,,,,,,,,,,,
4,6,20660512,5000,3,16.0,79992,478778,0.01915112,1.509928199928254,0.1937297000549733,0,0.0,47.9952,77.0,79904.0384,15.980807680000002,47.94242304,0.0623875075135075,2.304e-05,2.56e-06,sparse,Random sampling,random_sampling,0.0106,0.971930278090152,0.9500736670141224,0.0359710999764502,,0.035185300046578,0.0001909998245537,0.0666918000206351,0.1020764999557286,1.0570439163950185,0.6789893881674103,1.8057259998749944,1.046875,0.1488473999779671,21.213561058044437,,,,,,,,,,,0.0158871000166982,eigsh,0.0191007000394165,241889.0,169503.0,0.7,335502.0,,,,,,,,,,,,,,
4,6,20660512,5000,3,16.0,79992,478778,0.01915112,1.509928199928254,0.1937297000549733,0,0.0,47.9952,77.0,79904.0384,15.980807680000002,47.94242304,0.0623875075135075,2.304e-05,2.56e-06,sparse,CountSketch random projection,countsketch_random_projection,0.003,0.992017612165118,0.9839595253123802,0.0352859999984502,,0.3185566000174731,0.0004858998581767,0.0739325999747961,0.3929876999463886,0.9999988303751652,0.5732293463886454,2.096632999833673,1.03125,0.4379205000586808,28.90429782867432,,,,,,,,,,,,,,,,,,0.0003616998437792,709333497.0,164.0,15.0,46.0,0.0,0.014634600142017,0.014634600142017,0.2192919000517577,0.0422218001913279,0.0364373999182134,0.0041994999628514,eigsh,0.0005733999423682
4,7,20660513,5000,3,16.0,79388,475428,0.01901712,1.7712060001213104,0.2207991001196205,0,0.0,47.6328,79.0,79904.0384,15.980807680000002,47.94242304,0.0623875075135075,2.304e-05,2.56e-06,sparse,Non-random,non_random,0.0006,0.99839968012841,0.9964808772570836,0.0417059999890625,eigsh,0.0198284001089632,0.0001389000099152,0.0651517000515014,0.0851263999938964,1.0,0.5757157978661525,2.077124100411311,0.84375,0.1373432998079806,16.363276481628418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,20660513,5000,3,16.0,79388,475428,0.01901712,1.7712060001213104,0.2207991001196205,0,0.0,47.6328,79.0,79904.0384,15.980807680000002,47.94242304,0.0623875075135075,2.304e-05,2.56e-06,sparse,Gaussian random projection,gaussian_random_projection,0.005,0.9867088904117453,0.974860270546762,0.0355946000199765,,0.2992158001288771,0.0003563000354915,0.0689368001185357,0.3685188998933881,0.9999988465879288,0.5698021118461912,2.3605140005238354,1.484375,0.4147129999473691,30.89791774749756,,,,0.0076160999014973,0.2186231000814587,0.0402808999642729,0.0277784999925643,0.0034403000026941,eigsh,0.0003843000158667,,,,,,,,,,,,,,,,,,,,,
4,7,20660513,5000,3,16.0,79388,475428,0.01901712,1.7712060001213104,0.2207991001196205,0,0.0,47.6328,79.0,79904.0384,15.980807680000002,47.94242304,0.0623875075135075,2.304e-05,2.56e-06,sparse,Random sampling,random_sampling,0.0102,0.9729700678401548,0.951118831376871,0.0379413999617099,,0.0331030001398175,0.0001083000097423,0.06663169991225,0.0998498999979347,1.058982964821228,0.6792416120746764,2.091848100302741,1.03125,0.1473763000685721,21.087934494018555,,,,,,,,,,,0.0134430001489818,eigsh,0.019485600059852,240214.0,168645.0,0.7,333771.0,,,,,,,,,,,,,,
4,7,20660513,5000,3,16.0,79388,475428,0.01901712,1.7712060001213104,0.2207991001196205,0,0.0,47.6328,79.0,79904.0384,15.980807680000002,47.94242304,0.0623875075135075,2.304e-05,2.56e-06,sparse,CountSketch random projection,countsketch_random_projection,0.0042,0.9888251078222928,0.9777227590910836,0.0363950999453663,,0.2848793999291956,0.0002741001080721,0.0667362001258879,0.3518999998923391,0.9999988294201344,0.570580432219776,2.3438948004040867,1.234375,0.3984961998648941,28.844721794128414,,,,,,,,,,,,,,,,,,0.0004331998061388,2071877431.0,164.0,17.0,48.0,0.0,0.0140579000581055,0.0140579000581055,0.1961660999804735,0.0418390999548137,0.0273376998957246,0.003992399899289,eigsh,0.0004266002215445
4,8,20660514,5000,3,16.0,79317,474916,0.01899664,1.5584486001171172,0.1801859999541193,0,0.0,47.5902,74.0,79904.0384,15.980807680000002,47.94242304,0.0623875075135075,2.304e-05,2.56e-06,sparse,Non-random,non_random,0.001,0.997334507904956,0.9943351417712,0.0368920001201331,eigsh,0.0194196000229567,0.000190099934116,0.0617071001324802,0.0813259999267757,1.0,0.5770258600011444,1.8199514001607893,0.703125,0.1285548000596463,16.345698356628418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,20660514,5000,3,16.0,79317,474916,0.01899664,1.5584486001171172,0.1801859999541193,0,0.0,47.5902,74.0,79904.0384,15.980807680000002,47.94242304,0.0623875075135075,2.304e-05,2.56e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0024,0.9936093956294596,0.9868013068271024,0.034753100015223,,0.2946776000317186,0.0002830999437719,0.0674103000201284,0.3623808000702411,0.9999989249838186,0.571354858249513,2.1010056000668555,1.125,0.4050064999610185,30.89195919036865,,,,0.0070659001357853,0.2124863001517951,0.0398484000470489,0.0311870998702943,0.0027407999150455,eigsh,0.0005025998689234,,,,,,,,,,,,,,,,,,,,,
4,8,20660514,5000,3,16.0,79317,474916,0.01899664,1.5584486001171172,0.1801859999541193,0,0.0,47.5902,74.0,79904.0384,15.980807680000002,47.94242304,0.0623875075135075,2.304e-05,2.56e-06,sparse,Random sampling,random_sampling,0.0092,0.9756046509931946,0.9553862216612028,0.0342463001143187,,0.0339804000686854,0.000133299967274,0.0683183001819998,0.1024390999227762,1.0598127263930932,0.6792999782497477,1.841066600289196,1.125,0.1468297000974416,21.072757720947266,,,,,,,,,,,0.0142181999981403,eigsh,0.0196195999160408,239958.0,168575.0,0.7,333620.0,,,,,,,,,,,,,,
