K,method,reps,num_hyperedges_total_mean,num_hyperedges_total_std,theta_nnz_mean,theta_nnz_std,theta_density_mean,theta_density_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,cpu_time_sec_mean,cpu_time_sec_std,wall_clock_sec_mean,wall_clock_sec_std,peak_traced_memory_mb_mean,peak_traced_memory_mb_std,rss_delta_mb_mean,rss_delta_mb_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rs_sample_matrix_wall_sec_mean,rs_sample_matrix_wall_sec_std,rs_eig_wall_sec_mean,rs_eig_wall_sec_std,cs_sparse_explicit_sketch_sec_mean,cs_sparse_explicit_sketch_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_embedding_dim_mean,cs_embedding_dim_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std
6,Random sampling,10,65140.3,190.94853873346258,392310.2,1164.1032600246351,0.015692407999999998,4.656413040098472e-05,39.08418,0.11456912324007033,65.3,3.3015148038438378,39.06634097049601,0.0,0.0276944988997799,0.0,0.0,0.0,0.38933999999999996,0.028566810579178523,0.28829606108607797,0.03414010958178787,0.2856255317743944,0.030119058903923204,1.3280469799647108,0.05170779726301494,0.16745587997138495,0.01457146186764721,0.09012379997875536,0.011063943301937171,0.0001240200363099,3.1808913404867446e-05,0.2104897100012749,0.04323696824818558,0.30074489002581684,0.05047739882619969,0.03342414000071581,0.0011174584474483626,1.7962403899524362,0.04559261160736578,2.1984375,0.30627922904734073,0.34252380998805165,0.050569290894950866,17.404158782958984,0.051379895083524016,,,,,0.01293220997322346,0.001341479718941302,0.07702406002208587,0.010129613791954609,,,,,,,,,,,1.0573506136821054,0.002693000813556235,0.6358661860353152,0.0010019520363162722
6,CountSketch random projection,10,65140.3,190.94853873346258,392310.2,1164.1032600246351,0.015692407999999998,4.656413040098472e-05,39.08418,0.11456912324007033,65.3,3.3015148038438378,39.06634097049601,0.0,0.0276944988997799,0.0,0.0,0.0,0.31374,0.014918459854973122,0.3897476271366875,0.02188085306205685,0.375054011748715,0.019180034671207217,1.3280469799647108,0.05170779726301494,0.16745587997138495,0.01457146186764721,0.2594503400148824,0.014990930442673663,0.00032497001811857,6.884094346162909e-05,0.17015803002286697,0.022335058803137856,0.42994328003842386,0.03240802896718638,0.034526229952461976,0.002216365201795961,1.9254361999919638,0.06818720384748715,2.1078125,0.3045383359944652,0.4730392799945548,0.03379940920182078,27.578954887390136,0.02268671175747755,,,,,,,,,0.010772109962999769,0.0008877901204856265,0.1757575600640848,0.013197871917351776,0.04253201000392432,0.002281011444764136,0.02395356001798058,0.0012031830592467909,166.0,0.0,0.9999984283189385,2.3087864535562538e-07,0.48143320181722515,0.0008733182355180019
8,Non-random,10,59917.0,233.9430130038803,361750.4,1386.4883859753108,0.014470015999999999,5.5459535439013255e-05,35.9502,0.14036580780232832,61.3,3.465704994818675,35.96162304,0.0,0.0155594144038891,0.0,0.0,0.0,0.7896799999999999,0.011176642310342317,0.02116566762003557,0.0038809951201579976,0.03569477652003476,0.005212969789765792,1.4133327899733559,0.10664775812537913,0.1603090400341898,0.025396573358734315,0.13373906998895105,0.023986061763529437,0.00020196002442383998,0.00010894822291987227,0.6120931100565941,0.09303950236809212,0.7460428499849513,0.09353810671921957,0.034701589983887934,0.0029798314448728205,2.3196759700775145,0.1949314324598609,4.7578125,0.5016925562602504,0.789073930028826,0.09525335133052978,12.460465812683106,0.04760130109320734,,,,,,,,,,,,,,,,,,,1.0,6.12582035365918e-16,0.4952444104780912,0.0004198931972734626
8,Gaussian random projection,10,59917.0,233.9430130038803,361750.4,1386.4883859753108,0.014470015999999999,5.5459535439013255e-05,35.9502,0.14036580780232832,61.3,3.465704994818675,35.96162304,0.0,0.0155594144038891,0.0,0.0,0.0,0.8268599999999999,0.007011134002427861,0.00784112542212948,0.0012441026408212268,0.01531994038377014,0.002134511955076573,1.4133327899733559,0.10664775812537913,0.1603090400341898,0.025396573358734315,0.2943694200366735,0.02217522147069189,0.00026921997778114003,7.241321158006784e-05,0.5609077699948102,0.05615983055348962,0.8555547100026161,0.06826707370100311,0.03311431999318299,0.0006925469525476712,2.4291882400168108,0.1397097913921553,4.928125,0.4939521386508795,0.897536709997803,0.06833199900544663,30.22768039703369,0.015908815542784994,,,0.20300610000267622,0.02119803091515291,,,,,,,,,,,,,,,0.9999980527128735,2.760591851554372e-07,0.4779299458371429,0.00047545545072637675
8,Random sampling,10,59917.0,233.9430130038803,361750.4,1386.4883859753108,0.014470015999999999,5.5459535439013255e-05,35.9502,0.14036580780232832,61.3,3.465704994818675,35.96162304,0.0,0.0155594144038891,0.0,0.0,0.0,0.8373799999999999,0.006817265662353987,0.0037203794277051,0.0014394903184101746,0.00932919041560666,0.0026938513366776373,1.4133327899733559,0.10664775812537913,0.1603090400341898,0.025396573358734315,0.17402346001472319,0.02848708987064022,0.00013985994737592,1.9847130312059298e-05,0.5308613100321964,0.04485833769102616,0.705032359994948,0.05531576380583266,0.03445642997976388,0.003489374748987219,2.2786664600018414,0.15879115379758582,4.703125,0.34200948248712504,0.748070830013603,0.05676401284801044,16.062809181213378,0.0634890985750567,,,,,0.01286165995988989,0.0017179770361070977,0.16092165003065015,0.028186523007552696,,,,,,,,,,,1.0580165870459752,0.0024213254567913315,0.6400883614872735,0.0009221713430602148
8,CountSketch random projection,10,59917.0,233.9430130038803,361750.4,1386.4883859753108,0.014470015999999999,5.5459535439013255e-05,35.9502,0.14036580780232832,61.3,3.465704994818675,35.96162304,0.0,0.0155594144038891,0.0,0.0,0.0,0.8235199999999999,0.010597358161353232,0.00822162699371136,0.0023606969917074347,0.01565885095405207,0.003211429426591817,1.4133327899733559,0.10664775812537913,0.1603090400341898,0.025396573358734315,0.2789510599803179,0.017878842269512682,0.000319659942761,7.249310709700631e-05,0.5508328099502251,0.0560251143865807,0.8301128500141204,0.06793830414979173,0.03291566998232151,0.0010628100348908014,2.40374535988085,0.15429290446123456,4.9625,0.32435834093380933,0.8721636600326746,0.0683003104769411,27.253972911834715,0.025996721996823347,,,,,,,,,0.01249271996784951,0.0018101328763859515,0.18087394998874512,0.013785354639157152,0.047128560021519626,0.0026102732627963188,0.02558477001730347,0.0019513617066759803,168.0,0.0,0.999998068914311,2.2654539785134517e-07,0.4778518244950562,0.0005758730244870979
10,Non-random,10,57509.4,254.43235293928728,347565.8,1507.5621085418434,0.013902632000000002,6.030248434167341e-05,34.50564,0.15265941176357223,57.7,1.828782229912694,34.525463040000005,0.0,0.0099460468324157,0.0,0.0,0.0,0.8664999999999999,0.003646916505762094,0.00304966755932502,0.0006551154686543898,0.00940665454123098,0.0012527711421866064,1.3179474000353366,0.12860540403368648,0.15451842006295916,0.021824317357449916,0.16395359996240583,0.024064335248978608,0.00013743992894883,1.9975991361411474e-05,0.6159759999951347,0.07404876283927965,0.7800747699569911,0.0787283892542618,0.03376018996350464,0.0015871197228001714,2.252532859984785,0.20370255648605742,5.290625,0.379901417219725,0.8210062400437892,0.08010431857935454,11.973476219177247,0.05175803747892956,,,,,,,,,,,,,,,,,,,0.9999999999999998,7.971645280375756e-16,0.4976271466509573,0.0004993069436715317
10,Gaussian random projection,10,57509.4,254.43235293928728,347565.8,1507.5621085418434,0.013902632000000002,6.030248434167341e-05,34.50564,0.15265941176357223,57.7,1.828782229912694,34.525463040000005,0.0,0.0099460468324157,0.0,0.0,0.0,0.8710000000000001,0.0037285683877625363,0.00210726552071344,0.0008403558485681343,0.007666316458279121,0.0016391711244026544,1.3179474000353366,0.12860540403368648,0.15451842006295916,0.021824317357449916,0.26462155997287484,0.02853138206738751,0.00040196001064028,6.22620248568085e-05,0.6317363900365308,0.09611610846755343,0.8967695800121873,0.11916983562956135,0.03651546998880798,0.00966237376552597,2.369225730118342,0.23920872180671846,5.5984375,0.5101535248565975,0.9413781700422987,0.1277657422695123,30.380737018585204,0.01729274348037537,,,0.17606581004802135,0.019628928489853335,,,,,,,,,,,,,,,0.9999980183524702,2.2176345934430579e-07,0.4806274614383327,0.0005584257712845301
10,Random sampling,10,57509.4,254.43235293928728,347565.8,1507.5621085418434,0.013902632000000002,6.030248434167341e-05,34.50564,0.15265941176357223,57.7,1.828782229912694,34.525463040000005,0.0,0.0099460468324157,0.0,0.0,0.0,0.8746600000000001,0.0029258237206715616,0.0013334954688417,0.00039814333993095117,0.006642096591373011,0.0008297674146974858,1.3179474000353366,0.12860540403368648,0.15451842006295916,0.021824317357449916,0.23400330999866129,0.03631242940133897,0.00022454001009460998,5.2397710449251193e-05,0.62637182995677,0.1759519515512163,0.8606081900419668,0.2036295278268843,0.03422658001072701,0.0055324743949033235,2.333065500063822,0.29294349950227816,5.2609375,0.5482893417320315,0.902849470009096,0.20954311241697685,15.439966011047364,0.06820261505045115,,,,,0.01283511002548036,0.002392297253958745,0.2209604900097474,0.03479101660039966,,,,,,,,,,,1.0580647381261659,0.0021682665419687276,0.6427457652769729,0.0006903124867520666
10,CountSketch random projection,10,57509.4,254.43235293928728,347565.8,1507.5621085418434,0.013902632000000002,6.030248434167341e-05,34.50564,0.15265941176357223,57.7,1.828782229912694,34.525463040000005,0.0,0.0099460468324157,0.0,0.0,0.0,0.8718600000000001,0.003276922675655005,0.0017897931678931202,0.0005129769874367318,0.007008148914508359,0.0009758459591091055,1.3179474000353366,0.12860540403368648,0.15451842006295916,0.021824317357449916,0.2491955699864775,0.026225515879943172,0.00041592000052327,9.544462581769297e-05,0.6289973200298846,0.052603532292580246,0.8786178299924359,0.07122031988224228,0.03262477002572264,0.0016737809445260391,2.351074630115181,0.2055382741443616,5.853125,0.4607653280141638,0.9193164399592206,0.07310110997890873,27.23182907104492,0.028782046507722456,,,,,,,,,0.01099812001921233,0.0019629772057728847,0.1585137099958956,0.01909058086272067,0.04415421001613135,0.0036702643074224195,0.02227689998690034,0.0020239354009535283,170.0,0.0,0.9999978607035773,1.4202123226771159e-07,0.4807427364272071,0.0006158178082322543
12,Non-random,10,56276.9,375.44416658435694,340340.6,2206.2279624332223,0.013613624,8.824911849732906e-05,33.76614,0.2252664999506142,57.0,2.5385910352879693,33.74580762624,0.0,0.006898689701925901,0.0,0.0,0.0,0.8895,0.0025372776311980167,0.00145570410536005,0.0005985812504512233,0.00806328487693366,0.0013025164950533315,1.2227697000373154,0.048592417107185475,0.13720429998356845,0.007571907532733271,0.16416929000988598,0.01519662132187662,0.00016579001676288,2.9263955822151324e-05,0.671795399999246,0.04145755612314259,0.8361387700308114,0.04153980335383011,0.03435598004143682,0.002078192315190001,2.196104480046779,0.0748371650829471,5.9140625,0.6717033857053689,0.8775180399883539,0.041336430641867664,11.72540922164917,0.07575528876099215,,,,,,,,,,,,,,,,,,,1.0,3.8280787550188193e-16,0.4989410854454503,0.0007120735253776265
12,Gaussian random projection,10,56276.9,375.44416658435694,340340.6,2206.2279624332223,0.013613624,8.824911849732906e-05,33.76614,0.2252664999506142,57.0,2.5385910352879693,33.74580762624,0.0,0.006898689701925901,0.0,0.0,0.0,0.8896200000000001,0.0031769307340401474,0.00124067903434935,0.0004259905176608901,0.007604806128093181,0.0009658410101421776,1.2227697000373154,0.048592417107185475,0.13720429998356845,0.007571907532733271,0.25056549001019446,0.009517953719564284,0.00044109995942557997,7.302548997855812e-05,0.6358101400081069,0.037643194692741355,0.8868265699828044,0.039480145266520064,0.03313304001931098,0.0025260660122996678,2.2467907299986107,0.05030561084476527,6.2921875,0.4056519369158873,0.927663220022805,0.040759855773750006,30.613693618774413,0.025202452046592452,,,0.16465624999254938,0.006232418106172485,,,,,,,,,,,,,,,0.9999979048248916,3.6621063828013183e-07,0.4816497019490386,0.0006380986031282068
12,Random sampling,10,56276.9,375.44416658435694,340340.6,2206.2279624332223,0.013613624,8.824911849732906e-05,33.76614,0.2252664999506142,57.0,2.5385910352879693,33.74580762624,0.0,0.006898689701925901,0.0,0.0,0.0,0.8924799999999999,0.0031144109484066997,0.00065344077685062,0.00036516980213379167,0.006694373914123549,0.0010050137751786024,1.2227697000373154,0.048592417107185475,0.13720429998356845,0.007571907532733271,0.22659216001629826,0.029133391294211303,0.00021130994427945,4.982778377935134e-05,0.6200192700373008,0.05153689577016899,0.8468307200819254,0.06302864005108534,0.03313385003712023,0.0016800661587080524,2.2067967400187625,0.10533891104918144,5.8578125,0.3728562858472863,0.8876525199739262,0.06428387638440625,15.12226505279541,0.09737704831993482,,,,,0.012128209997899781,0.0016290950357253301,0.2142721499316394,0.029173108263225642,,,,,,,,,,,1.0584291124956848,0.0017235921162618716,0.6439294563084937,0.0006790771749274025
12,CountSketch random projection,10,56276.9,375.44416658435694,340340.6,2206.2279624332223,0.013613624,8.824911849732906e-05,33.76614,0.2252664999506142,57.0,2.5385910352879693,33.74580762624,0.0,0.006898689701925901,0.0,0.0,0.0,0.8926399999999999,0.0026895683255455296,0.00085544564262832,0.0005741833451353136,0.0067952405555756,0.0012089599937943703,1.2227697000373154,0.048592417107185475,0.13720429998356845,0.007571907532733271,0.23849220997653897,0.008412964679089772,0.00042849997989829997,4.9749692795792076e-05,0.6363427800126373,0.03136167407466171,0.8752730700420216,0.03210568021424545,0.03226052999962117,0.0011871096121350087,2.2352374899899585,0.0596765203616202,6.0390625,0.24553853263173267,0.9145533999893815,0.03169142414013851,27.33954267501831,0.04212833558370138,,,,,,,,,0.01008545998483891,0.0008774435370162335,0.1494872400304302,0.007172393033186551,0.04428197999950493,0.0018984812982289164,0.02178313999902452,0.0014639033299881255,172.0,0.0,0.999997985140735,2.2103858156909916e-07,0.4816520614909575,0.0007152684485598368
