K,method,error_P_mean,error_P_std,error_Theta_mean,error_Theta_std,error_B_mean,error_B_std,time_mean,time_std
4,Random Sampling,19.21809083852068,0.312915594418353,0.06944444444444445,0.013137573651762739,0.007535876431388612,0.0018105126212551676,0.09124360205000244,0.004050352077513207
4,SIGN Bidirectional,15.747514874580535,1.2596273885969387,0.2359375,0.09871501069328863,0.025556143612391613,0.00753601753494162,0.05234643340000389,0.0036837163011067464
5,CountSketch,18.509608589603378,1.4342745873296807,0.6027225672877846,0.15682145580869708,0.046371496043405,0.006937047038271553,0.05561449369999707,0.0076754494305816025
5,Non-random,21.79647753969215,0.11975375280691598,0.05815734989648034,0.014581149449886597,0.004753019675992682,0.0012429136566913168,0.4676953062999985,0.014721642604193983
5,Random Projection,18.264498694581267,1.2231490844609083,0.5709777903256164,0.10348380094604531,0.046906927739554315,0.006514212551454358,0.04950857719999817,0.0029769418340053868
5,Random Sampling,20.690023199228296,0.318085548555711,0.2888471673254282,0.04093064098047168,0.013538456615253552,0.0030982633932092624,0.11301813130000085,0.003521557642503288
5,SIGN Bidirectional,17.720079836429374,1.7236202547155492,1.236060606060606,0.3740280619816514,0.05033206442416429,0.007919075644216955,0.07688066660000174,0.013059112903176682
6,CountSketch,18.386757558332526,0.6382363045311941,2.046875,0.34864929691144086,0.06314123415186036,0.00317469931833662,0.09505411469999388,0.012637697385490983
6,Non-random,21.596854782494415,0.11929814124077358,0.19895833333333332,0.03669643428827499,0.006982862465574477,0.00177828222902909,0.4771024124500002,0.013043766619078002
6,Random Projection,18.02367457140723,0.5046354939130019,1.91953125,0.3481430931115107,0.06339814356601867,0.004410842285996416,0.0869715685999978,0.011497094238084926
6,Random Sampling,22.27567965718999,0.3662577132339079,0.8388020833333334,0.10481534591295466,0.022636544773851196,0.004546503879624139,0.1502960813499925,0.00990729066518628
6,SIGN Bidirectional,16.897575553907377,0.6692226527711227,2.7729166666666667,0.2586143774016255,0.06689072225653542,0.004340495387403904,0.12210011884999403,0.009444592739392778
7,CountSketch,16.54872299062796,0.34190532158089015,4.0024297856614925,0.3251902120956062,0.07239448511427812,0.002189090574106253,0.12019039570000416,0.007293930931218197
7,Non-random,21.428913964240895,0.15739140257955084,0.6273373983739837,0.0931479865508493,0.014915451570813745,0.005603832751604481,0.48029632290000845,0.009485881467446207
7,Random Projection,16.430799033766696,0.3346539100936932,3.9165872135994086,0.43309205375334614,0.0710506702447622,0.0029719138877507163,0.11983416654999815,0.01021703370738083
7,Random Sampling,24.151780177736622,0.5800160337821669,1.9689412416851444,0.16276466330717834,0.03314176885629043,0.00439622748512817,0.21951324154999555,0.016879192440526537
7,SIGN Bidirectional,15.582528861523603,0.3836690758315652,4.449421655580192,0.4083346512177178,0.0731848702910702,0.0028586992298654168,0.13139998110000023,0.00806746583205212
8,CountSketch,14.858269621056035,0.2866376997139887,5.592708333333333,0.3140456819361716,0.07584361876903063,0.0014987458710657578,0.12743337700000837,0.008014444065392312
8,Non-random,21.282205321722323,0.10684406561139635,1.496875,0.2360302041462717,0.024369559766719777,0.007531520242522019,0.49995392919999804,0.012678294577111419
8,Random Projection,15.014930977676446,0.38081984668750457,5.579166666666667,0.3101511793643201,0.07545597083496737,0.003294573299087932,0.1243112752999906,0.005839089514757001
8,Random Sampling,25.55384119813141,0.2715106274359378,4.233680555555556,0.5068732175789429,0.038904186545033984,0.004331324259987731,0.30214646465000217,0.016527647837737188
8,SIGN Bidirectional,14.815262272358012,0.3531444785631051,5.91423611111111,0.2532909108800352,0.0779801357896419,0.0033722199717570924,0.1360233896000011,0.008615170430429971
