K,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,cs_draw_hash_sec,cs_initial_multiply_sec,cs_sparse_explicit_sketch_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_reconstruct_sec,cs_small_eig_sec,cs_lift_sec,cs_kmeans_sec,sign_draw_omega_sec,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
5,19,CountSketch,0.05271304199999349,0.0151895829999944,0.17533208399999012,,,,,,,,,0.05271304199999349,0.055519295000010516,0.0,0.243234708999978,,,,,,,,,,8.008300000028612e-05,0.0028438339999752316,0.0028438339999752316,0.002798541999993631,0.0022084170000198355,0.0010292089999666132,0.0009136670000202685,0.00024941700002045764,5.0750000013977115e-05,0.04250154200002498,,,,,,,
5,19,SIGN Bidirectional,0.07123637500001223,0.0151895829999944,0.17945812499999647,,,,,,,,,0.07123637500001223,0.07122795999998743,8.415000024797337e-06,0.2658840830000031,,,,,,,,,,,,,,,,,,,,0.00021112500002118395,0.012244375000022956,0.00466937499999176,0.0010170420000008562,0.0003282919999492151,2.795900002183771e-05,0.052729791999979625
5,20,Random Projection,0.04975770900000498,0.01488991700000497,0.17396579100000054,0.00021004100000254766,0.0037428750000003674,0.0018881660000147349,0.001096125000003667,0.0009442499999749998,0.0002730419999465994,4.933299999265728e-05,0.041544791999967856,0.04975770900000498,0.04974862399990343,9.085000101549667e-06,0.23861341700001049,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20,Random Sampling,0.1087240830000269,0.01488991700000497,0.20496270800003913,,,,,,,,,0.1087240830000269,0.10871758400003273,6.498999994164478e-06,0.328576708000071,0.005200457999990249,0.00919020899999623,0.0461364999999887,0.0006818330000442074,0.0027821250000101827,0.04472645900000316,,,,,,,,,,,,,,,,,,,,
5,20,Non-random,0.47678050000001804,0.01488991700000497,0.2292238750000024,,,,,,,,,0.47678050000001804,0.4767762069999435,4.293000074540032e-06,0.7208942920000254,,,,,,,0.43934216599996034,0.037034082999980455,0.0003999580000026981,,,,,,,,,,,,,,,,,
5,20,CountSketch,0.05638158299996121,0.01488991700000497,0.17708600000003116,,,,,,,,,0.05638158299996121,0.05891187499997841,0.0,0.24835749999999734,,,,,,,,,,7.991699999365665e-05,0.0025681249999820466,0.0025681249999820466,0.0029619580000144197,0.0019038749999822357,0.001112874999989799,0.0014247499999555657,0.0002932500000270011,5.054199999676712e-05,0.04594845800005487,,,,,,,
5,20,SIGN Bidirectional,0.07505962499999441,0.01488991700000497,0.17601191700003938,,,,,,,,,0.07505962499999441,0.07504850100002614,1.1123999968276621e-05,0.26596145900003876,,,,,,,,,,,,,,,,,,,,0.0002101250000237087,0.011810999999966043,0.005012792000002264,0.0010911250000162909,0.0003162920000363556,2.949999998236308e-05,0.05657766699999911
6,1,Random Projection,0.08817149999998719,0.014941708000037579,0.17681599999997388,0.00022674999996752376,0.0037190420000001723,0.0027812920000087615,0.000957749999997759,0.0010133750000136388,0.0001783330000080241,3.2457999964208284e-05,0.07925416699998777,0.08817149999998719,0.08816316699994786,8.333000039328908e-06,0.27992920799999865,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,Random Sampling,0.14833570799999052,0.014941708000037579,0.20861533300001156,,,,,,,,,0.14833570799999052,0.14832758399990098,8.12400008953773e-06,0.37189274900003966,0.005208250000009684,0.009213499999987107,0.07500849999996717,0.0007662499999696593,0.002822874999992564,0.055308208999974795,,,,,,,,,,,,,,,,,,,,
6,1,Non-random,0.46824175000000423,0.014941708000037579,0.22502408300005072,,,,,,,,,0.46824175000000423,0.4682378329999892,3.917000015007943e-06,0.7082075410000925,,,,,,,0.42204345800001875,0.045828374999985044,0.00036599999998543353,,,,,,,,,,,,,,,,,
