K,method,time_sec_mean,time_sec_std,instance_gen_sec_mean,instance_gen_sec_std,metric_eval_sec_mean,metric_eval_sec_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_reconstruct_sec_mean,rp_reconstruct_sec_std,rp_small_eig_sec_mean,rp_small_eig_sec_std,rp_lift_sec_mean,rp_lift_sec_std,rp_kmeans_sec_mean,rp_kmeans_sec_std,algo_total_sec_mean,algo_total_sec_std,algo_step_sum_sec_mean,algo_step_sum_sec_std,algo_other_sec_mean,algo_other_sec_std,pipeline_total_sec_mean,pipeline_total_sec_std,rs_sample_mask_sec_mean,rs_sample_mask_sec_std,rs_build_sampled_matrix_sec_mean,rs_build_sampled_matrix_sec_std,rs_eig_sec_mean,rs_eig_sec_std,rs_reconstruct_sec_mean,rs_reconstruct_sec_std,rs_symmetrize_sec_mean,rs_symmetrize_sec_std,rs_kmeans_sec_mean,rs_kmeans_sec_std,nr_eig_sec_mean,nr_eig_sec_std,nr_kmeans_sec_mean,nr_kmeans_sec_std,nr_copy_sec_mean,nr_copy_sec_std,cs_draw_hash_sec_mean,cs_draw_hash_sec_std,cs_initial_multiply_sec_mean,cs_initial_multiply_sec_std,cs_sparse_explicit_sketch_sec_mean,cs_sparse_explicit_sketch_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_reconstruct_sec_mean,cs_reconstruct_sec_std,cs_small_eig_sec_mean,cs_small_eig_sec_std,cs_lift_sec_mean,cs_lift_sec_std,cs_kmeans_sec_mean,cs_kmeans_sec_std,sign_draw_omega_sec_mean,sign_draw_omega_sec_std,sign_subspace_iter_sec_mean,sign_subspace_iter_sec_std,sign_reconstruct_sec_mean,sign_reconstruct_sec_std,sign_build_core_sec_mean,sign_build_core_sec_std,sign_small_eig_sec_mean,sign_small_eig_sec_std,sign_lift_sec_mean,sign_lift_sec_std,sign_kmeans_sec_mean,sign_kmeans_sec_std
4,CountSketch,0.04105344789999208,0.002872886199838219,0.014986572850000357,0.00017724757719028095,0.1960711249999946,0.02257501669834431,,,,,,,,,,,,,,,,,0.04105344789999208,0.002872886199838219,0.04364134969999043,0.002858470178417404,0.0,0.0,0.25211114574998705,0.02393132472216871,,,,,,,,,,,,,,,,,,,9.039994999113788e-05,1.9264178333491102e-05,0.00262741450000874,0.00026729859406369306,0.00262741450000874,0.00026729859406369306,0.002754799949988751,0.00016940630636403907,0.0018309958999907395,0.0002157963317085554,0.0008732582999954275,8.984645348924185e-05,0.0009246209000110639,9.842748634103037e-05,0.00019600615000001654,7.196158541097729e-05,3.161869999814826e-05,1.0086984564698134e-05,0.031684820849997665,0.0031619639787818375,,,,,,,,,,,,,,
4,Non-random,0.4631788957499907,0.012334284065342547,0.014986572850000357,0.00017724757719028095,0.21853302719999307,0.02028863923227571,,,,,,,,,,,,,,,,,0.4631788957499907,0.012334284065342547,0.46317370425000204,0.01233120063074312,5.191499988654869e-06,4.075558958281191e-06,0.6966984957999841,0.023465987574381585,,,,,,,,,,,,,0.4339948395499931,0.011440018746853624,0.028711993900006404,0.001938899662734301,0.000466870800002539,0.00013321575839367526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Random Projection,0.036507089399995606,0.0023030370061632157,0.014986572850000357,0.00017724757719028095,0.17578760424999587,0.010470419987450862,0.00019977705000258085,6.257874082962798e-06,0.003486570849995019,0.00015994621865512754,0.0019666144999973766,0.00024838149718647194,0.0009391270000037366,0.00019843967247950005,0.0010629957500043474,9.674958139302884e-05,0.00031645015000094647,9.108508884586292e-05,3.2108300001709725e-05,1.117529447217638e-05,0.02849427099999389,0.0022095121565396452,0.036507089399995606,0.0023030370061632157,0.036497914599999605,0.0023022637865744715,9.174799996003457e-06,1.8471480737240532e-06,0.22728126649999184,0.011863837512854115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Random Sampling,0.09124360205000244,0.004050352077513207,0.014986572850000357,0.00017724757719028095,0.2102508250000028,0.007127173188571917,,,,,,,,,,,,,,,,,0.09124360205000244,0.004050352077513207,0.09123449764996679,0.004049748132391073,9.10440003565327e-06,2.149415569286969e-06,0.3164809999000056,0.010894235500693752,0.005264756349995991,0.00015519048346987818,0.009202985399997487,5.395157112302686e-05,0.03742017279999743,0.0026921757800507347,0.0007622936999865715,0.00011244104468374594,0.0029022519999927,0.0001307629609361029,0.035682037399996605,0.0019274141189722887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SIGN Bidirectional,0.05234643340000389,0.0036837163011067464,0.014986572850000357,0.00017724757719028095,0.17918662305000338,0.012275148929331363,,,,,,,,,,,,,,,,,0.05234643340000389,0.0036837163011067464,0.052336485050005876,0.0036836958823627296,9.948349998012418e-06,9.669211121448536e-07,0.24651962930000765,0.012925062895015577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00021843749999845842,3.4375385117602456e-05,0.010570589399998198,0.0008808917513689307,0.005238918599997078,0.001518631754149499,0.0011766770000008365,0.0010708724133597334,0.00023213330000260157,8.100459273182289e-05,3.0256249999638385e-05,8.725441751133098e-06,0.03486947300000907,0.003281783140545074
5,CountSketch,0.05561449369999707,0.0076754494305816025,0.014933668850002847,0.0002514423121735367,0.17684882935000418,0.009732251766071405,,,,,,,,,,,,,,,,,0.05561449369999707,0.0076754494305816025,0.05817141495001295,0.007730671266534161,0.0,0.0,0.24739699190000408,0.012501897925448039,,,,,,,,,,,,,,,,,,,8.703334999893286e-05,2.2780017954898475e-05,0.0025953250000014805,0.00024362886702288886,0.0025953250000014805,0.00024362886702288886,0.002982316749995562,0.00020535206162623377,0.0020277062500042575,0.00022286747219567605,0.0009779520499989757,0.00013333358857674422,0.0010758584999933873,0.00014783031780002075,0.0002629562000009855,7.25146583918087e-05,3.792935000603848e-05,1.2021787749011106e-05,0.045529012500011845,0.0077538301447151615,,,,,,,,,,,,,,
5,Non-random,0.4676953062999985,0.014721642604193983,0.014933668850002847,0.0002514423121735367,0.21210735825000882,0.021598443471413258,,,,,,,,,,,,,,,,,0.4676953062999985,0.014721642604193983,0.46769078529998465,0.014720882452802484,4.52100001382405e-06,1.3302908320557369e-06,0.6947363334000102,0.02659563679295684,,,,,,,,,,,,,0.4312108562499901,0.01343644960184628,0.03601695614999301,0.0032235185023919985,0.0004629729000015459,0.0001244995124675614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Random Projection,0.04950857719999817,0.0029769418340053868,0.014933668850002847,0.0002514423121735367,0.17451652910000065,0.003970384524498259,0.00021283320000122785,1.0310405454920204e-05,0.0037077833500006817,0.00017055937827623,0.0022587979500030995,0.00021014767576583705,0.0009555293000033771,9.420517964528534e-05,0.0010652812999921934,0.00010330636918302286,0.00032836039999324386,8.228663623521605e-05,3.3441650001009296e-05,1.0832410795093492e-05,0.040937677200003006,0.002716279470308988,0.04950857719999817,0.0029769418340053868,0.04949970434999784,0.0029757561443325194,8.87285000032989e-06,2.118133538170755e-06,0.23895877515000166,0.006284949508718637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Random Sampling,0.11301813130000085,0.003521557642503288,0.014933668850002847,0.0002514423121735367,0.2082529666499994,0.0034676200156244573,,,,,,,,,,,,,,,,,0.11301813130000085,0.003521557642503288,0.1130093667000068,0.0035210204013173376,8.76459999403778e-06,3.1151304002342476e-06,0.3362047668000031,0.005629334064896863,0.005295472949998725,0.0001542149487004179,0.009216779250004947,6.352440107132442e-05,0.048121858300001465,0.0028682812488010126,0.0007240978500021811,4.8725746274965095e-05,0.0029049416499987045,0.00019782471871545614,0.04674621670000079,0.0023518384589801137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SIGN Bidirectional,0.07688066660000174,0.013059112903176682,0.014933668850002847,0.0002514423121735367,0.17550711459999774,0.004323178000662846,,,,,,,,,,,,,,,,,0.07688066660000174,0.013059112903176682,0.07687051274997714,0.013059020180926383,1.015385002460789e-05,1.2985572731952653e-06,0.26732145005000235,0.013486833005269493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00022908129999450467,3.629506800176081e-05,0.01181238949999681,0.0005666026165613231,0.004981043749995706,0.0002471031301595521,0.001012364599995408,8.452129059996582e-05,0.0003292603999994981,5.8995823244372324e-05,3.577520000135337e-05,1.1428987321450094e-05,0.05847059799999386,0.013223917761361337
6,CountSketch,0.09505411469999388,0.012637697385490983,0.015133431299997824,0.0008128725597249604,0.1760582936999981,0.008574361820874333,,,,,,,,,,,,,,,,,0.09505411469999388,0.012637697385490983,0.09757436449994827,0.012580249783825515,0.0,0.0,0.2862458396999898,0.01647746697206889,,,,,,,,,,,,,,,,,,,8.060014999102804e-05,1.0008912508073783e-05,0.0025565457999960016,0.0002525959471532853,0.0025565457999960016,0.0002525959471532853,0.00313355829999864,0.00018420632909961558,0.0023873539499930986,0.00023338421497712445,0.00098393104999559,0.00012675415546729578,0.001033983499991109,0.00010518688431324723,0.00030314369999757674,9.801183844445542e-05,4.149374999826705e-05,1.2603378388444527e-05,0.08449720849999096,0.01271716846368737,,,,,,,,,,,,,,
