rho_n,rep,seed,n,K,m,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,p_in,p_out,sampling_mode,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_lift_sec,rs_sample_matrix_wall_sec,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec
8.0,9,820260515,5000,3,3,50642,306142,0.01224568,0.7595823750000363,0.11415275000001657,0,0.0,30.3852,52.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,1.152e-05,1.28e-06,sparse,Non-random,non_random,0.0,1.0,1.0,0.016784832999974242,0.05819266699995751,0.00013316700005816529,0.062390375000063614,0.12072829200008073,0.9999999999999994,0.6716767940788614,0.9944513340001322,1.363031000000774,0.1407325000000128,10.55206298828125,786.7265625,786.7265625,0.0,,,,,,,,,,,,,,,,,,,,,,,
8.0,9,820260515,5000,3,3,50642,306142,0.01224568,0.7595823750000363,0.11415275000001657,0,0.0,30.3852,52.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,1.152e-05,1.28e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0002,0.9994000000480864,0.9984674335039379,0.017718583000032595,0.27764537500002007,0.0002533750000566215,0.05476741699999366,0.33267095799999424,0.9999964646276428,0.6701010894472831,1.2064012920001232,3.650854000000436,0.35342595899999196,28.804804801940918,786.7265625,786.7265625,0.0,0.009194417000003341,0.1528011670000069,0.08595233400001234,0.020091125000021748,0.009290958000065075,0.0002586669999118385,,,,,,,,,,,,,,,,,
8.0,9,820260515,5000,3,3,50642,306142,0.01224568,0.7595823750000363,0.11415275000001657,0,0.0,30.3852,52.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,1.152e-05,1.28e-06,sparse,Random sampling,random_sampling,0.0032,0.990419449697982,0.9784498022972902,0.019928625000034117,0.07081862500001534,0.00010874999998122803,0.05825658399999156,0.12918837500001246,1.0591530377065212,0.7618620090484448,1.002919084000041,1.5369810000001962,0.15200341699994624,13.629411697387695,786.7265625,786.7265625,0.0,,,,,,,0.012896542000021327,0.057895541999982925,155571.0,109032.0,0.7,214564.0,,,,,,,,,,,
8.0,9,820260515,5000,3,3,50642,306142,0.01224568,0.7595823750000363,0.11415275000001657,0,0.0,30.3852,52.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,1.152e-05,1.28e-06,sparse,CountSketch random projection,countsketch_random_projection,0.0004,0.9988000002403457,0.9971871294320422,0.01840420799999265,0.2665743750000047,0.00035041700004967424,0.05230583299999125,0.31923649999998815,0.9999967411904923,0.6703865976293354,1.1929657500000985,3.5473369999999704,0.3405587500000138,22.665430068969727,786.7265625,786.7265625,0.0,,,,,,,,,,,,,0.0006131659999937256,163.0,17.0,50.0,0.0,0.0035972919999949227,0.14622533400006432,0.08532358299999032,0.022820833999958268,0.007728667000037603,0.00019766699995216186
8.0,10,820260516,5000,3,3,50294,304192,0.01216768,0.7527241249999861,0.11409237499992742,0,0.0,30.1764,50.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,1.152e-05,1.28e-06,sparse,Non-random,non_random,0.0008,0.9976007207686624,0.993869951956975,0.017296791000035228,0.057191792000026,0.00014495799996439018,0.058254959000009876,0.1155991669999139,1.0000000000000002,0.6669838637052534,0.9824082089999138,1.3424439999998867,0.13613833300007627,10.485115051269531,786.7265625,786.7265625,0.0,,,,,,,,,,,,,,,,,,,,,,,
8.0,10,820260516,5000,3,3,50294,304192,0.01216768,0.7527241249999861,0.11409237499992742,0,0.0,30.1764,50.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,1.152e-05,1.28e-06,sparse,Gaussian random projection,gaussian_random_projection,0.001,0.9970012634466354,0.9928420699632795,0.017049042000053305,0.2897315410000374,0.0002317500000117434,0.057653957999946215,0.3476218750000726,0.9999975254258388,0.6654265449175679,1.2144337489999089,3.7494980000001306,0.3676729169999362,28.78248882293701,786.7265625,786.7265625,0.0,0.009182042000020374,0.16637124999999742,0.08578645900001902,0.02040987500004121,0.007752875000051063,0.00018658400006188458,,,,,,,,,,,,,,,,,
8.0,10,820260516,5000,3,3,50294,304192,0.01216768,0.7527241249999861,0.11409237499992742,0,0.0,30.1764,50.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,1.152e-05,1.28e-06,sparse,Random sampling,random_sampling,0.0046,0.9862424981013815,0.9704535974248243,0.01706066600002032,0.06960129200001575,0.00012862500000210275,0.0656426250000095,0.13537766699994336,1.05864332079563,0.7602410191144093,1.0021890419999409,1.6395489999995334,0.15544920900003945,13.522651672363281,786.7265625,786.7265625,0.0,,,,,,,0.011425542000097266,0.058147874999917804,154596.0,108053.0,0.7,212588.0,,,,,,,,,,,
8.0,10,820260516,5000,3,3,50294,304192,0.01216768,0.7527241249999861,0.11409237499992742,0,0.0,30.1764,50.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,1.152e-05,1.28e-06,sparse,CountSketch random projection,countsketch_random_projection,0.0014,0.9958027011646805,0.989525117243518,0.01887970799998584,0.26564616600001045,0.00035879200004274026,0.06166875000008076,0.32767983400003686,0.9999964596428185,0.6651575694843365,1.1944902080000475,3.5585140000002866,0.34949475000007624,22.64311408996582,786.7265625,786.73046875,0.00390625,,,,,,,,,,,,,0.000616917000002104,163.0,16.0,51.0,0.0,0.003593832999968072,0.14351270899999236,0.08749241600003188,0.019888708000053157,0.010243500000001404,0.00022208400002909912
16.0,1,1620260507,5000,3,3,100227,596178,0.02384712,1.5106375420000404,0.23485641599995688,0,0.0,60.1362,88.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,2.304e-05,2.56e-06,sparse,Non-random,non_random,0.0,1.0,1.0,0.020926499999973203,0.03712325000003602,0.00015383300001303724,0.05229254200003197,0.08957720800003699,1.0,0.6591163437403941,1.8350635830000783,1.1190660000002026,0.11668208399999003,20.509658813476562,786.73046875,786.73046875,0.0,,,,,,,,,,,,,,,,,,,,,,,
16.0,1,1620260507,5000,3,3,100227,596178,0.02384712,1.5106375420000404,0.23485641599995688,0,0.0,60.1362,88.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,2.304e-05,2.56e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,1.0,0.016865082999970582,0.43217733400001634,0.00036533299999064184,0.05369408299998213,0.48624262500004534,0.9999993301608506,0.658577765415064,2.2317307079999864,4.167989999999918,0.5085339590000331,32.124003410339355,786.73046875,786.73046875,0.0,0.00910333299998456,0.2893077499999208,0.09015650000003461,0.03463241700001163,0.00857104099998196,0.000334374999965803,,,,,,,,,,,,,,,,,
16.0,1,1620260507,5000,3,3,100227,596178,0.02384712,1.5106375420000404,0.23485641599995688,0,0.0,60.1362,88.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,2.304e-05,2.56e-06,sparse,Random sampling,random_sampling,0.0002,0.999399999976,0.9984674336385791,0.017283874999975524,0.08558708399993975,0.00011199999994460086,0.05465329200001179,0.14035679100004472,1.0580235427145996,0.7450006301015967,1.8858463339998934,1.7226519999994707,0.16255716699993172,26.366663932800293,786.73046875,789.91796875,3.1875,,,,,,,0.024187959000073533,0.06137333399999534,300589.0,210559.0,0.7,417574.0,,,,,,,,,,,
16.0,1,1620260507,5000,3,3,100227,596178,0.02384712,1.5106375420000404,0.23485641599995688,0,0.0,60.1362,88.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,2.304e-05,2.56e-06,sparse,CountSketch random projection,countsketch_random_projection,0.0,1.0,1.0,0.01720679199991082,0.4109346249999817,0.00024179199999707635,0.05156712500001959,0.4627488749999884,0.9999992618591813,0.6586746298070796,2.2082374999999956,4.351257999999689,0.4849949999999126,25.984628677368164,789.91796875,789.91796875,0.0,,,,,,,,,,,,,0.0006272919999901205,163.0,18.0,44.0,0.0,0.008249083000009705,0.271728166999992,0.0864524999999503,0.03459154100005435,0.009012916999949994,0.00022012500005530455
16.0,2,1620260508,5000,3,3,100692,598786,0.02395144,1.52361766599995,0.23952870799996617,0,0.0,60.4152,87.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,2.304e-05,2.56e-06,sparse,Non-random,non_random,0.0,1.0,1.0,0.01723608300005708,0.037353292000034344,0.00014712500001223816,0.054065207999997256,0.09157416599998669,0.9999999999999996,0.6572934864117851,1.85471199899996,1.083107999999811,0.1143723749999026,20.599197387695312,789.91796875,789.91796875,0.0,,,,,,,,,,,,,,,,,,,,,,,
16.0,2,1620260508,5000,3,3,100692,598786,0.02395144,1.52361766599995,0.23952870799996617,0,0.0,60.4152,87.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,2.304e-05,2.56e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,1.0,0.01720312500003729,0.4386338330000399,0.00023062499997195118,0.052254542000014226,0.4911240840000346,0.9999994305497159,0.6568475924343026,2.2542653739999423,4.276910999999927,0.5138761250000243,32.153849601745605,789.91796875,789.91796875,0.0,0.009647416999996494,0.2989947909999273,0.08551933299997927,0.035106000000041604,0.009084458999950584,0.00023116600004868815,,,,,,,,,,,,,,,,,
16.0,2,1620260508,5000,3,3,100692,598786,0.02395144,1.52361766599995,0.23952870799996617,0,0.0,60.4152,87.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,2.304e-05,2.56e-06,sparse,Random sampling,random_sampling,0.0,1.0,1.0,0.01700816700008545,0.08699712500003898,0.00011512499997934356,0.05194395800003804,0.13906104199998026,1.0535209614345706,0.73933466200561,1.9022025819999726,1.7139939999997296,0.16104949999999008,26.47133731842041,789.91796875,789.91796875,0.0,,,,,,,0.023850958000025457,0.06312070799992853,301893.0,211301.0,0.7,419134.0,,,,,,,,,,,
16.0,2,1620260508,5000,3,3,100692,598786,0.02395144,1.52361766599995,0.23952870799996617,0,0.0,60.4152,87.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,2.304e-05,2.56e-06,sparse,CountSketch random projection,countsketch_random_projection,0.0,1.0,1.0,0.018493208999984745,0.40082654200000434,0.00022445900003731367,0.05399679200002083,0.4550522499999943,0.9999992885127019,0.656684646512347,2.2181941669999787,4.356714999999895,0.47852979200001755,26.014474868774414,789.91796875,789.91796875,0.0,,,,,,,,,,,,,0.0006168339999703676,163.0,15.0,44.0,0.0,0.008330709000006209,0.26298979199998485,0.08446104100005414,0.035486290999983794,0.008704207999926439,0.00019087499993020174
16.0,3,1620260509,5000,3,3,100715,598712,0.02394848,1.5618530419999388,0.23929208300000937,0,0.0,60.429,95.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,2.304e-05,2.56e-06,sparse,Non-random,non_random,0.0,1.0,1.0,0.01729904199999055,0.035931290999997145,0.00015799999994214886,0.05624683299993194,0.09234429200000704,0.9999999999999998,0.6569451323690757,1.8934812489998194,1.1230029999996987,0.1168457500000386,20.596656799316406,789.91796875,789.91796875,0.0,,,,,,,,,,,,,,,,,,,,,,,
16.0,3,1620260509,5000,3,3,100715,598712,0.02394848,1.5618530419999388,0.23929208300000937,0,0.0,60.429,95.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,2.304e-05,2.56e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,1.0,0.01686112499999126,0.450797290999958,0.0003608750000694272,0.05252804199994898,0.5036916669999982,0.999999399707805,0.6564029260033554,2.3048313329999246,4.219728000000032,0.5264001660000304,32.15300273895264,789.91796875,802.48046875,12.5625,0.011088666999967245,0.30575329199996304,0.08924320800008445,0.034952959000065675,0.009424500000022817,0.000263459000052535,,,,,,,,,,,,,,,,,
16.0,3,1620260509,5000,3,3,100715,598712,0.02394848,1.5618530419999388,0.23929208300000937,0,0.0,60.429,95.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,2.304e-05,2.56e-06,sparse,Random sampling,random_sampling,0.0,1.0,1.0,0.016924832999961836,0.08518845799994779,0.0001796660000081829,0.0546163340000021,0.13999012500005392,1.0565052350712012,0.7437517442900309,1.9411295829999062,1.7214239999993879,0.16190837500005273,26.476240158081055,802.48046875,802.48046875,0.0,,,,,,,0.022267749999969055,0.06288387500001136,301856.0,211411.0,0.7,419305.0,,,,,,,,,,,
16.0,3,1620260509,5000,3,3,100715,598712,0.02394848,1.5618530419999388,0.23929208300000937,0,0.0,60.429,95.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,2.304e-05,2.56e-06,sparse,CountSketch random projection,countsketch_random_projection,0.0,1.0,1.0,0.01724704200000815,0.4107695830000466,0.0003528330000790447,0.05350324999994882,0.4646313340000461,0.9999993641289054,0.6564001510456948,2.2657707910000227,4.353090999999949,0.48682687500001975,26.013628005981445,802.48046875,802.48046875,0.0,,,,,,,,,,,,,0.0006131250000862565,163.0,14.0,44.0,0.0,0.008285957999987659,0.2712209170000506,0.08613766600001327,0.03496016700000837,0.009253499999999804,0.0002200410000341435
16.0,4,1620260510,5000,3,3,100583,598372,0.02393488,1.5167714589999832,0.24037854100004097,0,0.0,60.3498,90.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,2.304e-05,2.56e-06,sparse,Non-random,non_random,0.0,1.0,1.0,0.01693549999993138,0.03783783400001539,0.00015516700000262063,0.053483125000070686,0.09148541599995497,1.0,0.6595305691576183,1.848626126000113,1.1111689999997907,0.11453741599996192,20.584983825683594,802.48046875,802.48046875,0.0,,,,,,,,,,,,,,,,,,,,,,,
16.0,4,1620260510,5000,3,3,100583,598372,0.02393488,1.5167714589999832,0.24037854100004097,0,0.0,60.3498,90.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,2.304e-05,2.56e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,1.0,0.01685908299998573,0.4351417909999782,0.00022358399996846856,0.054666041000018595,0.49003604100005305,0.9999994039109493,0.659061513429555,2.2471814159999894,4.277906000000257,0.5154396249999991,32.1491117477417,802.48046875,802.48046875,0.0,0.009175750000053995,0.29318100000000413,0.08927849999997761,0.035025874999973894,0.00825145800001792,0.00018591700006709289,,,,,,,,,,,,,,,,,
16.0,4,1620260510,5000,3,3,100583,598372,0.02393488,1.5167714589999832,0.24037854100004097,0,0.0,60.3498,90.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,2.304e-05,2.56e-06,sparse,Random sampling,random_sampling,0.0,1.0,1.0,0.019143124999914107,0.08444295799995416,0.00010999999994965037,0.05292041699999572,0.1374779169999556,1.055553102868881,0.74656426216478,1.8946233749999237,1.7049630000001343,0.16162225000005037,26.450345039367676,802.48046875,802.48046875,0.0,,,,,,,0.021716416000003846,0.06270329199992375,301686.0,211128.0,0.7,418756.0,,,,,,,,,,,
16.0,4,1620260510,5000,3,3,100583,598372,0.02393488,1.5167714589999832,0.24037854100004097,0,0.0,60.3498,90.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,2.304e-05,2.56e-06,sparse,CountSketch random projection,countsketch_random_projection,0.0,1.0,1.0,0.017579458999989583,0.4001301250000324,0.0003563750000239452,0.051553792000049725,0.45204658300008305,0.9999992974334627,0.6590019388462254,2.2091902920001303,4.226181999999426,0.4747969170000488,26.009737014770508,802.48046875,802.48046875,0.0,,,,,,,,,,,,,0.001066916000013407,163.0,17.0,45.0,0.0,0.010335957999927814,0.2600117910000108,0.08342904200003431,0.035632333999956245,0.009355708000043705,0.0002243330000055721
16.0,5,1620260511,5000,3,3,100638,598568,0.02394272,1.5208138340000232,0.23697637499992652,0,0.0,60.3828,87.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,2.304e-05,2.56e-06,sparse,Non-random,non_random,0.0,1.0,1.0,0.017882958999962284,0.037482834000002185,0.00016012499997941632,0.05967800000007628,0.0973287500000879,0.9999999999999999,0.6587694906845839,1.8551111680000076,1.1536510000005364,0.12143274999993992,20.591712951660156,802.48046875,802.48046875,0.0,,,,,,,,,,,,,,,,,,,,,,,
16.0,5,1620260511,5000,3,3,100638,598568,0.02394272,1.5208138340000232,0.23697637499992652,0,0.0,60.3828,87.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,2.304e-05,2.56e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,1.0,0.019333624999944732,0.4277508749999015,0.000223667000000205,0.05225666599994838,0.4802357920000304,0.9999992864407848,0.6583527461332317,2.2380214169998,4.2247669999997015,0.5050914580000381,32.15135478973389,802.48046875,802.88671875,0.40625,0.009088499999961641,0.28847012500000346,0.08727254199993695,0.03480141600005027,0.007891749999998865,0.00018229199997676915,,,,,,,,,,,,,,,,,
16.0,5,1620260511,5000,3,3,100638,598568,0.02394272,1.5208138340000232,0.23697637499992652,0,0.0,60.3828,87.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,2.304e-05,2.56e-06,sparse,Random sampling,random_sampling,0.0,1.0,1.0,0.017256500000030428,0.0859534999999596,0.00011387500001092121,0.05332987500003128,0.13940216699995744,1.0544829159018618,0.7442871021386473,1.8971874589999516,1.705323000000135,0.16166416600003686,26.440403938293457,802.88671875,802.88671875,0.0,,,,,,,0.021697334000009505,0.06422924999992574,301784.0,210934.0,0.7,418358.0,,,,,,,,,,,
16.0,5,1620260511,5000,3,3,100638,598568,0.02394272,1.5208138340000232,0.23697637499992652,0,0.0,60.3828,87.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,2.304e-05,2.56e-06,sparse,CountSketch random projection,countsketch_random_projection,0.0,1.0,1.0,0.017162708000000748,0.40538712499994745,0.00022733400010110927,0.05229941699997198,0.4579193329999498,0.9999993592346801,0.6582676809248094,2.2157040849999703,4.3545640000002095,0.4815390830000297,26.011980056762695,802.88671875,802.88671875,0.0,,,,,,,,,,,,,0.001041500000042106,163.0,12.0,44.0,0.0,0.009729042000003574,0.26501775000008365,0.08571345799998653,0.03490958400004729,0.008724082999947314,0.00019383300002573378
16.0,6,1620260512,5000,3,3,100197,595562,0.02382248,1.523528666000061,0.24621625000008862,0,0.0,60.1182,92.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,2.304e-05,2.56e-06,sparse,Non-random,non_random,0.0,1.0,1.0,0.018298458999993272,0.04089699999997265,0.00013295899998411187,0.060227666999935536,0.10126529199999368,1.0000000000000002,0.6575600720267665,1.871002542000042,1.0545279999996637,0.12643004200003816,20.488510131835938,802.88671875,802.88671875,0.0,,,,,,,,,,,,,,,,,,,,,,,
