rho_n,method,rep,seed,n,K,m,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_theta_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,rs_sample_matrix_wall_sec,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
1.0,Random sampling,1,120260428,5000,3,3,6228,0.6622,-8.120887908814638e-06,0.0008011901708292959,0.21966187504585832,0.01598241599276662,0.10439712496008724,0.023130750050768256,122,0.0244,3.7368,13.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.00154020800255239,0.008743333979509771,23538,16535,0.7,29634,0.010293792001903057,6.77919015288353e-05,0.0940322499955073,1.1596545833777019,1.1039855960029226,0.34003812493756413,1.44e-06,1.6e-07,sparse,2.410803999999999,0.42371854197699577,4.837210655212402,283.734375,285.265625,1.53125
1.0,Random sampling,2,120260429,5000,3,3,6316,0.662,3.1812424116162274e-05,0.002621312032854319,0.22301620803773403,0.015310292015783489,0.11206629103980958,0.02249670901801437,101,0.0202,3.7896,12.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.0015077089192345738,0.00850958307273686,23826,16653,0.7,29894,0.01002737507224083,6.850005593150854e-05,0.10196695802733302,1.1911306295429331,1.1086011831246794,0.3503893332090229,1.44e-06,1.6e-07,sparse,2.3608989999999963,0.4338881670264527,4.873238563537598,285.265625,287.40625,2.140625
1.0,Random sampling,3,120260430,5000,3,3,6323,0.654,0.00034163586991684523,0.005743033261090332,0.21201666595879942,0.016025334014557302,0.18013870797585696,0.020111042074859142,135,0.027,3.7938,11.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.0017179169226437807,0.008613916928879917,23811,16609,0.7,29842,0.010343499947339296,6.649992428719997e-05,0.16972533299122006,1.2818622312128745,1.1147684622105958,0.4081773328362033,1.44e-06,1.6e-07,sparse,2.8839550000000003,0.4896571250865236,4.875288009643555,287.40625,287.6875,0.28125
1.0,Random sampling,4,120260431,5000,3,3,6361,0.6632,3.5125563744355867e-06,0.001031373297136013,0.20810408308170736,0.015531833982095122,0.15452937502413988,0.021706291008740664,117,0.0234,3.8166,13.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.0015906660119071603,0.009839584003202617,23950,16784,0.7,30145,0.011440041940659285,6.591703277081251e-05,0.14301862497814,1.1071926266840038,1.0706280648176514,0.3781605010153726,1.44e-06,1.6e-07,sparse,2.6890029999999996,0.46049133397173136,4.891260147094727,287.6875,287.765625,0.078125
1.0,Random sampling,5,120260432,5000,3,3,6271,0.6612,0.00021788962502138304,0.0034114282450129992,0.24061712506227195,0.016164707951247692,0.1089475000044331,0.018145416979677975,113,0.0226,3.7626,12.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.0015963749028742313,0.010347250034101307,23678,16499,0.7,29568,0.01195483305491507,0.00014229200314730406,0.09684675000607967,1.1191506875596504,1.0830474151092744,0.3657257080776617,1.44e-06,1.6e-07,sparse,2.0094680000000054,0.43968049995601177,4.852502822875977,287.765625,288.53125,0.765625
1.0,Random sampling,6,120260433,5000,3,3,6246,0.6624,2.591860084009291e-05,0.0010420050220199151,0.21976420795544982,0.016198208089917898,0.22243870794773102,0.02380050008650869,109,0.0218,3.7476,13.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.0015577910235151649,0.009044667007401586,23610,16538,0.7,29636,0.010614332975819707,6.979203317314386e-05,0.21175095799844712,1.1879298506413063,1.1288403199118935,0.4583974990528077,1.44e-06,1.6e-07,sparse,3.0326439999999906,0.5371568329865113,4.845599174499512,288.53125,288.5625,0.03125
1.0,Random sampling,7,120260434,5000,3,3,6359,0.6644,-2.047424373689958e-05,0.0005802862067143735,0.22228754102252424,0.015958416974171996,0.09518329205457121,0.024353708955459297,128,0.0256,3.8154,12.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.0017016660422086716,0.008838666952215135,23929,16725,0.7,30056,0.01055200002156198,6.912497337907553e-05,0.08455737493932247,1.1279990735582441,1.100398537888768,0.33342445793095976,1.44e-06,1.6e-07,sparse,2.1615099999999927,0.4199752080021426,4.889089584350586,288.5625,288.59375,0.03125
1.0,Random sampling,8,120260435,5000,3,3,6248,0.6576,0.00015430392418608557,0.0032872606971259457,0.22146891697775573,0.015548542025499046,0.11266954196617007,0.023421957972459495,103,0.0206,3.7488,13.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.0017921660328283906,0.008897791034542024,23626,16589,0.7,29733,0.010729333036579192,0.00013770803343504667,0.10179683403111994,1.189779708657296,1.1145598522631892,0.34968133410438895,1.44e-06,1.6e-07,sparse,2.1488590000000016,0.43821691698394716,4.84693717956543,288.59375,288.609375,0.015625
1.0,Random sampling,9,120260436,5000,3,3,6141,0.6636,-2.149242129224653e-05,0.0004110580855738602,0.21699195797555149,0.015225667040795088,0.11741183407139033,0.02549620799254626,132,0.0264,3.6846,13.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.001491582952439785,0.008797708083875477,23276,16211,0.7,29030,0.010299707995727658,6.624998059123755e-05,0.10704145894851536,1.1521668688594515,1.0992729258435545,0.3496250419411808,1.44e-06,1.6e-07,sparse,2.225233000000003,0.4315601659473032,4.799393653869629,288.609375,290.203125,1.59375
1.0,Random sampling,10,120260437,5000,3,3,6189,0.6562,0.00021488204970197548,0.002775678991452421,0.21662570897024125,0.015140292001888156,0.13923470897134393,0.02281712496187538,122,0.0244,3.7134,11.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.001461499952711165,0.010276708984747529,23428,16250,0.7,29082,0.011749166995286942,9.629200212657452e-05,0.1273857499472797,1.156884251935059,1.1141416051709347,0.3709972099168226,1.44e-06,1.6e-07,sparse,2.5311319999999995,0.45437375002074987,4.8170366287231445,290.203125,290.21875,0.015625
