n,alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
200,0.1414213562373095,8,Random Projection,7.43072178653121,0.2,0.006791972886354081,0.02180019998922944,0.0005998001433908939,0.0014764000661671162,2.5899847969412804e-05,0.00020759995095431805,8.429982699453831e-05,5.059991963207722e-05,4.630000330507755e-05,7.200008258223534e-05,6.00004568696022e-06,0.021304199937731028,0.02180019998922944,0.021796899614855647,3.300374373793602e-06,0.02387640019878745,,,,,,,,,
200,0.1414213562373095,8,Random Sampling,8.703930903974689,0.3,0.005515759436988066,0.026159900007769465,0.0005998001433908939,0.0015879999846220016,,,,,,,,,0.026159900007769465,0.02615629998035729,3.600027412176132e-06,0.02834770013578236,0.00031299982219934464,0.00033379998058080673,0.002785300137475133,3.350013867020607e-05,7.16999638825655e-05,0.022618999937549233,,,
200,0.1414213562373095,8,Non-random,8.407852125357072,0.16,0.007444428261745323,0.02534579997882247,0.0005998001433908939,0.0018019999843090773,,,,,,,,,0.02534579997882247,0.02534409984946251,1.700129359960556e-06,0.02774760010652244,,,,,,,0.004466899903491139,0.020856699906289577,2.050003968179226e-05
200,0.1414213562373095,9,Random Projection,7.541106610557196,0.19,0.005431953712747628,0.021950999973341823,0.00048230006359517574,0.0015940000303089619,2.169981598854065e-05,0.00016020005568861961,6.220000796020031e-05,4.220008850097656e-05,3.8499943912029266e-05,4.910002462565899e-05,4.100147634744644e-06,0.021570099983364344,0.021950999973341823,0.021948100067675114,2.8999056667089462e-06,0.02402730006724596,,,,,,,,,
200,0.1414213562373095,9,Random Sampling,9.130478955176587,0.38,0.01097671888302254,0.028789500007405877,0.00048230006359517574,0.0019157999195158482,,,,,,,,,0.028789500007405877,0.02878529974259436,4.200264811515808e-06,0.0311875999905169,0.00022249994799494743,0.00031869998201727867,0.002678799908608198,3.42000275850296e-05,7.479987107217312e-05,0.025456300005316734,,,
200,0.1414213562373095,9,Non-random,8.927822298404486,0.2,0.013279056985830984,0.031955899903550744,0.00048230006359517574,0.0022110999561846256,,,,,,,,,0.031955899903550744,0.031936299754306674,1.9600149244070053e-05,0.034649299923330545,,,,,,,0.004512899788096547,0.02735810005106032,6.529991514980793e-05
200,0.1414213562373095,10,Random Projection,7.205639385248605,0.32999999999999996,0.012295776361057525,0.02724820002913475,0.0005147999618202448,0.0017373000737279654,2.659996971487999e-05,0.00019200006499886513,7.79998954385519e-05,4.360009916126728e-05,3.0199997127056122e-05,5.410006269812584e-05,4.600035026669502e-06,0.02681559999473393,0.02724820002913475,0.027244700118899345,3.4999102354049683e-06,0.02950030006468296,,,,,,,,,
200,0.1414213562373095,10,Random Sampling,9.185382965623436,0.27,0.008954631778020139,0.03017739998176694,0.0005147999618202448,0.0016509001143276691,,,,,,,,,0.03017739998176694,0.030173100298270583,4.2996834963560104e-06,0.03234310005791485,0.00023380015045404434,0.0003190001007169485,0.002911000046879053,4.460010677576065e-05,9.109987877309322e-05,0.026573600014671683,,,
200,0.1414213562373095,10,Non-random,8.6708690957732,0.2,0.0050739016271279525,0.029670599848031998,0.0005147999618202448,0.0019163999240845442,,,,,,,,,0.029670599848031998,0.02966830017976463,2.2996682673692703e-06,0.03210179973393679,,,,,,,0.005507099907845259,0.0241375002078712,2.3700064048171043e-05
200,0.1414213562373095,11,Random Projection,6.994857932533944,0.26,0.004881061404000603,0.023341000080108643,0.0005952001083642244,0.001366599928587675,2.629985101521015e-05,0.00018710014410316944,7.529999129474163e-05,5.179992876946926e-05,4.529999569058418e-05,6.310013122856617e-05,6.00004568696022e-06,0.022882899967953563,0.023341000080108643,0.023337800055742264,3.200024366378784e-06,0.025302800117060542,,,,,,,,,
200,0.1414213562373095,11,Random Sampling,8.984310886389144,0.44000000000000006,0.010659369350798725,0.026815000222995877,0.0005952001083642244,0.0019365998450666666,,,,,,,,,0.026815000222995877,0.026811799965798855,3.200257197022438e-06,0.02934680017642677,0.00020130001939833164,0.0003060998860746622,0.002973299939185381,4.109996370971203e-05,9.09001100808382e-05,0.02319910004734993,,,
200,0.1414213562373095,11,Non-random,8.663812041267727,0.15000000000000002,0.0074983113527181955,0.02722309995442629,0.0005952001083642244,0.0018971001263707876,,,,,,,,,0.02722309995442629,0.027221399825066328,1.700129359960556e-06,0.0297154001891613,,,,,,,0.004683599807322025,0.02251609996892512,2.1700048819184303e-05
200,0.1414213562373095,12,Random Projection,7.193038512052306,0.68,0.021447362549371893,0.021882900036871433,0.00046689994633197784,0.0013911998830735683,2.159993164241314e-05,0.00015980005264282227,6.360001862049103e-05,4.569999873638153e-05,3.8999831303954124e-05,4.950002767145634e-05,4.200031980872154e-06,0.021497000008821487,0.021882900036871433,0.021880399901419878,2.500135451555252e-06,0.02374099986627698,,,,,,,,,
200,0.1414213562373095,12,Random Sampling,8.180063222154313,0.28,0.005459935685482337,0.024695400148630142,0.00046689994633197784,0.0015159000176936388,,,,,,,,,0.024695400148630142,0.02469219989143312,3.200257197022438e-06,0.02667820011265576,0.00022200006060302258,0.00031949998810887337,0.0026984999421983957,3.3899908885359764e-05,7.329997606575489e-05,0.021345000015571713,,,
200,0.1414213562373095,12,Non-random,8.629542997735832,0.18,0.009048242382714178,0.0248000998981297,0.00046689994633197784,0.0017556000966578722,,,,,,,,,0.0248000998981297,0.024798500118777156,1.5997793525457382e-06,0.02702259994111955,,,,,,,0.0045044999569654465,0.020272500114515424,2.150004729628563e-05
200,0.1414213562373095,13,Random Projection,7.437946339356125,0.21000000000000002,0.009139584296773973,0.0228108000010252,0.000547399977222085,0.0016864000353962183,2.6499852538108826e-05,0.00019230018369853497,7.349997758865356e-05,5.049980245530605e-05,4.560011439025402e-05,5.230004899203777e-05,4.09991480410099e-06,0.022362299961969256,0.0228108000010252,0.022807099856436253,3.700144588947296e-06,0.025044600013643503,,,,,,,,,
200,0.1414213562373095,13,Random Sampling,9.229348986120854,0.31,0.01985675597698197,0.0261587998829782,0.000547399977222085,0.0020401999354362488,,,,,,,,,0.0261587998829782,0.026155200321227312,3.5995617508888245e-06,0.028746399795636535,0.0002367000561207533,0.00031160004436969757,0.002723400015383959,4.2499974370002747e-05,6.960006430745125e-05,0.02277140016667545,,,
200,0.1414213562373095,13,Non-random,8.565774748178994,0.16,0.0023126515309371543,0.025509200058877468,0.000547399977222085,0.0017427001148462296,,,,,,,,,0.025509200058877468,0.025507399812340736,1.80024653673172e-06,0.027799300150945783,,,,,,,0.004451399901881814,0.021031799959018826,2.41999514400959e-05
200,0.1414213562373095,14,Random Projection,7.398503643146041,0.69,0.021806345370354294,0.023140799952670932,0.0005818000063300133,0.0014973999932408333,2.1800165995955467e-05,0.00014119991101324558,6.329989992082119e-05,4.360009916126728e-05,3.300001844763756e-05,5.119992420077324e-05,4.499917849898338e-06,0.02277970011346042,0.023140799952670932,0.02313830005005002,2.499902620911598e-06,0.02521999995224178,,,,,,,,,
200,0.1414213562373095,14,Random Sampling,9.498581148022526,0.43,0.0071220420444397525,0.024056100053712726,0.0005818000063300133,0.0015994999557733536,,,,,,,,,0.024056100053712726,0.024052999913692474,3.100140020251274e-06,0.026237400015816092,0.00017190002836287022,0.00025669997557997704,0.0018488999921828508,3.290013410151005e-05,7.299985736608505e-05,0.02166959992609918,,,
200,0.1414213562373095,14,Non-random,8.534053694650549,0.29000000000000004,0.009457928958583883,0.0255475000012666,0.0005818000063300133,0.001812600065022707,,,,,,,,,0.0255475000012666,0.02554539986886084,2.100132405757904e-06,0.02794190007261932,,,,,,,0.004450300009921193,0.02107219980098307,2.2900057956576347e-05
200,0.1414213562373095,15,Random Projection,8.136124788298554,0.28,0.020642278812499665,0.021413200069218874,0.0006818999536335468,0.0012886999174952507,2.769986167550087e-05,0.0001876000314950943,8.979998528957367e-05,5.550007335841656e-05,4.029995761811733e-05,6.999983452260494e-05,5.600042641162872e-06,0.020933100022375584,0.021413200069218874,0.021409599808976054,3.600260242819786e-06,0.02338379994034767,,,,,,,,,
200,0.1414213562373095,15,Random Sampling,8.882725539874995,0.29000000000000004,0.02089142050037085,0.022910699946805835,0.0006818999536335468,0.0015132001135498285,,,,,,,,,0.022910699946805835,0.022907900158315897,2.7997884899377823e-06,0.02510580001398921,0.00015110010281205177,0.0002617000136524439,0.002001499990001321,3.7400051951408386e-05,6.180000491440296e-05,0.02039439999498427,,,
200,0.1414213562373095,15,Non-random,8.750722622884446,0.13,0.011044017723909338,0.02585990005172789,0.0006818999536335468,0.0019450001418590546,,,,,,,,,0.02585990005172789,0.025858200155198574,1.6998965293169022e-06,0.028486800147220492,,,,,,,0.004508000100031495,0.021329799899831414,2.040015533566475e-05
