alpha_n,method,time_sec_mean,time_sec_std,instance_gen_sec_mean,instance_gen_sec_std,metric_eval_sec_mean,metric_eval_sec_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_reconstruct_sec_mean,rp_reconstruct_sec_std,rp_small_eig_sec_mean,rp_small_eig_sec_std,rp_lift_sec_mean,rp_lift_sec_std,rp_kmeans_sec_mean,rp_kmeans_sec_std,algo_total_sec_mean,algo_total_sec_std,algo_step_sum_sec_mean,algo_step_sum_sec_std,algo_other_sec_mean,algo_other_sec_std,pipeline_total_sec_mean,pipeline_total_sec_std,rs_sample_mask_sec_mean,rs_sample_mask_sec_std,rs_build_sampled_matrix_sec_mean,rs_build_sampled_matrix_sec_std,rs_eig_sec_mean,rs_eig_sec_std,rs_reconstruct_sec_mean,rs_reconstruct_sec_std,rs_symmetrize_sec_mean,rs_symmetrize_sec_std,rs_kmeans_sec_mean,rs_kmeans_sec_std,nr_eig_sec_mean,nr_eig_sec_std,nr_kmeans_sec_mean,nr_kmeans_sec_std,nr_copy_sec_mean,nr_copy_sec_std,cs_draw_hash_sec_mean,cs_draw_hash_sec_std,cs_initial_multiply_sec_mean,cs_initial_multiply_sec_std,cs_sparse_explicit_sketch_sec_mean,cs_sparse_explicit_sketch_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_reconstruct_sec_mean,cs_reconstruct_sec_std,cs_small_eig_sec_mean,cs_small_eig_sec_std,cs_lift_sec_mean,cs_lift_sec_std,cs_kmeans_sec_mean,cs_kmeans_sec_std,sign_draw_omega_sec_mean,sign_draw_omega_sec_std,sign_subspace_iter_sec_mean,sign_subspace_iter_sec_std,sign_reconstruct_sec_mean,sign_reconstruct_sec_std,sign_build_core_sec_mean,sign_build_core_sec_std,sign_small_eig_sec_mean,sign_small_eig_sec_std,sign_lift_sec_mean,sign_lift_sec_std,sign_kmeans_sec_mean,sign_kmeans_sec_std
0.15,CountSketch,0.03531414385000033,0.0021724016125893334,0.014845935399999632,0.00018656846717829718,0.1923871938000005,0.022400089745450973,,,,,,,,,,,,,,,,,0.03531414385000033,0.0021724016125893334,0.037854691849976516,0.0024194181825692405,0.0,0.0,0.24254727305000046,0.02196791528473943,,,,,,,,,,,,,,,,,,,8.699159999281392e-05,1.8015397257918956e-05,0.002578812599996638,0.00035466486712211416,0.002578812599996638,0.00035466486712211416,0.0030256770999997685,0.001093242410255772,0.00162862914999522,0.00022612213398505172,0.0009709439000005204,0.0003502116878547613,0.001010945799997387,0.00021437603975402552,0.00018741664999737394,6.322130461391121e-05,2.7460500001552644e-05,8.294955155829583e-06,0.025759001949998604,0.0013060245439696812,,,,,,,,,,,,,,
0.15,Non-random,0.4597586832999994,0.011135339979783531,0.014845935399999632,0.00018656846717829718,0.22426943739999955,0.014773288726534101,,,,,,,,,,,,,,,,,0.4597586832999994,0.011135339979783531,0.4597544436000021,0.011135184288518396,4.23969999729934e-06,7.12115905473694e-07,0.6988740560999986,0.017976028501983973,,,,,,,,,,,,,0.43393250415000323,0.01118137873407772,0.025355374800001586,0.0009493781298153705,0.00046656464999728087,0.00013327861303935614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,Random Projection,0.03033348125000117,0.0012105639153586177,0.014845935399999632,0.00018656846717829718,0.17436062079999887,0.004656757756081798,0.00018357080000157565,4.896823776396245e-06,0.003418456249997348,0.00017372586641285838,0.0018149521500021137,0.0001941028073432024,0.0008722645499972259,9.430306926922135e-05,0.0009878416500001207,8.157078027344512e-05,0.0002970206999975744,4.389141710200135e-05,2.719165000399926e-05,1.0154999756139665e-05,0.02272267494999767,0.0011640698817612402,0.03033348125000117,0.0012105639153586177,0.030323972699997627,0.00121030460946789,9.508550003545225e-06,2.6686279231783978e-06,0.21954003744999967,0.004632221329361936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,Random Sampling,0.07931887715000271,0.0022471542879270823,0.014845935399999632,0.00018656846717829718,0.20900321454999898,0.0032724504712553534,,,,,,,,,,,,,,,,,0.07931887715000271,0.0022471542879270823,0.0793105728499924,0.002245644772375818,8.304300010308907e-06,2.1940818704204396e-06,0.30316802710000135,0.004341037146292614,0.005317568799998185,0.0002134292284413136,0.009205764550004858,5.196586645389424e-05,0.030818937499998356,0.0011073327104937653,0.000668218799998499,5.907075772127786e-05,0.0028587726499978315,0.00012125556678761812,0.03044131054999468,0.001335195636778181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,SIGN Bidirectional,0.04438817919999991,0.0028792064294448105,0.014845935399999632,0.00018656846717829718,0.17764309784999882,0.010742393277594669,,,,,,,,,,,,,,,,,0.04438817919999991,0.0028792064294448105,0.04437854359998852,0.0028787237119278007,9.635600011392854e-06,1.3553136163699779e-06,0.23687721244999835,0.011035993261517604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00019172504999431794,2.5572063686676265e-05,0.009462495799995451,0.0008614035865669673,0.0048261622500021415,0.00030380245168030914,0.000955031399996642,0.00010363791602978125,0.00024305004999973788,6.51796680314103e-05,2.4226999998688824e-05,6.4036607443977956e-06,0.02867585205000154,0.003337276564448062
0.2,CountSketch,0.032509499999996194,0.001555369095744909,0.014974366650005778,0.0002709299617896873,0.20164612490000594,0.01905084961612432,,,,,,,,,,,,,,,,,0.032509499999996194,0.001555369095744909,0.035125431350016355,0.0016966837104952883,0.0,0.0,0.2491299915500079,0.019403005577417993,,,,,,,,,,,,,,,,,,,9.199569999935875e-05,1.707040755184899e-05,0.002655820800001152,0.00026197832210716034,0.002655820800001152,0.00026197832210716034,0.0028475000000028673,0.0002727069926064469,0.0016564209000023312,0.00024788879051396883,0.0009394688000000428,0.00016317732247453414,0.0010186812500023734,0.0001469486093390472,0.000211177200000634,7.531969559868145e-05,2.7510450006218435e-05,9.435342140888527e-06,0.023021035450000227,0.0012989137766891352,,,,,,,,,,,,,,
0.2,Non-random,0.4651873979499996,0.014142781366465436,0.014974366650005778,0.0002709299617896873,0.22708520419999872,0.014651351283761776,,,,,,,,,,,,,,,,,0.4651873979499996,0.014142781366465436,0.46518308735000885,0.014142486611550245,4.310599990731134e-06,7.917353030057329e-07,0.707246968800004,0.02239082358975619,,,,,,,,,,,,,0.441065562350002,0.013715846238613279,0.023687804100001132,0.0018988147935985627,0.0004297209000057478,0.00010385917012076742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,Random Projection,0.029358672849996027,0.002323592673365194,0.014974366650005778,0.0002709299617896873,0.1963146122999973,0.018737321030631263,0.0001855437000017446,6.936087368605264e-06,0.0034385375499979887,0.0003386909606352991,0.0017660144000004152,0.00019809029969931693,0.0008663520000013136,9.385866987481803e-05,0.0009506896000047504,0.000113588729939478,0.000236285300003658,6.835541311349135e-05,2.735829999807038e-05,8.88378280713306e-06,0.021878149950003943,0.0023438031277551183,0.029358672849996027,0.002323592673365194,0.029348930800011885,0.0023216309421855564,9.742049984140522e-06,2.879661334735122e-06,0.24064765179999908,0.02033485786155045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,Random Sampling,0.07383743755000012,0.0035994413646161386,0.014974366650005778,0.0002709299617896873,0.22739243955000035,0.020063902425918063,,,,,,,,,,,,,,,,,0.07383743755000012,0.0035994413646161386,0.07382887485000396,0.0035987528590921965,8.562699996161882e-06,1.6348669118976245e-06,0.3162042437500062,0.023123518291584235,0.0053039289500006245,0.0002491979972872627,0.009214781350002,8.581229595898464e-05,0.02676125220000074,0.0027920946133453183,0.0008071291000021575,0.0001773883673095452,0.0029261748000010356,0.00015409932745564074,0.0288156084499974,0.001312334477427633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,SIGN Bidirectional,0.04015760630000074,0.0033631636190879803,0.014974366650005778,0.0002709299617896873,0.1978671228499948,0.018283872277828926,,,,,,,,,,,,,,,,,0.04015760630000074,0.0033631636190879803,0.04014750009999517,0.003361827237025182,1.0106200005566279e-05,2.0056830548273355e-06,0.25299909580000135,0.018472832454993784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00019782499999934088,3.1319523835205826e-05,0.00920948745000203,0.000958381702777535,0.004805689600000562,0.0002675326330267002,0.0009260395999902471,0.00010462107546876802,0.00021255625000691226,6.396938589614307e-05,2.697294999762789e-05,7.990962438793786e-06,0.02476892924999845,0.0029513421528214313
