alpha_n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,cs_draw_hash_sec,cs_initial_multiply_sec,cs_sparse_explicit_sketch_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_reconstruct_sec,cs_small_eig_sec,cs_lift_sec,cs_kmeans_sec,sign_draw_omega_sec,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
0.1,14,CountSketch,0.040792292000020325,0.014753833000014538,0.1710154579999994,,,,,,,,,0.040792292000020325,0.04317750099997397,0.0,0.22656158300003426,,,,,,,,,,8.283299999334304e-05,0.002417874999991909,0.002417874999991909,0.002538332999989734,0.001715334000010671,0.0007363339999812979,0.0007687089999990349,0.0001501250000046639,1.9333000011556578e-05,0.03233074999999985,,,,,,,
0.1,14,SIGN Bidirectional,0.05847479199999839,0.014753833000014538,0.17481020900001454,,,,,,,,,0.05847479199999839,0.058464665999991894,1.0126000006493996e-05,0.24803883400002746,,,,,,,,,,,,,,,,,,,,0.00018320799998150505,0.010055332999996835,0.00451624999999467,0.0009021250000103009,0.00034145899999771245,4.3000000005122274e-05,0.04242329100000575
0.1,15,Random Projection,0.03805020799998715,0.014737667000019883,0.1695238750000101,0.00018595800000298368,0.003401374999981499,0.0017316669999729584,0.0008504580000021633,0.0010330419999888818,0.00029520800001137104,2.3374999983616362e-05,0.03052245800000719,0.03805020799998715,0.038043540999950665,6.66700003648657e-06,0.22231175000001713,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,15,Random Sampling,0.09333033299998306,0.014737667000019883,0.20683791700000143,,,,,,,,,0.09333033299998306,0.09332312499998352,7.207999999536696e-06,0.31490591700000437,0.0051970410000024,0.009270583999978044,0.038426125000000866,0.0007651249999867105,0.0028629580000085753,0.036801292000006924,,,,,,,,,,,,,,,,,,,,
0.1,15,Non-random,0.47599149999999213,0.014737667000019883,0.18668866699999853,,,,,,,,,0.47599149999999213,0.4759876250000161,3.874999976005711e-06,0.6774178340000105,,,,,,,0.44969050000000266,0.025903042000010146,0.0003940830000033202,,,,,,,,,,,,,,,,,
0.1,15,CountSketch,0.043036915999977055,0.014737667000019883,0.17078225000000202,,,,,,,,,0.043036915999977055,0.04585354100001382,0.0,0.22855683299999896,,,,,,,,,,7.591699997533397e-05,0.0028472080000199185,0.0028472080000199185,0.0028153750000114997,0.0017919579999841062,0.0009285419999969236,0.0009579999999971278,0.00028775000001246553,1.899999998045132e-05,0.033282583000016075,,,,,,,
0.1,15,SIGN Bidirectional,0.0480860410000048,0.014737667000019883,0.17175737499999855,,,,,,,,,0.0480860410000048,0.04807791599998268,8.125000022118911e-06,0.23458108300002323,,,,,,,,,,,,,,,,,,,,0.00018337499997755913,0.00972350000000688,0.004501665999981697,0.0008740829999851485,0.00029120900001089467,1.9917000003033536e-05,0.03248416600001747
0.1,16,Random Projection,0.037754207999995515,0.014366458000012017,0.1713393329999917,0.0001782920000152899,0.0031989160000023276,0.001732958999980383,0.0008502919999955338,0.0009392909999803578,0.0003047920000085469,1.8916999977136584e-05,0.03052470800000151,0.037754207999995515,0.037748166999961086,6.041000034429089e-06,0.22345999899999924,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,16,Random Sampling,0.0934985000000097,0.014366458000012017,0.20757924999998068,,,,,,,,,0.0934985000000097,0.09349220800004332,6.2919999663790804e-06,0.3154442080000024,0.005214208000012377,0.009113124999998945,0.0385383329999911,0.0006645420000097602,0.002804000000026008,0.03715800000000513,,,,,,,,,,,,,,,,,,,,
0.1,16,Non-random,0.4741800420000004,0.014366458000012017,0.18928429099997857,,,,,,,,,0.4741800420000004,0.47417487499998856,5.1670000118519965e-06,0.677830790999991,,,,,,,0.446971082999994,0.026530750000006265,0.0006730419999882997,,,,,,,,,,,,,,,,,
0.1,16,CountSketch,0.04052091700000915,0.014366458000012017,0.17968516699997394,,,,,,,,,0.04052091700000915,0.04353770900010545,0.0,0.2345725419999951,,,,,,,,,,0.0001458750000153941,0.0030706250000207547,0.0030706250000207547,0.0027406659999940075,0.0021452090000195767,0.0010230000000035488,0.0010071670000115773,0.00023595899997985725,3.5500000024057954e-05,0.030063083000015922,,,,,,,
0.1,16,SIGN Bidirectional,0.050143792000000076,0.014366458000012017,0.1812700420000226,,,,,,,,,0.050143792000000076,0.050134291000006215,9.500999993861114e-06,0.2457802920000347,,,,,,,,,,,,,,,,,,,,0.00018404100001134793,0.009834458999989693,0.004596999999989748,0.0010155829999973776,0.0003118330000120295,2.0040999999082487e-05,0.03417133400000694
0.1,17,Random Projection,0.0371559579999996,0.014838166999993518,0.18656258300001127,0.00019062500001609806,0.003514957999982471,0.0018969580000032238,0.0007784579999849939,0.0008409169999765709,0.0001731250000034379,1.995900001361406e-05,0.029732624999979862,0.0371559579999996,0.03714762499996027,8.333000039328908e-06,0.2385567080000044,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,17,Random Sampling,0.09266187500000456,0.014838166999993518,0.20763650000000666,,,,,,,,,0.09266187500000456,0.0926514590000238,1.0415999980750712e-05,0.31513654200000474,0.00564575000001355,0.009405583000017259,0.03914908400000172,0.0006376670000065587,0.0028383339999891177,0.0349750409999956,,,,,,,,,,,,,,,,,,,,
0.1,17,Non-random,0.46882054099998527,0.014838166999993518,0.1834388749999789,,,,,,,,,0.46882054099998527,0.4688164990000132,4.041999972059784e-06,0.6670975829999577,,,,,,,0.4386642500000164,0.029787040999991632,0.0003652080000051683,,,,,,,,,,,,,,,,,
0.1,17,CountSketch,0.04029354200000057,0.014838166999993518,0.173149541000015,,,,,,,,,0.04029354200000057,0.04309150099999215,0.0,0.2282812500000091,,,,,,,,,,8.179200000313358e-05,0.002832749999981843,0.002832749999981843,0.002757625000015196,0.0021391670000241447,0.0008787079999876823,0.0009600420000026588,0.0002991249999979573,3.3457999990105236e-05,0.030276084000007586,,,,,,,
0.1,17,SIGN Bidirectional,0.04915329199999974,0.014838166999993518,0.17522229200000083,,,,,,,,,0.04915329199999974,0.0491454990000193,7.792999980438253e-06,0.2392137509999941,,,,,,,,,,,,,,,,,,,,0.00018158299999981864,0.009805292000010013,0.0045514159999981985,0.0009322079999947164,0.0002849580000088281,1.9917000003033536e-05,0.03337012500000469
