rep,method_i,method_j,ari
12,Random Projection,Random Sampling (p=0.7),0.7569892531039754
12,Random Projection,Random Sampling (p=0.8),0.7962287557510686
12,Random Projection,Non-random,0.8342283773583469
12,CountSketch,SIGN Bidirectional,0.7782107699224888
12,CountSketch,Random Sampling (p=0.7),0.7147980352044844
12,CountSketch,Random Sampling (p=0.8),0.7635122549899701
12,CountSketch,Non-random,0.7821659970244543
12,SIGN Bidirectional,Random Sampling (p=0.7),0.6654302206456197
12,SIGN Bidirectional,Random Sampling (p=0.8),0.7274043516794998
12,SIGN Bidirectional,Non-random,0.7356291757614202
12,Random Sampling (p=0.7),Random Sampling (p=0.8),0.7593444660806002
12,Random Sampling (p=0.7),Non-random,0.7443591422366748
12,Random Sampling (p=0.8),Non-random,0.7962408620509699
13,Random Projection,CountSketch,0.7407142600093003
13,Random Projection,SIGN Bidirectional,0.7628054592790147
13,Random Projection,Random Sampling (p=0.7),0.6653551798903796
13,Random Projection,Random Sampling (p=0.8),0.7194250119266197
13,Random Projection,Non-random,0.6914221468739625
13,CountSketch,SIGN Bidirectional,0.7742222078848741
13,CountSketch,Random Sampling (p=0.7),0.7438442690079385
13,CountSketch,Random Sampling (p=0.8),0.6865558915491365
13,CountSketch,Non-random,0.7357116779278824
13,SIGN Bidirectional,Random Sampling (p=0.7),0.7541550127830735
13,SIGN Bidirectional,Random Sampling (p=0.8),0.7183501752571059
13,SIGN Bidirectional,Non-random,0.6977316917100125
13,Random Sampling (p=0.7),Random Sampling (p=0.8),0.7041242126835732
13,Random Sampling (p=0.7),Non-random,0.6574808231672457
13,Random Sampling (p=0.8),Non-random,0.674307173247504
14,Random Projection,CountSketch,0.8074258318777496
14,Random Projection,SIGN Bidirectional,0.8272161927551366
14,Random Projection,Random Sampling (p=0.7),0.7874211004097332
14,Random Projection,Random Sampling (p=0.8),0.695258242065302
14,Random Projection,Non-random,0.6148143670153443
14,CountSketch,SIGN Bidirectional,0.8264551741856352
14,CountSketch,Random Sampling (p=0.7),0.8142399820703631
14,CountSketch,Random Sampling (p=0.8),0.7354787305522853
14,CountSketch,Non-random,0.6427084583366408
14,SIGN Bidirectional,Random Sampling (p=0.7),0.7705185287586727
14,SIGN Bidirectional,Random Sampling (p=0.8),0.6949146415766133
14,SIGN Bidirectional,Non-random,0.6295774686472833
14,Random Sampling (p=0.7),Random Sampling (p=0.8),0.7167701080989858
14,Random Sampling (p=0.7),Non-random,0.6088018939023173
14,Random Sampling (p=0.8),Non-random,0.6324403051435545
15,Random Projection,CountSketch,0.7357577008020344
15,Random Projection,SIGN Bidirectional,0.7168144763890549
15,Random Projection,Random Sampling (p=0.7),0.6607311922305552
15,Random Projection,Random Sampling (p=0.8),0.6994315017173182
15,Random Projection,Non-random,0.7166752599006362
15,CountSketch,SIGN Bidirectional,0.8105271681082973
15,CountSketch,Random Sampling (p=0.7),0.7630834254226398
15,CountSketch,Random Sampling (p=0.8),0.8036500636473135
15,CountSketch,Non-random,0.7957498796861813
15,SIGN Bidirectional,Random Sampling (p=0.7),0.7546252994278155
15,SIGN Bidirectional,Random Sampling (p=0.8),0.7950005286999776
15,SIGN Bidirectional,Non-random,0.7964869491694491
15,Random Sampling (p=0.7),Random Sampling (p=0.8),0.7776190531645376
15,Random Sampling (p=0.7),Non-random,0.7387064876418761
15,Random Sampling (p=0.8),Non-random,0.808751739231509
16,Random Projection,CountSketch,0.7802671262757552
16,Random Projection,SIGN Bidirectional,0.7547187449012648
16,Random Projection,Random Sampling (p=0.7),0.7491887480434453
16,Random Projection,Random Sampling (p=0.8),0.7486438586046544
16,Random Projection,Non-random,0.809463405177395
16,CountSketch,SIGN Bidirectional,0.794771096970899
16,CountSketch,Random Sampling (p=0.7),0.7405308776501324
16,CountSketch,Random Sampling (p=0.8),0.7665102887247041
16,CountSketch,Non-random,0.821751068756467
16,SIGN Bidirectional,Random Sampling (p=0.7),0.7121888350966068
16,SIGN Bidirectional,Random Sampling (p=0.8),0.7534961490383327
16,SIGN Bidirectional,Non-random,0.7788084120067761
16,Random Sampling (p=0.7),Random Sampling (p=0.8),0.7051371650569773
16,Random Sampling (p=0.7),Non-random,0.7567104286501884
16,Random Sampling (p=0.8),Non-random,0.7828645357602867
17,Random Projection,CountSketch,0.8276720140567
17,Random Projection,SIGN Bidirectional,0.7959252135027953
17,Random Projection,Random Sampling (p=0.7),0.7628519692150607
17,Random Projection,Random Sampling (p=0.8),0.7855928252163402
17,Random Projection,Non-random,0.8264436831797505
17,CountSketch,SIGN Bidirectional,0.8311618920151106
17,CountSketch,Random Sampling (p=0.7),0.7874411146642281
17,CountSketch,Random Sampling (p=0.8),0.7954063659059025
17,CountSketch,Non-random,0.8036332499723882
17,SIGN Bidirectional,Random Sampling (p=0.7),0.7706293030545017
17,SIGN Bidirectional,Random Sampling (p=0.8),0.797533263689253
17,SIGN Bidirectional,Non-random,0.7900877141107748
17,Random Sampling (p=0.7),Random Sampling (p=0.8),0.7855365715836958
