n,rho_n,rep,seed,K,m,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_theta_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,zhou_theta_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
10000,0.5,1,500021760428,3,3,6276,0.6598,3.432838543284635e-05,0.0005478813307947546,0.20069408405106515,0.015246042050421238,0.31327012507244945,0.029797124909237027,1512,0.1512,1.8828,9.0,46126,0.02786495804321021,0.00012137496378272772,0.28528095898218453,0.5292074180906639,1.8e-07,2e-08,sparse,4.068569000000004,0.5762131250230595,6.692561149597168,281.8125,282.921875,1.109375
10000,0.5,2,500021760429,3,3,6373,0.6595,9.904816359646257e-05,0.0007205494776588851,0.19294016703497618,0.016118875006213784,0.23365641594864428,0.037339832982979715,1484,0.1484,1.9119,9.0,46740,0.02781329199206084,0.00011754198931157589,0.20572041696868837,0.44271029299125075,1.8e-07,2e-08,sparse,3.495288000000002,0.504634959041141,6.728300094604492,282.921875,284.703125,1.78125
10000,0.5,3,500021760430,3,3,6383,0.6605,4.720233994606135e-05,0.0009764504722259178,0.2129967500222847,0.016693208017386496,0.2367021250538528,0.03285583294928074,1472,0.1472,1.9149,11.0,46818,0.015471290913410485,0.00019033299759030342,0.2210363750346005,0.46638795698527247,1.8e-07,2e-08,sparse,3.328483999999996,0.5172019170131534,6.731551170349121,284.703125,285.171875,0.46875
10000,0.5,4,500021760431,3,3,6189,0.6521,0.0008574592683067018,0.0023179533637889506,0.18927979189902544,0.015413082903251052,0.1606487500248477,0.03210820897947997,1616,0.1616,1.8567,10.0,45510,0.029118417063727975,0.0001397080486640334,0.1313869170844555,0.365337916999124,1.8e-07,2e-08,sparse,2.630654,0.4183397500310093,6.65772819519043,285.171875,285.171875,0.0
10000,0.5,5,500021760432,3,3,6186,0.6647,-5.821066916626546e-05,0.00011218683004812253,0.19433450000360608,0.015563166933134198,0.2637791669694707,0.03465045802295208,1585,0.1585,1.8558,9.0,45525,0.027514041983522475,0.00018041697330772877,0.236081707989797,0.4736738338833675,1.8e-07,2e-08,sparse,3.5405470000000037,0.5261714999796823,6.657776832580566,285.171875,285.171875,0.0
10000,0.5,6,500021760433,3,3,6200,0.66,3.811572639089361e-05,0.0011605917282655812,0.19236599991563708,0.015396540984511375,0.3057697919430211,0.030141875031404197,1512,0.1512,1.86,10.0,45678,0.025483125005848706,0.0001740839798003435,0.2801052910508588,0.5135250409366563,1.8e-07,2e-08,sparse,4.006425,0.5622669579461217,6.6662750244140625,285.171875,285.703125,0.53125
10000,0.5,7,500021760434,3,3,6233,0.6645,-5.069366957354694e-05,4.90105945628798e-05,0.18964508397039026,0.015677541960030794,0.1401044160593301,0.036404124926775694,1524,0.1524,1.8699,9.0,45866,0.02786137501243502,0.00012700003571808338,0.11211291700601578,0.34542391798458993,1.8e-07,2e-08,sparse,2.684428000000004,0.40351791703142226,6.677005767822266,285.703125,287.234375,1.53125
10000,0.5,8,500021760435,3,3,6136,0.6568,0.00014912349769816588,0.0017714746736112663,0.19990479201078415,0.015312083065509796,0.3191914999624714,0.028951958054676652,1624,0.1624,1.8408,10.0,45178,0.03118591697420925,0.00012283294927328825,0.28787929203826934,0.5344049170380458,1.8e-07,2e-08,sparse,3.927668000000004,0.5802071669604629,6.638893127441406,287.234375,287.25,0.015625
10000,0.5,9,500021760436,3,3,6285,0.6624,5.779883821603548e-05,0.000533885685995379,0.1904701249441132,0.01563549996353686,0.3207170420791954,0.029630874982103705,1525,0.1525,1.8855,9.0,46173,0.025477416929788888,0.0001236660173162818,0.2951127919368446,0.5268194997915998,1.8e-07,2e-08,sparse,4.037012000000004,0.573460332932882,6.695644378662109,287.25,287.25,0.0
10000,0.5,10,500021760437,3,3,6394,0.6567,0.0002939181197338693,0.001121621056821477,0.21532829094212502,0.017530875047668815,0.15277874993626028,0.0429354578955099,1470,0.147,1.9182,9.0,46880,0.016927249962463975,0.0002847079886123538,0.13555854104924947,0.38562966499011964,1.8e-07,2e-08,sparse,2.672764000000001,0.45394779089838266,6.73527717590332,287.25,287.25,0.0
10000,1.0,1,1000023260428,3,3,12558,0.6623,6.512815130273547e-05,0.002013632993290688,0.469872709014453,0.027838958892971277,0.23279187502339482,0.04630974994506687,216,0.0216,3.7674,12.0,85096,0.013748458004556596,8.162506856024265e-05,0.2189584580482915,0.7305002090288326,3.6e-07,4e-08,sparse,3.2319540000000018,0.8229403329314664,9.005143165588379,287.25,291.046875,3.796875
10000,1.0,2,1000023260429,3,3,12606,0.6454,0.001792384067659004,0.004566828769873164,0.44289479206781834,0.033271541935391724,0.2703949590213597,0.03332637494895607,243,0.0243,3.7818,17.0,85363,0.029199874959886074,0.00025716691743582487,0.24092941696289927,0.7465527928434312,3.6e-07,4e-08,sparse,3.4778030000000086,0.8137378749670461,9.025435447692871,291.046875,292.328125,1.28125
10000,1.0,3,1000023260430,3,3,12392,0.653,0.0005134417692936752,0.003068456712528933,0.4024608329636976,0.027731999987736344,0.3324459999566898,0.030506375012919307,259,0.0259,3.7176,12.0,84063,0.01691308303270489,0.00018270802684128284,0.31534662493504584,0.762635248946026,3.6e-07,4e-08,sparse,4.531975000000003,0.8274484580615535,8.9440279006958,292.328125,294.703125,2.375
10000,1.0,4,1000023260431,3,3,12494,0.6604,0.00014935350301852358,0.0025115734372587305,0.4106774589745328,0.02778449992183596,0.3197234170511365,0.03190145897679031,240,0.024,3.7482,13.0,84678,0.01747324992902577,0.00015654193703085184,0.3020901669515297,0.758181917713955,3.6e-07,4e-08,sparse,4.546976999999998,0.8251739169936627,8.982329368591309,294.703125,295.6875,0.984375
10000,1.0,5,1000023260432,3,3,12624,0.6615,6.641989837045075e-05,0.0014480154598683012,0.4711219168966636,0.03146500000730157,0.19057162490207702,0.039649249985814095,221,0.0221,3.7872,14.0,85473,0.01592616701964289,0.00012279197108000517,0.1745166659820825,0.6931525418767706,3.6e-07,4e-08,sparse,3.3819129999999973,0.7793057499220595,9.030552864074707,295.6875,298.859375,3.171875
10000,1.0,6,1000023260433,3,3,12480,0.6622,4.3791708870606645e-05,0.001256140026895884,0.40863075002562255,0.027355375001206994,0.17479233304038644,0.03254754201043397,238,0.0238,3.744,14.0,84608,0.01754770800471306,0.00010349997319281101,0.15713754191529006,0.6107748749200255,3.6e-07,4e-08,sparse,2.9979979999999955,0.6784050000132993,8.978045463562012,298.859375,299.0625,0.203125
10000,1.0,7,1000023260434,3,3,12558,0.6614,0.0001173319270000582,0.002350472222284439,0.41209608304779977,0.027648166054859757,0.3380634159548208,0.031154625001363456,257,0.0257,3.7674,13.0,85045,0.020161167019978166,0.00020008301362395287,0.3176987919723615,0.7778042911086231,3.6e-07,4e-08,sparse,4.451179999999994,0.8612141250632703,9.006620407104492,299.0625,300.703125,1.640625
10000,1.0,8,1000023260435,3,3,12451,0.6563,0.00027792865197446805,0.005378078471508699,0.4129108339548111,0.027864458970725536,0.20998124999459833,0.034607040928676724,236,0.0236,3.7353,14.0,84430,0.017324416898190975,9.933300316333771e-05,0.19255420903209597,0.6507532518589869,3.6e-07,4e-08,sparse,3.5911550000000005,0.7300292920554057,8.967341423034668,300.703125,300.703125,0.0
10000,1.0,9,1000023260436,3,3,12296,0.6603,5.242984950498011e-05,0.0020815865467178835,0.4060119579080492,0.027644417015835643,0.16740808391477913,0.03652970807161182,277,0.0277,3.6888,15.0,83473,0.014561124960891902,0.00010133301839232445,0.15274220798164606,0.6010610408848152,3.6e-07,4e-08,sparse,3.1411489999999986,0.6809090420138091,8.90951919555664,300.703125,302.234375,1.53125
10000,1.0,10,1000023260437,3,3,12510,0.6589,0.00020806305643352618,0.0026907537617481565,0.4157600000035018,0.02792529098223895,0.2966132910223678,0.03068170801270753,227,0.0227,3.753,14.0,84787,0.014369750046171248,0.00010054197628051043,0.2821394159691408,0.7402949989773333,3.6e-07,4e-08,sparse,4.307272000000012,0.808606667094864,8.988855361938477,302.234375,302.25,0.015625
10000,2.0,1,2000026260428,3,3,25199,0.1066,0.7058902916009183,0.6244761988485101,0.9709239169023931,0.08897974994033575,0.12586512498091906,0.04397262493148446,4,0.0004,7.5597,19.0,161006,0.019203083007596433,0.0001840420300140977,0.10647158301435411,1.1857623748946935,7.2e-07,8e-08,sparse,3.590781000000007,1.3141270420746878,13.889036178588867,302.25,309.703125,7.453125
10000,2.0,2,2000026260429,3,3,25227,0.1,0.7225155132775214,0.6413233143580003,0.8434035419486463,0.05350266699679196,0.15905416698660702,0.030820792075246572,5,0.0005,7.5681,21.0,161195,0.012598875095136464,7.995800115168095e-05,0.1463725419016555,1.055957583943382,7.2e-07,8e-08,sparse,3.4688139999999947,1.1733426669379696,13.907271385192871,309.703125,307.203125,-2.5
10000,2.0,3,2000026260430,3,3,25167,0.1035,0.7135684453488149,0.6320849445304222,0.8968334160745144,0.0531280409777537,0.14781387499533594,0.03211850009392947,10,0.001,7.5501,22.0,160788,0.012779999990016222,0.00010412500705569983,0.13492654100991786,1.0977721230592579,7.2e-07,8e-08,sparse,3.781171999999998,1.224450874957256,13.87304401397705,307.203125,309.46875,2.265625
10000,2.0,4,2000026260431,3,3,25139,0.1002,0.7219798206823395,0.6410415140130599,0.8792913339566439,0.054778499994426966,0.22784320800565183,0.03551766602322459,8,0.0008,7.5417,19.0,160664,0.01310083398129791,0.00022295804228633642,0.21451608405914158,1.1619097100337967,7.2e-07,8e-08,sparse,4.031580000000005,1.309042250039056,13.863540649414062,309.46875,301.625,-7.84375
10000,2.0,5,2000026260432,3,3,24779,0.1038,0.7128420356855463,0.6315924547723911,0.9544240419054404,0.0658009999897331,0.14154799992684275,0.04605304100550711,4,0.0004,7.4337,20.0,158518,0.018828124972060323,0.00016020808834582567,0.12255416600964963,1.1617675409652293,7.2e-07,8e-08,sparse,3.0472599999999943,1.3287102499743924,13.684081077575684,301.625,303.828125,2.203125
