rho_n,rep,seed,n,K,m,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,p_in,p_out,sampling_mode,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,non_random_eigensolver,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_core_eigensolver,rp_lift_sec,rs_sample_matrix_wall_sec,rs_eigensolver,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_core_eigensolver,cs_lift_sec,cs_hash_seed,cs_sparse_explicit_sketch_sec
8.0,10,820260516,5000,3,3,50294,304192,0.01216768,0.681379699963145,0.0937325999839231,0,0.0,30.1764,50.0,50311.7285888,10.06234571776,30.18703715328,0.1109777955591118,1.152e-05,1.28e-06,sparse,Non-random,non_random,0.0008,0.9976007207686624,0.993869951956975,0.0323294999543577,eigsh,0.0066059000091627,8.9599983766675e-05,0.0470083999680355,0.0537103000096976,1.0,0.6669838637038927,0.828816199908033,0.9375,0.0912689000833779,10.484354972839355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,10,820260516,5000,3,3,50294,304192,0.01216768,0.681379699963145,0.0937325999839231,0,0.0,30.1764,50.0,50311.7285888,10.06234571776,30.18703715328,0.1109777955591118,1.152e-05,1.28e-06,sparse,Gaussian random projection,gaussian_random_projection,0.001,0.9970012634466354,0.9928420699632792,0.0361138000153005,,0.1905098999850452,0.0002569999778643,0.0459090999793261,0.2366838000016287,0.9999975254258388,0.6654265449175675,1.0117882998893035,1.265625,0.2793610000517219,28.78050136566162,,,,0.0075594000518321,0.1260758000425994,0.0365906000370159,0.0161161000141873,0.0032442999072372,eigsh,0.0002723999787122,,,,,,,,,,,,,,,,,,,,,
8.0,10,820260516,5000,3,3,50294,304192,0.01216768,0.681379699963145,0.0937325999839231,0,0.0,30.1764,50.0,50311.7285888,10.06234571776,30.18703715328,0.1109777955591118,1.152e-05,1.28e-06,sparse,Random sampling,random_sampling,0.0046,0.9862424981013816,0.9704535974248244,0.0323851000284776,,0.018377500004135,9.430001955479383e-05,0.0500048000831157,0.0684824000345543,1.0586433207956294,0.7602410191144414,0.8435889000538737,0.84375,0.1065656000282615,13.521934509277344,,,,,,,,,,,0.0083970999112352,eigsh,0.0098959000315517,154596.0,108053.0,0.7,212588.0,,,,,,,,,,,,,,
8.0,10,820260516,5000,3,3,50294,304192,0.01216768,0.7081794169999966,0.11388137500000539,0,0.0,30.1764,50.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,1.152e-05,1.28e-06,sparse,CountSketch random projection,countsketch_random_projection,0.0014,0.9958039634333078,0.9900300218795621,0.017771334000030947,,0.24752620800001068,0.00023283299998411167,0.0637497499999995,0.31151516699998183,0.9999969674112014,0.6651093711254288,1.1335695829999963,2.0743600000000697,0.3326817500000061,25.545509338378906,635.48828125,635.48828125,0.0,,,,,,,,,,,,,,,0.0004468330000122478,163.0,18.0,47.0,0.0,0.005599374999974316,0.13207541700001002,0.08494208400003345,0.02036745800000972,0.0037543749999713327,eigsh,0.0002482090000057724,2054844282.0,0.005599374999974316
16.0,1,1620260507,5000,3,3,100227,596178,0.02384712,1.339503000024706,0.1982801000121981,0,0.0,60.1362,88.0,100623.4571776,20.124691435520003,60.37407430656,0.1109777955591118,2.304e-05,2.56e-06,sparse,Non-random,non_random,0.0,1.0,1.0,0.0328739000251516,eigsh,0.0117922999197617,0.0001076000044122,0.0453140999889001,0.0572214999701827,1.0,0.6591163437403954,1.5949970999499783,0.921875,0.1002122000791132,20.508898735046387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,1,1620260507,5000,3,3,100227,596178,0.02384712,1.339503000024706,0.1982801000121981,0,0.0,60.1362,88.0,100623.4571776,20.124691435520003,60.37407430656,0.1109777955591118,2.304e-05,2.56e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,1.0,0.0325618999777361,,0.3148841999936849,0.0002590999938547,0.0449022999964654,0.3600546999368816,0.9999993301608504,0.6585777654150639,1.8978287000209093,1.09375,0.4033136999933049,32.122015953063965,,,,0.0065568999852985,0.236224599997513,0.0358837000094354,0.0319214999908581,0.0034008000511676,eigsh,0.0002763000084087,,,,,,,,,,,,,,,,,,,,,
16.0,1,1620260507,5000,3,3,100227,596178,0.02384712,1.339503000024706,0.1982801000121981,0,0.0,60.1362,88.0,100623.4571776,20.124691435520003,60.37407430656,0.1109777955591118,2.304e-05,2.56e-06,sparse,Random sampling,random_sampling,0.0002,0.999399999976,0.9984674336385791,0.0321420000400394,,0.0311091000912711,0.0001408999087288,0.044824399985373,0.0760809000348672,1.0580235427146003,0.7450006301015967,1.6138575000222772,0.96875,0.1196435999590903,26.365946769714355,,,,,,,,,,,0.0162277000490576,eigsh,0.0147176999598741,300589.0,210559.0,0.7,417574.0,,,,,,,,,,,,,,
16.0,1,1620260507,5000,3,3,100227,596178,0.02384712,1.429724292000003,0.2505151249999926,0,0.0,60.1362,88.0,100623.45717760001,20.124691435520003,60.374074306560004,0.11097779555911182,2.304e-05,2.56e-06,sparse,CountSketch random projection,countsketch_random_projection,0.0,1.0,1.0,0.018016041999999288,,0.3938250420000031,0.0003692919999593869,0.05426170800001273,0.4484622499999773,0.9999992956679709,0.6585716961651915,2.128695458999971,2.2823390000000927,0.47235837500005573,30.81627655029297,635.48828125,635.4921875,0.00390625,,,,,,,,,,,,,,,0.000445417000037196,163.0,16.0,52.0,0.0,0.011215499999991607,0.2555933750000463,0.08719995799998514,0.03475162500001261,0.00423362500004032,eigsh,0.0002934590000336357,198658326.0,0.011215499999991607
16.0,2,1620260508,5000,3,3,100692,598786,0.02395144,1.4026416999986395,0.2057720000157132,0,0.0,60.4152,87.0,100623.4571776,20.124691435520003,60.37407430656,0.1109777955591118,2.304e-05,2.56e-06,sparse,Non-random,non_random,0.0,1.0,1.0,0.035453199991025,eigsh,0.0119100000010803,8.080003317445517e-05,0.0439820999745279,0.0559790000552311,1.0000000000000002,0.657293486411785,1.6643866000231355,0.796875,0.1011444999603554,20.598437309265137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,2,1620260508,5000,3,3,100692,598786,0.02395144,1.4026416999986395,0.2057720000157132,0,0.0,60.4152,87.0,100623.4571776,20.124691435520003,60.37407430656,0.1109777955591118,2.304e-05,2.56e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,1.0,0.0349506998900324,,0.317944600014016,0.000253300066106,0.0428629999514669,0.3610690999776125,0.9999994305497174,0.6568475924343032,1.9694746000459415,1.1875,0.4053901999723166,32.151862144470215,,,,0.0064611000707373,0.2395437000086531,0.0373170999810099,0.0308700000168755,0.0027962999884039,eigsh,0.0002600000007078,,,,,,,,,,,,,,,,,,,,,
