alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
0.05,18,Random Sampling,12.849554537092471,0.7317708333333334,0.0049637618002533,0.2414867500192485,0.0146484999859239,0.1388480839959811,,,,,,,,,0.2414867500192485,0.241480668017175,6.0820020735263824e-06,0.3949833340011537,0.0070066670014057,0.0085316250042524,0.0418997920060064,0.0009717089997138,0.0043722499976865,0.1786986250081099,,,,,,,,,,,,
0.05,18,Non-random,12.14203861773324,0.3854166666666667,0.0040521274225885,0.4855404999980237,0.0146484999859239,0.1327715409861412,,,,,,,,,0.4855404999980237,0.4855371660087257,3.3339892979711294e-06,0.6329605409700889,,,,,,,0.264240582997445,0.2198428749979939,0.0014537080132868,,,,,,,,,
0.05,19,Random Projection,9.263532714723892,1.640625,0.0103297809538016,0.2847830000100657,0.0219192499935161,0.124366584001109,7.120799273252487e-05,0.0043134999868925,0.0005050000036135,0.0039564999751746,0.0011521670094225,0.000127125007566,2.0584004232659936e-05,0.2746297920239158,0.2847830000100657,0.2847758760035503,7.124006515368819e-06,0.4310688340046908,,,,,,,,,,,,,,,,,,
0.05,19,Random Sampling,12.52027734818951,0.640625,0.0021360555855406,0.2508256670262199,0.0219192499935161,0.1412758749793283,,,,,,,,,0.2508256670262199,0.250819583015982,6.084010237827897e-06,0.4140207919990644,0.0091237500018905,0.0112997920077759,0.048540874995524,0.0014243329933378,0.0032150000042747,0.1772158330131787,,,,,,,,,,,,
0.05,19,Non-random,12.154859738129444,0.3828125,0.0009950328473001,0.4168979589885566,0.0219192499935161,0.1305336669902317,,,,,,,,,0.4168979589885566,0.4168959169765003,2.042012056335807e-06,0.5693508759723045,,,,,,,0.2376327920064795,0.1785613329848274,0.0007017919851932,,,,,,,,,
0.05,20,Random Projection,9.381124628954309,1.2395833333333337,0.0131421584498196,0.2838760419981554,0.0257785419817082,0.1380362090130802,6.554200081154704e-05,0.0022955839813221,0.0001875000016298,0.0045135830005165,0.0020447080023586,0.0001163340057246,2.0458013750612736e-05,0.2746279590064659,0.2838760419981554,0.2838716680125799,4.373985575512052e-06,0.4476907929929439,,,,,,,,,,,,,,,,,,
0.05,20,Random Sampling,12.803224643889903,0.6822916666666666,0.0021362328538943,0.319743792002555,0.0257785419817082,0.1580799579969607,,,,,,,,,0.319743792002555,0.3197371659625787,6.6260399762541056e-06,0.503602291981224,0.0067935829865746,0.0116034579987172,0.0509654589986894,0.0036753329914063,0.0033179579768329,0.2433813750103581,,,,,,,,,,,,
0.05,20,Non-random,12.29182781212992,0.3307291666666666,0.0014207733904703,0.3161839169915765,0.0257785419817082,0.1446030829974915,,,,,,,,,0.3161839169915765,0.3161820839741267,1.833017449826002e-06,0.4865655419707764,,,,,,,0.2366777499846648,0.0784791249898262,0.0010252089996356,,,,,,,,,
0.1,1,Random Projection,12.15185310754262,0.2447916666666666,0.0136924779950681,0.1043545829888898,0.0184627909911796,0.1329271249996964,6.937497528269887e-05,0.0067324170086067,0.0034352919901721,0.0006086669745855,0.0037972500140313,7.087498670443892e-05,8.792005246505141e-06,0.0896266250056214,0.1043545829888898,0.1043492929602507,5.290028639137745e-06,0.2557444989797659,,,,,,,,,,,,,,,,,,
0.1,1,Random Sampling,14.781847720257373,0.1953125,0.0047713723140685,0.1064813749981112,0.0184627909911796,0.1252240420144517,,,,,,,,,0.1064813749981112,0.1064749979996122,6.376998499035835e-06,0.2501682080037426,0.0073442910215817,0.0137931659992318,0.0212219579843804,0.0009508329967502,0.0016107920091599,0.061553957988508,,,,,,,,,,,,
0.1,1,Non-random,16.86595007059646,0.0677083333333333,0.0019763712617526,0.3003875420254189,0.0184627909911796,0.1384025840088725,,,,,,,,,0.3003875420254189,0.3003853740228805,2.168002538383007e-06,0.4572529170254711,,,,,,,0.2341098750184755,0.0651846659893635,0.0010908330150414,,,,,,,,,
0.1,2,Random Projection,11.775010652898882,0.2239583333333333,0.0117258010744596,0.1543760420172475,0.020186832989566,0.1298117499973159,6.666700937785208e-05,0.0075522910046856,0.0004110830195713,0.0005377079942263,0.0011884169944096,0.0001112500031013,1.995800994336605e-05,0.1444833340065088,0.1543760420172475,0.1543707080418244,5.333975423127413e-06,0.3043746250041295,,,,,,,,,,,,,,,,,,
0.1,2,Random Sampling,15.210852802395268,0.1510416666666666,0.0022288619328659,0.1330970000126399,0.020186832989566,0.1173618340108078,,,,,,,,,0.1330970000126399,0.1330894150305539,7.584982085973024e-06,0.2706456670130137,0.0094106660108082,0.0234121659887023,0.0297122500196564,0.0039902499993331,0.0017820830107666,0.064782000001287,,,,,,,,,,,,
0.1,2,Non-random,16.814821345194986,0.0338541666666666,0.0004582789382071,0.290061167004751,0.020186832989566,0.1446051250095479,,,,,,,,,0.290061167004751,0.2900582079892047,2.9590155463665724e-06,0.454853125003865,,,,,,,0.2394247500051278,0.0496275409823283,0.0010059170017484,,,,,,,,,
0.1,3,Random Projection,13.803269615935218,0.3203125,0.0149622810742621,0.1958068749809172,0.0281579169968608,0.1219195829762611,6.57079799566418e-05,0.0103348330012522,0.0004775410052388,0.0005604170146398,0.0011610420187935,5.7209021179005504e-05,8.957984391599894e-06,0.1831377499911468,0.1958068749809172,0.1958034580165986,3.416964318603277e-06,0.3458843749540392,,,,,,,,,,,,,,,,,,
