alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec
0.1,1,SIGN,11.995814840331926,0.4921875,0.01660194876812933,0.16050483286380768,0.020609250059351325,0.20578379090875387,8.17091204226017e-05,13,2,0.007977125002071261,0.008102708030492067,0.0017592499498277903,7.224990986287594e-05,9.290874004364014e-06,0.14249500003643334,0.16050483286380768,0.1604973329231143,7.4999406933784485e-06,0.3868978738319129
0.1,2,SIGN,11.577937225829505,0.49479166666666674,0.014982003234739874,0.14511216594837606,0.023119125049561262,0.15560250007547438,7.608393207192421e-05,13,2,0.006254666019231081,0.005093417130410671,0.0028437920846045017,5.941605195403099e-05,8.458038792014122e-06,0.13076962484046817,0.14511216594837606,0.1451054580975324,6.707850843667984e-06,0.3238337910734117
0.1,3,SIGN,13.571866681839477,0.6067708333333334,0.020066581230908598,0.09637758298777044,0.021434959024190903,0.20215754210948944,7.30000901967287e-05,13,2,0.008437792072072625,0.01659570913761854,0.0005269579123705626,6.395787931978703e-05,8.833827450871468e-06,0.0706644169986248,0.09637758298777044,0.09637066791765392,6.915070116519928e-06,0.3199700841214508
0.1,4,SIGN,11.879823548021156,0.5338541666666666,0.01820817149617736,0.12131475005298853,0.022706374991685152,0.19222120800986886,8.087512105703354e-05,13,2,0.0056974999606609344,0.005631458014249802,0.000533499987795949,6.070896051824093e-05,8.541857823729515e-06,0.10929291695356369,0.12131475005298853,0.12130550085566938,9.249197319149971e-06,0.33624233305454254
0.1,5,SIGN,13.192463614482683,0.5598958333333333,0.01987344491324583,0.12209087517112494,0.018270250177010894,0.17410441697575152,0.0001871250569820404,13,2,0.00827804091386497,0.011851957999169827,0.001029500039294362,0.0001008340623229742,1.991703175008297e-05,0.10061429208144546,0.12209087517112494,0.12208166718482971,9.207986295223236e-06,0.31446554232388735
0.1,6,SIGN,12.24857581600377,0.5390625,0.018809428715659535,0.09608904202468693,0.023185665952041745,0.1751266671344638,0.00010716589167714119,13,2,0.004656166071072221,0.007743707858026028,0.0008215419948101044,0.0001379579771310091,2.5625107809901237e-05,0.08258616598322988,0.09608904202468693,0.09607833088375628,1.0711140930652618e-05,0.29440137511119246
0.1,7,SIGN,12.4772287881755,0.48958333333333326,0.018170712954885662,0.14195758407004178,0.018237749813124537,0.1862047091126442,0.00011725001968443394,13,2,0.00691033317707479,0.006539040943607688,0.003828458022326231,0.0006090840324759483,9.791925549507141e-06,0.12393562495708466,0.14195758407004178,0.14194958307780325,8.000992238521576e-06,0.3464000429958105
0.1,8,SIGN,11.603120098604792,0.42447916666666663,0.015609448248486354,0.12660516612231731,0.02104033320210874,0.20045670797117054,0.00010924995876848698,13,2,0.004776165820658207,0.006928334012627602,0.001124334055930376,6.795884110033512e-05,9.082956239581108e-06,0.1135824581142515,0.12660516612231731,0.12659758375957608,7.582362741231918e-06,0.3481022072955966
0.1,9,SIGN,11.938190812097185,0.5234375,0.015681454493130784,0.11620670789852738,0.01869337516836822,0.19862533290870488,6.733299233019352e-05,13,2,0.0062616250943392515,0.008306416915729642,0.0006490419618785381,0.00011208304204046726,1.433398574590683e-05,0.10078820819035172,0.11620670789852738,0.11619904218241572,7.665716111660004e-06,0.3335254159756005
0.1,10,SIGN,12.027196071499725,0.45572916666666663,0.017860618691896923,0.11844487488269806,0.02005508402362466,0.19475666712969542,0.00011887494474649429,13,2,0.008625457994639874,0.007033499889075756,0.003561750054359436,8.837482891976833e-05,1.0624993592500687e-05,0.09899900015443563,0.11844487488269806,0.11843758285976946,7.292022928595543e-06,0.33325662603601813
0.1,11,SIGN,12.027846739139845,0.5286458333333333,0.017773141316519345,0.12035958282649517,0.017498583998531103,0.1779772920999676,6.524985656142235e-05,13,2,0.004460499854758382,0.007225082954391837,0.0025203749537467957,0.00011000013910233974,2.0625069737434387e-05,0.10595154203474522,0.12035958282649517,0.12035337486304343,6.207963451743126e-06,0.3158354589249939
0.1,12,SIGN,12.535181829533633,0.4375,0.01840939574606798,0.12919270806014538,0.016696790931746364,0.17575645889155567,7.67088495194912e-05,13,2,0.007667208090424538,0.007227499969303608,0.0013516249600797892,0.00013083312660455704,2.050003968179226e-05,0.11270858300849795,0.12919270806014538,0.12918295804411173,9.750016033649445e-06,0.3216459578834474
0.1,13,SIGN,11.793375533526119,0.41927083333333337,0.01383631770722038,0.1087276660837233,0.01974454103037715,0.1864339169114828,0.00014712498523294926,13,2,0.007162458961829543,0.0073469579219818115,0.001780542079359293,8.395803160965443e-05,9.291106835007668e-06,0.09218541695736349,0.1087276660837233,0.10871575004421175,1.1916039511561394e-05,0.31490612402558327
0.1,14,SIGN,10.995193350224904,0.3697916666666667,0.013697925477753406,0.0956392080988735,0.020386334042996168,0.1931504171807319,8.320785127580166e-05,13,2,0.00903737498447299,0.005899667041376233,0.0017790838610380888,0.00014616688713431358,2.4499837309122086e-05,0.07866075006313622,0.0956392080988735,0.09563075052574277,8.457573130726814e-06,0.30917595932260156
0.1,15,SIGN,13.153444687176632,0.546875,0.01639103475703095,0.14144004206173122,0.019363292027264833,0.182361459126696,0.00011850008741021156,13,2,0.00658308295533061,0.010395999997854233,0.0009078329894691706,0.00012029195204377174,1.1082971468567848e-05,0.12329308316111565,0.14144004206173122,0.1414298741146922,1.016794703900814e-05,0.34316479321569204
0.1,16,SIGN,11.61620432958176,0.4453125,0.014779301116805227,0.134121207986027,0.019862416898831725,0.19366608397103846,6.987503729760647e-05,13,2,0.009330375120043755,0.008310291916131973,0.0009205839596688747,6.933300755918026e-05,9.874813258647919e-06,0.11540549993515015,0.134121207986027,0.13411583378911018,5.374196916818619e-06,0.3476497088558972
0.1,17,SIGN,12.2426447491086,0.36979166666666663,0.012218164463201925,0.10413283295929432,0.019028666894882917,0.17839266709052026,6.670900620520115e-05,13,2,0.0070580418687313795,0.004875707905739546,0.0005922091659158468,0.0012816251255571842,2.808310091495514e-05,0.09022354194894433,0.10413283295929432,0.10412591812200844,6.914837285876274e-06,0.3015541669446975
0.1,18,SIGN,12.660880281777327,0.6901041666666667,0.020347374055970036,0.1353486659936607,0.025766625069081783,0.18564004194922745,8.762488141655922e-05,13,2,0.006086708977818489,0.006303125061094761,0.0027862500865012407,0.00020612496882677078,1.3666925951838493e-05,0.1198547501116991,0.1353486659936607,0.13533825101330876,1.0414980351924896e-05,0.3467553330119699
0.1,19,SIGN,12.247884129811421,0.546875,0.0173414228662873,0.10798858408816159,0.017818125197663903,0.14160820795223117,6.787502206861973e-05,13,2,0.0067620419431477785,0.006701583042740822,0.0010070421267300844,5.591707304120064e-05,8.124858140945435e-06,0.09338079090230167,0.10798858408816159,0.10798337496817112,5.209119990468025e-06,0.26741491723805666
0.1,20,SIGN,13.980357683099783,0.8203125,0.02243182559799263,0.17416270799003541,0.017078167060390115,0.20534999994561076,0.00011499994434416294,13,2,0.007928333012387156,0.007162709021940827,0.002138833049684763,0.00010654213838279247,1.9165920093655586e-05,0.15668450016528368,0.17416270799003541,0.17415508325211704,7.624737918376923e-06,0.3965908749960363
0.15,1,SIGN,14.126214114334475,0.109375,0.012981148168044854,0.07902416703291237,0.020585000049322844,0.18487870902754366,7.487507537007332e-05,13,2,0.007269249996170402,0.007938083028420806,0.0006507500074803829,0.00019408296793699265,2.2417167201638222e-05,0.06286579207517207,0.07902416703291237,0.07901525031775236,8.916715160012245e-06,0.2844878761097789
0.15,2,SIGN,12.755838002834867,0.05729166666666667,0.010215493572125756,0.05854941694997251,0.020440833875909448,0.1950657090637833,6.64170365780592e-05,13,2,0.004931083880364895,0.008228665916249156,0.0013263749424368143,0.00012254202738404274,2.0792009308934212e-05,0.043846125015988946,0.05854941694997251,0.05854200082831085,7.416121661663055e-06,0.27405595988966525
0.15,3,SIGN,14.188766136199014,0.028645833333333332,0.006418228991396269,0.08102254197001457,0.02044875011779368,0.17150395805947483,6.516720168292522e-05,13,2,0.005494541954249144,0.007909708889201283,0.0011189170181751251,0.00010508298873901367,9.667128324508667e-06,0.06631195801310241,0.08102254197001457,0.08101504319347441,7.498776540160179e-06,0.2729752501472831
0.15,4,SIGN,13.181764117957366,0.07812499999999999,0.013624208880479521,0.06682791700586677,0.018327374942600727,0.15627437504008412,0.0001354999840259552,13,2,0.006991042057052255,0.004818666959181428,0.0015467079356312752,7.950002327561378e-05,1.1541880667209625e-05,0.053238416789099574,0.06682791700586677,0.06682137562893331,6.541376933455467e-06,0.24142966698855162
0.15,5,SIGN,13.26717254920295,0.08072916666666667,0.011133599609073369,0.10382862482219934,0.014132875017821789,0.16360616707243025,6.616697646677494e-05,13,2,0.013269833056256175,0.008623749949038029,0.0061191669665277,0.00011304114013910294,2.0207837224006653e-05,0.07560858293436468,0.10382862482219934,0.10382074886001647,7.875962182879448e-06,0.2815676669124514
0.15,6,SIGN,13.419429236154564,0.0546875,0.00808828428797767,0.07697483408264816,0.021932957926765084,0.18873600009828806,7.029087282717228e-05,13,2,0.007634666981175542,0.009111125022172928,0.002841167151927948,0.00010866601951420307,1.0541873052716255e-05,0.05719058308750391,0.07697483408264816,0.07696704100817442,7.79307447373867e-06,0.2876437921077013
0.15,7,SIGN,13.23196234045782,0.10416666666666666,0.009743264649370309,0.09297487488947809,0.021318375132977962,0.17701787501573563,6.862496957182884e-05,13,2,0.006810000166296959,0.00810900004580617,0.002195750130340457,0.00010875007137656212,1.1709053069353104e-05,0.07566075003705919,0.09297487488947809,0.09296458447352052,1.0290415957570076e-05,0.2913111250381917
0.15,8,SIGN,13.58029316453451,0.10416666666666667,0.011193942663820067,0.10036754189059138,0.022611499996855855,0.1535082091577351,6.420910358428955e-05,13,2,0.0049950419925153255,0.007892625173553824,0.0005697500891983509,4.950002767145634e-05,8.37491825222969e-06,0.08678341587074101,0.10036754189059138,0.10036291717551649,4.6247150748968124e-06,0.27648725104518235
0.15,9,SIGN,13.378753737575607,0.08072916666666666,0.009705504934873488,0.07771324994973838,0.025350000010803342,0.1624593329615891,7.324991747736931e-05,13,2,0.008012583013623953,0.005110332975164056,0.0005308750551193953,6.9458968937397e-05,1.0125106200575829e-05,0.06390091590583324,0.07771324994973838,0.07770754094235599,5.709007382392883e-06,0.2655225829221308
0.15,10,SIGN,13.38694035442423,0.08333333333333334,0.011326873220764283,0.08095795917324722,0.0177774999756366,0.18450345797464252,8.408306166529655e-05,13,2,0.00860787509009242,0.01008970895782113,0.0016471671406179667,6.858306005597115e-05,8.541857823729515e-06,0.060444166185334325,0.08095795917324722,0.08095012535341084,7.833819836378098e-06,0.28323891712352633
