n,method,rep,seed,K,m,rho_n,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,hypergraph_laplacian_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_core_eigensolver,rp_lift_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
6000,Gaussian random projection,6,620260432,3,3,4.0,30490,0.022166666666666668,0.9346151680049524,0.8899565000460182,0.7881916670012288,0.06134895799914375,0.33927695799502544,0.03387629200005904,0,0.0,15.245,32.0,30192.89688888889,5.032149481481482,15.096448444444444,0.1109999938302488,0.004012125005829148,0.06430358299985528,0.046495041999151,0.027464874990982935,0.0031247500010067597,eigsh,0.001081375012290664,0.14719462499488145,0.0005912080087000504,0.19148662500083447,0.9999713916572591,0.6908434436257666,1.1888130830047885,4e-06,4.4444444444444444e-07,sparse,5.166432000000015,1.4296389170049224,41.81922245025635,503.75,504.59375,0.84375
6000,Gaussian random projection,7,620260433,3,3,4.0,30138,0.02666666666666667,0.9215868533490301,0.8719922071301313,0.8077439579938073,0.05749941700196359,0.42758400000457186,0.017402500001480803,0,0.0,15.069,32.0,30192.89688888889,5.032149481481482,15.096448444444444,0.1109999938302488,0.003932167004677467,0.058792665993678384,0.06447541700617876,0.012593249994097278,0.0022028749954188243,eigsh,0.00028166700212750584,0.1428953750000801,0.00037287500163074583,0.2843116660078522,0.9999759222575278,0.6875828294653314,1.2928232910053339,4e-06,4.4444444444444444e-07,sparse,5.954762999999986,1.5015450829960173,41.688530921936035,504.59375,504.859375,0.265625
6000,Gaussian random projection,8,620260434,3,3,4.0,30554,0.024,0.9292708043758574,0.8822123853522275,0.7926573339937022,0.0570821659930516,0.30947125000238884,0.020881374992313795,0,0.0,15.277,30.0,30192.89688888889,5.032149481481482,15.096448444444444,0.1109999938302488,0.00408941600471735,0.057600125001044944,0.05349454199313186,0.019088000000920147,0.002935541997430846,eigsh,0.000388917003874667,0.13858912501018494,0.0003418340056668967,0.1705361670028651,0.9999776452946098,0.6865371389833342,1.1592066260054708,4e-06,4.4444444444444444e-07,sparse,4.999012999999991,1.3975948750012321,41.84055423736572,504.859375,505.21875,0.359375
6000,Gaussian random projection,9,620260435,3,3,4.0,30184,0.024666666666666667,0.9273489340417505,0.8794202831331748,0.8054189999966184,0.06060662500385661,0.3697759580099955,0.023516457993537188,0,0.0,15.092,30.0,30192.89688888889,5.032149481481482,15.096448444444444,0.1109999938302488,0.004330957992351614,0.062496999991708435,0.08249775000149384,0.028098333001253195,0.0015622079954482615,eigsh,0.0021196250017965212,0.18329904199345037,0.0004491669969866052,0.1860212089959532,0.9999770729669296,0.6883002138197489,1.2357950429868652,4e-06,4.4444444444444444e-07,sparse,5.430849999999992,1.479362541998853,41.70627498626709,505.21875,512.140625,6.921875
6000,Gaussian random projection,10,620260436,3,3,4.0,30448,0.026,0.923510170735822,0.8744490978991702,0.795104499993613,0.06022658300935291,0.40724687499459833,0.0171249999984866,0,0.0,15.224,30.0,30192.89688888889,5.032149481481482,15.096448444444444,0.1109999938302488,0.003908291997504421,0.056640582988620736,0.057150583001202904,0.02133462500933092,0.0018776669894577935,eigsh,0.00031279200629796833,0.14245233399560675,0.00047774999984540045,0.26429449999704957,0.9999664145967309,0.6861569766283631,1.2625556669954676,4e-06,4.4444444444444444e-07,sparse,5.773906000000011,1.4609669589990517,41.80169105529785,512.140625,512.6875,0.546875
7000,Gaussian random projection,1,720260427,3,3,4.0,35736,0.03142857142857143,0.9079220828751519,0.8537639312151054,0.9385185839928454,0.06933208300324623,0.4145250000001397,0.02729570800147485,0,0.0,15.315428571428571,34.0,35229.93481404082,5.03284783057726,15.09854349173178,0.11101588208876005,0.00430587500159163,0.06686816600267775,0.062405041986494325,0.016692832999979146,0.0023815829918021336,eigsh,0.004361874991445802,0.1573319999879459,0.0004099999932805076,0.25677699998777825,0.9999616076779553,0.6819109328651538,1.4223696669650963,2.9387755102040816e-06,3.26530612244898e-07,sparse,5.716850999999963,1.6956390420091338,48.80056667327881,512.6875,542.171875,29.484375
7000,Gaussian random projection,2,720260428,3,3,4.0,34870,0.03542857142857143,0.8965103316467778,0.8384826308105633,0.9333526249974966,0.06498275000194553,0.346083540993277,0.03209775000868831,0,0.0,14.944285714285714,33.0,35229.93481404082,5.03284783057726,15.09854349173178,0.11101588208876005,0.004725417005829513,0.06803554100042675,0.050909333003801294,0.03602191600657534,0.0025480000040261075,eigsh,0.00047916600306052715,0.16495462499733549,0.0005454170022858307,0.18057820899412036,0.9999689676193416,0.6852511813127009,1.3444136259931838,2.9387755102040816e-06,3.26530612244898e-07,sparse,5.407421999999997,1.599439750003512,48.485246658325195,542.171875,542.6875,0.515625
7000,Gaussian random projection,3,720260429,3,3,4.0,35319,0.03457142857142857,0.8989774307412008,0.8426105096531196,0.920759625005303,0.06564604101004079,0.3658480840094853,0.03120116599893663,0,0.0,15.136714285714286,32.0,35229.93481404082,5.03284783057726,15.09854349173178,0.11101588208876005,0.004713291011285037,0.06554216699441895,0.04812908300664276,0.011682540993206203,0.002996416005771607,eigsh,0.000596500001847744,0.13492966699413955,0.00047779099259059876,0.2304353330109734,0.9999548741912491,0.6811618232450565,1.3522484570130473,2.9387755102040816e-06,3.26530612244898e-07,sparse,5.603821000000039,1.6095871249999618,48.65073490142822,542.6875,542.75,0.0625
7000,Gaussian random projection,4,720260430,3,3,4.0,35319,0.029285714285714286,0.9140792242204613,0.8616272979324178,0.932826667005429,0.07086104199697729,0.3879349160124548,0.023101375001715496,0,0.0,15.136714285714286,34.0,35229.93481404082,5.03284783057726,15.09854349173178,0.11101588208876005,0.0047074169997358695,0.07749266699829604,0.06857645898708142,0.019117957999696955,0.0015580419858451933,eigsh,0.0014584159944206476,0.17325729099684395,0.00015141699986997992,0.21452087500074413,0.999967848083931,0.6845212946542618,1.3916172919998644,2.9387755102040816e-06,3.26530612244898e-07,sparse,5.493925999999988,1.6645440839929506,48.641950607299805,542.75,542.75,0.0
7000,Gaussian random projection,5,720260431,3,3,4.0,35157,0.026285714285714287,0.9226797341228625,0.8729147118439478,0.9121223330002977,0.0656625000119675,0.3390432089945534,0.02640316700853873,0,0.0,15.067285714285715,32.0,35229.93481404082,5.03284783057726,15.09854349173178,0.11101588208876005,0.004757624992635101,0.06561304099159315,0.06110237500979565,0.02140979201067239,0.0021168329985812306,eigsh,0.0003369170008227229,0.15567225000995677,0.00042395800119265914,0.18294233400956728,0.999963366720639,0.6827208024797548,1.3168233750329819,2.9387755102040816e-06,3.26530612244898e-07,sparse,5.359527999999955,1.574625166002079,48.58665466308594,542.75,543.125,0.375
7000,Gaussian random projection,6,720260432,3,3,4.0,35350,0.028428571428571428,0.9165136604243703,0.8644893994207328,0.9131030419957824,0.06651916599366814,0.3113232500036247,0.03425104099733289,0,0.0,15.15,30.0,35229.93481404082,5.03284783057726,15.09854349173178,0.11101588208876005,0.00473858299665153,0.0644523330120137,0.05397154200181831,0.01202158399973996,0.0014561249990947545,eigsh,0.0008264589996542782,0.1386274589895038,0.00026470900047570467,0.17242337499919813,0.9999705022434554,0.6887029310096986,1.2909377509786282,2.9387755102040816e-06,3.26530612244898e-07,sparse,5.081317000000013,1.585098041992751,48.65658950805664,543.125,543.75,0.625
7000,Gaussian random projection,7,720260433,3,3,4.0,35127,0.025,0.9263936796961555,0.8781172955551029,0.9366072499979055,0.06698787500499748,0.41795212498982437,0.018164624998462386,0,0.0,15.054428571428572,30.0,35229.93481404082,5.03284783057726,15.09854349173178,0.11101588208876005,0.004671542003052309,0.06358262499270495,0.06145745899993926,0.016318083013175055,0.0014315410080598667,eigsh,0.0005674160056514665,0.14885741600301117,0.0001176249934360385,0.2689730830024928,0.9999625757940354,0.6894728281990136,1.421543249001843,2.9387755102040816e-06,3.26530612244898e-07,sparse,6.128823000000011,1.6582402080093743,48.575819969177246,543.75,543.96875,0.21875
