n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,cs_draw_hash_sec,cs_initial_multiply_sec,cs_sparse_explicit_sketch_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_reconstruct_sec,cs_small_eig_sec,cs_lift_sec,cs_kmeans_sec,sign_draw_omega_sec,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
800,3,SIGN Bidirectional,0.03546966700000098,0.007417667000002126,0.10620270800000142,,,,,,,,,0.03546966700000098,0.03545991899999734,9.748000003639845e-06,0.14909004200000453,,,,,,,,,,,,,,,,,,,,0.00020795800000072973,0.006997667000000263,0.0024160000000001958,0.0008077919999998073,0.00033545899999865014,2.6584000000440255e-05,0.024668458999997256
800,4,Random Projection,0.028741499999998865,0.007917082999998826,0.10987270799999749,0.0001609589999986838,0.0030025000000009072,0.0012079580000019519,0.0006249999999994316,0.0006092500000001166,0.00024250000000236582,1.3958000000258153e-05,0.022873540999999165,0.028741499999998865,0.02873566600000288,5.83399999598555e-06,0.14653129099999518,,,,,,,,,,,,,,,,,,,,,,,,,,
800,4,Random Sampling,0.07178533300000112,0.007917082999998826,0.129700291999999,,,,,,,,,0.07178533300000112,0.07177762400000276,7.708999998357058e-06,0.20940270799999894,0.002624457999999663,0.005571291999999062,0.032324000000002684,0.0005308750000025952,0.001725290999999629,0.029001707999999127,,,,,,,,,,,,,,,,,,,,
800,4,Non-random,0.26844520899999935,0.007917082999998826,0.11562312499999905,,,,,,,,,0.26844520899999935,0.26844045900000424,4.74999999511283e-06,0.3919854169999972,,,,,,,0.24570612500000166,0.022147792000001942,0.0005865420000006338,,,,,,,,,,,,,,,,,
800,4,CountSketch,0.030013166999999896,0.007917082999998826,0.10933595899999915,,,,,,,,,0.030013166999999896,0.031173125000002244,0.0,0.14726620899999787,,,,,,,,,,6.883400000035067e-05,0.0011858330000009687,0.0011858330000009687,0.0021382079999980874,0.001272374999999215,0.0006265420000026722,0.0006645829999989417,0.000235708999998252,1.387500000049613e-05,0.02378133300000229,,,,,,,
800,4,SIGN Bidirectional,0.03705337499999928,0.007917082999998826,0.10733141700000104,,,,,,,,,0.03705337499999928,0.037043751000002345,9.623999996932753e-06,0.15230187499999914,,,,,,,,,,,,,,,,,,,,0.00016300000000057935,0.006583917000000383,0.0033433340000001976,0.0007382910000011123,0.0003425839999984248,2.6541000000435133e-05,0.025846084000001213
800,5,Random Projection,0.027898042000000345,0.008357374999999223,0.11145383300000233,0.00015745800000033228,0.0029000000000003467,0.0012970000000009918,0.0009542910000028826,0.0007327500000009479,0.00011945800000034978,1.4084000000025299e-05,0.02171258299999934,0.027898042000000345,0.027887624000005218,1.0417999995127047e-05,0.1477092500000019,,,,,,,,,,,,,,,,,,,,,,,,,,
800,5,Random Sampling,0.06744137500000136,0.008357374999999223,0.135512042000002,,,,,,,,,0.06744137500000136,0.06743283499999819,8.54000000316546e-06,0.21131079200000258,0.0025674169999980734,0.004250958000000082,0.03138254199999935,0.000564834000002179,0.0012289169999988303,0.02743816699999968,,,,,,,,,,,,,,,,,,,,
800,5,Non-random,0.27073508299999816,0.008357374999999223,0.11759233300000105,,,,,,,,,0.27073508299999816,0.2707312919999971,3.7910000010299427e-06,0.3966847909999984,,,,,,,0.2481141249999972,0.022439583000000596,0.00017758399999934227,,,,,,,,,,,,,,,,,
800,5,CountSketch,0.028230834000002147,0.008357374999999223,0.10704091699999907,,,,,,,,,0.028230834000002147,0.029899957000004918,0.0,0.14362912600000044,,,,,,,,,,0.00011312500000215664,0.0017193750000004115,0.0017193750000004115,0.001932750000001704,0.0010435000000015293,0.0007685829999992677,0.0005065000000001874,0.00044304100000047697,3.429199999871457e-05,0.021619416000000058,,,,,,,
800,5,SIGN Bidirectional,0.03877270799999977,0.008357374999999223,0.09164391700000252,,,,,,,,,0.03877270799999977,0.03876133600000031,1.1371999999454374e-05,0.1387740000000015,,,,,,,,,,,,,,,,,,,,0.0001589590000001806,0.006963709000000762,0.0035217090000010387,0.0007204999999999018,0.000347792000003011,3.3291999997686617e-05,0.027015374999997732
800,6,Random Projection,0.025069333000001137,0.007222041999998652,0.09107150000000175,0.0001676249999995605,0.0018300000000017747,0.0011087080000002913,0.0004218340000008425,0.0005347499999999172,0.00025425000000112163,1.4666999998524943e-05,0.02073162499999981,0.025069333000001137,0.025063459000001842,5.873999999295165e-06,0.12336287500000154,,,,,,,,,,,,,,,,,,,,,,,,,,
800,6,Random Sampling,0.060549834000003244,0.007222041999998652,0.11294875000000104,,,,,,,,,0.060549834000003244,0.060544624999998575,5.209000004668951e-06,0.18072062600000294,0.0026216659999995784,0.0042342079999997395,0.024224207999999692,0.0003894590000008691,0.0011160419999995952,0.0279590419999991,,,,,,,,,,,,,,,,,,,,
800,6,Non-random,0.2619082089999978,0.007222041999998652,0.11357854199999906,,,,,,,,,0.2619082089999978,0.2619046249999961,3.5840000016662543e-06,0.3827087929999955,,,,,,,0.240293874999999,0.021433999999999287,0.00017674999999783836,,,,,,,,,,,,,,,,,
800,6,CountSketch,0.02985129200000003,0.007222041999998652,0.11127837500000126,,,,,,,,,0.02985129200000003,0.031345957999999285,0.0,0.14835170899999994,,,,,,,,,,0.00011174999999852275,0.0015438749999994172,0.0015438749999994172,0.0020992080000006297,0.0010420830000015258,0.0007302920000000768,0.0008124999999985505,0.00036695800000074996,2.6375000000911086e-05,0.023069041999999484,,,,,,,
800,6,SIGN Bidirectional,0.035564499999999555,0.007222041999998652,0.10790479199999936,,,,,,,,,0.035564499999999555,0.03555625000000262,8.24999999693432e-06,0.15069133399999757,,,,,,,,,,,,,,,,,,,,0.00015945799999883548,0.0058388329999985444,0.0026152499999980705,0.0008105840000034448,0.00036379200000169476,4.700000000212867e-05,0.025721332999999902
800,7,Random Projection,0.02722891699999863,0.007206040999999885,0.10920595900000052,0.00017670799999791598,0.002173249999998461,0.001435084000000586,0.0005129999999979873,0.0006967499999994686,0.00038587499999920283,2.5957999998382775e-05,0.021812374999999662,0.02722891699999863,0.027218999999991667,9.917000006964827e-06,0.14364091699999904,,,,,,,,,,,,,,,,,,,,,,,,,,
800,7,Random Sampling,0.07024675000000258,0.007206040999999885,0.12485474999999724,,,,,,,,,0.07024675000000258,0.0702378760000002,8.874000002379034e-06,0.2023075409999997,0.002578624999998169,0.004266791999999242,0.0316049160000027,0.0006153749999988634,0.0012240840000004027,0.02994808400000082,,,,,,,,,,,,,,,,,,,,
800,7,Non-random,0.27868549999999814,0.007206040999999885,0.11471749999999759,,,,,,,,,0.27868549999999814,0.27868120800000185,4.291999996297591e-06,0.4006090409999956,,,,,,,0.2532375000000009,0.02513349999999903,0.0003102080000019214,,,,,,,,,,,,,,,,,
800,7,CountSketch,0.030155499999999336,0.007206040999999885,0.10901858400000108,,,,,,,,,0.030155499999999336,0.03132537400000501,0.0,0.1463801250000003,,,,,,,,,,7.508299999869905e-05,0.0012023750000018651,0.0012023750000018651,0.002080583000001468,0.0010476660000016125,0.000710375000000596,0.0006769999999995946,0.0003739169999974479,2.7291999998624306e-05,0.02392870800000324,,,,,,,
800,7,SIGN Bidirectional,0.03898416699999885,0.007206040999999885,0.11180912500000062,,,,,,,,,0.03898416699999885,0.038972832999998985,1.1333999999862954e-05,0.15799933299999935,,,,,,,,,,,,,,,,,,,,0.00015858299999749192,0.007291459000001055,0.003562915999999916,0.000905666999997834,0.00037250000000099703,2.6291000001066323e-05,0.026655417000000625
800,8,Random Projection,0.02787587499999944,0.007784167000000508,0.11053674999999785,0.0001587920000005738,0.002441832999998894,0.0012024999999979968,0.0006511249999974211,0.0008040420000021697,0.00023854199999817638,1.3917000000418511e-05,0.022356957999999594,0.02787587499999944,0.027867708999995244,8.166000004194984e-06,0.1461967919999978,,,,,,,,,,,,,,,,,,,,,,,,,,
800,8,Random Sampling,0.06729145899999978,0.007784167000000508,0.12881370799999914,,,,,,,,,0.06729145899999978,0.06728729099999953,4.1680000002486395e-06,0.20388933399999942,0.002591374999997953,0.00415645800000064,0.02847095799999977,0.0004637500000015393,0.0011287909999992962,0.03047595900000033,,,,,,,,,,,,,,,,,,,,
800,8,Non-random,0.27487545900000043,0.007784167000000508,0.11364291599999632,,,,,,,,,0.27487545900000043,0.27487137500000713,4.083999993298448e-06,0.39630254199999726,,,,,,,0.252041375000001,0.022517625000006092,0.0003123750000000314,,,,,,,,,,,,,,,,,
800,8,CountSketch,0.034049916000000735,0.007784167000000508,0.11183591599999687,,,,,,,,,0.034049916000000735,0.03528720800001395,0.0,0.15366999899999811,,,,,,,,,,0.00011162500000239106,0.0012873330000005012,0.0012873330000005012,0.0031289170000050603,0.0014755830000012793,0.0008287920000000781,0.0009601249999988681,0.0004063330000008136,2.7500000001623448e-05,0.02577366700000283,,,,,,,
800,8,SIGN Bidirectional,0.03672020899999495,0.007784167000000508,0.10844266600000196,,,,,,,,,0.03672020899999495,0.03670929099999398,1.0918000000970096e-05,0.15294704199999742,,,,,,,,,,,,,,,,,,,,0.00016954200000185438,0.007749624999995319,0.003131541999998433,0.0007363329999989787,0.00042391599999547225,2.9208000000835455e-05,0.02446912500000309
800,9,Random Projection,0.03042624999999788,0.007386500000002627,0.10683674999999937,0.000156375000003095,0.0028636660000032066,0.0014992500000019504,0.0007259169999969117,0.000716541999999265,0.0003781249999974534,2.7374999994833615e-05,0.024030750000001433,0.03042624999999788,0.03039799999999815,2.824999999972988e-05,0.14464949999999988,,,,,,,,,,,,,,,,,,,,,,,,,,
800,9,Random Sampling,0.07126300000000185,0.007386500000002627,0.141368166999996,,,,,,,,,0.07126300000000185,0.07125641500000057,6.58500000128015e-06,0.22001766700000047,0.0025851659999958088,0.004187708000003454,0.030089957999997807,0.0005215420000013182,0.0011839579999985972,0.03268808300000359,,,,,,,,,,,,,,,,,,,,
800,9,Non-random,0.269722625,0.007386500000002627,0.1350192089999993,,,,,,,,,0.269722625,0.26971874999999557,3.87500000442742e-06,0.41212833400000193,,,,,,,0.24649462500000396,0.023046207999996682,0.0001779169999949204,,,,,,,,,,,,,,,,,
800,9,CountSketch,0.03248775000000137,0.007386500000002627,0.10986287500000458,,,,,,,,,0.03248775000000137,0.03365670699999157,0.0,0.14973712500000858,,,,,,,,,,7.387499999822467e-05,0.001204582999996262,0.001204582999996262,0.002093541000000698,0.001494583999999577,0.0007890409999973258,0.0007380840000053013,0.00040291599999875416,2.7207999998779542e-05,0.025628292000000386,,,,,,,
800,9,SIGN Bidirectional,0.03891220899999581,0.007386500000002627,0.11555245799999625,,,,,,,,,0.03891220899999581,0.03890374900000637,8.459999989440803e-06,0.1618511669999947,,,,,,,,,,,,,,,,,,,,0.00021191599999781374,0.007929584000002876,0.002802583000004688,0.0006413329999972461,0.00024125000000196906,1.437499999923375e-05,0.027062708000002544
800,10,Random Projection,0.0340070410000024,0.007381375000001356,0.09943070799999987,0.00018329199999556067,0.002425625000000764,0.0012208750000013424,0.000542000000002929,0.000619083000003684,0.0004595840000050089,2.8582999995308e-05,0.028516916000000947,0.0340070410000024,0.033995958000005544,1.1082999996858689e-05,0.14081912400000363,,,,,,,,,,,,,,,,,,,,,,,,,,
800,10,Random Sampling,0.06687745800000044,0.007381375000001356,0.11247004199999822,,,,,,,,,0.06687745800000044,0.06686712600000533,1.0331999995116803e-05,0.18672887500000002,0.0025862090000003946,0.0056114579999970715,0.025111250000001917,0.0004031670000017584,0.0017389580000042315,0.031416083999999955,,,,,,,,,,,,,,,,,,,,
800,10,Non-random,0.26005066600000504,0.007381375000001356,0.09948424999999617,,,,,,,,,0.26005066600000504,0.2600468330000041,3.833000000952325e-06,0.36691629100000256,,,,,,,0.2406375000000054,0.0192306670000022,0.0001786659999964968,,,,,,,,,,,,,,,,,
800,10,CountSketch,0.0270399170000033,0.007381375000001356,0.09162420799999893,,,,,,,,,0.0270399170000033,0.02819799899999964,0.0,0.12604550000000359,,,,,,,,,,7.387499999822467e-05,0.0011849999999995475,0.0011849999999995475,0.001499707999997213,0.0010822910000030106,0.00043133300000164354,0.00042475000000052887,0.0002527919999977257,1.412499999986494e-05,0.022049125000002334,,,,,,,
800,10,SIGN Bidirectional,0.03597191599999405,0.007381375000001356,0.09092708300000396,,,,,,,,,0.03597191599999405,0.03596449900000209,7.416999991960438e-06,0.13428037399999937,,,,,,,,,,,,,,,,,,,,0.0001603750000001014,0.005647125000002973,0.002727374999999199,0.0005008329999967032,0.00024283300000149666,1.4542000002393252e-05,0.026671415999999226
800,11,Random Projection,0.0247347910000002,0.007190999999998837,0.09110079199999888,0.00015608399999678113,0.0017641250000011155,0.0010827919999982782,0.00044779100000624794,0.0005661670000023378,0.0002862919999984115,1.3917000003971225e-05,0.02041170900000111,0.0247347910000002,0.024728877000008254,5.913999991946639e-06,0.12302658299999791,,,,,,,,,,,,,,,,,,,,,,,,,,
800,11,Random Sampling,0.062308666999996376,0.007190999999998837,0.11244779100000102,,,,,,,,,0.062308666999996376,0.062303249000002836,5.417999993539979e-06,0.18194745799999623,0.0025850409999961244,0.004214333000000181,0.024335624999999084,0.00042141600000178414,0.00110420900000463,0.029642625000001033,,,,,,,,,,,,,,,,,,,,
800,11,Non-random,0.2741989579999995,0.007190999999998837,0.1185487500000022,,,,,,,,,0.2741989579999995,0.27419554200000107,3.415999998424013e-06,0.39993870800000053,,,,,,,0.251661833,0.022343792000000917,0.00018991700000015044,,,,,,,,,,,,,,,,,
800,11,CountSketch,0.030661209000001577,0.007190999999998837,0.10895437499999616,,,,,,,,,0.030661209000001577,0.03182066499999081,0.0,0.14680658399999658,,,,,,,,,,6.954099999489927e-05,0.0011839579999985972,0.0011839579999985972,0.0021489590000030034,0.001070874999996363,0.0006924159999996959,0.000627291999997226,0.0002589580000034175,1.3833000004126461e-05,0.024570874999994885,,,,,,,
800,11,SIGN Bidirectional,0.03917287499999844,0.007190999999998837,0.11054666700000126,,,,,,,,,0.03917287499999844,0.03916416600002037,8.708999978068732e-06,0.15691054199999854,,,,,,,,,,,,,,,,,,,,0.0001577080000032538,0.006144542000001252,0.00305841700000542,0.0006675000000058162,0.0003735830000053397,2.695799999941073e-05,0.02873545799999988
800,12,Random Projection,0.03230237500000044,0.008975374999998564,0.13772224999999594,0.0001603329999966263,0.003269332999998653,0.0017020410000014863,0.0012056250000043178,0.000850499999998533,0.000274500000003286,1.4000000000180535e-05,0.024816457999996544,0.03230237500000044,0.03229278999999963,9.585000000811306e-06,0.17899999999999494,,,,,,,,,,,,,,,,,,,,,,,,,,
800,12,Random Sampling,0.08163533300000125,0.008975374999998564,0.13450666699999658,,,,,,,,,0.08163533300000125,0.08162400099999445,1.13320000068029e-05,0.2251173749999964,0.0030027919999966457,0.007057041999999569,0.029638708000000236,0.0007598749999999654,0.0012184590000003936,0.03994712499999764,,,,,,,,,,,,,,,,,,,,
800,12,Non-random,0.2796501669999998,0.008975374999998564,0.10556937500000174,,,,,,,,,0.2796501669999998,0.2796467490000012,3.4179999985894938e-06,0.3941949170000001,,,,,,,0.25287879100000055,0.02657624999999797,0.00019170800000267718,,,,,,,,,,,,,,,,,
800,12,CountSketch,0.030014999999998793,0.008975374999998564,0.09926229200000591,,,,,,,,,0.030014999999998793,0.03118666599998221,0.0,0.13825266700000327,,,,,,,,,,8.21249999987117e-05,0.0012097499999939032,0.0012097499999939032,0.0016022499999976958,0.0012216249999994488,0.0005810420000003091,0.0005499580000005722,0.0003181249999997249,2.754100000146309e-05,0.02438449999999648,,,,,,,
800,12,SIGN Bidirectional,0.03729808299999604,0.008975374999998564,0.10163408399999696,,,,,,,,,0.03729808299999604,0.037287334999994926,1.0748000001115088e-05,0.14790754199999157,,,,,,,,,,,,,,,,,,,,0.00016437500000421323,0.006298334000000239,0.002465707999995459,0.0006684169999999767,0.00031791699999672574,2.587499999862075e-05,0.02734670899999969
