experiment,n,rep,seed,K,m,rho_n,a_in,b_out,signal_gap,p_in,p_out,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,sampling_mode,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,method_wall_sec,algorithm_total_wall_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_lift_sec,rs_sample_matrix_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec
n_scaling_fixed_density_signal,3000,4,2326050707,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,4.058387044399323e-05,3.052724066711788e-05,139280,801498,0.08905533333333333,0.9515387079445645,0.17859662498813123,sparse,0,0.0,139.28,191.0,138484.78725267565,46.161595750891884,138.48478725267566,0.027638966157498352,CountSketch RP,countsketch_random_projection,0.8089999999999999,0.0007320982977691398,0.003431989857782145,0.002770167076960206,0.03810683393385261,8.849997539073229e-05,0.32284637505654246,0.3610427499515936,0.9193649684187376,0.3647757092432877,0.3666209999937564,1.4911770418984815,,,,,,,,,,,0.00012937502469867468,36.0,66.0,94.0,0.0,0.003364040981978178,0.01147966692224145,0.0072475000051781535,0.015065375017002225,0.000458124908618629,7.1333022788167e-05
n_scaling_fixed_density_signal,3000,5,2326050708,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,4.058387044399323e-05,3.052724066711788e-05,138250,794966,0.08832955555555555,0.8920136670349166,0.154692041920498,sparse,0,0.0,138.25,189.0,138484.78725267565,46.161595750891884,138.48478725267566,0.027638966157498352,Non-random eigsh,non_random,0.808,0.00046302295033195847,0.002975922549591869,0.0020324999932199717,0.0987219160888344,0.00011629203800112009,0.33533895900473,0.4341786669101566,0.9999999999999993,0.4138060322307741,0.4394862500485033,1.48088287608698,,,,,,,,,,,,,,,,,,,,,
n_scaling_fixed_density_signal,3000,5,2326050708,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,4.058387044399323e-05,3.052724066711788e-05,138250,794966,0.08832955555555555,0.8920136670349166,0.154692041920498,sparse,0,0.0,138.25,189.0,138484.78725267565,46.161595750891884,138.48478725267566,0.027638966157498352,Gaussian RP,gaussian_random_projection,0.817,-0.0005108746827172212,0.0016101748548224856,0.002396834082901478,0.041488290997222066,0.00030545901972800493,0.3791019580094144,0.42089687497355044,0.9282642802509413,0.3646349592037074,0.42606616602279246,1.467601416981779,0.00046870799269527197,0.018261541961692274,0.011759707937017083,0.009928707964718342,0.00043825001921504736,7.216702215373516e-05,,,,,,,,,,,,,,,
n_scaling_fixed_density_signal,3000,5,2326050708,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,4.058387044399323e-05,3.052724066711788e-05,138250,794966,0.08832955555555555,0.8920136670349166,0.154692041920498,sparse,0,0.0,138.25,189.0,138484.78725267565,46.161595750891884,138.48478725267566,0.027638966157498352,Random sampling,random_sampling,0.8173333333333334,-5.91301695748519e-05,0.0024334305392833553,0.003046249970793724,0.06811083294451237,7.624994032084942e-05,0.2872015000320971,0.3553901669802144,1.4161395149850862,1.194602240297051,0.36164704198017716,1.402094291872345,,,,,,,0.013579083024524152,398983.0,119525.0,0.3,,,,,,,,,,,
n_scaling_fixed_density_signal,3000,5,2326050708,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,4.058387044399323e-05,3.052724066711788e-05,138250,794966,0.08832955555555555,0.8920136670349166,0.154692041920498,sparse,0,0.0,138.25,189.0,138484.78725267565,46.161595750891884,138.48478725267566,0.027638966157498352,CountSketch RP,countsketch_random_projection,0.8146666666666667,0.0001695442635908163,0.0023879886132210193,0.0023452499881386757,0.03775762498844415,0.00016166700515896082,0.33477195794694126,0.3726924170041457,0.9375293188544209,0.3642485726398868,0.3791585420258343,1.419396958895959,,,,,,,,,,,0.00031404197216033936,36.0,69.0,105.0,0.0,0.0035390410339459777,0.012282583978958428,0.010798833915032446,0.010145041975192726,0.0004915420431643724,3.7125078961253166e-05
n_scaling_fixed_density_signal,6000,1,2626050704,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,1.0145967610998308e-05,7.63181016677947e-06,276853,1629288,0.045258,1.8216837500222027,0.35198887495789677,sparse,0,0.0,138.4265,181.0,277114.42868488026,46.18573811414671,138.55721434244012,0.02770835263696556,Non-random eigsh,non_random,0.8196666666666667,3.0199650729630377e-06,0.0011749033323904359,0.003649375052191317,0.28145300003234297,8.008407894521952e-05,0.3827937910100445,0.6643284579040483,1.0000000000000009,0.41438220772360246,0.6761739579960704,2.837999500101432,,,,,,,,,,,,,,,,,,,,,
n_scaling_fixed_density_signal,6000,1,2626050704,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,1.0145967610998308e-05,7.63181016677947e-06,276853,1629288,0.045258,1.8216837500222027,0.35198887495789677,sparse,0,0.0,138.4265,181.0,277114.42868488026,46.18573811414671,138.55721434244012,0.02770835263696556,Gaussian RP,gaussian_random_projection,0.8205,-4.0043505941212146e-05,0.0011067816756824165,0.003119791974313557,0.06186395895201713,0.0003227089764550328,0.4757795420009643,0.5379682499915361,0.8622253983534907,0.36282440947702876,0.5512018749723211,2.711638834909536,0.0009507089853286743,0.03740212495904416,0.004078084020875394,0.01740679203066975,0.0015435840468853712,0.0004137079231441021,,,,,,,,,,,,,,,
n_scaling_fixed_density_signal,6000,1,2626050704,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,1.0145967610998308e-05,7.63181016677947e-06,276853,1629288,0.045258,1.8216837500222027,0.35198887495789677,sparse,0,0.0,138.4265,181.0,277114.42868488026,46.18573811414671,138.55721434244012,0.02770835263696556,Random sampling,random_sampling,0.8248333333333333,-4.4097720698118535e-05,0.001348126293994958,0.003710291930474341,0.15748887497466058,7.716706022620201e-05,0.41967374994419515,0.577241166960448,1.4231485704327498,1.1961243236301113,0.5910617919871584,2.7509124169591814,,,,,,,0.02884754096157849,817644.0,245432.0,0.3,,,,,,,,,,,
n_scaling_fixed_density_signal,6000,1,2626050704,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,1.0145967610998308e-05,7.63181016677947e-06,276853,1629288,0.045258,1.8216837500222027,0.35198887495789677,sparse,0,0.0,138.4265,181.0,277114.42868488026,46.18573811414671,138.55721434244012,0.02770835263696556,CountSketch RP,countsketch_random_projection,0.8201666666666667,-3.424681348977187e-05,0.0011390182670867567,0.004122207988984883,0.05443283298518509,0.0004306669579818845,0.336575833032839,0.39144054206553847,0.8359775658250377,0.3632411855255376,0.40495158289559186,2.5651119579561055,,,,,,,,,,,0.0006379579426720738,36.0,147.0,196.0,0.0,0.007382459007203579,0.024113874998874962,0.0076952079543843865,0.014018124900758266,0.00045929208863526583,8.908403106033802e-05
n_scaling_fixed_density_signal,6000,2,2626050705,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,1.0145967610998308e-05,7.63181016677947e-06,276443,1627118,0.04519772222222222,1.8366532089421526,0.38857883296441287,sparse,0,0.0,138.2215,183.0,277114.42868488026,46.18573811414671,138.55721434244012,0.02770835263696556,Non-random eigsh,non_random,0.8148333333333333,0.00047196272301890303,0.0018108122892352531,0.004585332935675979,0.3414982500253245,0.00011899997480213642,0.4113634169334546,0.7529825828969479,0.9999999999999993,0.41446702414658887,0.7684050420066342,2.9782127088401467,,,,,,,,,,,,,,,,,,,,,
n_scaling_fixed_density_signal,6000,2,2626050705,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,1.0145967610998308e-05,7.63181016677947e-06,276443,1627118,0.04519772222222222,1.8366532089421526,0.38857883296441287,sparse,0,0.0,138.2215,183.0,277114.42868488026,46.18573811414671,138.55721434244012,0.02770835263696556,Gaussian RP,gaussian_random_projection,0.8200000000000001,0.00011548183711459375,0.0013350447921838616,0.003215125063434243,0.15081612498033792,0.0010069579584524035,0.4823203750420362,0.6341458329698071,0.9031174344942701,0.3633909382119533,0.6504603748908266,2.859375499887392,0.000894750002771616,0.0600323750404641,0.05879754200577736,0.029460833058692515,0.0008414590265601873,0.00012274994514882565,,,,,,,,,,,,,,,
n_scaling_fixed_density_signal,6000,2,2626050705,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,1.0145967610998308e-05,7.63181016677947e-06,276443,1627118,0.04519772222222222,1.8366532089421526,0.38857883296441287,sparse,0,0.0,138.2215,183.0,277114.42868488026,46.18573811414671,138.55721434244012,0.02770835263696556,Random sampling,random_sampling,0.8220000000000001,-5.3502653835133554e-05,0.0012507762745282485,0.0038922090316191316,0.1686572089092806,0.00018870795611292124,0.3818274160148576,0.5506758328992873,1.4214280249465125,1.1959677376724895,0.5668591669527814,2.7759053747868165,,,,,,,0.02909854194149375,816559.0,245183.0,0.3,,,,,,,,,,,
n_scaling_fixed_density_signal,6000,2,2626050705,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,1.0145967610998308e-05,7.63181016677947e-06,276443,1627118,0.04519772222222222,1.8366532089421526,0.38857883296441287,sparse,0,0.0,138.2215,183.0,277114.42868488026,46.18573811414671,138.55721434244012,0.02770835263696556,CountSketch RP,countsketch_random_projection,0.8206666666666667,-1.808332457191376e-05,0.0011636932670772387,0.006434082984924316,0.09223929105792195,0.00027550000231713057,0.39417762495577335,0.48669470800086856,0.8565173158183478,0.3633785992360366,0.5033675419399515,2.711924457922578,,,,,,,,,,,0.0005110000493004918,36.0,129.0,199.0,0.0,0.008615207974798977,0.0319908750243485,0.015313458978198469,0.03390899999067187,0.0010542079107835889,0.0006540839094668627
n_scaling_fixed_density_signal,6000,3,2626050706,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,1.0145967610998308e-05,7.63181016677947e-06,276536,1627988,0.04522188888888889,2.1308574159629643,0.4004953750409186,sparse,0,0.0,138.268,179.0,277114.42868488026,46.18573811414671,138.55721434244012,0.02770835263696556,Non-random eigsh,non_random,0.8216666666666667,-0.0003007323262296219,0.0007429857748161542,0.0035197079414501786,0.3214363750303164,7.995800115168095e-05,0.44706204102840275,0.7685798340244219,1.0000000000000018,0.41447314337179303,0.7800382500281557,3.2999311650637537,,,,,,,,,,,,,,,,,,,,,
n_scaling_fixed_density_signal,6000,3,2626050706,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,1.0145967610998308e-05,7.63181016677947e-06,276536,1627988,0.04522188888888889,2.1308574159629643,0.4004953750409186,sparse,0,0.0,138.268,179.0,277114.42868488026,46.18573811414671,138.55721434244012,0.02770835263696556,Gaussian RP,gaussian_random_projection,0.8171666666666667,0.00031029270389919836,0.0015876825949630359,0.004326666938140988,0.060717792017385364,0.006684084073640406,0.48985579097643495,0.5572603750042617,0.8482569508288577,0.36323338113081477,0.5692391250049695,3.0886104580713436,0.0008864159462973475,0.034778375062160194,0.00421804201323539,0.017100707977078855,0.0009663749951869249,0.000114083057269454,,,,,,,,,,,,,,,
n_scaling_fixed_density_signal,6000,3,2626050706,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,1.0145967610998308e-05,7.63181016677947e-06,276536,1627988,0.04522188888888889,2.1308574159629643,0.4004953750409186,sparse,0,0.0,138.268,179.0,277114.42868488026,46.18573811414671,138.55721434244012,0.02770835263696556,Random sampling,random_sampling,0.8228333333333333,-1.1991598798675545e-05,0.0010072979165095973,0.0035675420658662915,0.14237216697074473,7.64590222388506e-05,0.3502862920286134,0.49273658299352974,1.417795965085935,1.1953399826534068,0.5038600000552833,3.02408770902548,,,,,,,0.026617083000019193,816994.0,244687.0,0.3,,,,,,,,,,,
n_scaling_fixed_density_signal,6000,3,2626050706,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,1.0145967610998308e-05,7.63181016677947e-06,276536,1627988,0.04522188888888889,2.1308574159629643,0.4004953750409186,sparse,0,0.0,138.268,179.0,277114.42868488026,46.18573811414671,138.55721434244012,0.02770835263696556,CountSketch RP,countsketch_random_projection,0.8195,-0.0001606756890005733,0.0009020039209814726,0.0029979159589856863,0.05768349999561906,0.00012341700494289398,0.36480945895891637,0.42261749994941056,0.8386608642660532,0.3637624465678949,0.43426599993836135,2.953969166963361,,,,,,,,,,,0.00017904199194163084,36.0,140.0,198.0,0.0,0.008623125031590462,0.02269274997524917,0.01059629104565829,0.014751625014469028,0.00044716603588312864,9.400001727044582e-05
n_scaling_fixed_density_signal,6000,4,2626050707,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,1.0145967610998308e-05,7.63181016677947e-06,278053,1636046,0.04544572222222222,1.9727238329360262,0.36621054203715175,sparse,0,0.0,139.0265,190.0,277114.42868488026,46.18573811414671,138.55721434244012,0.02770835263696556,Non-random eigsh,non_random,0.8176666666666667,0.00011723756665152605,0.0013211278514629224,0.003514791023917496,0.3606387920444831,7.76670640334487e-05,0.4110000829678029,0.7717180829495192,0.9999999999999996,0.41414490032664836,0.7831298330565915,3.1106509170494974,,,,,,,,,,,,,,,,,,,,,
n_scaling_fixed_density_signal,6000,4,2626050707,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,1.0145967610998308e-05,7.63181016677947e-06,278053,1636046,0.04544572222222222,1.9727238329360262,0.36621054203715175,sparse,0,0.0,139.0265,190.0,277114.42868488026,46.18573811414671,138.55721434244012,0.02770835263696556,Gaussian RP,gaussian_random_projection,0.8225,-0.00037412153307270825,0.0006406526573995803,0.003481874940916896,0.05959833401720971,0.00035204202868044376,0.46198575000744313,0.5219374999869615,0.8596624418623401,0.36318803856904924,0.5335800830507651,2.860870501026511,0.000890707946382463,0.03435391595121473,0.0044213340152055025,0.019361875019967556,0.0004081670194864273,0.00010870792903006077,,,,,,,,,,,,,,,
n_scaling_fixed_density_signal,6000,4,2626050707,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,1.0145967610998308e-05,7.63181016677947e-06,278053,1636046,0.04544572222222222,1.9727238329360262,0.36621054203715175,sparse,0,0.0,139.0265,190.0,277114.42868488026,46.18573811414671,138.55721434244012,0.02770835263696556,Random sampling,random_sampling,0.8243333333333334,-8.426604147569607e-05,0.0011566170597518436,0.0042970419162884355,0.1782334999879822,0.00010704097803682089,0.33689829194918275,0.5152413750765845,1.4213709025704768,1.1958227984185505,0.5282265419373289,2.8541732078883797,,,,,,,0.028592250077053905,821023.0,246019.0,0.3,,,,,,,,,,,
n_scaling_fixed_density_signal,6000,4,2626050707,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,1.0145967610998308e-05,7.63181016677947e-06,278053,1636046,0.04544572222222222,1.9727238329360262,0.36621054203715175,sparse,0,0.0,139.0265,190.0,277114.42868488026,46.18573811414671,138.55721434244012,0.02770835263696556,CountSketch RP,countsketch_random_projection,0.8205,5.2991458025212153e-05,0.0011656765357925787,0.0037197089986875653,0.06095183303114027,0.0007212500786408782,0.39677891694009304,0.4584543339442462,0.8840222414326233,0.3631091213368395,0.47105833305977285,2.797386375023052,,,,,,,,,,,0.0002061660634353757,36.0,139.0,193.0,0.0,0.006985667045228183,0.023893333040177822,0.009068540995940566,0.018640708993189037,0.0003951669204980135,0.0015468340134248137
n_scaling_fixed_density_signal,6000,5,2626050708,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,1.0145967610998308e-05,7.63181016677947e-06,277547,1633510,0.04537527777777778,1.8404576251050457,0.388798667001538,sparse,0,0.0,138.7735,187.0,277114.42868488026,46.18573811414671,138.55721434244012,0.02770835263696556,Non-random eigsh,non_random,0.813,0.00017065314822319866,0.0013850885803037664,0.003086040960624814,0.33523179101757705,7.779092993587255e-05,0.3683865419588983,0.7036975000519305,0.9999999999999991,0.41419768980519994,0.7145124999806285,2.932952416012995,,,,,,,,,,,,,,,,,,,,,
n_scaling_fixed_density_signal,6000,5,2626050708,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,1.0145967610998308e-05,7.63181016677947e-06,277547,1633510,0.04537527777777778,1.8404576251050457,0.388798667001538,sparse,0,0.0,138.7735,187.0,277114.42868488026,46.18573811414671,138.55721434244012,0.02770835263696556,Gaussian RP,gaussian_random_projection,0.8188333333333333,-0.00014466234000217696,0.0009601473183137704,0.005032125045545399,0.0714818750275299,0.00031212507747113705,0.47801420907489955,0.5498101250268519,0.8661873253921349,0.36300982852516495,0.5630002079997212,2.7790645012864843,0.0010244169970974326,0.03812212496995926,0.011899000033736229,0.01927166699897498,0.0008731249254196882,0.00018533295951783657,,,,,,,,,,,,,,,
n_scaling_fixed_density_signal,6000,5,2626050708,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,1.0145967610998308e-05,7.63181016677947e-06,277547,1633510,0.04537527777777778,1.8404576251050457,0.388798667001538,sparse,0,0.0,138.7735,187.0,277114.42868488026,46.18573811414671,138.55721434244012,0.02770835263696556,Random sampling,random_sampling,0.8221666666666667,-8.739250914050202e-06,0.0011413988128729906,0.0035690419608727098,0.14749875001143664,7.61660048738122e-05,0.3502997080795467,0.4978766250424087,1.4157483616131301,1.195054010230157,0.5102053339360282,2.727130916202441,,,,,,,0.02905625000130385,819755.0,246272.0,0.3,,,,,,,,,,,
n_scaling_fixed_density_signal,6000,5,2626050708,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,1.0145967610998308e-05,7.63181016677947e-06,277547,1633510,0.04537527777777778,1.8404576251050457,0.388798667001538,sparse,0,0.0,138.7735,187.0,277114.42868488026,46.18573811414671,138.55721434244012,0.02770835263696556,CountSketch RP,countsketch_random_projection,0.8183333333333334,-8.28553087372237e-05,0.0010488309940939332,0.003958165994845331,0.06324195896741003,0.0004159160889685154,0.3783901249989867,0.44204933394212276,0.8072588663648823,0.36312306682938694,0.4552434579236433,2.671304292161949,,,,,,,,,,,0.000500250025652349,36.0,134.0,203.0,0.0,0.0075450410367920995,0.023978290962986648,0.010861458024010062,0.019361083977855742,0.00040470901876688004,0.00010837498120963573
n_scaling_fixed_density_signal,9000,1,2926050704,6,3,32.0,11.414213562373096,8.585786437626904,2.8284271247461916,4.50931893822147e-06,3.3919156296797646e-06,416602,2470742,0.03050298765432099,2.8511655419133604,0.5977507079951465,sparse,0,0.0,138.86733333333333,180.0,415744.0836450418,46.19378707167131,138.58136121501394,0.02773149005887172,Non-random eigsh,non_random,0.8206666666666667,0.00014440955812411812,0.000984044394877287,0.00507750001270324,0.531365416944027,0.00014112493954598904,0.4748114579124376,1.0063196249539033,1.0000000000000004,0.41471816927674665,1.023303582915105,4.455234249704517,,,,,,,,,,,,,,,,,,,,,
