experiment,rho_n,rep,seed,n,K,m,a_in,b_out,signal_gap,p_in,p_out,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,sampling_mode,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,method_wall_sec,algorithm_total_wall_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_lift_sec,rs_sample_matrix_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec
rho_density_signal_control,8.0,1,2826050702,6000,6,3,12.82842712474619,7.17157287525381,5.65685424949238,2.850761583276931e-06,1.5936828611675133e-06,59161,359252,0.009979222222222223,0.43944099999498576,0.06355095899198204,sparse,0,0.0,29.5805,48.0,58597.20989799572,9.766201649665954,29.298604948997863,0.02770835263696556,Non-random eigsh,non_random,0.8203333333333334,-5.962333283990291e-05,0.0010666807109543392,0.0032000839710235596,0.06609183293767273,8.020899258553982e-05,0.40221191698219627,0.4683852079324424,1.0,0.5126858398550297,0.47126416699029505,0.9713759178994223,,,,,,,,,,,,,,,,,,,,,
rho_density_signal_control,8.0,1,2826050702,6000,6,3,12.82842712474619,7.17157287525381,5.65685424949238,2.850761583276931e-06,1.5936828611675133e-06,59161,359252,0.009979222222222223,0.43944099999498576,0.06355095899198204,sparse,0,0.0,29.5805,48.0,58597.20989799572,9.766201649665954,29.298604948997863,0.02770835263696556,Gaussian RP,gaussian_random_projection,0.8165,0.00025954918953069206,0.0014932110866689838,0.004324499983340502,0.034523374983109534,0.004530249978415668,0.414378417073749,0.45343487500213087,0.7399906031537522,0.43787967089187685,0.4570767079712823,0.956424001022242,0.0008485830621793866,0.010443000006489456,0.011682124924845994,0.008709834073670208,0.001617582980543375,0.0003730839816853404,,,,,,,,,,,,,,,
rho_density_signal_control,8.0,1,2826050702,6000,6,3,12.82842712474619,7.17157287525381,5.65685424949238,2.850761583276931e-06,1.5936828611675133e-06,59161,359252,0.009979222222222223,0.43944099999498576,0.06355095899198204,sparse,0,0.0,29.5805,48.0,58597.20989799572,9.766201649665954,29.298604948997863,0.02770835263696556,Random sampling,random_sampling,0.8200000000000001,4.9050159125259416e-05,0.001170136897308913,0.004716499941423535,0.06830649997573346,0.00014995795208960772,0.2153357919305563,0.2837947919033468,1.448896203663983,1.3096344664624315,0.28667154104914516,0.7867842088453472,,,,,,,0.007423999952152371,182626.0,54780.0,0.3,,,,,,,,,,,
rho_density_signal_control,8.0,1,2826050702,6000,6,3,12.82842712474619,7.17157287525381,5.65685424949238,2.850761583276931e-06,1.5936828611675133e-06,59161,359252,0.009979222222222223,0.43944099999498576,0.06355095899198204,sparse,0,0.0,29.5805,48.0,58597.20989799572,9.766201649665954,29.298604948997863,0.02770835263696556,CountSketch RP,countsketch_random_projection,0.8155,0.0003744134006484316,0.0016833009261149059,0.005740292021073401,0.038443957921117544,0.00014962500426918268,0.5113914579851553,0.5499864170560613,0.8283734725392143,0.4382369837188996,0.5543443330097944,1.0529769998975098,,,,,,,,,,,0.00033316609915345907,36.0,139.0,196.0,0.0,0.005455582984723151,0.009389459039084613,0.017165291937999427,0.0034880420425906777,0.002125415951013565,0.00018154201097786427
rho_density_signal_control,8.0,2,2826050703,6000,6,3,12.82842712474619,7.17157287525381,5.65685424949238,2.850761583276931e-06,1.5936828611675133e-06,59057,358584,0.009960666666666666,0.4598707089899108,0.06273758306633681,sparse,0,0.0,29.5285,53.0,58597.20989799572,9.766201649665954,29.298604948997863,0.02770835263696556,Non-random eigsh,non_random,0.8191666666666666,8.687852980095439e-05,0.0012994700411783449,0.0045374579494819045,0.07528329198248684,7.920898497104645e-05,0.3475680409464985,0.4229320411104709,1.0000000000000004,0.5129020903451401,0.42533137497957796,0.945538833970204,,,,,,,,,,,,,,,,,,,,,
rho_density_signal_control,8.0,2,2826050703,6000,6,3,12.82842712474619,7.17157287525381,5.65685424949238,2.850761583276931e-06,1.5936828611675133e-06,59057,358584,0.009960666666666666,0.4598707089899108,0.06273758306633681,sparse,0,0.0,29.5285,53.0,58597.20989799572,9.766201649665954,29.298604948997863,0.02770835263696556,Gaussian RP,gaussian_random_projection,0.8160000000000001,0.0002530278683718918,0.0015094062665205567,0.003137416089884937,0.05493900005239993,0.000543624977581203,0.4541536660399288,0.5096379170427099,0.8197104093009153,0.4378913518141981,0.5135255421046168,1.0322445831261575,0.0010614590719342232,0.011686124955303967,0.036205208976753056,0.00463916698936373,0.0008012090111151338,0.00011716701555997133,,,,,,,,,,,,,,,
rho_density_signal_control,8.0,2,2826050703,6000,6,3,12.82842712474619,7.17157287525381,5.65685424949238,2.850761583276931e-06,1.5936828611675133e-06,59057,358584,0.009960666666666666,0.4598707089899108,0.06273758306633681,sparse,0,0.0,29.5285,53.0,58597.20989799572,9.766201649665954,29.298604948997863,0.02770835263696556,Random sampling,random_sampling,0.8215,-0.00031676896900352834,0.0007328030099783326,0.0038117909571155906,0.04715891694650054,7.179100066423416e-05,0.22839533304795623,0.2756275830324739,1.4453559656884982,1.3123642032956915,0.2785162499640137,0.7982343330513686,,,,,,,0.007799375103786588,182292.0,54761.0,0.3,,,,,,,,,,,
rho_density_signal_control,8.0,2,2826050703,6000,6,3,12.82842712474619,7.17157287525381,5.65685424949238,2.850761583276931e-06,1.5936828611675133e-06,59057,358584,0.009960666666666666,0.4598707089899108,0.06273758306633681,sparse,0,0.0,29.5285,53.0,58597.20989799572,9.766201649665954,29.298604948997863,0.02770835263696556,CountSketch RP,countsketch_random_projection,0.8208333333333333,3.209024973689434e-05,0.0012285841899784718,0.0034707499435171485,0.03481770807411522,0.00015125004574656487,0.474392291973345,0.509362707962282,0.7998914250383399,0.43776506876241,0.5134324999526143,1.0319695421494544,,,,,,,,,,,0.0006074169650673866,36.0,143.0,193.0,0.0,0.004382916027680039,0.006449582986533642,0.017903959029354155,0.004333582939580083,0.0006184999365359545,0.00013545795809477568
rho_density_signal_control,8.0,3,2826050704,6000,6,3,12.82842712474619,7.17157287525381,5.65685424949238,2.850761583276931e-06,1.5936828611675133e-06,58645,356130,0.0098925,0.42962920805439353,0.06452987506054342,sparse,0,0.0,29.3225,49.0,58597.20989799572,9.766201649665954,29.298604948997863,0.02770835263696556,Non-random eigsh,non_random,0.8146666666666667,0.0008122092063209,0.0023127605222745423,0.004909166018478572,0.06971379194874316,7.379194721579552e-05,0.41304916702210903,0.4828378329984844,1.0000000000000004,0.5134282094769864,0.4852024590363726,0.9769958340330049,,,,,,,,,,,,,,,,,,,,,
rho_density_signal_control,8.0,3,2826050704,6000,6,3,12.82842712474619,7.17157287525381,5.65685424949238,2.850761583276931e-06,1.5936828611675133e-06,58645,356130,0.0098925,0.42962920805439353,0.06452987506054342,sparse,0,0.0,29.3225,49.0,58597.20989799572,9.766201649665954,29.298604948997863,0.02770835263696556,Gaussian RP,gaussian_random_projection,0.8215,-0.00023343532667974656,0.0008287376540417256,0.003078124951571226,0.035781332990154624,0.00045954203233122826,0.41855025000404567,0.4547929159598425,0.7945501543984737,0.43858176934441645,0.45733558398205787,0.9489502081414685,0.0008141250582411885,0.010782917030155659,0.01524624996818602,0.007270416943356395,0.0011638749856501818,0.00014929194003343582,,,,,,,,,,,,,,,
