K,method,time_sec_mean,time_sec_std,instance_gen_sec_mean,instance_gen_sec_std,metric_eval_sec_mean,metric_eval_sec_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_reconstruct_sec_mean,rp_reconstruct_sec_std,rp_small_eig_sec_mean,rp_small_eig_sec_std,rp_lift_sec_mean,rp_lift_sec_std,rp_kmeans_sec_mean,rp_kmeans_sec_std,algo_total_sec_mean,algo_total_sec_std,algo_step_sum_sec_mean,algo_step_sum_sec_std,algo_other_sec_mean,algo_other_sec_std,pipeline_total_sec_mean,pipeline_total_sec_std,rs_sample_mask_sec_mean,rs_sample_mask_sec_std,rs_build_sampled_matrix_sec_mean,rs_build_sampled_matrix_sec_std,rs_eig_sec_mean,rs_eig_sec_std,rs_reconstruct_sec_mean,rs_reconstruct_sec_std,rs_symmetrize_sec_mean,rs_symmetrize_sec_std,rs_kmeans_sec_mean,rs_kmeans_sec_std,nr_eig_sec_mean,nr_eig_sec_std,nr_kmeans_sec_mean,nr_kmeans_sec_std,nr_copy_sec_mean,nr_copy_sec_std
5,Random Sampling,0.20655840005056234,0.07089754460571604,0.023026847750588785,0.004333580849567305,0.19545155204832554,0.10974413133463276,,,,,,,,,,,,,,,,,0.20655840005056234,0.07089754460571604,0.20655228764662753,0.07089708083225808,6.112403934821487e-06,9.982098837767874e-07,0.4250367998494767,0.15884246208623412,0.008735708399035503,0.0031062985488170543,0.012273860350251197,0.0032162024409872407,0.04311442090111086,0.024048465324127334,0.0026419000467285516,0.0018988850727174053,0.0023602896006195808,0.0010784032676250217,0.13742610834888183,0.05634090100601804,,,,,,
6,Non-random,0.3611287751045893,0.04136066830104598,0.022908825098420495,0.004147789594831101,0.15774008955049795,0.02401651453476506,,,,,,,,,,,,,,,,,0.3611287751045893,0.04136066830104598,0.36112678955105365,0.04136066716074567,1.9855535356327893e-06,6.394521156632896e-07,0.5417776897535077,0.04965019371183142,,,,,,,,,,,,,0.251367195849889,0.023696899650804612,0.10866634364938363,0.029702142654066687,0.0010932500517810695,0.0005879191345179803
6,Random Projection,0.2654025563489995,0.03520001407951206,0.022908825098420495,0.004147789594831101,0.16213615000015125,0.03234239978198298,0.00010871660197153687,8.250687079532867e-05,0.007032685402373317,0.003651458439156245,0.0009908273059409112,0.0013554217566650495,0.0018397272011497988,0.0021651977152043166,0.004431137348001357,0.0030349701996568025,0.0001411915523931384,0.00017449826428991087,2.318115148227662e-05,1.1830198719843319e-05,0.25082949165225726,0.035980158366542864,0.2654025563489995,0.03520001407951206,0.26539695821556963,0.03520062848010699,5.59813342988491e-06,1.815054677485371e-06,0.4504475314475712,0.03731139844221563,,,,,,,,,,,,,,,,,,
6,Random Sampling,0.22925243129720912,0.054325753573117745,0.022908825098420495,0.004147789594831101,0.1560280770965619,0.031219288534629068,,,,,,,,,,,,,,,,,0.22925243129720912,0.054325753573117745,0.2292465163016459,0.05432582569167023,5.914995563216508e-06,1.3479212616213283e-06,0.4081893334921915,0.0651572394649221,0.009591631304647307,0.003165190279603486,0.014244279096601531,0.00454827024797085,0.053006347801419905,0.013797756426614,0.0029546248479164205,0.001729256020838288,0.002237822950701229,0.001505063887555109,0.1472118103003595,0.0465937874342112,,,,,,
7,Non-random,0.4443240792490542,0.08391267058020772,0.026286485450691545,0.007485967781661947,0.20441349809989334,0.07656625057622232,,,,,,,,,,,,,,,,,0.4443240792490542,0.08391267058020772,0.4443218668544432,0.08391265497092214,2.212394610978663e-06,7.001297698920148e-07,0.6750240627996391,0.12822559745799428,,,,,,,,,,,,,0.28485237715212863,0.040722708944351524,0.15834318550041643,0.06197680217635306,0.0011263042018981651,0.0007491195341613284
7,Random Projection,0.311239670800569,0.01918123563778877,0.026286485450691545,0.007485967781661947,0.20269456664973404,0.13429691541904723,0.000255577101779636,0.00047475167328959165,0.010567743750289082,0.01021050029187845,0.0009196812970913015,0.0012399533139613953,0.002854181251314003,0.00459694410725125,0.0028774313526810148,0.001301975365060491,0.0001059289526892826,3.1231249550409504e-05,2.5002153415698557e-05,1.1273182000161261e-05,0.293628587447165,0.013458246457428163,0.311239670800569,0.01918123563778877,0.3112341333064251,0.019180150061036225,5.537494143936783e-06,1.5736468874286198e-06,0.5402207229009945,0.1530755969239367,,,,,,,,,,,,,,,,,,
7,Random Sampling,0.35165897285041864,0.06012885642920095,0.026286485450691545,0.007485967781661947,0.18375694590213243,0.046682188576593446,,,,,,,,,,,,,,,,,0.35165897285041864,0.06012885642920095,0.3516528476437088,0.060128683112767374,6.125206709839404e-06,1.1646372291792213e-06,0.5617024042032426,0.07469395539825735,0.008476285346841906,0.0025095226761322367,0.013166827001259662,0.004460787103064629,0.0822437603972503,0.02361926806519116,0.0031111811505979857,0.0017418864231066064,0.0027084458983154037,0.0012419182339140902,0.24194634784944355,0.04449402245255,,,,,,
8,Non-random,0.48723241465049794,0.04679627844204587,0.021783077098370997,0.004549857283710187,0.20225191454665037,0.04911098811549855,,,,,,,,,,,,,,,,,0.48723241465049794,0.04679627844204587,0.4872304581993376,0.046796208001515696,1.956451160367578e-06,4.75137518369794e-07,0.7112674062955193,0.06382272521564265,,,,,,,,,,,,,0.27031961040047464,0.038325413786233255,0.21579076665075264,0.05786060887086175,0.0011200811481103302,0.0007520735562354586
8,Random Projection,0.30666062705277,0.015539335222165246,0.021783077098370997,0.004549857283710187,0.17915440414799377,0.04992132187110799,0.0002908791502704844,0.0008330603152738563,0.006680304095789324,0.0025104786166240713,0.0007219249979243614,0.0005178049357249438,0.0021458584000356496,0.002135771155518911,0.0028129543454269877,0.0020046805862738676,0.00012701240048045291,7.817509586446197e-05,2.8791697695851325e-05,1.2691440757130523e-05,0.29384735420171637,0.015091862661117745,0.30666062705277,0.015539335222165246,0.3066550792893395,0.015539247094446961,5.547763430513442e-06,1.1489961514509526e-06,0.5075981082991348,0.04671584499563009,,,,,,,,,,,,,,,,,,
8,Random Sampling,0.42504029385308967,0.03630221084327407,0.021783077098370997,0.004549857283710187,0.18547008329915116,0.02682880310638178,,,,,,,,,,,,,,,,,0.42504029385308967,0.03630221084327407,0.4250342558938428,0.036302287436009884,6.037959246896208e-06,1.1544241310298635e-06,0.6322934542506118,0.04506976425878111,0.009517639494151808,0.0030723462205821616,0.012232329095422757,0.0040296093130400825,0.10707200839970028,0.0332799370526278,0.0030492292018607257,0.002294433338168178,0.002789095650950912,0.0017562354995966523,0.2903739540517563,0.02311366065302316,,,,,,
