dataset,alpha,tau_label,tau_value,group,group_n,method,rep,r,ell,k,q,test_matrix_scaling,embedding_wall_sec,clustering_wall_sec,total_method_wall_sec,exact_eigsh_sec,eigen_decomposition_wall_sec,ARI_true,NMI_true,F1_macro_true,rp_draw_omega_sec,rp_test_matrix_entry_std,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eigh_sec,rp_lift_sec,ds_bucket_build_sec,ds_draw_and_initial_multiply_sec,ds_power_iter_sec,ds_qr_sec,ds_build_core_sec,ds_small_eigh_sec,ds_lift_sec,ds_num_buckets,ds_min_bucket_dim,ds_max_bucket_dim,ds_bucket_summary
lastfm-asia,0.5,0,0.0,mid_deg_3_8,2847,Degree-stratified RP,1,0,18,18,1,by_dim,0.013590199989266694,0.34173260000534356,0.35532279999461025,,0.013280799961648881,0.05955197909703891,0.16089888847660774,0.1885545280573064,,,,,,,,0.0004811999388039112,0.003946200013160706,0.005117899971082807,0.0024974000407382846,0.0008961999556049705,0.00010159995872527361,0.00024030008353292942,8.0,1.0,3.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=2;[4,8):n=1786,ell=3;[8,16):n=1265,ell=3;[16,32):n=576,ell=3;[32,64):n=212,ell=2;[64,128):n=46,ell=2;[128,256):n=6,ell=1"
lastfm-asia,0.5,0,0.0,high_deg_9_plus,1835,Degree-stratified RP,1,0,18,18,1,by_dim,0.013590199989266694,0.34173260000534356,0.35532279999461025,,0.013280799961648881,0.25894556760671933,0.37304129646844925,0.28321456825417823,,,,,,,,0.0004811999388039112,0.003946200013160706,0.005117899971082807,0.0024974000407382846,0.0008961999556049705,0.00010159995872527361,0.00024030008353292942,8.0,1.0,3.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=2;[4,8):n=1786,ell=3;[8,16):n=1265,ell=3;[16,32):n=576,ell=3;[32,64):n=212,ell=2;[64,128):n=46,ell=2;[128,256):n=6,ell=1"
lastfm-asia,0.5,0,0.0,all,7624,Exact spectral,2,0,18,18,1,by_dim,0.15917750005610287,0.17768600000999868,0.33686350006610155,0.15917750005610287,0.15917750005610287,0.6718585166177193,0.6551046622008787,0.5204858419485374,,,,,,,,,,,,,,,,,,
lastfm-asia,0.5,0,0.0,low_deg_1_2,2942,Exact spectral,2,0,18,18,1,by_dim,0.15917750005610287,0.17768600000999868,0.33686350006610155,0.15917750005610287,0.15917750005610287,0.5315819858787829,0.517155990125649,0.4436378470358948,,,,,,,,,,,,,,,,,,
lastfm-asia,0.5,0,0.0,mid_deg_3_8,2847,Exact spectral,2,0,18,18,1,by_dim,0.15917750005610287,0.17768600000999868,0.33686350006610155,0.15917750005610287,0.15917750005610287,0.7304074766170024,0.7292319959201613,0.5502372345635504,,,,,,,,,,,,,,,,,,
lastfm-asia,0.5,0,0.0,high_deg_9_plus,1835,Exact spectral,2,0,18,18,1,by_dim,0.15917750005610287,0.17768600000999868,0.33686350006610155,0.15917750005610287,0.15917750005610287,0.835438316200565,0.8553374381194434,0.5979583841554424,,,,,,,,,,,,,,,,,,
lastfm-asia,0.5,0,0.0,all,7624,Gaussian RP,2,0,18,18,1,by_dim,0.011214299942366779,0.4921267000027001,0.5033409999450669,,0.010931300115771592,0.06371602629949309,0.14857499079864148,0.22948274936789803,0.0014303000643849373,0.23570226039551587,0.00366120005492121,0.00405799993313849,0.0013957000337541103,0.0001246000174432993,0.0002615000121295452,,,,,,,,,,,
lastfm-asia,0.5,0,0.0,low_deg_1_2,2942,Gaussian RP,2,0,18,18,1,by_dim,0.011214299942366779,0.4921267000027001,0.5033409999450669,,0.010931300115771592,0.02662087983631321,0.08415269140505396,0.154105799986615,0.0014303000643849373,0.23570226039551587,0.00366120005492121,0.00405799993313849,0.0013957000337541103,0.0001246000174432993,0.0002615000121295452,,,,,,,,,,,
lastfm-asia,0.5,0,0.0,mid_deg_3_8,2847,Gaussian RP,2,0,18,18,1,by_dim,0.011214299942366779,0.4921267000027001,0.5033409999450669,,0.010931300115771592,0.04100413810442241,0.1332272751742249,0.19831426119817264,0.0014303000643849373,0.23570226039551587,0.00366120005492121,0.00405799993313849,0.0013957000337541103,0.0001246000174432993,0.0002615000121295452,,,,,,,,,,,
lastfm-asia,0.5,0,0.0,high_deg_9_plus,1835,Gaussian RP,2,0,18,18,1,by_dim,0.011214299942366779,0.4921267000027001,0.5033409999450669,,0.010931300115771592,0.24429057538961163,0.39609180201121535,0.3955253883118753,0.0014303000643849373,0.23570226039551587,0.00366120005492121,0.00405799993313849,0.0013957000337541103,0.0001246000174432993,0.0002615000121295452,,,,,,,,,,,
