experiment,K,rep,seed,n,m,rho_n,a_in,b_out,signal_gap,p_in,p_out,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,sampling_mode,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,method_wall_sec,algorithm_total_wall_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_lift_sec,rs_sample_matrix_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec
K_compensated_reference_signal,3,5,2026350710,6000,3,4.0,36.0,4.0,32.0,4e-06,4.4444444444444444e-07,30000,185314,0.0051476111111111115,0.2045201660366729,0.03268599999137223,sparse,0,0.0,15.0,32.0,30192.89688888889,5.032149481481482,15.096448444444444,0.1109999938302488,CountSketch RP,countsketch_random_projection,0.5268333333333333,0.04448538409846297,0.03900786579263774,0.003793874988332391,0.017302207998000085,0.0001667920732870698,0.17541866609826684,0.192889166995883,0.7690414869837017,0.5110553550422459,0.19477445899974555,0.4300938321975991,,,,,,,,,,,0.00035991601180285215,33.0,151.0,215.0,0.0,0.003077541012316942,0.004450042033568025,0.005802916013635695,0.002035917015746236,0.0007909170817583799,0.00018504203762859106
K_compensated_reference_signal,4,1,2026450706,6000,3,7.111111111111111,36.0,4.0,32.0,7.111111111111111e-06,7.901234567901234e-07,42564,260262,0.0072295,0.3131630839779973,0.04795641603413969,sparse,0,0.0,21.282,44.0,42624.01422222222,7.10400237037037,21.31200711111111,0.06240625521614945,Non-random eigsh,non_random,0.037833333333333385,0.901651714170294,0.8548477897082446,0.004777792026288807,0.010721792001277208,8.212495595216751e-05,0.05573633301537484,0.06654170900583267,0.9999999999999999,0.6060638234695447,0.06840308289974928,0.4276597499847412,,,,,,,,,,,,,,,,,,,,,
K_compensated_reference_signal,4,1,2026450706,6000,3,7.111111111111111,36.0,4.0,32.0,7.111111111111111e-06,7.901234567901234e-07,42564,260262,0.0072295,0.3131630839779973,0.04795641603413969,sparse,0,0.0,21.282,44.0,42624.01422222222,7.10400237037037,21.31200711111111,0.06240625521614945,Gaussian RP,gaussian_random_projection,0.6658333333333333,0.015988746322904382,0.017227956503299318,0.003331167041324079,0.0305872909957543,0.000386958010494709,0.3421502918936312,0.37312583392485976,0.7483333501478678,0.46847002123870085,0.3748427079990506,0.7342440409120172,0.000806833035312593,0.008692917064763606,0.014312416082248092,0.005814666976220906,0.0005899160169064999,0.00019441696349531412,,,,,,,,,,,,,,,
K_compensated_reference_signal,4,1,2026450706,6000,3,7.111111111111111,36.0,4.0,32.0,7.111111111111111e-06,7.901234567901234e-07,42564,260262,0.0072295,0.3131630839779973,0.04795641603413969,sparse,0,0.0,21.282,44.0,42624.01422222222,7.10400237037037,21.31200711111111,0.06240625521614945,Random sampling,random_sampling,0.7221666666666666,0.002002501183871776,0.0033988135186198017,0.003826749976724386,0.023858165950514376,6.312504410743713e-05,0.11711774999275804,0.14104079199023545,1.4635243837702747,1.3585769754490507,0.14328537497203797,0.5021585409995168,,,,,,,0.004682625061832368,133131.0,39949.0,0.3,,,,,,,,,,,
K_compensated_reference_signal,4,1,2026450706,6000,3,7.111111111111111,36.0,4.0,32.0,7.111111111111111e-06,7.901234567901234e-07,42564,260262,0.0072295,0.3131630839779973,0.04795641603413969,sparse,0,0.0,21.282,44.0,42624.01422222222,7.10400237037037,21.31200711111111,0.06240625521614945,CountSketch RP,countsketch_random_projection,0.6773333333333333,0.010172942435031859,0.011095130308656123,0.00365358404815197,0.022155666956678033,0.0006532499101012945,0.32005125004798174,0.34286220802459866,0.771340344716438,0.46788503877304743,0.34588329191319644,0.7039796669268981,,,,,,,,,,,0.00017795804888010025,34.0,148.0,201.0,0.0,0.0026802080683410168,0.005338666960597038,0.007274166098795831,0.005036125076003373,0.0009343749843537807,0.00014525000005960464
K_compensated_reference_signal,4,2,2026450707,6000,3,7.111111111111111,36.0,4.0,32.0,7.111111111111111e-06,7.901234567901234e-07,42533,259984,0.0072217777777777775,0.2912032080348581,0.04697233298793435,sparse,0,0.0,21.2665,41.0,42624.01422222222,7.10400237037037,21.31200711111111,0.06240625521614945,Non-random eigsh,non_random,0.04516666666666669,0.8831449365348953,0.8323971639456824,0.004898290964774787,0.010705042048357427,6.0292077250778675e-05,0.04558125010225922,0.05634787504095584,1.0,0.6029648856248665,0.05835387494880706,0.3945221252506599,,,,,,,,,,,,,,,,,,,,,
K_compensated_reference_signal,4,2,2026450707,6000,3,7.111111111111111,36.0,4.0,32.0,7.111111111111111e-06,7.901234567901234e-07,42533,259984,0.0072217777777777775,0.2912032080348581,0.04697233298793435,sparse,0,0.0,21.2665,41.0,42624.01422222222,7.10400237037037,21.31200711111111,0.06240625521614945,Gaussian RP,gaussian_random_projection,0.6535,0.020099609363167636,0.02146519404227221,0.0035975000355392694,0.024195209029130638,0.000344666070304811,0.3495052920188755,0.37404691707342863,0.8287438882976272,0.4703785621239892,0.37580083298962563,0.7122207081411034,0.0008233329281210899,0.00947433291003108,0.008981292019598186,0.004125583916902542,0.00040212494786828756,7.320789154618979e-05,,,,,,,,,,,,,,,
K_compensated_reference_signal,4,2,2026450707,6000,3,7.111111111111111,36.0,4.0,32.0,7.111111111111111e-06,7.901234567901234e-07,42533,259984,0.0072217777777777775,0.2912032080348581,0.04697233298793435,sparse,0,0.0,21.2665,41.0,42624.01422222222,7.10400237037037,21.31200711111111,0.06240625521614945,Random sampling,random_sampling,0.7026666666666667,0.004421361674317997,0.006083761403039817,0.0032050838926807046,0.023764541023410857,6.583298090845346e-05,0.21126837492920458,0.23510016698855907,1.4680683481170569,1.3654544517628353,0.23718945810105652,0.5732742899563164,,,,,,,0.004720165976323187,132992.0,40163.0,0.3,,,,,,,,,,,
K_compensated_reference_signal,4,2,2026450707,6000,3,7.111111111111111,36.0,4.0,32.0,7.111111111111111e-06,7.901234567901234e-07,42533,259984,0.0072217777777777775,0.2912032080348581,0.04697233298793435,sparse,0,0.0,21.2665,41.0,42624.01422222222,7.10400237037037,21.31200711111111,0.06240625521614945,CountSketch RP,countsketch_random_projection,0.6896666666666667,0.010352197837652021,0.011796393723333251,0.004596584010869265,0.024067500024102628,0.000258082989603281,0.35958429193124175,0.38391070801299065,0.744455416691562,0.4704827599532798,0.38559337495826185,0.7220854159677401,,,,,,,,,,,0.0004208749160170555,34.0,152.0,200.0,0.0,0.004134582937695086,0.007256999961100519,0.008848208002746105,0.0027025419985875487,0.0003933750558644533,6.508291698992252e-05
K_compensated_reference_signal,4,3,2026450708,6000,3,7.111111111111111,36.0,4.0,32.0,7.111111111111111e-06,7.901234567901234e-07,42647,260736,0.007242666666666666,0.3075715840095654,0.05152312503196299,sparse,0,0.0,21.3235,41.0,42624.01422222222,7.10400237037037,21.31200711111111,0.06240625521614945,Non-random eigsh,non_random,0.03849999999999998,0.8999916690108223,0.8527356321601866,0.005060750059783459,0.011557291960343719,7.204199209809303e-05,0.05165170808322728,0.06328262505121529,1.0000000000000013,0.6058061398816919,0.06532358401454985,0.4223757510771975,,,,,,,,,,,,,,,,,,,,,
