dataset,rep,method_i,method_j,ari
email_eu,12,Non-random,Random Sampling (p=0.8),0.802291837543742
email_eu,12,Non-random,CountSketch,0.81607539965218
email_eu,12,Non-random,SIGN Bidirectional,0.786820208387054
email_eu,12,Random Projection,Random Sampling (p=0.7),0.750232041366177
email_eu,12,Random Projection,Random Sampling (p=0.8),0.785431378085378
email_eu,12,Random Projection,CountSketch,0.81324472222239
email_eu,12,Random Projection,SIGN Bidirectional,0.781708365918689
email_eu,12,Random Sampling (p=0.7),Random Sampling (p=0.8),0.715981026282925
email_eu,12,Random Sampling (p=0.7),CountSketch,0.717485743230867
email_eu,12,Random Sampling (p=0.7),SIGN Bidirectional,0.712321352457163
email_eu,12,Random Sampling (p=0.8),CountSketch,0.74624947668905
email_eu,12,Random Sampling (p=0.8),SIGN Bidirectional,0.730209648983089
email_eu,12,CountSketch,SIGN Bidirectional,0.833640970260639
email_eu,13,Non-random,Random Projection,0.68315415945451
email_eu,13,Non-random,Random Sampling (p=0.7),0.718372563618454
email_eu,13,Non-random,Random Sampling (p=0.8),0.756629513365274
email_eu,13,Non-random,CountSketch,0.799567639252932
email_eu,13,Non-random,SIGN Bidirectional,0.729172406612689
email_eu,13,Random Projection,Random Sampling (p=0.7),0.697839535377763
email_eu,13,Random Projection,Random Sampling (p=0.8),0.725454610802933
email_eu,13,Random Projection,CountSketch,0.732986222616427
email_eu,13,Random Projection,SIGN Bidirectional,0.747831966011838
email_eu,13,Random Sampling (p=0.7),Random Sampling (p=0.8),0.740855862670826
email_eu,13,Random Sampling (p=0.7),CountSketch,0.747034592906119
email_eu,13,Random Sampling (p=0.7),SIGN Bidirectional,0.711991129997492
email_eu,13,Random Sampling (p=0.8),CountSketch,0.762275089680385
email_eu,13,Random Sampling (p=0.8),SIGN Bidirectional,0.73234296215303
email_eu,13,CountSketch,SIGN Bidirectional,0.828346684896634
email_eu,14,Non-random,Random Projection,0.707701070977867
email_eu,14,Non-random,Random Sampling (p=0.7),0.735352904671262
email_eu,14,Non-random,Random Sampling (p=0.8),0.707210561186158
email_eu,14,Non-random,CountSketch,0.722300943279859
email_eu,14,Non-random,SIGN Bidirectional,0.731497859244571
email_eu,14,Random Projection,Random Sampling (p=0.7),0.795959506638756
email_eu,14,Random Projection,Random Sampling (p=0.8),0.742833080192986
email_eu,14,Random Projection,CountSketch,0.818002313575118
email_eu,14,Random Projection,SIGN Bidirectional,0.850699830508361
email_eu,14,Random Sampling (p=0.7),Random Sampling (p=0.8),0.734771818412531
email_eu,14,Random Sampling (p=0.7),CountSketch,0.785980828455149
email_eu,14,Random Sampling (p=0.7),SIGN Bidirectional,0.813037996015521
email_eu,14,Random Sampling (p=0.8),CountSketch,0.712033695000498
email_eu,14,Random Sampling (p=0.8),SIGN Bidirectional,0.758390108387312
email_eu,14,CountSketch,SIGN Bidirectional,0.788050482294425
email_eu,15,Non-random,Random Projection,0.791553866528262
email_eu,15,Non-random,Random Sampling (p=0.7),0.770971886602799
email_eu,15,Non-random,Random Sampling (p=0.8),0.777302091219707
email_eu,15,Non-random,CountSketch,0.748041473559464
email_eu,15,Non-random,SIGN Bidirectional,0.752642096453024
email_eu,15,Random Projection,Random Sampling (p=0.7),0.742893504044301
email_eu,15,Random Projection,Random Sampling (p=0.8),0.730547264558871
email_eu,15,Random Projection,CountSketch,0.784881929825291
email_eu,15,Random Projection,SIGN Bidirectional,0.797249606509325
email_eu,15,Random Sampling (p=0.7),Random Sampling (p=0.8),0.722766057612173
email_eu,15,Random Sampling (p=0.7),CountSketch,0.7460362298437
email_eu,15,Random Sampling (p=0.7),SIGN Bidirectional,0.739458092857472
email_eu,15,Random Sampling (p=0.8),CountSketch,0.720333574662437
email_eu,15,Random Sampling (p=0.8),SIGN Bidirectional,0.724259036209748
email_eu,15,CountSketch,SIGN Bidirectional,0.745689904488534
email_eu,16,Non-random,Random Projection,0.68617893490609
email_eu,16,Non-random,Random Sampling (p=0.7),0.677187861091399
email_eu,16,Non-random,Random Sampling (p=0.8),0.712795370466474
email_eu,16,Non-random,CountSketch,0.69100291272957
email_eu,16,Non-random,SIGN Bidirectional,0.631448668535231
email_eu,16,Random Projection,Random Sampling (p=0.7),0.723698219866565
email_eu,16,Random Projection,Random Sampling (p=0.8),0.75082435726555
email_eu,16,Random Projection,CountSketch,0.826322669217885
email_eu,16,Random Projection,SIGN Bidirectional,0.72921130685923
email_eu,16,Random Sampling (p=0.7),Random Sampling (p=0.8),0.720717942236913
email_eu,16,Random Sampling (p=0.7),CountSketch,0.771263527969917
email_eu,16,Random Sampling (p=0.7),SIGN Bidirectional,0.644377095850034
email_eu,16,Random Sampling (p=0.8),CountSketch,0.766463424885579
email_eu,16,Random Sampling (p=0.8),SIGN Bidirectional,0.682672464938209
email_eu,16,CountSketch,SIGN Bidirectional,0.748914092801301
email_eu,17,Non-random,Random Projection,0.78354734798384
email_eu,17,Non-random,Random Sampling (p=0.7),0.710331500810113
email_eu,17,Non-random,Random Sampling (p=0.8),0.803242731040093
email_eu,17,Non-random,CountSketch,0.782135969956223
email_eu,17,Non-random,SIGN Bidirectional,0.713493901808578
email_eu,17,Random Projection,Random Sampling (p=0.7),0.725587119083297
email_eu,17,Random Projection,Random Sampling (p=0.8),0.785213363038432
email_eu,17,Random Projection,CountSketch,0.842825259292682
email_eu,17,Random Projection,SIGN Bidirectional,0.803100769070088
email_eu,17,Random Sampling (p=0.7),Random Sampling (p=0.8),0.696010382365326
email_eu,17,Random Sampling (p=0.7),CountSketch,0.769070349908493
email_eu,17,Random Sampling (p=0.7),SIGN Bidirectional,0.705141859813097
email_eu,17,Random Sampling (p=0.8),CountSketch,0.767091527355594
email_eu,17,Random Sampling (p=0.8),SIGN Bidirectional,0.733913333693683
email_eu,17,CountSketch,SIGN Bidirectional,0.824921707859087
email_eu,18,Non-random,Random Projection,0.753389107259607
email_eu,18,Non-random,Random Sampling (p=0.7),0.745654654964068
email_eu,18,Non-random,Random Sampling (p=0.8),0.76388546612103
email_eu,18,Non-random,CountSketch,0.755294552115642
email_eu,18,Non-random,SIGN Bidirectional,0.788968390060407
email_eu,18,Random Projection,Random Sampling (p=0.7),0.761681568519244
email_eu,18,Random Projection,Random Sampling (p=0.8),0.770036604477511
email_eu,18,Random Projection,CountSketch,0.790946911643461
