n,K,rho_n,rep,seed,m,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_theta_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,zhou_theta_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
5000,3,8.0,3,23260439,3,50291,0.0,1.0,1.0,1.7931069580372423,0.10605750000104308,0.06319829099811614,0.022153040976263583,0,0.0,30.1746,54.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,304242,0.008524374919943511,7.329205982387066e-05,0.05459683295339346,1.9623589579714462,1.152e-05,1.28e-06,sparse,4.181636000000005,2.167299082968384,25.589263916015625,323.078125,321.3125,-1.765625
5000,3,8.0,4,23260440,3,50526,0.0008,0.9976021616326903,0.9944700609420217,1.6710230000317097,0.11758941691368818,0.07701079198159277,0.021937165991403162,0,0.0,30.3156,51.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,305488,0.009417457971721888,7.458392065018415e-05,0.06751520896796137,1.8656196678057313,1.152e-05,1.28e-06,sparse,4.201644999999999,2.084631000063382,25.686640739440918,321.3125,326.359375,5.046875
5000,3,8.0,5,23260441,3,50112,0.0,1.0,1.0,1.7037240419303998,0.10530858300626278,0.10805441706907004,0.018810541951097548,0,0.0,30.0672,52.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,303156,0.008364959037862718,7.499998901039362e-05,0.09961041703354567,1.9170830009970814,1.152e-05,1.28e-06,sparse,4.536916000000005,2.1218583330046386,25.49265766143799,326.359375,328.34375,1.984375
5000,3,8.0,6,23260442,3,50621,0.0006,0.998200360072072,0.995402410188165,1.8425739579834044,0.10888075002003461,0.06735774991102517,0.024538707919418812,0,0.0,30.3726,50.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,306190,0.008824707940220833,7.733399979770184e-05,0.05845120793674141,2.018807957880199,1.152e-05,1.28e-06,sparse,4.428299999999993,2.2406499579083174,25.747087478637695,328.34375,329.65625,1.3125
5000,3,8.0,7,23260443,3,50190,0.0008,0.9976014407684608,0.9941224337385577,1.6706970420200378,0.10213845898397267,0.13321841601282358,0.02004275005310774,0,0.0,30.114,51.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,303552,0.008804625016637146,6.654206663370132e-05,0.12434341595508158,1.9060500840423629,1.152e-05,1.28e-06,sparse,4.724339999999998,2.09968987503089,25.533869743347168,329.65625,340.328125,10.671875
5000,3,8.0,8,23260444,3,50420,0.0002,0.999399819940018,0.9984673789514549,1.7452212499920279,0.10869308304972947,0.07491391699295491,0.017559041967615485,0,0.0,30.252,51.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,304950,0.008560875081457198,8.462509140372276e-05,0.06626324995886534,1.9288230831734836,1.152e-05,1.28e-06,sparse,4.313588999999993,2.1369880840647966,25.64645004272461,340.328125,349.1875,8.859375
5000,3,8.0,9,23260445,3,50454,0.0008,0.9976007207686624,0.993869951956975,1.6685701250098646,0.10361162491608411,0.06485070893540978,0.016714083962142467,0,0.0,30.2724,53.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,305080,0.008345874957740307,6.849993951618671e-05,0.05643291596788913,1.8370290407910943,1.152e-05,1.28e-06,sparse,4.069020000000009,2.0392590418923646,25.65627670288086,349.1875,349.703125,0.515625
5000,3,8.0,10,23260446,3,50189,0.0004,0.9987996400963602,0.9969347574663021,1.7967030829750001,0.1102910420158878,0.07178087497595698,0.018278790987096727,0,0.0,30.1134,51.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,303514,0.006068416987545788,7.554201874881983e-05,0.0656307089375332,1.9787687929347157,1.152e-05,1.28e-06,sparse,4.320783000000006,2.18975162494462,25.530024528503418,349.703125,350.234375,0.53125
5000,4,8.0,1,24260440,3,39817,0.0226,0.9406400096608561,0.9057606031002974,1.2436376670375466,0.08178291691001505,0.1268045000033453,0.017029208014719188,0,0.0,23.8902,46.0,39952.0192,7.990403840000001,23.97121152,0.0623875075135075,242386,0.007087875041179359,7.954100146889687e-05,0.11963279207702726,1.4522207920672372,1.152e-05,1.28e-06,sparse,3.815101999999996,1.606451875064522,20.45608901977539,350.234375,350.234375,0.0
5000,4,8.0,2,24260441,3,40077,0.0288,0.9246400698428177,0.8833760177675721,1.4015681250020862,0.08611304103396833,0.08865354198496789,0.023741375072859228,0,0.0,24.0462,45.0,39952.0192,7.990403840000001,23.97121152,0.0623875075135075,243934,0.007445333059877157,6.7290966399014e-05,0.08113712503109127,1.576330915093422,1.152e-05,1.28e-06,sparse,3.8446809999999942,1.7535273749381304,20.585397720336914,350.234375,350.28125,0.046875
5000,4,8.0,3,24260442,3,39833,0.0332,0.9133733377888608,0.8688267801511511,1.429438415914774,0.08460566692519933,0.09921308397315443,0.017520082998089492,0,0.0,23.8998,45.0,39952.0192,7.990403840000001,23.97121152,0.0623875075135075,242532,0.010186250088736415,0.0003968749660998583,0.08862545795273036,1.61325266584754,1.152e-05,1.28e-06,sparse,3.6905959999999993,1.7666042090859264,20.470728874206543,350.28125,345.3125,-4.96875
5000,4,8.0,4,24260443,3,39739,0.0234,0.9385786990639896,0.9030762328818427,1.50418145803269,0.08736812497954816,0.09253733302466571,0.019923207932151854,0,0.0,23.8434,43.0,39952.0192,7.990403840000001,23.97121152,0.0623875075135075,241868,0.008119042031466961,7.76670640334487e-05,0.08433662506286055,1.684082917170599,1.152e-05,1.28e-06,sparse,3.9395729999999958,1.853637875057757,20.40939998626709,345.3125,345.40625,0.09375
5000,4,8.0,5,24260444,3,39927,0.0282,0.9261612039186636,0.8855568770089701,1.4299093750305474,0.08340708306059241,0.11999687505885959,0.017239624983631074,0,0.0,23.9562,41.0,39952.0192,7.990403840000001,23.97121152,0.0623875075135075,243134,0.010006124968640506,6.575009319931269e-05,0.10992104199249297,1.6333093751454726,1.152e-05,1.28e-06,sparse,4.056378000000009,1.8024252500617877,20.520185470581055,345.40625,345.59375,0.1875
5000,4,8.0,6,24260445,3,40169,0.0226,0.940640073276795,0.9052111304626071,1.5047747920034453,0.08268841705285013,0.10157525003887713,0.019653958035632968,0,0.0,24.1014,43.0,39952.0192,7.990403840000001,23.97121152,0.0623875075135075,244484,0.010169833083637059,7.183302659541368e-05,0.0913299999665469,1.6890348751330748,1.152e-05,1.28e-06,sparse,4.04867999999999,1.8635507089784369,20.63089370727539,345.59375,346.25,0.65625
