n,rep,seed,K,m_values,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_laplacian_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,hypergraph_degree_mean,hypergraph_degree_max,zhou_laplacian_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,algorithm_total_wall_sec,p_in_m2,p_out_m2,num_edges_m2,sampling_m2,p_in_m3,p_out_m3,num_edges_m3,sampling_m3,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
2000,1,2020266426,3,"2,3",12319,0.0065,0.9805857705891996,0.9617824791093699,0.603381699998863,0.03818950000277255,0.040781399999104906,0.013983799995912705,0,13.512,28.0,36012,0.009040500000992324,9.169999975711107e-05,0.03164420000393875,0.6823476000063238,0.012,0.0015,9933,sparse,9e-06,1e-06,2386,sparse,1.125,0.7414461999942432,3.6951942443847656,208.6640625,206.5546875,-2.109375
2000,2,2020266427,3,"2,3",12496,0.0015,0.9955000090303873,0.9897570025525598,0.6229897999946843,0.038407500003813766,0.040922499996668193,0.016269500003545545,0,13.7385,26.0,36766,0.008651199997984804,6.640000356128439e-05,0.03220039999723667,0.7023152999972808,0.012,0.0015,10011,sparse,9e-06,1e-06,2485,sparse,1.3125,0.7813078000035603,3.7521791458129883,206.5546875,211.19140625,4.63671875
2000,3,2020266428,3,"2,3",12416,0.0075,0.9776193974459361,0.9559887584148818,0.6184214000022621,0.0407917999982601,0.05451560000074096,0.022117000000434928,0,13.681,31.0,36772,0.009992899998906069,8.920000254875049e-05,0.04442659999767784,0.7137218999996549,0.012,0.0015,9886,sparse,9e-06,1e-06,2530,sparse,1.46875,0.8087248000010732,3.7349023818969727,211.19140625,211.015625,-0.17578125
2000,4,2020266429,3,"2,3",12287,0.0085,0.9746558185041475,0.9518016751624109,0.6128442999979598,0.03845580000051996,0.04020019999734359,0.019486900004267227,0,13.4845,31.0,36006,0.009031699999468401,7.2900002123788e-05,0.03109029999905033,0.6914949999991222,0.012,0.0015,9892,sparse,9e-06,1e-06,2395,sparse,1.234375,0.7598901999954251,3.688296318054199,211.015625,206.75,-4.265625
2000,5,2020266430,3,"2,3",12500,0.006,0.9820609007891306,0.9633027936887651,0.623560499996529,0.03796610000426881,0.041591600005631335,0.016327899997122586,0,13.7685,29.0,36974,0.008941799998865463,8.019999950192869e-05,0.032564600005571265,0.7031132000047364,0.012,0.0015,9963,sparse,9e-06,1e-06,2537,sparse,1.234375,0.7692045000003418,3.7620105743408203,206.75,211.93359375,5.18359375
2000,6,2020266431,3,"2,3",12505,0.0065,0.9805766155545845,0.9605235845927974,0.6559517999994569,0.047139800000877585,0.05643930000223918,0.02006709999841405,0,13.7745,30.0,37004,0.010044700000435114,8.740000339457765e-05,0.046300699999846984,0.7595244000040111,0.012,0.0015,9966,sparse,9e-06,1e-06,2539,sparse,1.4375,0.8458039999968605,3.762528419494629,211.93359375,212.46484375,0.53125
2000,7,2020266432,3,"2,3",12536,0.0055,0.9835529794915598,0.9658470835748093,0.6605149000024539,0.04363800000282936,0.041671400002087466,0.013311299997440074,0,13.795,28.0,36996,0.008607399999164045,6.960000609979033e-05,0.03298999999969965,0.7458199000102468,0.012,0.0015,10018,sparse,9e-06,1e-06,2518,sparse,1.25,0.8205713999996078,3.7712345123291016,212.46484375,212.01953125,-0.4453125
2000,8,2020266433,3,"2,3",12574,0.0075,0.977612859627479,0.9564599097321601,0.6157969999985653,0.03808319999370724,0.03916419999586651,0.01496939999924507,0,13.8325,30.0,37048,0.008932400000048801,8.289999823318794e-05,0.03014439999969909,0.6930398999902536,0.012,0.0015,10057,sparse,9e-06,1e-06,2517,sparse,1.21875,0.7606529999975464,3.7800827026367188,212.01953125,211.01953125,-1.0
2000,9,2020266434,3,"2,3",12457,0.007,0.9790827133678549,0.9605270849827372,0.6107361999966088,0.03789900000265334,0.042763400000694674,0.016115499995066784,0,13.724,28.0,36898,0.008731100002478343,6.900000153109431e-05,0.0339590000003227,0.6913943000035943,0.012,0.0015,9923,sparse,9e-06,1e-06,2534,sparse,1.21875,0.7633843000003253,3.747894287109375,211.01953125,212.6953125,1.67578125
2000,10,2020266435,3,"2,3",12528,0.0085,0.9746464663470241,0.9506970304218135,0.6304400000008172,0.0390622999984771,0.040285600000061095,0.013238100000307895,0,13.7815,28.0,36924,0.009078799994313158,8.260000322479755e-05,0.03111949999583885,0.7097831999926711,0.012,0.0015,10021,sparse,9e-06,1e-06,2507,sparse,1.140625,0.769383500002732,3.7646427154541016,212.6953125,212.9140625,0.21875
