K,method,rep,seed,n,m,rho_n,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,hypergraph_laplacian_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_core_eigensolver,rp_lift_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
4,Gaussian random projection,8,20660435,5000,3,8.0,40041,0.047,0.8785977131977263,0.8266932046170499,1.0869829160074005,0.08126654099032748,0.3660422499960987,0.023514791988418438,0,0.0,24.0246,43.0,39952.0192,7.990403840000001,23.97121152,0.0623875075135075,0.003671041995403357,0.06687133299419656,0.07521883300796617,0.012772500005667098,0.0033167079964186996,eigsh,0.0007080409995978698,0.163577790997806,0.0006062079919502139,0.2018533749942435,0.9999953625656014,0.5899163913238911,1.5342868309817277,1.152e-05,1.28e-06,sparse,5.734186000000022,1.820673166992492,40.34628772735596,531.4375,531.53125,0.09375
4,Gaussian random projection,9,20660436,5000,3,8.0,40129,0.0488,0.8741794680629137,0.8220003049494097,1.0754356250108685,0.08082687499700114,0.3662171670002863,0.02228629200544674,0,0.0,24.0774,46.0,39952.0192,7.990403840000001,23.97121152,0.0623875075135075,0.0034629579895408824,0.06397550000110641,0.05245162500068545,0.032864374996279366,0.00216283299960196,eigsh,0.0005147499905433506,0.1558857500058366,0.0001294999965466559,0.2101980419975007,0.9999949473422828,0.5885608206550972,1.5224757920077536,1.152e-05,1.28e-06,sparse,5.859160000000003,1.8039333750057267,40.38311958312988,531.53125,531.5625,0.03125
4,Gaussian random projection,10,20660437,5000,3,8.0,40244,0.055,0.8586583388531802,0.8032586353229272,1.073278208001284,0.10777624999172986,0.4462220419954974,0.019642583007225767,0,0.0,24.1464,48.0,39952.0192,7.990403840000001,23.97121152,0.0623875075135075,0.004197792004561052,0.07727354099915829,0.08546929201111197,0.020917957997880876,0.003542166989063844,eigsh,0.001877500006230548,0.1940173750044778,0.0006849999917903915,0.2515137090085773,0.9999948677174043,0.5901765135025812,1.6272705419978593,1.152e-05,1.28e-06,sparse,6.107747999999987,1.9157963329926133,40.41891384124756,531.5625,533.875,2.3125
5,Gaussian random projection,1,20760428,5000,3,8.0,34986,0.3082,0.3781898913824365,0.352913272098906,0.9497557079885155,0.06502908399852458,0.445635999989463,0.012671792006585747,0,0.0,20.9916,40.0,35158.419200000004,7.03168384,21.095051520000002,0.03990401921920999,0.0034367909975117072,0.061309291995712556,0.04615866699896287,0.018298750001122244,0.0021024580055382103,eigsh,0.0002627500070957467,0.13236229099857155,0.0005110420024720952,0.31275770800129976,0.9999918472038545,0.5413628237477441,1.4604158329893835,1.152e-05,1.28e-06,sparse,6.35665800000001,1.6934703330043703,38.73241901397705,533.875,546.5625,12.6875
5,Gaussian random projection,2,20760429,5000,3,8.0,35104,0.309,0.37716779493972113,0.3522384615338573,0.9455832090025069,0.06602566700894386,0.47157399999559857,0.014479125005891547,0,0.0,21.0624,37.0,35158.419200000004,7.03168384,21.095051520000002,0.03990401921920999,0.003377125001861714,0.0613630000007106,0.05317916700732894,0.013040499994531274,0.0019466249941615388,eigsh,0.0005884169950149953,0.1343130420136731,0.00010712500079534948,0.33714966700063087,0.9999928492117279,0.5413694862756839,1.48317871002655,1.152e-05,1.28e-06,sparse,6.484659999999991,1.7311103749962058,38.775620460510254,546.5625,548.125,1.5625
5,Gaussian random projection,3,20760430,5000,3,8.0,35410,0.2894,0.40791561222084827,0.3796800569880097,0.9690742499951739,0.06685508400551043,0.4550037080043694,0.013664333004271612,0,0.0,21.246,43.0,35158.419200000004,7.03168384,21.095051520000002,0.03990401921920999,0.003400999994482845,0.0648711249959888,0.05920266700559296,0.012821917000110261,0.002000999986194074,eigsh,0.00198583300516475,0.144888415990863,0.00033270900894422084,0.3097778749943245,0.9999919719011032,0.5436908366921887,1.490928333994816,1.152e-05,1.28e-06,sparse,6.402265999999997,1.7223435420019086,38.886362075805664,548.125,548.15625,0.03125
5,Gaussian random projection,4,20760431,5000,3,8.0,35305,0.2814,0.4218944091766531,0.3926447212843976,0.9552649169927463,0.06503533299837727,0.45520183400367387,0.012939415988512337,0,0.0,21.183,39.0,35158.419200000004,7.03168384,21.095051520000002,0.03990401921920999,0.0032774999999674037,0.06202854101138655,0.04506658299942501,0.021088749999762513,0.0033136249985545874,eigsh,0.0018102089961757883,0.1370803750032792,0.00040949998947326094,0.31770795899501536,0.9999926663598439,0.5399221603039899,1.4754980839788914,1.152e-05,1.28e-06,sparse,6.320042999999998,1.7177974579972215,38.84484100341797,548.15625,548.15625,0.0
5,Gaussian random projection,5,20760432,5000,3,8.0,35188,0.2962,0.3968305223690141,0.3695903679837122,0.9762987499998417,0.06846670800587162,0.4585142080031801,0.013013042000238784,0,0.0,21.1128,38.0,35158.419200000004,7.03168384,21.095051520000002,0.03990401921920999,0.003320208008517511,0.06211274999077432,0.0504574170045089,0.014531249995343387,0.004423332997248508,eigsh,0.0016790410008979961,0.13775083298969548,0.0005774170131189749,0.32018037501256913,0.9999934024396698,0.543917009837928,1.5032740830210969,1.152e-05,1.28e-06,sparse,6.478665999999976,1.73308283300139,38.80062007904053,548.15625,548.203125,0.046875
5,Gaussian random projection,6,20760433,5000,3,8.0,35266,0.2672,0.44409656579860657,0.41135742370924294,0.9530819589999737,0.06716808400233276,0.47016516700387,0.014108916991972364,0,0.0,21.1596,38.0,35158.419200000004,7.03168384,21.095051520000002,0.03990401921920999,0.003265959006967023,0.06157224999333266,0.050077499996405095,0.025790750005398877,0.003080375012359582,eigsh,0.00102675000380259,0.14542512499610893,0.000385833001928404,0.32434883300447837,0.9999931527506156,0.5457838317917738,1.4904098340048222,1.152e-05,1.28e-06,sparse,6.561998000000017,1.7224612919962965,38.83588695526123,548.203125,548.203125,0.0
5,Gaussian random projection,7,20760434,5000,3,8.0,35155,0.3094,0.3778709150550997,0.3525124619052358,0.9637844579992816,0.07010187499690801,0.4685505829984322,0.014052583006559871,0,0.0,21.093,44.0,35158.419200000004,7.03168384,21.095051520000002,0.03990401921920999,0.0035555420035962015,0.06686962500680238,0.059172583001782186,0.015111332992091775,0.0034811249934136868,eigsh,0.0013097089977236465,0.15165512499515899,0.00048558299022261053,0.3164036669913912,0.9999934529945371,0.5427425268003114,1.5024307079729624,1.152e-05,1.28e-06,sparse,6.464904000000018,1.7420256249897648,38.79725360870361,548.203125,548.21875,0.015625
