group,r,method,runs,alpha_mean,alpha_std,tau_value_mean,tau_value_std,group_n_mean,group_n_std,ell_mean,ell_std,k_mean,k_std,q_mean,q_std,embedding_wall_sec_mean,embedding_wall_sec_std,clustering_wall_sec_mean,clustering_wall_sec_std,total_method_wall_sec_mean,total_method_wall_sec_std,exact_eigsh_sec_mean,exact_eigsh_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,ARI_true_mean,ARI_true_std,NMI_true_mean,NMI_true_std,F1_macro_true_mean,F1_macro_true_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_test_matrix_entry_std_mean,rp_test_matrix_entry_std_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_small_eigh_sec_mean,rp_small_eigh_sec_std,rp_lift_sec_mean,rp_lift_sec_std,ds_bucket_build_sec_mean,ds_bucket_build_sec_std,ds_draw_and_initial_multiply_sec_mean,ds_draw_and_initial_multiply_sec_std,ds_power_iter_sec_mean,ds_power_iter_sec_std,ds_qr_sec_mean,ds_qr_sec_std,ds_build_core_sec_mean,ds_build_core_sec_std,ds_small_eigh_sec_mean,ds_small_eigh_sec_std,ds_lift_sec_mean,ds_lift_sec_std,ds_num_buckets_mean,ds_num_buckets_std,ds_min_bucket_dim_mean,ds_min_bucket_dim_std,ds_max_bucket_dim_mean,ds_max_bucket_dim_std
all,10,Exact spectral,10,0.5,0.0,0.0,0.0,2485.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0715158999664709,0.0,0.04638102997560054,0.010215976018375482,0.11789692994207143,0.010215976018375482,0.0715158999664709,0.0,0.0715158999664709,0.0,0.23914235128583558,0.001117095253506078,0.3932711093341356,0.002570226602588766,0.3100769100321813,0.04039616474131491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,10,Gaussian RP,10,0.5,0.0,0.0,0.0,2485.0,0.0,17.0,0.0,7.0,0.0,1.0,0.0,0.002368599991314113,0.00033965055106758657,0.1369235600112006,0.056407613745506756,0.1392921600025147,0.05670082864242045,,,0.002352189982775599,0.00033833064457860503,0.020699414733158155,0.005576713545289803,0.03764550067753338,0.005674414697504745,0.2096791741417304,0.008624382990611237,0.00037296999944373964,2.1351788225451614e-05,0.242535625036333,0.0,0.000489830004516989,4.401964107620326e-05,0.0010467099724337458,0.00028671635613828917,0.0002648600027896464,3.4869765433259494e-05,0.00010530001018196344,2.7670976019626432e-05,7.251999340951443e-05,2.9104023581350835e-05,,,,,,,,,,,,,,,,,,,,
all,20,Degree-stratified RP,10,0.5,0.0,0.0,0.0,2485.0,0.0,27.0,0.0,7.0,0.0,1.0,0.0,0.0075905799749307334,0.001066976873267368,0.11150985000422224,0.02712258978071012,0.11910042997915297,0.027229164136061097,,,0.007512930012308061,0.0010552706637467464,0.10858563653787148,0.010826759683916186,0.16781751414411197,0.017664466491337672,0.36401541831561574,0.03329796515107845,,,,,,,,,,,,,,,0.0002645899774506688,3.661277191159887e-05,0.0015975800226442516,0.00019748816883097424,0.0026308200205676256,0.0004865667460284163,0.0019524999894201755,0.0004083330416296857,0.0005786399939097464,0.00033077461947240674,0.00039966000476852057,0.00027749126809302677,8.914000354707242e-05,1.559523794921088e-05,8.0,0.0,2.0,0.0,6.0,0.0
all,20,Exact spectral,10,0.5,0.0,0.0,0.0,2485.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0715158999664709,0.0,0.05076063999440521,0.015515210315921842,0.1222765399608761,0.015515210315921842,0.0715158999664709,0.0,0.0715158999664709,0.0,0.23844601524132228,0.0007519391451770295,0.3946811504123892,0.0015285285659032534,0.28657530055601793,0.02476745820614244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,20,Gaussian RP,10,0.5,0.0,0.0,0.0,2485.0,0.0,27.0,0.0,7.0,0.0,1.0,0.0,0.0042849299847148355,0.0003850634231482982,0.13933014998910948,0.03625159106906572,0.14361507997382433,0.0363630843389902,,,0.004266110039316118,0.00038347028513816765,0.0177505005902445,0.006056939250998159,0.034667493967637714,0.010286583910731782,0.21256488382141195,0.01982214282626596,0.000599760003387928,2.881043445843001e-05,0.19245008972987526,0.0,0.000731459993403405,8.266818409627829e-05,0.002089090005028993,0.00027685077776856324,0.00041776002617552874,6.569831437218736e-05,0.000338829995598644,0.0001258161596300032,8.921001572161912e-05,4.615294781270996e-06,,,,,,,,,,,,,,,,,,,,
all,40,Degree-stratified RP,10,0.5,0.0,0.0,0.0,2485.0,0.0,47.0,0.0,7.0,0.0,1.0,0.0,0.015927840035874396,0.0031482874207080388,0.10198560998542235,0.011092908445392085,0.11791345002129675,0.012502033224274093,,,0.015831570036243647,0.0031432782311725986,0.1214457548950574,0.009101484481333274,0.1842079930574911,0.011897148649519651,0.38461469327586895,0.019241257962112353,,,,,,,,,,,,,,,0.00032820000778883697,0.000246088010004933,0.0019248999888077378,0.000437972439842776,0.0065608000149950385,0.0014372028906405835,0.005635349999647587,0.000982475057978007,0.0007764500216580928,0.00022713700467422154,0.00047492000740021465,4.1218982004006605e-05,0.00013094999594613909,3.092748606863592e-05,8.0,0.0,3.0,0.0,11.0,0.0
all,40,Exact spectral,10,0.5,0.0,0.0,0.0,2485.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0715158999664709,0.0,0.05854156999848783,0.03936442709190808,0.13005746996495873,0.03936442709190808,0.0715158999664709,0.0,0.0715158999664709,0.0,0.24142743504745284,0.01201238132988657,0.3939258693839306,0.006597287992801153,0.28928873508374575,0.028372129682123808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,40,Gaussian RP,10,0.5,0.0,0.0,0.0,2485.0,0.0,47.0,0.0,7.0,0.0,1.0,0.0,0.009236529993359,0.002423681582240068,0.14224832000909374,0.03628100199164033,0.15148485000245274,0.03775290845839446,,,0.009209869988262653,0.0024233321531817397,0.02822669237633797,0.01100943876297459,0.04818042423788359,0.013803886935158091,0.2348705681225292,0.027771112669764456,0.0010101999971084297,7.657078222838057e-05,0.14586499149789456,0.0,0.0011725199758075178,0.0001899940407760527,0.005719660024624318,0.0021710618545252853,0.0006894600111991168,0.0001297424314316898,0.0004892700002528727,0.0001365403756158579,0.00012875997927039862,4.727597469939798e-05,,,,,,,,,,,,,,,,,,,,
high_deg_9_plus,0,Degree-stratified RP,10,0.5,0.0,0.0,0.0,147.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0024299400043673812,0.00043898846037364553,0.10472163999220356,0.07105658282383116,0.10715157999657095,0.07096022982426457,,,0.002372749976348132,0.0004271233804580976,0.12553999202152308,0.05316490123601619,0.23506131575453323,0.06412755313147611,0.342581995681553,0.0509737306618858,,,,,,,,,,,,,,,0.0002646499895490706,3.6723449863647914e-05,0.0011267299996688962,0.00014698601734509142,0.00044182998826727273,4.924310912778872e-05,0.0003241400117985904,0.00027903496297176916,0.0001196199911646545,1.1766878120513727e-05,6.232999730855226e-05,1.3406818003164184e-05,3.344999859109521e-05,3.321059154833559e-06,7.0,0.0,1.0,0.0,1.0,0.0
high_deg_9_plus,0,Exact spectral,10,0.5,0.0,0.0,0.0,147.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0715158999664709,0.0,0.06970044998452067,0.04077549043374213,0.14121634995099158,0.04077549043374212,0.0715158999664709,0.0,0.0715158999664709,0.0,0.3233695807769207,0.011275778249188387,0.5192131866714658,0.010436633995131976,0.3118137149465823,0.05612844149579943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high_deg_9_plus,0,Gaussian RP,10,0.5,0.0,0.0,0.0,147.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0011014200048521162,0.0003675945579920437,0.16665341997286304,0.04308586555549438,0.16775483997771518,0.04328782493791873,,,0.0010843999916687608,0.00036704854443290303,0.03880473878407009,0.017246064210741412,0.13476133371983023,0.01854993489741475,0.2758797122911999,0.018380601271837573,0.00016759001882746816,1.5187245441556326e-05,0.3779644730092272,0.0,0.00025305000599473715,4.044563196584802e-05,0.0004317999817430973,0.0003350922698464341,0.0001283199992030859,8.777739563547184e-06,6.673997268080711e-05,2.1233818106454395e-05,3.6900013219565154e-05,3.6826799015099606e-06,,,,,,,,,,,,,,,,,,,,
