n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
200,19,Random Projection,0.024202900007367134,0.0006280001252889633,0.0019370999652892351,3.0700117349624634e-05,0.00024500000290572643,8.429982699453831e-05,6.0300109907984734e-05,4.730001091957092e-05,7.239985279738903e-05,7.00005330145359e-06,0.02365230000577867,0.024202900007367134,0.024199299979954958,3.600027412176132e-06,0.026768000097945333,,,,,,,,,
200,19,Random Sampling,0.025046500144526362,0.0006280001252889633,0.0016074997838586569,,,,,,,,,0.025046500144526362,0.02504329988732934,3.200257197022438e-06,0.027282000053673983,0.0002421000972390175,0.00032119988463819027,0.0026235999539494514,3.700004890561104e-05,5.270005203783512e-05,0.021766699850559235,,,
200,19,Non-random,0.02477400004863739,0.0006280001252889633,0.0019079998601227999,,,,,,,,,0.02477400004863739,0.024772499920800328,1.500127837061882e-06,0.027310000034049153,,,,,,,0.004207999911159277,0.02054120018146932,2.329982817173004e-05
200,20,Random Projection,0.02234870009124279,0.0006024001631885767,0.001636900007724762,2.7299858629703522e-05,0.00022500008344650269,7.650000043213367e-05,5.319993942975998e-05,4.870002157986164e-05,6.480002775788307e-05,6.09993003308773e-06,0.021844099974259734,0.02234870009124279,0.022345699835568666,3.000255674123764e-06,0.02458800026215613,,,,,,,,,
200,20,Random Sampling,0.024610599968582392,0.0006024001631885767,0.00152299995534122,,,,,,,,,0.024610599968582392,0.024607700062915683,2.8999056667089462e-06,0.02673600008711219,0.000215600011870265,0.00030519999563694,0.0030837999656796455,4.060007631778717e-05,5.859998054802418e-05,0.02090390003286302,,,
200,20,Non-random,0.027231500018388033,0.0006024001631885767,0.0018573000561445951,,,,,,,,,0.027231500018388033,0.027229800121858716,1.6998965293169022e-06,0.029691200237721205,,,,,,,0.004642300074920058,0.022557900054380298,2.95999925583601e-05
400,1,Random Projection,0.029822600074112415,0.0022148999851197004,0.016702499939128757,4.419987089931965e-05,0.0004406999796628952,9.220000356435776e-05,0.00010900013148784637,0.0002995000686496496,7.810001261532307e-05,9.800074622035027e-06,0.028745700139552355,0.029822600074112415,0.02981920028105378,3.3997930586338043e-06,0.04873999999836087,,,,,,,,,
400,1,Random Sampling,0.03804379981011152,0.0022148999851197004,0.015086400089785457,,,,,,,,,0.03804379981011152,0.03804020001552999,3.5997945815324783e-06,0.05534509988501668,0.0007029999978840351,0.001556500094011426,0.0036689999978989363,0.0002492999192327261,0.000786100048571825,0.03107629995793104,,,
400,1,Non-random,0.11163059994578362,0.0022148999851197004,0.015828599920496345,,,,,,,,,0.11163059994578362,0.11162899993360043,1.600012183189392e-06,0.12967409985139966,,,,,,,0.08642100007273257,0.024928800063207746,0.0002791997976601124
400,2,Random Projection,0.027419300051406026,0.002898300066590309,0.014901299960911274,4.320009611546993e-05,0.0003610001876950264,0.00011459994129836559,0.00010329997166991234,0.0003084000200033188,7.579987868666649e-05,9.400071576237679e-06,0.026400000089779496,0.027419300051406026,0.027415700256824493,3.5997945815324783e-06,0.04521890007890761,,,,,,,,,
400,2,Random Sampling,0.03446990018710494,0.002898300066590309,0.014840499963611364,,,,,,,,,0.03446990018710494,0.03446660004556179,3.300141543149948e-06,0.052208700217306614,0.0008239001035690308,0.001978399930521846,0.0035520000383257866,0.0003504999913275242,0.0008819999638944864,0.026879800017923117,,,
400,2,Non-random,0.11297610006295145,0.002898300066590309,0.016840499825775623,,,,,,,,,0.11297610006295145,0.11297439993359149,1.700129359960556e-06,0.13271489995531738,,,,,,,0.08803780004382133,0.024646699894219637,0.00028989999555051327
400,3,Random Projection,0.030552900163456798,0.0035583998542279005,0.015821699984371662,5.319993942975998e-05,0.0005177001003175974,0.00013049994595348835,0.0002586999908089638,0.0003646998666226864,8.870009332895279e-05,1.0699965059757233e-05,0.029124299995601177,0.030552900163456798,0.030548499897122383,4.400266334414482e-06,0.04993300000205636,,,,,,,,,
400,3,Random Sampling,0.03408330003730953,0.0035583998542279005,0.01389859989285469,,,,,,,,,0.03408330003730953,0.03407950000837445,3.8000289350748062e-06,0.05154029978439212,0.0005558999255299568,0.0017510000616312027,0.0032730000093579292,0.0003098000306636095,0.0007424999494105577,0.027447300031781197,,,
400,3,Non-random,0.11218789988197386,0.0035583998542279005,0.015299000078812242,,,,,,,,,0.11218789988197386,0.1121865997556597,1.300126314163208e-06,0.131045299815014,,,,,,,0.08804069994948804,0.023875299841165543,0.00027059996500611305
400,4,Random Projection,0.028537599835544825,0.0030221999622881413,0.015365000115707517,4.369998350739479e-05,0.0004112999886274338,8.930009789764881e-05,0.0001091999001801014,0.0003309000749140978,5.8499863371253014e-05,6.8999361246824265e-06,0.027484599966555834,0.028537599835544825,0.028534399811178446,3.200024366378784e-06,0.04692479991354048,,,,,,,,,
400,4,Random Sampling,0.0349522999022156,0.0030221999622881413,0.01591550000011921,,,,,,,,,0.0349522999022156,0.034948900109156966,3.3997930586338043e-06,0.05388999986462295,0.000865899957716465,0.0021829998586326838,0.004157199990004301,0.0003603000659495592,0.0010128000285476446,0.026369700208306313,,,
400,4,Non-random,0.10743729979731143,0.0030221999622881413,0.016293100081384182,,,,,,,,,0.10743729979731143,0.10743550024926662,1.7995480448007584e-06,0.12675259984098375,,,,,,,0.080435800133273,0.026798800099641085,0.0002009000163525343
400,5,Random Projection,0.031141600105911493,0.0023467999417334795,0.03265259996987879,5.2800169214606285e-05,0.0005091000348329544,0.00011490005999803543,0.0011264998465776443,0.0022709001787006855,0.00010199984535574913,1.0899966582655907e-05,0.026949800085276365,0.031141600105911493,0.031136900186538696,4.699919372797012e-06,0.06614100001752377,,,,,,,,,
400,5,Random Sampling,0.03506979998201132,0.0023467999417334795,0.014206900028511882,,,,,,,,,0.03506979998201132,0.03506519948132336,4.60050068795681e-06,0.05162349995225668,0.0009997999295592308,0.0015604000072926283,0.0036849998869001865,0.00038059987127780914,0.0008588999044150114,0.027580499881878495,,,
400,5,Non-random,0.11748490016907454,0.0023467999417334795,0.014864200027659535,,,,,,,,,0.11748490016907454,0.11748350015841424,1.400010660290718e-06,0.13469590013846755,,,,,,,0.093430400127545,0.023792700143530965,0.0002603998873382807
400,6,Random Projection,0.02557529998011887,0.0024405999574810266,0.015522199915722013,4.419987089931965e-05,0.00039810012094676495,8.449982851743698e-05,0.00011190003715455532,0.0003434999380260706,0.00010689999908208847,1.1200085282325745e-05,0.02447169995866716,0.02557529998011887,0.02557199983857572,3.300141543149948e-06,0.04353809985332191,,,,,,,,,
400,6,Random Sampling,0.03387570008635521,0.0024405999574810266,0.015437700087204576,,,,,,,,,0.03387570008635521,0.03387219994328916,3.500143066048622e-06,0.05175400013104081,0.0006365000735968351,0.0019578998908400536,0.003525200067088008,0.0003665999975055456,0.0010533998720347881,0.02633260004222393,,,
400,6,Non-random,0.10792100010439754,0.0024405999574810266,0.014783699996769428,,,,,,,,,0.10792100010439754,0.10791949974372983,1.5003606677055359e-06,0.125145300058648,,,,,,,0.08263259986415505,0.02500919997692108,0.00027769990265369415
400,7,Random Projection,0.027216000016778708,0.002968299901112914,0.015490399906411767,4.520011134445667e-05,0.00035419990308582783,8.690007962286472e-05,0.00010489998385310173,0.0004183999262750149,9.329989552497864e-05,1.2200092896819115e-05,0.026096999878063798,0.027216000016778708,0.02721209987066686,3.90014611184597e-06,0.04567469982430339,,,,,,,,,
400,7,Random Sampling,0.03552879998460412,0.002968299901112914,0.014702899847179651,,,,,,,,,0.03552879998460412,0.035525500075891614,3.2999087125062943e-06,0.053199999732896686,0.0004469000268727541,0.0016528998967260122,0.0028370001818984747,0.00030479999259114265,0.000741699943318963,0.029542200034484267,,,
400,7,Non-random,0.14389800000935793,0.002968299901112914,0.017874599900096655,,,,,,,,,0.14389800000935793,0.1438961997628212,1.80024653673172e-06,0.1647408998105675,,,,,,,0.11668349988758564,0.026937399990856647,0.00027529988437891006
400,8,Random Projection,0.028902399819344282,0.00238509988412261,0.013862799853086472,4.320009611546993e-05,0.0004811999388039112,0.00013119983486831188,0.00014759995974600315,0.00031880009919404984,6.309989839792252e-05,7.200054824352264e-06,0.027706700144335628,0.028902399819344282,0.02889900002628565,3.3997930586338043e-06,0.045150299556553364,,,,,,,,,
400,8,Random Sampling,0.03509409981779754,0.00238509988412261,0.015384200029075146,,,,,,,,,0.03509409981779754,0.03509039990603924,3.6999117583036423e-06,0.0528633997309953,0.000503599876537919,0.0016787999775260687,0.003228900022804737,0.00031349994242191315,0.0007382000330835581,0.028627400053665042,,,
400,8,Non-random,0.11552860005758703,0.00238509988412261,0.014824999962002039,,,,,,,,,0.11552860005758703,0.11552660004235804,2.00001522898674e-06,0.13273869990371168,,,,,,,0.09055790002457798,0.02468060003593564,0.0002880999818444252
400,9,Random Projection,0.029887600103393197,0.003050500061362982,0.014617200009524822,5.079992115497589e-05,0.00040140002965927124,0.00011070002801716328,0.00011239992454648018,0.0003341999836266041,7.379986345767975e-05,9.299954399466515e-06,0.028791100019589067,0.029887600103393197,0.029883699724450707,3.900378942489624e-06,0.047555300174281,,,,,,,,,
400,9,Random Sampling,0.03561790008097887,0.003050500061362982,0.014792900066822767,,,,,,,,,0.03561790008097887,0.03561420016922057,3.6999117583036423e-06,0.05346130020916462,0.0006204999517649412,0.0017626001499593258,0.004143000114709139,0.000282500172033906,0.0007731998339295387,0.028032399946823716,,,
400,9,Non-random,0.13938719988800585,0.003050500061362982,0.01684450008906424,,,,,,,,,0.13938719988800585,0.13938570022583008,1.4996621757745743e-06,0.15928220003843307,,,,,,,0.11159950005821884,0.027488100109621882,0.0002981000579893589
