rep,method,F1,NMI,ARI,time_rand_sec,time_post_sec,time_total_sec
5,Random Sampling (p=0.8),0.31976242985402037,0.5325492195476024,0.06680945737826711,0.014343625000000415,0.278296042,0.29264758299999993
5,Non-random,0.34439900531483236,0.5660860116048314,0.08427164024214182,0.0,0.2781459580000005,0.278146166
6,Random Projection,0.3012363491914214,0.5377288359926015,0.07393255430449798,,,0.18606862499999988
6,Random Sampling (p=0.7),0.3112764551638086,0.5363548554037251,0.0692215438902836,0.010627207999999833,0.2761331250000003,0.2867677500000001
6,Random Sampling (p=0.8),0.31828101763054173,0.5434618355995169,0.08130100291094763,0.010734833999999971,0.269672292000001,0.28041362500000044
6,Non-random,0.3564162596657113,0.5677093897194387,0.0903070820036412,0.0,0.26257924999999993,0.26257962500000076
7,Random Projection,0.319556098962969,0.5448079426124888,0.11153314822972667,,,0.19620579200000066
7,Random Sampling (p=0.7),0.29703386558983835,0.5207691695436543,0.0674763449675618,0.010499999999998622,0.2733854570000016,0.2838949579999994
7,Random Sampling (p=0.8),0.3312339883930519,0.5487427430351689,0.0769123631684681,0.013846624999999335,0.2800565420000005,0.2939102499999997
7,Non-random,0.3342311562611016,0.5707510847309344,0.09674474520913805,0.0,0.27514954099999933,0.27515
8,Random Projection,0.3195750942125408,0.5543369681066915,0.1193631861273284,,,0.19073666700000125
8,Random Sampling (p=0.7),0.2911444957103295,0.5260131809181243,0.06636789572165427,0.010507249999999857,0.27163112500000075,0.2821447920000004
8,Random Sampling (p=0.8),0.31311461664267914,0.5447312640153937,0.08305298848245185,0.010709916999999791,0.27559491700000116,0.28631179099999926
8,Non-random,0.3595208807980839,0.5732895199111318,0.1199567452697174,0.0,0.2689454169999994,0.2689458330000001
9,Random Projection,0.31481910785736283,0.5486407758748455,0.10406654114227062,,,0.18342349999999996
9,Random Sampling (p=0.7),0.2980261418836842,0.5469457463023906,0.09316026325737455,0.010430041999999418,0.276263041,0.2867062090000001
9,Random Sampling (p=0.8),0.32151905585811225,0.5390729676601108,0.09042262001513567,0.010690165999999834,0.2802628340000002,0.2909600000000001
9,Non-random,0.35154063806735103,0.5657793449052791,0.09326683581633051,0.0,0.2700179580000004,0.2700187920000001
10,Random Projection,0.3519422515977733,0.5638088010826737,0.1120981716237677,,,0.1952335000000005
10,Random Sampling (p=0.7),0.32655430829142335,0.5299865708435672,0.07380449569687345,0.010659792000000223,0.27638416599999793,0.2870510839999998
10,Random Sampling (p=0.8),0.34311274656313123,0.5507117839628936,0.08270585031025036,0.010713167000000468,0.27775774900000094,0.288478542
10,Non-random,0.33737751571913616,0.5652734008251857,0.08822850371497125,0.0,0.2702909999999985,0.27029137499999933
11,Random Projection,0.30239646402449555,0.5505836730004503,0.09260728592845748,,,0.1835727089999999
11,Random Sampling (p=0.7),0.29673160090249756,0.5260090191231919,0.07316996878146698,0.010575457999999927,0.272772333999999,0.2833583329999989
11,Random Sampling (p=0.8),0.3218224041850166,0.5431706540657938,0.07852708463576068,0.0107587089999992,0.2724751660000013,0.28324679099999983
11,Non-random,0.3725483340728303,0.5727738410905189,0.08805773675077437,0.0,0.2688252079999991,0.26882566699999977
12,Random Projection,0.3050847021178025,0.5557936496505196,0.0979175102972128,,,0.18513316700000004
12,Random Sampling (p=0.7),0.28990356276832924,0.5249292157242057,0.06899063293533134,0.010563167000000817,0.2703471249999989,0.28091733399999974
12,Random Sampling (p=0.8),0.3158166435339519,0.5361015321900254,0.08337020729979441,0.010745458999998903,0.27501154100000136,0.2857639170000006
12,Non-random,0.3574982076894059,0.5752566118620364,0.09649934541401242,0.0,0.27642604200000065,0.2764268750000003
13,Random Projection,0.31111591672972405,0.5455054670538114,0.0994195096492256,,,0.1902042090000009
13,Random Sampling (p=0.7),0.304520568433296,0.5316857691133007,0.07133949147176687,0.010516291000000066,0.28118662500000013,0.29171020800000136
13,Random Sampling (p=0.8),0.33008417242737786,0.535598651955998,0.09478555480424146,0.01078608400000114,0.2893079160000003,0.3001012499999991
13,Non-random,0.35876597922868453,0.5742827617660762,0.11147360041687916,0.0,0.27234158299999933,0.27234212499999977
14,Random Projection,0.31700951808448774,0.5469618921137434,0.08314984037146539,,,0.18847991599999858
