n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
200,20,Random Sampling,0.024613599991425872,0.0005509001202881336,0.0019509999547153711,,,,,,,,,0.024613599991425872,0.024609499610960484,4.100380465388298e-06,0.027115500066429377,0.00017079990357160568,0.000296599930152297,0.0022201999090611935,3.5499921068549156e-05,5.250005051493645e-05,0.021833899896591902,,,
200,20,Non-random,0.030864600092172623,0.0005509001202881336,0.0019021998159587383,,,,,,,,,0.030864600092172623,0.03086279984563589,1.80024653673172e-06,0.033317700028419495,,,,,,,0.004813499981537461,0.026026299921795726,2.2999942302703857e-05
400,1,Random Projection,0.03276570001617074,0.002736099995672703,0.0198919998947531,4.5800115913152695e-05,0.0004579999949783087,0.00010309997014701366,0.0001278999261558056,0.0003863000310957432,7.679988630115986e-05,1.019984483718872e-05,0.03155339998193085,0.03276570001617074,0.032761499751359224,4.200264811515808e-06,0.05539379990659654,,,,,,,,,
400,1,Random Sampling,0.09089089999906719,0.002736099995672703,0.02890040003694594,,,,,,,,,0.09089089999906719,0.09088569972664118,5.200272426009178e-06,0.12252740003168583,0.0006523998454213142,0.002067199908196926,0.004726500017568469,0.0004841999616473913,0.0010470000561326742,0.0819083999376744,,,
400,1,Non-random,0.12614379986189306,0.002736099995672703,0.01935399998910725,,,,,,,,,0.12614379986189306,0.12614169996231794,2.09989957511425e-06,0.148233899846673,,,,,,,0.08402219996787608,0.04179039993323386,0.0003291000612080097
400,2,Random Projection,0.0330766998231411,0.0032695999834686518,0.017086599953472614,4.940014332532883e-05,0.0005173000972718,0.00010529998689889908,0.00011000013910233974,0.0025797998532652855,0.00011979998089373112,1.4699995517730713e-05,0.029575600055977702,0.0330766998231411,0.03307190025225282,4.7995708882808685e-06,0.053432899760082364,,,,,,,,,
400,2,Random Sampling,0.038336999947205186,0.0032695999834686518,0.01503959996625781,,,,,,,,,0.038336999947205186,0.03833209979347885,4.90015372633934e-06,0.05664619989693165,0.0008328999392688274,0.002397000091150403,0.003794000018388033,0.00038439990021288395,0.0009277998469769955,0.029995999997481704,,,
400,2,Non-random,0.11908970004878938,0.0032695999834686518,0.01594489999115467,,,,,,,,,0.11908970004878938,0.11908799991942942,1.700129359960556e-06,0.1383042000234127,,,,,,,0.09370389999821782,0.025088099995628,0.000295999925583601
400,3,Random Projection,0.029137799981981516,0.0030513000674545765,0.015855800127610564,5.650008097290993e-05,0.0005648999940603971,0.00012580002658069134,0.00011470005847513676,0.0003182999789714813,6.499979645013809e-05,7.300172001123428e-06,0.027881300076842308,0.029137799981981516,0.029133800184354186,3.999797627329826e-06,0.04804490017704666,,,,,,,,,
400,3,Random Sampling,0.03595599997788668,0.0030513000674545765,0.01565470010973513,,,,,,,,,0.03595599997788668,0.03595150029286742,4.4996850192546844e-06,0.054662000155076385,0.0006249998696148396,0.0018433001823723316,0.004304999951273203,0.0003665001131594181,0.0007778999861329794,0.02803380019031465,,,
