n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
200,11,Random Sampling,11.172582155717906,1.516282225237449,0.037292391563240934,0.03310169978067279,0.0006830999627709389,0.0017394998576492071,,,,,,,,,0.03310169978067279,0.033098099986091256,3.5997945815324783e-06,0.035524299601092935,0.0003402999136596918,0.00028699985705316067,0.004241500049829483,5.9300102293491364e-05,0.00010930001735687256,0.028060700045898557,,,
200,11,Non-random,9.273070472066884,0.8986883763003166,0.028775267538644483,0.029594500083476305,0.0006830999627709389,0.0017552000936120749,,,,,,,,,0.029594500083476305,0.02959240018390119,2.09989957511425e-06,0.03203280013985932,,,,,,,0.005045300116762519,0.02452329988591373,2.3800181224942207e-05
200,12,Random Projection,8.066004548621065,0.6442786069651741,0.026189606779408736,0.02286590007133782,0.0008034000638872385,0.0015576998703181744,2.750009298324585e-05,0.00023419992066919804,8.400017395615578e-05,5.9099867939949036e-05,4.6900007873773575e-05,7.08999577909708e-05,7.100170478224754e-06,0.02233260008506477,0.02286590007133782,0.022862300276756287,3.5997945815324783e-06,0.025227000005543232,,,,,,,,,
200,12,Random Sampling,10.579175367361078,1.0658073270013568,0.0520716962457127,0.029479300137609243,0.0008034000638872385,0.0018871999345719814,,,,,,,,,0.029479300137609243,0.029475399991497397,3.90014611184597e-06,0.03216990013606846,0.0002786999102681875,0.0003917999565601349,0.0028892001137137413,4.539988003671169e-05,7.800012826919556e-05,0.025792300002649426,,,
200,12,Non-random,9.280767008386498,0.41926729986431477,0.027438016528925607,0.02755940007045865,0.0008034000638872385,0.0018752000760287046,,,,,,,,,0.02755940007045865,0.02755780005827546,1.600012183189392e-06,0.030238000210374594,,,,,,,0.004942300030961633,0.022589100059121847,2.6399968191981316e-05
200,13,Random Projection,7.84669404039406,0.8093622795115333,0.03234239425172822,0.03043339983560145,0.0006790999323129654,0.0020088001620024443,2.8199981898069382e-05,0.00023280014283955097,8.839997462928295e-05,5.859998054802418e-05,4.8900023102760315e-05,7.049995474517345e-05,6.800051778554916e-06,0.02989570004865527,0.03043339983560145,0.030429900158196688,3.4996774047613144e-06,0.03312129992991686,,,,,,,,,
200,13,Random Sampling,10.139662442999915,0.8394391677973767,0.021073608398775645,0.028163099894300103,0.0006790999323129654,0.0019989998545497656,,,,,,,,,0.028163099894300103,0.0281591999810189,3.899913281202316e-06,0.030841199681162834,0.00031160004436969757,0.0003154999576508999,0.002274200087413192,3.050011582672596e-05,7.529999129474163e-05,0.025152099784463644,,,
200,13,Non-random,9.30217867216824,0.4215287200361827,0.0193877551020408,0.032136499881744385,0.0006790999323129654,0.0025911000557243824,,,,,,,,,0.032136499881744385,0.032134400214999914,2.0996667444705963e-06,0.03540669986978173,,,,,,,0.004684200044721365,0.02741249999962747,3.7700170651078224e-05
200,14,Random Projection,8.266623070514967,1.575305291723202,0.043402542072947026,0.026410700054839253,0.0006577998865395784,0.0018341001123189926,2.8199981898069382e-05,0.00022629997693002224,9.119999594986439e-05,6.420002318918705e-05,4.740012809634209e-05,7.479987107217312e-05,6.8999361246824265e-06,0.025868400000035763,0.026410700054839253,0.026407399913296103,3.300141543149948e-06,0.028902600053697824,,,,,,,,,
200,14,Random Sampling,11.384437069023502,1.4075079149706016,0.03185345830991404,0.03639300004579127,0.0006577998865395784,0.0020534999202936888,,,,,,,,,0.03639300004579127,0.03638880024664104,4.1997991502285e-06,0.039104299852624536,0.00023830006830394268,0.0003595000598579645,0.003215300152078271,3.060000017285347e-05,7.209996692836285e-05,0.032472999999299645,,,
200,14,Non-random,9.438031452227538,0.705789235639982,0.022809917355371884,0.03207349986769259,0.0006577998865395784,0.002113000024110079,,,,,,,,,0.03207349986769259,0.03207150008529425,1.9997823983430862e-06,0.03484429977834225,,,,,,,0.0061413999646902084,0.025903800036758184,2.6300083845853806e-05
200,15,Random Projection,7.869314253337934,0.66078697421981,0.014900783544948448,0.024459700100123882,0.000960000092163682,0.002181500196456909,3.060000017285347e-05,0.0002758000046014786,9.610014967620373e-05,6.529991514980793e-05,5.579995922744274e-05,7.029995322227478e-05,5.700159817934036e-06,0.023856099927797914,0.024459700100123882,0.02445570006966591,4.00003045797348e-06,0.027601200388744473,,,,,,,,,
200,15,Random Sampling,11.105022521248014,0.7055630936227951,0.0214037054307053,0.02664049994200468,0.000960000092163682,0.0018817998934537172,,,,,,,,,0.02664049994200468,0.026637400034815073,3.0999071896076202e-06,0.02948229992762208,0.00016289995983242989,0.00027600000612437725,0.001922599971294403,2.6600202545523643e-05,6.659980863332748e-05,0.02418270008638501,,,
200,15,Non-random,9.373693776101337,0.30076888285843506,0.027777777777777762,0.028260699938982725,0.000960000092163682,0.0019638999365270138,,,,,,,,,0.028260699938982725,0.028259000042453408,1.6998965293169022e-06,0.03118459996767342,,,,,,,0.004854300059378147,0.02337990002706647,2.4799956008791924e-05
200,16,Random Projection,8.318576508647082,1.2121212121212122,0.05055672080846904,0.024245699867606163,0.0007063001394271851,0.0018680999055504799,2.5600194931030273e-05,0.00017110002227127552,7.260008715093136e-05,4.83999028801918e-05,3.569992259144783e-05,5.350005812942982e-05,5.00003807246685e-06,0.023830699967220426,0.024245699867606163,0.0242426001932472,3.0996743589639664e-06,0.026820099912583828,,,,,,,,,
200,16,Random Sampling,11.153890767259831,1.2453640886476707,0.04623941787479019,0.02850749995559454,0.0007063001394271851,0.002041199943050742,,,,,,,,,0.02850749995559454,0.028503900161013007,3.5997945815324783e-06,0.03125500003807247,0.0002788999117910862,0.00039110006764531136,0.0031574999447911978,3.400002606213093e-05,7.070018909871578e-05,0.024571700021624565,,,
200,16,Non-random,9.30435465175108,0.6282225237449118,0.048299319727891143,0.031684899935498834,0.0007063001394271851,0.0021492999512702227,,,,,,,,,0.031684899935498834,0.03168300003744662,1.8998980522155762e-06,0.03454050002619624,,,,,,,0.005056099966168404,0.026588800130411983,3.809994086623192e-05
200,17,Random Projection,7.89853344530082,0.9439167797376753,0.044574863845341234,0.02663620002567768,0.0007442999631166458,0.002145600039511919,3.060000017285347e-05,0.0002552999649196863,0.00011179991997778416,7.690000347793102e-05,7.020006887614727e-05,0.00015620002523064613,7.699942216277122e-06,0.025923500070348382,0.02663620002567768,0.026632199995219707,4.00003045797348e-06,0.029526100028306246,,,,,,,,,
200,17,Random Sampling,11.544024367665385,1.5124378109452736,0.04924974993548098,0.03306449996307492,0.0007442999631166458,0.002064000116661191,,,,,,,,,0.03306449996307492,0.03306060004979372,3.899913281202316e-06,0.03587280004285276,0.0003105001524090767,0.00034229992888867855,0.0030024999286979437,3.8300175219774246e-05,8.469983004033566e-05,0.02928230003453791,,,
