K,rep,seed,n,m,rho_n,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,p_in,p_out,sampling_mode,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,non_random_eigensolver,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_core_eigensolver,rp_lift_sec,rs_sample_matrix_wall_sec,rs_eigensolver,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_core_eigensolver,cs_lift_sec,cs_hash_seed,cs_sparse_explicit_sketch_sec
2,6,20460512,5000,3,16.0,160064,939478,0.03757912,1.991355299949646,0.3483403000282123,0,0.0,96.0384,132.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Non-random,non_random,0.0,1.0,1.0,0.0344835000578314,eigsh,0.0157221000408753,8.749996777623892e-05,0.0358355999924242,0.05165170005057,1.0,0.7820730863224,2.3913407999789342,0.765625,0.1010063999565318,32.29516887664795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,20460512,5000,3,16.0,160064,939478,0.03757912,1.991355299949646,0.3483403000282123,0,0.0,96.0384,132.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,1.0,0.0319567000260576,,0.429647900047712,0.000263899913989,0.0354858000064268,0.4654048000229522,0.9999996834190612,0.7820578563369687,2.8050931999459863,1.3125,0.5148103000828996,35.89327526092529,,,,0.0065535999601706,0.3433331999694928,0.0347790999803692,0.0410817000083625,0.0028440000023692,eigsh,0.0002872999757528,,,,,,,,,,,,,,,,,,,,,
2,6,20460512,5000,3,16.0,160064,939478,0.03757912,1.991355299949646,0.3483403000282123,0,0.0,96.0384,132.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Random sampling,random_sampling,0.0,1.0,1.0,0.0326910999137908,,0.0367356999777257,0.0001430999254807,0.0353698000544682,0.0722550000064075,1.0553186372092476,0.8537738281739737,2.411944199935533,0.9375,0.1217852999689057,41.42465782165527,,,,,,,,,,,0.0246847999515011,eigsh,0.0117615999188274,472239.0,330452.0,0.7,657373.0,,,,,,,,,,,,,,
2,6,20460512,5000,3,16.0,160064,939478,0.03757912,2.2078880000000005,0.4093721660000007,0,0.0,96.0384,132.0,159840.03840000002,31.968007680000003,95.90402304000001,0.2498499699939988,2.304e-05,2.56e-06,sparse,CountSketch random projection,countsketch_random_projection,0.0,1.0,1.0,0.017959084000001013,,0.512405459,0.0001946249999988936,0.04486616699999857,0.5574720000000006,0.9999996469083196,0.7820548375795496,3.1747264169999987,2.434676000000003,0.5850202499999995,36.14959716796875,450.265625,450.9921875,0.7265625,,,,,,,,,,,,,,,0.0004788749999988795,162.0,19.0,48.0,0.0,0.017277332999999118,0.34899433300000027,0.09287229200000269,0.04839933299999899,0.004094874999999831,eigsh,0.00022412500000257296,2320773916.0,0.017277332999999118
2,7,20460513,5000,3,16.0,160532,941932,0.03767728,1.962881299899891,0.3520709000295028,0,0.0,96.3192,132.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Non-random,non_random,0.0,1.0,1.0,0.0334434999385848,eigsh,0.0158739999169483,8.670007809996605e-05,0.0349365998990833,0.0509030999382957,1.0,0.781537591308703,2.365849499823525,0.90625,0.0992452000500634,32.37942028045654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,20460513,5000,3,16.0,160532,941932,0.03767728,1.962881299899891,0.3520709000295028,0,0.0,96.3192,132.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,1.0,0.0334764000726863,,0.4332394999219104,0.0003294000634923,0.048069900018163,0.4816482999594882,0.9999996922305916,0.7815135989865207,2.79659099993296,1.046875,0.5329595999792218,35.921359062194824,,,,0.0068505000090226,0.3479459000518545,0.032726899953559,0.0406313000712543,0.0037538000615313,eigsh,0.0003856999101117,,,,,,,,,,,,,,,,,,,,,
2,7,20460513,5000,3,16.0,160532,941932,0.03767728,1.962881299899891,0.3520709000295028,0,0.0,96.3192,132.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Random sampling,random_sampling,0.0,1.0,1.0,0.0322312999051064,,0.037841000012122,0.000154799898155,0.0360386000247672,0.0740424999967217,1.0565097871098643,0.8540753595507553,2.388986599864438,0.78125,0.1227925000712275,41.56152057647705,,,,,,,,,,,0.025504499906674,eigsh,0.0120406999485567,473466.0,331728.0,0.7,659927.0,,,,,,,,,,,,,,
2,7,20460513,5000,3,16.0,160532,941932,0.03767728,2.214435250000001,0.4122702920000023,0,0.0,96.3192,132.0,159840.03840000002,31.968007680000003,95.90402304000001,0.2498499699939988,2.304e-05,2.56e-06,sparse,CountSketch random projection,countsketch_random_projection,0.0,1.0,1.0,0.018105500000000774,,0.4977161250000002,0.0001789579999993407,0.04698958399999853,0.5448894590000002,0.9999996926327428,0.7815138174298963,3.1715902090000014,2.43253,0.5735717079999993,36.185516357421875,460.85546875,461.1015625,0.24609375,,,,,,,,,,,,,,,0.0004870419999996045,162.0,16.0,53.0,0.0,0.016229958000000266,0.34666245800000084,0.08419016699999915,0.04633454200000031,0.003593458000000993,eigsh,0.00016933399999885523,844184980.0,0.016229958000000266
2,8,20460514,5000,3,16.0,159602,936700,0.037468,1.9713321999879556,0.3454281999729574,0,0.0,95.7612,133.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Non-random,non_random,0.0,1.0,1.0,0.0324266999959945,eigsh,0.0158130000345408,8.87999776750803e-05,0.0368656999198719,0.0527737999800592,1.0,0.7834068315171695,2.3695278998930007,0.828125,0.0999167000409215,32.19979381561279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,20460514,5000,3,16.0,159602,936700,0.037468,1.9713321999879556,0.3454281999729574,0,0.0,95.7612,133.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,1.0,0.0321616000728681,,0.4266769000096246,0.0002448000013828,0.0359882999910041,0.4629186000674963,0.9999996867726304,0.7833870540276107,2.7796703999629244,1.21875,0.5122094999533147,35.861632347106934,,,,0.0065731999929994,0.3402898999629542,0.0345969999907538,0.0415680999867618,0.0026664000470191,eigsh,0.000242399983108,,,,,,,,,,,,,,,,,,,,,
