method,rep,r,ell,k,q,embedding_wall_sec,clustering_wall_sec,total_method_wall_sec,ARI_true,NMI_true,F1_macro_true,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eigh_sec,rp_lift_sec,eigen_decomposition_wall_sec,dataset,alpha,tau_label,tau_value,ds_bucket_build_sec,ds_draw_and_initial_multiply_sec,ds_power_iter_sec,ds_qr_sec,ds_build_core_sec,ds_small_eigh_sec,ds_lift_sec,ds_num_buckets,ds_min_bucket_dim,ds_max_bucket_dim,ds_bucket_summary
Gaussian RP,5,5,23,18,1,0.011639700009254739,0.3703811000013957,0.3820208000106504,0.134998557744483,0.2659135807425024,0.32380544455981686,0.0016785999905550852,0.00330029999895487,0.004386799992062151,0.00152679999882821,0.00012080000306013972,0.0002933000068878755,0.011306599990348332,lastfm-asia,0.5,mean,7.2943336831059815,,,,,,,,,,,
Degree-stratified RP,5,5,23,18,1,0.016366600000765175,0.39109540000208654,0.4074620000028517,0.12463110165950768,0.2662465672831399,0.2824882584901347,,,,,,,0.016052099977969192,lastfm-asia,0.5,mean,7.2943336831059815,0.00046880000445526093,0.003635699991718866,0.006222099997103214,0.0039554999966640025,0.0012812999921152368,0.00015279999934136868,0.0003358999965712428,8.0,2.0,4.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=3;[8,16):n=1265,ell=4;[16,32):n=576,ell=4;[32,64):n=212,ell=3;[64,128):n=46,ell=2;[128,256):n=6,ell=2"
Gaussian RP,6,5,23,18,1,0.011383699995349161,0.47265369999513496,0.4840373999904841,0.12787860098111448,0.26141423318366963,0.2953235321413351,0.0017154000088339671,0.0031795999966561794,0.004737299997941591,0.001025099991238676,0.00013279999257065356,0.0002685000072233379,0.011058699994464405,lastfm-asia,0.5,mean,7.2943336831059815,,,,,,,,,,,
Degree-stratified RP,6,5,23,18,1,0.017477499990491197,0.3845778000104474,0.4020553000009386,0.11545011395636902,0.24836853218449367,0.2840571445955702,,,,,,,0.017189299993333407,lastfm-asia,0.5,mean,7.2943336831059815,0.0005837999924551696,0.004424500002642162,0.0062621000106446445,0.0040237999928649515,0.0014456999924732372,0.00013509999553207308,0.00031430000672116876,8.0,2.0,4.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=3;[8,16):n=1265,ell=4;[16,32):n=576,ell=4;[32,64):n=212,ell=3;[64,128):n=46,ell=2;[128,256):n=6,ell=2"
Gaussian RP,7,5,23,18,1,0.011130699989735149,0.4165899000072386,0.42772059999697376,0.12591405732197813,0.25901541949408796,0.31257191744001944,0.0017006999987643212,0.003918199989129789,0.003876000002492219,0.001031799998600036,9.869999485090375e-05,0.0002629000082379207,0.01088829999207519,lastfm-asia,0.5,mean,7.2943336831059815,,,,,,,,,,,
Degree-stratified RP,7,5,23,18,1,0.016277000002446584,0.35811679999460466,0.37439379999705125,0.1116320130193874,0.25164121175305054,0.27489965526221644,,,,,,,0.015959400014253333,lastfm-asia,0.5,mean,7.2943336831059815,0.0004712000081781298,0.003759400002309121,0.006473300003563054,0.003651999999419786,0.001250800007255748,0.00011739999172277749,0.00023530000180471689,8.0,2.0,4.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=3;[8,16):n=1265,ell=4;[16,32):n=576,ell=4;[32,64):n=212,ell=3;[64,128):n=46,ell=2;[128,256):n=6,ell=2"
Gaussian RP,8,5,23,18,1,0.01222030000644736,0.44827510000322945,0.4604954000096768,0.13449136916884646,0.2673686195232715,0.31336216697109875,0.001673299993854016,0.003809599991654977,0.0038822000060463324,0.0021785999997518957,0.0001429999974789098,0.00027609999233391136,0.011962799981120043,lastfm-asia,0.5,mean,7.2943336831059815,,,,,,,,,,,
Degree-stratified RP,8,5,23,18,1,0.016734100005123764,0.3818062999926042,0.39854039999772795,0.12048579354293595,0.25856517145606484,0.2948452052278645,,,,,,,0.01620970004296396,lastfm-asia,0.5,mean,7.2943336831059815,0.0005050000036135316,0.0036970000073779374,0.0066251000098418444,0.0035826999956043437,0.0013809000083710998,0.00011810001160483807,0.0003009000065503642,8.0,2.0,4.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=3;[8,16):n=1265,ell=4;[16,32):n=576,ell=4;[32,64):n=212,ell=3;[64,128):n=46,ell=2;[128,256):n=6,ell=2"
Gaussian RP,9,5,23,18,1,0.010663900000508875,0.35967669999809004,0.3703405999985989,0.1351840728132254,0.2595462666666808,0.32589039460424485,0.0017215999978361651,0.0034387000050628558,0.0036676000017905608,0.001263199999812059,0.00011819999781437218,0.00021710000874008983,0.010426400011056103,lastfm-asia,0.5,mean,7.2943336831059815,,,,,,,,,,,
Degree-stratified RP,9,5,23,18,1,0.015824700007215142,0.36465280000993516,0.3804775000171503,0.12409624672559934,0.2819712810874436,0.287636763230203,,,,,,,0.015516000014031306,lastfm-asia,0.5,mean,7.2943336831059815,0.0004822000046260655,0.0038149000029079616,0.006198900009621866,0.003636299996287562,0.000993699999526143,0.00012310000602155924,0.0002668999950401485,8.0,2.0,4.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=3;[8,16):n=1265,ell=4;[16,32):n=576,ell=4;[32,64):n=212,ell=3;[64,128):n=46,ell=2;[128,256):n=6,ell=2"
