alpha,tau_label,tau_value,r,metric,diff_mean_ds_minus_gaussian,diff_std,diff_se,n_pairs
0.0,mean,7.2943336831059815,20,total_method_wall_sec,0.013205870005185716,0.022260155697772628,0.007039279307493624,10
0.0,mean,7.2943336831059815,40,ARI_true,-0.011810817540181243,0.012196480585512563,0.003856865808824373,10
0.0,mean,7.2943336831059815,40,NMI_true,-0.01602992635611249,0.00862861029635611,0.0027286061578465784,10
0.0,mean,7.2943336831059815,40,F1_macro_true,-0.010069622579443032,0.02968001119587443,0.00938564363582611,10
0.0,mean,7.2943336831059815,40,total_method_wall_sec,0.023499530005210545,0.009914980827691237,0.0031353922372405786,10
0.25,0,0.0,5,ARI_true,-0.014451543148896392,0.012778919494510972,0.004041049163858224,10
0.25,0,0.0,5,NMI_true,-0.02135010938018374,0.015745569752282175,0.004979186347426488,10
0.25,0,0.0,5,F1_macro_true,-0.0319133153477216,0.022586196544627103,0.007142382476124653,10
0.25,0,0.0,5,total_method_wall_sec,-0.018503019999479876,0.02120491700854193,0.0067055835341836645,10
0.25,0,0.0,10,ARI_true,-0.016693024330871387,0.010379650299089896,0.003282333626117201,10
0.25,0,0.0,10,NMI_true,-0.019290553568969977,0.01593867681571498,0.005040252162697916,10
0.25,0,0.0,10,F1_macro_true,-0.01823223197970878,0.021206175702237866,0.006705981568079229,10
0.25,0,0.0,10,total_method_wall_sec,0.009043540005222894,0.033954598322425145,0.010737386773499575,10
0.25,0,0.0,20,ARI_true,-0.016229436798680396,0.015554635200157523,0.004918807540552684,10
0.25,0,0.0,20,NMI_true,-0.0056048571767968345,0.018852844043826856,0.005961792755043215,10
0.25,0,0.0,20,F1_macro_true,-0.02212439557427478,0.018870234895043393,0.0059672922250725525,10
0.25,0,0.0,20,total_method_wall_sec,0.035743019996152724,0.0744791610943404,0.023552378727671453,10
0.25,0,0.0,40,ARI_true,-0.012462200738772005,0.0275343968667589,0.008707140809796189,10
0.25,0,0.0,40,NMI_true,-0.004429134407943236,0.022008415327813443,0.0069596720126851785,10
0.25,0,0.0,40,F1_macro_true,-0.017342783061700017,0.02492242500516157,0.007881162783104424,10
0.25,0,0.0,40,total_method_wall_sec,0.014489699999103323,0.062478904813676746,0.019757564492407658,10
0.25,mean,7.2943336831059815,5,ARI_true,-0.012778449762573274,0.018462317184105,0.005838297318623802,10
0.25,mean,7.2943336831059815,5,NMI_true,-0.017490241417255102,0.02715755464156362,0.00858797283478187,10
0.25,mean,7.2943336831059815,5,F1_macro_true,-0.012964086147175535,0.027862095686878533,0.008810768275608973,10
0.25,mean,7.2943336831059815,5,total_method_wall_sec,-0.00801738999725785,0.047021832137340513,0.014869608930809946,10
0.25,mean,7.2943336831059815,10,ARI_true,-0.010643869583253543,0.01912070042468327,0.006046496379974794,10
0.25,mean,7.2943336831059815,10,NMI_true,-0.00774909654434614,0.02222992619648,0.007029719899832053,10
0.25,mean,7.2943336831059815,10,F1_macro_true,-0.012019239234843326,0.027778430475238255,0.008784311012638643,10
0.25,mean,7.2943336831059815,10,total_method_wall_sec,0.05419567999924766,0.1607981768982227,0.05084884826010528,10
0.25,mean,7.2943336831059815,20,ARI_true,-0.010952128147652226,0.018748339884235854,0.0059287456381162855,10
0.25,mean,7.2943336831059815,20,NMI_true,-0.005595230293264431,0.01910284193293655,0.006040849029025299,10
0.25,mean,7.2943336831059815,20,F1_macro_true,-0.005765660982787496,0.025622648860488963,0.008102593008586302,10
0.25,mean,7.2943336831059815,20,total_method_wall_sec,0.028411509998841213,0.01930267133734501,0.0061040406351658616,10
0.25,mean,7.2943336831059815,40,ARI_true,-0.019621877155747754,0.018549750142330634,0.005865946047679737,10
0.25,mean,7.2943336831059815,40,NMI_true,-0.015616530688070913,0.018137306536645036,0.005735519927645851,10
0.25,mean,7.2943336831059815,40,F1_macro_true,-0.006584776379586155,0.018496966836455065,0.005849254500779723,10
0.25,mean,7.2943336831059815,40,total_method_wall_sec,0.04949990000168327,0.050535101127492286,0.015980602134981873,10
0.5,0,0.0,5,ARI_true,0.023678615808504284,0.019621786393534697,0.006204953676487064,10
0.5,0,0.0,5,NMI_true,0.05018769716199043,0.021488982329886535,0.0067954128761553234,10
0.5,0,0.0,5,F1_macro_true,0.001121469816675985,0.027168680766946295,0.008591491224556057,10
0.5,0,0.0,5,total_method_wall_sec,-0.051492050003435,0.045260036935014236,0.014312480369799124,10
0.5,0,0.0,10,ARI_true,0.043088192197476324,0.019497893814209914,0.006165775402901124,10
0.5,0,0.0,10,NMI_true,0.07772130972733063,0.01896090559998622,0.005995964819539794,10
0.5,0,0.0,10,F1_macro_true,0.03562445649837247,0.013812080761344167,0.004367763443204012,10
0.5,0,0.0,10,total_method_wall_sec,-0.07782255999773043,0.046667857178048396,0.014757672220207099,10
0.5,0,0.0,20,ARI_true,0.06375374867273877,0.011282719559156341,0.0035679092007864922,10
0.5,0,0.0,20,NMI_true,0.11354109253980516,0.011644116787744387,0.003682193039027566,10
0.5,0,0.0,20,F1_macro_true,0.07211699999795608,0.013130614754636658,0.004152264970286481,10
0.5,0,0.0,20,total_method_wall_sec,-0.037677920002897734,0.039943011016779176,0.012631089141822024,10
0.5,0,0.0,40,ARI_true,0.10106807545779309,0.018335964670632445,0.005798341145557763,10
0.5,0,0.0,40,NMI_true,0.15456480253577504,0.01915961024730072,0.006058800746257221,10
0.5,0,0.0,40,F1_macro_true,0.09249321267217316,0.03177844068781762,0.010049225306207152,10
0.5,0,0.0,40,total_method_wall_sec,-0.05685527000023285,0.05388347627713352,0.017039451328339214,10
0.5,mean,7.2943336831059815,5,ARI_true,-0.011450180275440227,0.006892069796793438,0.002179463835072111,10
0.5,mean,7.2943336831059815,5,NMI_true,-0.0018100070376178168,0.013864095545370395,0.004384211962156474,10
0.5,mean,7.2943336831059815,5,F1_macro_true,-0.02594771211729796,0.022492027495768632,0.007112603608176208,10
0.5,mean,7.2943336831059815,5,total_method_wall_sec,-0.028434289999131578,0.0358284988471418,0.011329966150168505,10
0.5,mean,7.2943336831059815,10,ARI_true,-0.017016880613167064,0.019822095887799714,0.006268297100370453,10
