alpha,tau_label,tau_value,r,method,runs,ell_mean,ell_std,k_mean,k_std,q_mean,q_std,embedding_wall_sec_mean,embedding_wall_sec_std,clustering_wall_sec_mean,clustering_wall_sec_std,total_method_wall_sec_mean,total_method_wall_sec_std,ARI_true_mean,ARI_true_std,NMI_true_mean,NMI_true_std,F1_macro_true_mean,F1_macro_true_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_small_eigh_sec_mean,rp_small_eigh_sec_std,rp_lift_sec_mean,rp_lift_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,ds_bucket_build_sec_mean,ds_bucket_build_sec_std,ds_draw_and_initial_multiply_sec_mean,ds_draw_and_initial_multiply_sec_std,ds_power_iter_sec_mean,ds_power_iter_sec_std,ds_qr_sec_mean,ds_qr_sec_std,ds_build_core_sec_mean,ds_build_core_sec_std,ds_small_eigh_sec_mean,ds_small_eigh_sec_std,ds_lift_sec_mean,ds_lift_sec_std,ds_num_buckets_mean,ds_num_buckets_std,ds_min_bucket_dim_mean,ds_min_bucket_dim_std,ds_max_bucket_dim_mean,ds_max_bucket_dim_std
0.0,mean,7.2943336831059815,10,Degree-stratified RP,10,28.0,0.0,18.0,0.0,1.0,0.0,0.018527759998687544,0.0008410604887777551,0.3109601300020586,0.022232986168003552,0.32948789000074613,0.022576357376474766,0.12586426187365357,0.0114548546830264,0.2864366786281464,0.01356700539793326,0.3013120510140113,0.014850392609137158,,,,,,,,,,,,,0.01823578999610618,0.0008129443833615044,0.0004904200002783909,2.2301110233631263e-05,0.004187970001657959,0.00022235139139133023,0.007187059996067546,0.0003643263847827148,0.004464070001267828,0.00022921870660803307,0.0013495299979695119,0.0002023969987998511,0.0002657399978488684,2.9474365224552772e-05,0.00029100000101607294,9.980848531857689e-05,8.0,0.0,2.0,0.0,5.0,0.0
0.0,mean,7.2943336831059815,10,Gaussian RP,10,28.0,0.0,18.0,0.0,1.0,0.0,0.01218376000324497,0.0007090252648893209,0.3251329699996859,0.026407204366348358,0.33731673000293083,0.026661890624665195,0.12822200053547078,0.012320329587564764,0.28746581391485027,0.014172749351999605,0.3209662502886063,0.02096183274061019,0.0019555399980163203,0.00011199521218598425,0.003413590000127442,0.00047842424463095094,0.004652499998337589,0.0001474344315862275,0.001391589998092968,0.00014747983398006293,0.00025664000277174636,1.9962418971330363e-05,0.0002384100022027269,1.9635426589780055e-05,0.011908269999548794,0.0007040794106436214,,,,,,,,,,,,,,,,,,,,
0.0,mean,7.2943336831059815,20,Degree-stratified RP,10,38.0,0.0,18.0,0.0,1.0,0.0,0.0250279900021269,0.0013591536191900119,0.3037248200038448,0.01686078736221439,0.3287528100059717,0.01733489284025859,0.1454736203343447,0.014165991231945252,0.30501350391851506,0.016560700149511238,0.3165730826378059,0.023888317429955595,,,,,,,,,,,,,0.02463351000478724,0.0013687365103698147,0.0004748800027300604,5.7706552704759353e-05,0.004366639998625033,0.0003658698203652752,0.010348260003956966,0.0005964180423442903,0.006897949999256525,0.0004519129058499274,0.0019370600013644435,0.00013439371953270679,0.00034288000024389474,2.0731448635877582e-05,0.00026583999861031773,2.6261635708101907e-05,8.0,0.0,2.0,0.0,7.0,0.0
0.0,mean,7.2943336831059815,20,Gaussian RP,10,38.0,0.0,18.0,0.0,1.0,0.0,0.017491519999748562,0.0011926308733425728,0.2980554200010374,0.012410561780178473,0.315546940000786,0.013245047920039372,0.1583811373384019,0.014152732166076057,0.3230586464235495,0.017868835989341386,0.3420294751248881,0.012831551188062697,0.0026455999992322176,0.0001925433248485403,0.004596889999811537,0.0006896524603454161,0.0073346399993170055,0.0003733414647995876,0.001890509997610934,0.0002541238103671284,0.00033966999617405234,3.5117201902250645e-05,0.00027155999996466564,3.961420517639341e-05,0.01707886999211041,0.0011882717778704996,,,,,,,,,,,,,,,,,,,,
0.0,mean,7.2943336831059815,40,Degree-stratified RP,10,58.0,0.0,18.0,0.0,1.0,0.0,0.043905510001059155,0.004600170494168347,0.2707480700017186,0.012009807844519993,0.31465358000277777,0.012904478543682853,0.1919225210305363,0.01097856060464748,0.3507572754063091,0.00929532700984485,0.3394245396199495,0.016240095167468563,,,,,,,,,,,,,0.04319282000360545,0.004546107026938649,0.00044848000252386557,8.621941875189223e-05,0.005177809997985605,0.0008062554932008159,0.01947420000069542,0.0027243684664534367,0.013818449998507277,0.0010826483672361342,0.003206510000745766,0.0005865513646823214,0.0006816100009018556,4.1990010518455935e-05,0.00038576000224566087,6.310416864642193e-05,8.0,0.0,4.0,0.0,10.0,0.0
0.0,mean,7.2943336831059815,40,Gaussian RP,10,58.0,0.0,18.0,0.0,1.0,0.0,0.029585750000842383,0.0026014009215982827,0.2615682999967248,0.008644813310349672,0.2911540499975672,0.007747985156873249,0.20373333857071754,0.013229018400286872,0.3667872017624215,0.010900077563569135,0.34949416219939256,0.01855176418127866,0.004069720000552479,0.00024118558411756496,0.006772399999317713,0.0007939058152642679,0.014145579998148606,0.0012670603043484197,0.0028755999956047162,0.0004238314172653768,0.0006628999981330708,5.832763828098146e-05,0.00038352999836206437,8.005274964625704e-05,0.02890972999011865,0.002497373242234148,,,,,,,,,,,,,,,,,,,,
0.25,0,0.0,5,Degree-stratified RP,10,23.0,0.0,18.0,0.0,1.0,0.0,0.0160417300008703,0.0014038849989795646,0.34849028999888104,0.025509042543939618,0.3645320199997514,0.025701124331055085,0.10683116613998704,0.013498108224039,0.2439066070939934,0.018732234460397925,0.27338291172293055,0.020710059762403792,,,,,,,,,,,,,0.01576027999544749,0.0013728038066006035,0.0004564199989545159,8.13642136212228e-05,0.003730750000977423,0.0002749900660402766,0.006173999994643964,0.0006725067541296875,0.0037258600001223384,0.0004038588771609583,0.001289290000568144,0.0001528751979870258,0.00011484000133350491,1.4196961152450968e-05,0.00026911999884760007,4.1198269360543176e-05,8.0,0.0,2.0,0.0,4.0,0.0
0.25,0,0.0,5,Gaussian RP,10,23.0,0.0,18.0,0.0,1.0,0.0,0.01087926000036532,0.001003979427907964,0.3721557799988659,0.018695636651569945,0.3830350399992312,0.01856196501947433,0.12128270928888343,0.009002653182678228,0.26525671647417715,0.01220181403221418,0.3052962270706522,0.019745602507340487,0.0016528899999684655,0.00011059083361022124,0.0032496100015123376,0.0005406283113836515,0.0040496399989933705,0.00037589742436138526,0.0012218400021083652,0.0001672969562572342,0.00011083999852417037,1.9493199703085453e-05,0.0002637900004629046,3.862223068684271e-05,0.010548610001569614,0.0009461499802797758,,,,,,,,,,,,,,,,,,,,
0.25,0,0.0,10,Degree-stratified RP,10,28.0,0.0,18.0,0.0,1.0,0.0,0.018684640002902597,0.0018946847038385014,0.35647307000035655,0.021202189541825938,0.37515771000325915,0.02107566749483849,0.12573632676914662,0.0094170453137626,0.2743228320050504,0.01380934720366543,0.3026299565002438,0.019835574154018806,,,,,,,,,,,,,0.018403760000364856,0.00186528031975572,0.0004685400010203011,6.69399580042547e-05,0.003977999997732695,0.0003943538532744233,0.007222620001994073,0.0009965181834760994,0.004658460001519415,0.000432997274392963,0.0015416300011565909,0.00012175407018729253,0.00025475999718764796,2.1974898028912877e-05,0.00027974999975413086,3.287056021738578e-05,8.0,0.0,2.0,0.0,5.0,0.0
0.25,0,0.0,10,Gaussian RP,10,28.0,0.0,18.0,0.0,1.0,0.0,0.013138259999686852,0.0010442591897185266,0.3529759099983494,0.021495288169539953,0.36611416999803625,0.021484812431097757,0.142429351100018,0.006360355237326665,0.2936133855740204,0.012787282875289343,0.3208621884799526,0.02042012367568093,0.0020474099990678953,5.752408764201042e-05,0.003820729997823946,0.0004755782624526841,0.004940419996273704,0.0004108232025845604,0.0014921099980711005,0.00021608797078992792,0.0002721300013945438,6.125420895250304e-05,0.0002604899986181408,4.394298177767702e-05,0.01283328999124933,0.0010093704514014168,,,,,,,,,,,,,,,,,,,,
