group,r,metric,diff_mean_ds_minus_gaussian,diff_std,diff_se,n_pairs
high_deg_9_plus,0,NMI_true,0.0001562988644610693,0.0003109236711971973,9.832269794444356e-05,10
high_deg_9_plus,0,F1_macro_true,0.00209958056474161,0.007264231820345283,0.002297151800376217,10
high_deg_9_plus,0,total_method_wall_sec,-0.05422357995994389,0.052577607379772434,0.016626499324215848,10
high_deg_9_plus,2,ARI_true,6.0125508806050926e-05,0.0009927731384903142,0.0003139424317463169,10
high_deg_9_plus,2,NMI_true,8.460380200352824e-06,0.00041632640301608563,0.0001316539683596025,10
high_deg_9_plus,2,F1_macro_true,-0.0018441086716647682,0.008588820453330136,0.002716023504676314,10
high_deg_9_plus,2,total_method_wall_sec,-0.015111320011783391,0.04648233355621352,0.014699004499730902,10
high_deg_9_plus,5,ARI_true,0.0006894565593442018,0.0009620609093471892,0.0003042303721349892,10
high_deg_9_plus,5,NMI_true,0.00013958219948968195,0.0004719686018424831,0.0001492495765907389,10
high_deg_9_plus,5,F1_macro_true,0.004323917561738328,0.00717342232577,0.0022684353167735567,10
high_deg_9_plus,5,total_method_wall_sec,-0.017873220006003977,0.044674349254387166,0.014127269662970843,10
high_deg_9_plus,10,ARI_true,-0.0001438199456078219,0.0013760086012081696,0.0004351321259800135,10
high_deg_9_plus,10,NMI_true,9.968783031067423e-05,0.00040011226815952583,0.00012652660871601684,10
high_deg_9_plus,10,F1_macro_true,-0.007521296735945998,0.019251971179411867,0.006088007837485963,10
high_deg_9_plus,10,total_method_wall_sec,-0.009436429990455509,0.039611248110023665,0.012526176498971477,10
high_deg_9_plus,20,ARI_true,0.0004406559055296562,0.0012844826617710932,0.0004061890826192344,10
high_deg_9_plus,20,NMI_true,0.00023626437881076168,0.0005515903632185147,0.0001744281883170071,10
high_deg_9_plus,20,F1_macro_true,0.0023231554622907603,0.008623408633214332,0.002726961247531682,10
high_deg_9_plus,20,total_method_wall_sec,0.026017510006204246,0.07949592354070763,0.02513881830872333,10
high_deg_9_plus,40,ARI_true,0.00027998097184492597,0.0017706731765558083,0.0005599360229681813,10
high_deg_9_plus,40,NMI_true,0.00025382821386094154,0.0005672656412359117,0.00017938514646614138,10
high_deg_9_plus,40,F1_macro_true,-0.0011711058528630857,0.019239407201094266,0.0060840347586903045,10
high_deg_9_plus,40,total_method_wall_sec,0.02893553002504632,0.12819173589520252,0.04053778626396039,10
low_deg_1_2,0,ARI_true,0.00021928562210540538,0.00037499966973113176,0.00011858530781612783,10
low_deg_1_2,0,NMI_true,0.00013830703571463622,0.00017932293760972983,5.670689195590167e-05,10
low_deg_1_2,0,F1_macro_true,0.003054694865343377,0.004334462726100405,0.0013706774647579843,10
low_deg_1_2,0,total_method_wall_sec,-0.05422357995994389,0.052577607379772434,0.016626499324215848,10
low_deg_1_2,2,ARI_true,0.0001914958092656878,0.00042562978225142234,0.00013459595519160045,10
low_deg_1_2,2,NMI_true,0.00012039432418301923,0.0002649618739429679,8.378830147661976e-05,10
low_deg_1_2,2,F1_macro_true,0.003028923496888236,0.006234349580565403,0.001971474440430208,10
low_deg_1_2,2,total_method_wall_sec,-0.015111320011783391,0.04648233355621352,0.014699004499730902,10
low_deg_1_2,5,ARI_true,-0.0002777485063637714,0.001024668783288944,0.00032402872024665417,10
low_deg_1_2,5,NMI_true,-0.00015695007277263253,0.0005726231653975151,0.00018107934436314648,10
low_deg_1_2,5,F1_macro_true,-0.0013359637099197741,0.009393164278643694,0.0029703793556646583,10
low_deg_1_2,5,total_method_wall_sec,-0.017873220006003977,0.044674349254387166,0.014127269662970843,10
low_deg_1_2,10,ARI_true,6.158984181099032e-05,0.00018116464151283804,5.728928986684607e-05,10
low_deg_1_2,10,NMI_true,3.249815916904162e-05,6.490821642713391e-05,2.052578027688998e-05,10
low_deg_1_2,10,F1_macro_true,0.0009519560189151177,0.004054513230656869,0.0012821496612163339,10
low_deg_1_2,10,total_method_wall_sec,-0.009436429990455509,0.039611248110023665,0.012526176498971477,10
low_deg_1_2,20,ARI_true,0.00013069367165161196,0.0002692358331455186,8.513984604728948e-05,10
low_deg_1_2,20,NMI_true,8.564173160820436e-05,0.00014907816523813646,4.7142655155144915e-05,10
low_deg_1_2,20,F1_macro_true,0.0022705791982405243,0.004415387388928674,0.0013962680900998336,10
low_deg_1_2,20,total_method_wall_sec,0.026017510006204246,0.07949592354070763,0.02513881830872333,10
low_deg_1_2,40,ARI_true,-9.934511388276992e-05,0.0005172769708515197,0.00016357734090433307,10
low_deg_1_2,40,NMI_true,-3.192732822561811e-05,0.0003435736289083993,0.00010864752113200118,10
low_deg_1_2,40,F1_macro_true,-0.0002723778726401893,0.007852863446464025,0.002483293464510605,10
low_deg_1_2,40,total_method_wall_sec,0.02893553002504632,0.12819173589520252,0.04053778626396039,10
mid_deg_3_8,0,ARI_true,-9.652150485379815e-05,0.00024875274230304524,7.866252398905417e-05,10
mid_deg_3_8,0,NMI_true,-3.893652472191618e-05,0.0001749337783597792,5.5318917931597637e-05,10
mid_deg_3_8,0,F1_macro_true,-0.0027412419649797126,0.005277692952706642,0.0016689530521572305,10
mid_deg_3_8,0,total_method_wall_sec,-0.05422357995994389,0.052577607379772434,0.016626499324215848,10
mid_deg_3_8,2,ARI_true,-1.2183660957844135e-06,0.0001559264117103994,4.930826083820132e-05,10
mid_deg_3_8,2,NMI_true,-2.2774443131191276e-05,8.014877978703814e-05,2.5345269581030566e-05,10
mid_deg_3_8,2,F1_macro_true,-0.0006726909666902647,0.0038090414775325773,0.0012045246771056025,10
mid_deg_3_8,2,total_method_wall_sec,-0.015111320011783391,0.04648233355621352,0.014699004499730902,10
mid_deg_3_8,5,ARI_true,-2.2178091577909115e-05,0.0005311497999901167,0.00016796431467116488,10
mid_deg_3_8,5,NMI_true,-2.3645013884592672e-05,0.000240458172906717,7.603955083878166e-05,10
mid_deg_3_8,5,F1_macro_true,-0.0013528584505342611,0.008231037540772349,0.0026028826135191673,10
mid_deg_3_8,5,total_method_wall_sec,-0.017873220006003977,0.044674349254387166,0.014127269662970843,10
mid_deg_3_8,10,ARI_true,-0.00010650226927853296,0.000232392869441118,7.348907794160742e-05,10
mid_deg_3_8,10,NMI_true,0.0001181605221627466,0.0002544424844790737,8.046177844659142e-05,10
mid_deg_3_8,10,F1_macro_true,-0.0020728580856038403,0.005878903961357344,0.0018590726663275717,10
mid_deg_3_8,10,total_method_wall_sec,-0.009436429990455509,0.039611248110023665,0.012526176498971477,10
mid_deg_3_8,20,ARI_true,3.910870570968562e-05,0.0002297047395351833,7.263901662669065e-05,10
mid_deg_3_8,20,NMI_true,2.1356649477900575e-05,0.00012277064640938318,3.882348724648237e-05,10
mid_deg_3_8,20,F1_macro_true,0.0005297786719713315,0.004923196948927414,0.0015568515728202287,10
mid_deg_3_8,20,total_method_wall_sec,0.026017510006204246,0.07949592354070763,0.02513881830872333,10
mid_deg_3_8,40,ARI_true,8.459390186146761e-05,0.0003459430511092114,0.00010939679822131471,10
mid_deg_3_8,40,NMI_true,6.147129704813789e-05,0.000127811497927459,4.041754446086607e-05,10
mid_deg_3_8,40,F1_macro_true,-0.0013105701706790929,0.006651874041133152,0.0021035072678529322,10
mid_deg_3_8,40,total_method_wall_sec,0.02893553002504632,0.12819173589520252,0.04053778626396039,10
