model,n,rep,method,error_P,error_Theta,error_B,time_sec
1,400,8,Random Projection,10.383072202847405,0.0,0.009285290771203825,0.014212624999999868
1,400,8,Random Sampling,10.487947355458854,0.007518796992481203,0.012296195861527665,0.025050333000000258
1,400,8,Non-random,12.556223322774139,0.0,0.007902827638888915,0.07197712500000009
1,400,9,Random Projection,8.750487240332562,0.007518796992481203,0.014840857332492186,0.016796708000000216
1,400,9,Random Sampling,10.262289667576256,0.007518796992481203,0.020960048484408578,0.025228832999999895
1,400,9,Non-random,12.531108182189687,0.0,0.011545911411108223,0.0718583749999997
1,400,10,Random Projection,8.662734092669863,0.03753787453708899,0.016650556387559745,0.019507374999999882
1,400,10,Random Sampling,10.711476458055891,0.060038155089215575,0.011155534020524799,0.02821949999999962
1,400,10,Non-random,12.378015725491087,0.007518796992481203,0.009691558018534135,0.07228583300000047
1,400,11,Random Projection,9.48312126166152,0.0,0.00886231287165501,0.01525083299999963
1,400,11,Random Sampling,10.022078559880999,0.0,0.01001175279041916,0.025884792000000267
1,400,11,Non-random,12.71277743431052,0.0,0.00824979219207922,0.06932754199999991
1,400,12,Random Projection,8.89223421291571,0.0,0.006829439243341118,0.015715082999999908
1,400,12,Random Sampling,9.516602473382505,0.0,0.017125545388448904,0.023342500000000044
1,400,12,Non-random,12.629882166563043,0.0,0.0060674203923304915,0.07012366699999983
1,400,13,Random Projection,9.95054715647115,0.0,0.00534156768021421,0.016701333000000318
1,400,13,Random Sampling,10.011846625161267,0.007518796992481203,0.008418833624390443,0.023123624999999315
1,400,13,Non-random,12.477918776462305,0.0,0.004186204026380924,0.06901537500000021
1,400,14,Random Projection,9.203926284409436,0.0,0.00564183017114589,0.01410133300000016
1,400,14,Random Sampling,8.978229540616564,0.0,0.010260921837635606,0.02238404199999966
1,400,14,Non-random,11.868475551212159,0.0,0.005509063019998206,0.0704225420000002
1,400,15,Random Projection,8.452528916046694,0.0,0.008285181817317772,0.0161884170000004
1,400,15,Random Sampling,9.335351767559102,0.0,0.009897350306299318,0.022513458000000597
1,400,15,Non-random,12.641200443414562,0.0,0.007616647420202377,0.07111266699999952
1,400,16,Random Projection,8.583407107050041,0.0,0.0015732060385977853,0.015522125000000386
1,400,16,Random Sampling,10.764775931655048,0.007462686567164179,0.005719251975627115,0.02401404100000004
1,400,16,Non-random,12.296013091067922,0.0,0.0023981623158834536,0.0812744160000003
1,400,17,Random Projection,8.616950425100601,0.0,0.0045955346397724,0.017232750000000685
1,400,17,Random Sampling,9.959427128569343,0.007462686567164179,0.004933165775279635,0.025166707999999538
1,400,17,Non-random,12.527195198795605,0.0,0.00403798158305968,0.0768116249999995
1,400,18,Random Projection,10.187432150677095,0.0,0.0028221520883361384,0.015265291999999597
1,400,18,Random Sampling,10.97417206696554,0.0,0.004275801882721586,0.024108499999999644
1,400,18,Non-random,13.764310986599835,0.0,0.002163693518942744,0.08576491700000055
1,400,19,Random Projection,9.273027995590175,0.0,0.0060479750775775665,0.015937791999999007
1,400,19,Random Sampling,9.284606311010004,0.0,0.006016793557617445,0.021630791999999843
1,400,19,Non-random,11.986407434327623,0.0,0.005698611506116225,0.07148337499999968
1,400,20,Random Projection,8.228801052090665,0.0,0.004853541723226468,0.016084666999999442
1,400,20,Random Sampling,9.01175934332501,0.007518796992481203,0.008330476635266842,0.02273424999999918
1,400,20,Non-random,10.932893055268627,0.0,0.005107509711323177,0.07266462499999982
1,600,1,Random Projection,10.663290621384197,0.0,0.00621765149582465,0.018285792000000356
1,600,1,Random Sampling,13.07785878577127,0.01,0.00834395084017922,0.04395212499999879
1,600,1,Non-random,16.315609885432433,0.0,0.004311705572441427,0.16847887499999992
1,600,2,Random Projection,9.904179433348645,0.0,0.0030658513338465143,0.019692709000000974
1,600,2,Random Sampling,10.842372911885406,0.0,0.0038079113266214493,0.03644779100000051
1,600,2,Non-random,14.636303904008418,0.0,0.0029415457988252736,0.17029579199999922
1,600,3,Random Projection,10.495885494053045,0.0,0.004831339738316925,0.020028583999998517
1,600,3,Random Sampling,12.585878495246533,0.0,0.005951312263053815,0.04207345899999915
1,600,3,Non-random,16.024888551196057,0.0,0.004390384850356921,0.17131175000000098
1,600,4,Random Projection,10.570344386108697,0.0,0.0013293569090394447,0.019900542000000243
1,600,4,Random Sampling,12.303999116916746,0.0,0.004388069502229364,0.03871020899999955
1,600,4,Non-random,15.416118411600209,0.0,0.0012654318162133582,0.16813920899999957
1,600,5,Random Projection,9.924472588004633,0.0,0.0033065490207290216,0.01873554199999994
1,600,5,Random Sampling,11.944342820849796,0.0,0.006641851290334122,0.04083166599999899
