model,n,method,error_P_mean,error_P_std,error_Theta_mean,error_Theta_std,error_B_mean,error_B_std,time_mean,time_std
2,1200,CountSketch,12.84096735237994,0.9605921016265555,0.00025,0.0011180339887498952,0.004753195330727074,0.0024279931083771916,0.03212907494999513,0.0013395502048940816
3,200,Non-random,11.299608933796021,0.14349181238266695,0.11887155133423791,0.044025719317468424,0.06434622768550542,0.021965259524076887,0.035829899949997926,0.0028209354833655513
3,200,Random Projection,10.08585406672696,0.3950294479286293,0.15930574400723654,0.08070832442747086,0.07362432249266038,0.03346987834144673,0.014950572850000298,0.0017070268095636728
3,200,Random Sampling,13.931012267800293,0.6878818007682711,0.6205450022614202,0.15758734156483606,0.18058423467113965,0.03775698081968275,0.024696112399998072,0.0027772991832689946
3,200,CountSketch,10.032005626457273,0.38011686378208576,0.16379466304839438,0.0510315220465925,0.07265408230457873,0.01958882058351291,0.01624876660000183,0.002417855223901656
3,400,Non-random,16.032835101213625,0.1687395854539754,0.010899450117831892,0.008256633255816794,0.011449834071183468,0.004601101752301576,0.08268721454999906,0.0050830948856609125
3,400,Random Projection,12.812130190612814,0.7676571941596948,0.014661654135338344,0.010765278994944626,0.013418980462554613,0.00403608218594289,0.0188491438000014,0.0015267935143092452
3,400,Random Sampling,17.364725908652954,0.7917075570630004,0.1856385366401077,0.0688920013624608,0.07065200108569146,0.026505824516822124,0.03077422710000093,0.002998673286085049
3,400,CountSketch,12.906589455520537,0.5556163980195659,0.014282908764448436,0.010314129172274873,0.012835933717638973,0.005330876749932227,0.01982142500000208,0.0018207752340774488
3,600,Non-random,19.750636937868432,0.16429206640542382,0.00225,0.0041278897374094825,0.006359286216942549,0.002068514505826751,0.17871168114999847,0.0033772066317751654
3,600,Random Projection,14.184973301587812,0.6875041310776704,0.0025,0.00380442955126341,0.006571034086973318,0.001593747089246765,0.021486216700003523,0.0013513594968914936
3,600,Random Sampling,20.33924314140438,0.7855581587809652,0.054000000000000006,0.019166857359844667,0.025434633409427438,0.010311016422280264,0.05207445425000259,0.0021519531959012543
3,600,CountSketch,14.525447892298057,0.803398373186046,0.00275,0.0041278897374094825,0.006810650633531659,0.0020982105784145707,0.022654991650001934,0.0012734211134522906
3,800,Non-random,22.870121681723703,0.10924754854662368,0.00018726591760299626,0.0008374786432583483,0.004415720057784889,0.0010976575327206314,0.2650084167000045,0.006508528321219393
3,800,Random Projection,15.389263826586838,0.7576967223501436,0.0,0.0,0.004683230843782793,0.0011018038264393566,0.02595001665000183,0.0023597550321264593
3,800,Random Sampling,22.354307765098376,0.4513115158355552,0.0183555799611388,0.009004928808399097,0.011091160364103729,0.0036812693227934053,0.061993389550002574,0.0062189597237064815
3,800,CountSketch,15.351253407532587,0.9553355551448783,0.00018726591760299626,0.0008374786432583483,0.00465660384518764,0.0010868775048098345,0.02690423335000105,0.0019554899811679077
3,1000,Non-random,25.531008230054276,0.1660798336790725,0.0003003003003003003,0.000924304821698337,0.0033455113649863144,0.0006784440402582947,0.33895723334999844,0.010539962936405484
3,1000,Random Projection,16.477337696670816,1.2973937944069172,0.0003003003003003003,0.000924304821698337,0.0035009052200220296,0.0006844399092050931,0.02744566875000771,0.0020657630399499465
3,1000,Random Sampling,24.6202727915744,0.8322430638774814,0.00854956753160346,0.0058622961089232015,0.005992239459343522,0.0024679569592247134,0.06393302494999915,0.00411058795964641
3,1000,CountSketch,16.11859392818182,0.7399146410855728,0.0,0.0,0.0035173557505092682,0.000684832797117467,0.029462839599997893,0.002754289290720595
3,1200,Non-random,27.96642159229067,0.1802500054138875,0.0,0.0,0.002843889336617278,0.0007270287507651469,0.4817354041500025,0.02536759101442826
3,1200,Random Projection,17.119543338653305,0.7404110941895276,0.0,0.0,0.0029276067592961972,0.0007143084530545409,0.02931223545000137,0.0018402910968164355
3,1200,Random Sampling,26.652743602782373,0.8447012165919806,0.004625,0.003272191443376329,0.00469440176742462,0.0013990114721659547,0.07117854784999622,0.003596950119666394
3,1200,CountSketch,17.0533922560548,0.7644359984509753,0.0,0.0,0.002923794026301524,0.00071270205387466,0.031237752100000193,0.001187415842461063
