model,n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,cs_draw_hash_sec,cs_initial_multiply_sec,cs_sparse_explicit_sketch_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_reconstruct_sec,cs_small_eig_sec,cs_lift_sec,cs_kmeans_sec,sign_draw_omega_sec,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
2,1000,20,SIGN Bidirectional,0.034369916999992256,0.011492416999999477,0.16709374999999227,,,,,,,,,0.034369916999992256,0.03436087699998325,9.040000009008509e-06,0.212956083999984,,,,,,,,,,,,,,,,,,,,0.00016833399999427456,0.00964191700001038,0.00377037499998778,0.0010464590000083263,0.0002930420000097911,1.837499999624015e-05,0.019422374999976455
2,1200,1,Random Projection,0.029781249999984993,0.018336333999997123,0.24520262499999035,0.000195916000023999,0.003693249999997761,0.002435167000015781,0.001392624999994041,0.0013748329999998532,0.000398208999996541,3.6582999996426224e-05,0.020243832999994993,0.029781249999984993,0.029770416000019395,1.0833999965598196e-05,0.29332020899997246,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1200,1,Random Sampling,0.07723645799998735,0.018336333999997123,0.2614140839999948,,,,,,,,,0.07723645799998735,0.07723016699998198,6.2910000053761905e-06,0.35698687599997925,0.005669541999992589,0.009251582999979746,0.030860791999998582,0.0010701250000124674,0.0024733749999938937,0.027904750000004697,,,,,,,,,,,,,,,,,,,,
2,1200,1,Non-random,0.472907709000026,0.018336333999997123,0.23860079199999973,,,,,,,,,0.472907709000026,0.47290424999999914,3.4590000268508447e-06,0.7298448350000228,,,,,,,0.4503900839999915,0.02211495800000307,0.00039920800000459167,,,,,,,,,,,,,,,,,
2,1200,1,CountSketch,0.029107291999991958,0.018336333999997123,0.22675966700001027,,,,,,,,,0.029107291999991958,0.031606165999932045,0.0,0.27420329299999935,,,,,,,,,,0.00012237499998946078,0.0025449160000050597,0.0025449160000050597,0.0029565839999747823,0.001450124999990976,0.0007893330000001697,0.0008859579999977996,0.00011225000000081309,1.9916999974611826e-05,0.020179791999993313,,,,,,,
2,1200,1,SIGN Bidirectional,0.035268041999984234,0.018336333999997123,0.22789320800001178,,,,,,,,,0.035268041999984234,0.035257708000017374,1.0333999966860574e-05,0.28149758399999314,,,,,,,,,,,,,,,,,,,,0.00019845799999984592,0.009247167000012269,0.004636833000006391,0.0009850419999963833,0.00012454200000888704,2.2040999994032973e-05,0.020043624999999565
2,1200,2,Random Projection,0.027077082999994673,0.017953124999991132,0.2260050409999792,0.00019508400001200243,0.0034598329999937505,0.0016340829999990092,0.00085658300000091,0.0009284590000220305,0.0002843329999961952,2.033399999845642e-05,0.0196885830000042,0.027077082999994673,0.027067292000026555,9.79099996811783e-06,0.271035248999965,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1200,2,Random Sampling,0.07336166700000035,0.017953124999991132,0.2565980830000001,,,,,,,,,0.07336166700000035,0.07335375100001329,7.915999987062605e-06,0.3479128749999916,0.005632958999996163,0.009423209000004817,0.030290540999999394,0.0008990830000072947,0.0024998750000122527,0.02460808399999337,,,,,,,,,,,,,,,,,,,,
2,1200,2,Non-random,0.46330508300002293,0.017953124999991132,0.24907808300000056,,,,,,,,,0.46330508300002293,0.46330004099999655,5.042000026378446e-06,0.7303362910000146,,,,,,,0.4425080000000037,0.020058540999997376,0.0007334999999955016,,,,,,,,,,,,,,,,,
2,1200,2,CountSketch,0.029894084000005705,0.017953124999991132,0.23270566599998688,,,,,,,,,0.029894084000005705,0.03235354099999199,0.0,0.2805528749999837,,,,,,,,,,8.391599999413302e-05,0.002494374999997717,0.002494374999997717,0.0032269590000169046,0.0018593329999987418,0.0008267909999801759,0.0008810420000031627,0.00012708400001315567,2.079099999718892e-05,0.020338874999993095,,,,,,,
