experiment,density_level,rep,seed,n,K,m,rho_n,a_in,b_out,signal_gap,p_in,p_out,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,sampling_mode,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,method_wall_sec,algorithm_total_wall_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_lift_sec,rs_sample_matrix_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec
density_background_fixed_gap,1,3,2026150707,6000,6,3,16.0,36.0,4.0,32.0,1.6e-05,1.7777777777777777e-06,77923,470202,0.013061166666666667,0.4697260420070961,0.08675341692287475,sparse,0,0.0,38.9615,64.0,78147.58755555555,13.024597925925926,39.07379377777777,0.02770835263696556,CountSketch RP,countsketch_random_projection,0.8118333333333333,0.00153838946504456,0.0033184371787920094,0.0035687919007614255,0.023743500001728535,0.001140124979428947,0.42026641592383385,0.4451517079723999,0.8228023790137963,0.4188650787625532,0.45173745800275356,1.0016294998349622,,,,,,,,,,,0.00038774998392909765,36.0,140.0,195.0,0.0,0.0040275410283356905,0.008247749996371567,0.005827125045470893,0.003906458034180105,0.00040545803494751453,0.00038120802491903305
density_background_fixed_gap,1,4,2026150708,6000,6,3,16.0,36.0,4.0,32.0,1.6e-05,1.7777777777777777e-06,78200,471762,0.0131045,0.5139495000476018,0.09066441701725125,sparse,0,0.0,39.1,63.0,78147.58755555555,13.024597925925926,39.07379377777777,0.02770835263696556,Non-random eigsh,non_random,0.1226666666666667,0.7274128772053405,0.6835377199721518,0.0030664580408483744,0.028649791958741844,9.470898658037186e-05,0.07318374991882592,0.10192962503060699,0.9999999999999997,0.5036968859299642,0.10574933292809874,0.7065421679290012,,,,,,,,,,,,,,,,,,,,,
density_background_fixed_gap,1,4,2026150708,6000,6,3,16.0,36.0,4.0,32.0,1.6e-05,1.7777777777777777e-06,78200,471762,0.0131045,0.5139495000476018,0.09066441701725125,sparse,0,0.0,39.1,63.0,78147.58755555555,13.024597925925926,39.07379377777777,0.02770835263696556,Gaussian RP,gaussian_random_projection,0.8031666666666667,0.0033806387639984414,0.005887588112288899,0.0037692090263590217,0.08208941691555083,0.0003326250007376075,0.48941583395935595,0.5718394169816747,0.8120432632886662,0.41792868441143033,0.5750979580916464,1.1764517929404974,0.001312042004428804,0.013471500016748905,0.052439124905504286,0.009763000067323446,0.001524292048998177,0.0028536670142784715,,,,,,,,,,,,,,,
density_background_fixed_gap,1,4,2026150708,6000,6,3,16.0,36.0,4.0,32.0,1.6e-05,1.7777777777777777e-06,78200,471762,0.0131045,0.5139495000476018,0.09066441701725125,sparse,0,0.0,39.1,63.0,78147.58755555555,13.024597925925926,39.07379377777777,0.02770835263696556,Random sampling,random_sampling,0.8083333333333333,0.0020491840835341973,0.004376244976678758,0.004063874948769808,0.060422042035497725,0.0001488340785726905,0.3157057909993455,0.37627883395180106,1.4355930679461668,1.278002037201811,0.3797947500133887,0.9808905841782689,,,,,,,0.008525082957930863,238881.0,71446.0,0.3,,,,,,,,,,,
density_background_fixed_gap,1,4,2026150708,6000,6,3,16.0,36.0,4.0,32.0,1.6e-05,1.7777777777777777e-06,78200,471762,0.0131045,0.5139495000476018,0.09066441701725125,sparse,0,0.0,39.1,63.0,78147.58755555555,13.024597925925926,39.07379377777777,0.02770835263696556,CountSketch RP,countsketch_random_projection,0.8165,0.0005752254599973694,0.002057670465006642,0.002981250057928264,0.023777915979735553,0.00036991690285503864,0.38105804205406457,0.4052067919401452,0.8140271109695123,0.41865741238674925,0.4083320419304073,1.0098197920015082,,,,,,,,,,,0.00019737507682293653,36.0,143.0,190.0,0.0,0.004206459037959576,0.006816249922849238,0.005029291030950844,0.006810707971453667,0.0004607909359037876,8.112494833767414e-05
density_background_fixed_gap,1,5,2026150709,6000,6,3,16.0,36.0,4.0,32.0,1.6e-05,1.7777777777777777e-06,78246,471952,0.013109777777777777,0.5186184579506516,0.08949241600930691,sparse,0,0.0,39.123,70.0,78147.58755555555,13.024597925925926,39.07379377777777,0.02770835263696556,Non-random eigsh,non_random,0.1276666666666667,0.7170711880655155,0.6740135374964991,0.00408508291002363,0.027286292053759098,7.499998901039362e-05,0.06674258399289101,0.09410504100378603,0.9999999999999994,0.503036939734545,0.0979434170294553,0.7022147499956191,,,,,,,,,,,,,,,,,,,,,
density_background_fixed_gap,1,5,2026150709,6000,6,3,16.0,36.0,4.0,32.0,1.6e-05,1.7777777777777777e-06,78246,471952,0.013109777777777777,0.5186184579506516,0.08949241600930691,sparse,0,0.0,39.123,70.0,78147.58755555555,13.024597925925926,39.07379377777777,0.02770835263696556,Gaussian RP,gaussian_random_projection,0.806,0.0036738182983084796,0.0065526893339856096,0.003345542005263269,0.04210366599727422,0.00024333398323506117,0.4591902090469375,0.5015385840088129,0.8168691894903485,0.41869275727353794,0.5074894579593092,1.1096480829874054,0.0008644999470561743,0.01632554200477898,0.012179041048511863,0.008605667040683329,0.0017450409941375256,0.00013499998021870852,,,,,,,,,,,,,,,
density_background_fixed_gap,1,5,2026150709,6000,6,3,16.0,36.0,4.0,32.0,1.6e-05,1.7777777777777777e-06,78246,471952,0.013109777777777777,0.5186184579506516,0.08949241600930691,sparse,0,0.0,39.123,70.0,78147.58755555555,13.024597925925926,39.07379377777777,0.02770835263696556,Random sampling,random_sampling,0.8113333333333334,0.00135564274087092,0.0032102100692645765,0.0035470000002533197,0.057471083011478186,7.37080117687583e-05,0.27306145790498704,0.3306081660557538,1.430217237018574,1.2756275087714293,0.33389570901636034,0.9387171228881925,,,,,,,0.007848417037166655,238976.0,71614.0,0.3,,,,,,,,,,,
density_background_fixed_gap,1,5,2026150709,6000,6,3,16.0,36.0,4.0,32.0,1.6e-05,1.7777777777777777e-06,78246,471952,0.013109777777777777,0.5186184579506516,0.08949241600930691,sparse,0,0.0,39.123,70.0,78147.58755555555,13.024597925925926,39.07379377777777,0.02770835263696556,CountSketch RP,countsketch_random_projection,0.7976666666666666,0.004153675115962998,0.006955453283457595,0.003327250014990568,0.03476208297070116,0.0018353329505771399,0.4147728339303285,0.45137254195287824,0.8185638343173515,0.41897107481365803,0.45521337504033,1.0594811238115653,,,,,,,,,,,0.00022079097107052803,36.0,142.0,187.0,0.0,0.005099250003695488,0.007434875005856156,0.01224399998318404,0.007148165954276919,0.002093832939863205,0.00016991596203297377
density_background_fixed_gap,2,1,2026250705,6000,6,3,24.0,36.0,4.0,32.0,2.4e-05,2.666666666666667e-06,117465,702826,0.019522944444444443,0.7334510830696672,0.12252658302895725,sparse,0,0.0,58.7325,88.0,117221.38133333334,19.53689688888889,58.61069066666667,0.02770835263696556,Non-random eigsh,non_random,0.03483333333333338,0.9181329104505336,0.8861960217809834,0.006501832976937294,0.03809275000821799,7.475004531443119e-05,0.07306204095948488,0.11123095906805247,1.0,0.4861524695838946,0.11703954101540148,0.9672072071116418,,,,,,,,,,,,,,,,,,,,,
