K,method,rep,seed,n,m,rho_n,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_theta_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,rs_sample_matrix_wall_sec,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
3,Random sampling,1,20560428,5000,3,4.0,25009,0.0482,0.8605651345324455,0.7938854694548441,0.7967120830435306,0.05253820796497166,0.10691349999979138,0.021856750012375414,0,0.0,15.0054,32.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.003874707967042923,0.007342625060118735,79714,55932,0.7,108325,0.011227625072933733,5.7333032600581646e-05,0.09562395804096013,1.0689976214092767,0.8053161268416655,0.9561592071549967,5.76e-06,6.4e-07,sparse,3.524207000000004,1.1874748340342194,14.704951286315918,344.46875,344.609375,0.140625
3,Random sampling,2,20560429,5000,3,4.0,25084,0.0516,0.85117246993581,0.7828303477532127,0.8200502500403672,0.05314695893321186,0.11166104197036475,0.020460041938349605,0,0.0,15.0504,31.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.004263375070877373,0.007063457975164056,79919,56142,0.7,108765,0.01136404206044972,0.00017737492453306913,0.10011458396911621,1.0655496222903786,0.7990883670862947,0.9848532099276781,5.76e-06,6.4e-07,sparse,3.4512849999999986,1.23523250001017,14.750519752502441,344.609375,344.6875,0.078125
3,Random sampling,3,20560430,5000,3,4.0,25084,0.0554,0.8406644894639809,0.770439126411896,0.7895511660026386,0.05296866688877344,0.09496841696090996,0.01729541691020131,0,0.0,15.0504,33.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.003665416967123747,0.0072260829620063305,79923,56012,0.7,108608,0.010924292029812932,6.324995774775743e-05,0.08397712500300258,1.0604242152615502,0.7880538610936141,0.9374844998819754,5.76e-06,6.4e-07,sparse,3.4041949999999943,1.1958742500282824,14.73967456817627,344.6875,344.828125,0.140625
3,Random sampling,4,20560431,5000,3,4.0,25145,0.0562,0.8385173288305283,0.768440252614319,0.7966304169967771,0.05422233301214874,0.13151229196228087,0.021077707991935313,0,0.0,15.087,30.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.004081375082023442,0.007164167007431388,80118,56035,0.7,108579,0.01125741598661989,0.00016229203902184963,0.12008891708683223,1.06209894044463,0.7883058530528014,0.9823613751213998,5.76e-06,6.4e-07,sparse,3.697043999999998,1.2083786249859259,14.767324447631836,344.828125,344.828125,0.0
3,Random sampling,5,20560432,5000,3,4.0,25070,0.0568,0.8367883090775816,0.7658364088210913,0.7874722919659689,0.05795266595669091,0.09953600005246699,0.02178554201964289,0,0.0,15.042,31.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.004833791987039149,0.008340458036400378,79874,55945,0.7,108389,0.013216916006058455,6.945803761482239e-05,0.08624600002076477,1.0648747460690866,0.7929327390168817,0.9449573319870979,5.76e-06,6.4e-07,sparse,3.162550000000003,1.1805810000514612,14.728652000427246,344.828125,345.265625,0.4375
3,Random sampling,6,20560433,5000,3,4.0,25039,0.06,0.8280214177365806,0.7560110267860363,0.7953661660430953,0.06162754201795906,0.09607170894742012,0.017261208035051823,0,0.0,15.0234,28.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.0039383749244734645,0.00834762491285801,79773,55831,0.7,108183,0.012372042052447796,0.0001324999611824751,0.08356212498620152,1.0635413979706698,0.79223057486083,0.9530603750608861,5.76e-06,6.4e-07,sparse,3.3466899999999953,1.1892942079575732,14.706124305725098,345.265625,345.390625,0.125
3,Random sampling,7,20560434,5000,3,4.0,25016,0.0556,0.8401249275901838,0.7699012762963736,0.803268332965672,0.058024791069328785,0.09995733306277543,0.017071708105504513,0,0.0,15.0096,33.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.004728083964437246,0.0075532079208642244,79719,55719,0.7,107953,0.012294042040593922,0.0002858750522136688,0.08736937504727393,1.0634695178825222,0.794564941963212,0.9612424161750823,5.76e-06,6.4e-07,sparse,3.4426149999999964,1.2021232089027762,14.688968658447266,345.390625,345.515625,0.125
3,Random sampling,8,20560435,5000,3,4.0,24975,0.0488,0.8589133020500576,0.7925392232394133,0.7960307500325143,0.05248995905276388,0.13461637496948242,0.018983959103934467,0,0.0,14.985,32.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.0037920420290902257,0.007161083049140871,79611,55812,0.7,108125,0.010963874985463917,0.00010770803783088923,0.12354137504007667,1.0654747943516187,0.7962365591891633,0.9831336671486497,5.76e-06,6.4e-07,sparse,3.7663940000000053,1.2165612920653075,14.68523120880127,345.515625,345.640625,0.125
3,Random sampling,9,20560436,5000,3,4.0,25177,0.0578,0.83406751929048,0.7626446454465923,0.8450360409915447,0.057265125098638237,0.1498115829890594,0.03095262497663498,0,0.0,15.1062,30.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.004073917050845921,0.02692766604013741,80214,56470,0.7,109417,0.03108679095748812,0.00015216704923659563,0.11856583296321332,1.0683918193381277,0.7937787742038431,1.052105957060121,5.76e-06,6.4e-07,sparse,3.399804000000003,1.3151465840637684,14.812546730041504,345.640625,347.625,1.984375
3,Random sampling,10,20560437,5000,3,4.0,25185,0.046,0.8667538647372943,0.8017802656938627,0.8791939999209717,0.05549558298662305,0.08489716704934835,0.01752558397129178,0,0.0,15.111,32.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.0039797499775886536,0.007668499951250851,80220,56324,0.7,109100,0.011713625048287213,7.037492468953133e-05,0.07310945901554078,1.0680100666405843,0.7999836496974875,1.0195830418961123,5.76e-06,6.4e-07,sparse,3.404297999999997,1.2520984160946682,14.803014755249023,347.625,347.640625,0.015625
4,Random sampling,1,20660428,5000,3,4.0,20173,0.325,0.3215399362068657,0.28976327915894806,0.6675158750731498,0.04278674989473075,0.23412008304148912,0.01978283398784697,0,0.0,12.1038,26.0,19976.0096,3.9952019200000004,11.98560576,0.0623875075135075,0.0030529999639838934,0.017010374926030636,65306,45737,0.7,87965,0.020073375082574785,8.837506175041199e-05,0.21395479200873524,1.0675721862902203,0.7778111529637632,0.944419167120941,5.76e-06,6.4e-07,sparse,4.212469999999996,1.1208700840361416,12.059188842773438,347.640625,347.671875,0.03125
4,Random sampling,2,20660429,5000,3,4.0,20245,0.3672,0.26159585716821504,0.2383442353465373,0.6757270829984918,0.0428675829898566,0.32977041602134705,0.015979083022102714,0,0.0,12.147,28.0,19976.0096,3.9952019200000004,11.98560576,0.0623875075135075,0.003203333937563002,0.018783290986903012,65495,45803,0.7,88067,0.02199675003066659,6.620900239795446e-05,0.3077041250653565,1.0682800007534872,0.7753615011161546,1.0483617500867695,5.76e-06,6.4e-07,sparse,4.889150000000001,1.2122824999969453,12.089632034301758,347.671875,347.828125,0.15625
4,Random sampling,3,20660430,5000,3,4.0,20008,0.362,0.2738376792214458,0.25066232769283625,0.6437940830364823,0.042453667032532394,0.2981817920226604,0.015096207964234054,0,0.0,12.0048,28.0,19976.0096,3.9952019200000004,11.98560576,0.0623875075135075,0.003346458077430725,0.020183917018584907,64811,45300,0.7,87098,0.02354170905891806,6.78749056532979e-05,0.27456874994095415,1.0669967817139985,0.7751902752630817,0.9844260839745402,5.76e-06,6.4e-07,sparse,4.601072000000002,1.1489829580532387,11.960382461547852,347.828125,347.828125,0.0
4,Random sampling,4,20660431,5000,3,4.0,19884,0.3776,0.24885295861974224,0.22778587146223483,0.6309698750264943,0.042377457953989506,0.23525400005746633,0.02215083292685449,0,0.0,11.9304,29.0,19976.0096,3.9952019200000004,11.98560576,0.0623875075135075,0.0033067079493775964,0.02096191607415676,64474,45102,0.7,86736,0.024281457997858524,7.225002627819777e-05,0.21089670795481652,1.0652525441502385,0.7791272563276816,0.908597748959437,5.76e-06,6.4e-07,sparse,4.012540999999999,1.0877957090269774,11.898077964782715,347.828125,347.828125,0.0
4,Random sampling,5,20660432,5000,3,4.0,20076,0.355,0.2805328371983583,0.254856375501882,0.6435547079890966,0.04291195794939995,0.22409349994268268,0.02328741701785475,0,0.0,12.0456,25.0,19976.0096,3.9952019200000004,11.98560576,0.0623875075135075,0.0033249580301344395,0.020320790936239064,65040,45540,0.7,87624,0.023656542063690722,0.0001124159898608923,0.20032099995296448,1.0635064034463424,0.775193105764343,0.9105566239450127,5.76e-06,6.4e-07,sparse,3.9218680000000035,1.1075047090416774,12.008016586303711,347.828125,347.84375,0.015625
