step,method,count,mean_sec,median_sec,min_sec,max_sec,sum_sec
rp_eigendecomp_total,Random Projection,20,0.23045660194329684,0.22388583401334472,0.2136795000405982,0.26985121102188714,4.609132038865937
rp_power_matmul_1,Random Projection,20,0.023746210447279738,0.022603791498113424,0.021059124992461875,0.03389954098383896,0.47492420894559473
rp_power_matmul_2,Random Projection,20,0.023655831247742752,0.022904229001142085,0.02149033299065195,0.027192791982088238,0.47311662495485507
rp_power_matmul_3,Random Projection,20,0.023634975000459236,0.022856395997223444,0.021398749988293275,0.027895084000192583,0.4726995000091847
rp_power_matmul_4,Random Projection,20,0.024104397901101037,0.022865333507070318,0.021262583002680913,0.03342883399454877,0.48208795802202076
rp_power_matmul_5,Random Projection,20,0.023126908400445245,0.022671312995953485,0.021191416977671906,0.027851125021697953,0.4625381680089049
rp_power_matmul_total,Random Projection,20,0.11826832299702801,0.11384929249470588,0.10849300099653192,0.1403816679958254,2.36536645994056
rp_qr,Random Projection,20,0.06716807694756426,0.0652909579948755,0.062398499983828515,0.08717595899361186,1.3433615389512852
rp_small_eigh,Random Projection,20,0.00011991045030299575,5.416700150817633e-05,4.9084017518907785e-05,0.001296834001550451,0.002398209006059915
rp_sort_eigpairs,Random Projection,20,1.5339649689849465e-05,1.4020508388057351e-05,1.1833006283268332e-05,2.8167007258161902e-05,0.0003067929937969893
rp_symmetrize_small,Random Projection,20,1.6772800881881268e-05,1.4374483725987375e-05,9.334005881100893e-06,5.2499992307275534e-05,0.00033545601763762534
rp_test_matrix,Random Projection,20,0.01690421045059338,0.016276958500384353,0.01590270802262239,0.02615733299171552,0.33808420901186764
rs_eig_eigendecomp_total,Random Sampling,20,0.13651441659603733,0.1363580824690871,0.13208229100564495,0.1421226249949541,2.7302883319207467
rs_eig_eigsh_solver,Random Sampling,20,0.1360115709481761,0.13580354148871265,0.13151720800669864,0.1416571669979021,2.7202314189635217
rs_eig_sort_eigpairs,Random Sampling,20,0.0005028456478612497,0.0005031455075368285,0.0004328749782871455,0.0005779159837402403,0.010056912957224995
rs_sampling_build_sparse,Random Sampling,20,0.018480735350749455,0.018388624506769702,0.017770917009329423,0.020157082995865494,0.3696147070149891
rs_sampling_finalize_sparse,Random Sampling,20,0.0308420915986062,0.030888624998624437,0.029497332987375557,0.03278483299072832,0.616841831972124
rs_sampling_mask,Random Sampling,20,0.003733679150172975,0.0037341044953791425,0.0034514169965405017,0.003990040975622833,0.0746735830034595
rs_sampling_select_edges,Random Sampling,20,0.006096479149709922,0.006117791490396485,0.005704749986762181,0.006433167000068352,0.12192958299419843
rs_sampling_stack_symmetry,Random Sampling,20,0.0018108625008608215,0.001796624987036921,0.0016184580163098872,0.0020725830108858645,0.03621725001721643
rs_sampling_total,Random Sampling,20,0.06116587900760351,0.060687957535265014,0.05897299898788333,0.06431708199670538,1.2233175801520701
rs_sampling_weights,Random Sampling,20,0.00020203125750413166,0.00020431249868124723,7.133299368433654e-05,0.0002527920005377382,0.004040625150082633
run_experiment_total,,1,44.81243004198768,44.81243004198768,44.81243004198768,44.81243004198768,44.81243004198768
sampling,Random Sampling,20,0.06252692704729271,0.06196377049491275,0.06064866701490246,0.06620466598542407,1.250538540945854
save_outputs,,1,0.004621375002898276,0.004621375002898276,0.004621375002898276,0.004621375002898276,0.004621375002898276
