rep,step,method,sec,note
8,rs_eig_sort_eigpairs,Random Sampling,0.0004759160219691694,
8,rs_eig_eigendecomp_total,Random Sampling,0.13709424901753664,
8,kmeans,Random Sampling,0.6423315840074793,
8,method_total,Random Sampling,0.8404364180169068,
8,eigendecomp,Non-random,0.16988329202285968,
8,nr_eig_eigsh_solver,Non-random,0.16934191700420342,
8,nr_eig_sort_eigpairs,Non-random,0.0004971250018570572,
8,nr_eig_eigendecomp_total,Non-random,0.16983904200606048,
8,kmeans,Non-random,0.6532335420197342,
8,method_total,Non-random,0.8231168340425938,
8,pairwise_ari,,0.03380254199146293,
9,eigendecomp,Random Projection,0.2200609580031596,
9,rp_test_matrix,Random Projection,0.016184833977604285,
9,rp_power_matmul_1,Random Projection,0.02273574998253025,
9,rp_power_matmul_2,Random Projection,0.022786707995692268,
9,rp_power_matmul_3,Random Projection,0.022861167002702132,
9,rp_power_matmul_4,Random Projection,0.02210475000902079,
9,rp_power_matmul_5,Random Projection,0.022027291997801512,
9,rp_power_matmul_total,Random Projection,0.11251566698774695,
9,rp_qr,Random Projection,0.06298379201325588,
9,rp_A_times_Q,Random Projection,0.022285666986135766,
9,rp_Qt_times_AQ,Random Projection,0.0014132499927654862,
9,rp_symmetrize_small,Random Projection,1.1708005331456661e-05,
9,rp_small_eigh,Random Projection,5.14579878654331e-05,
9,rp_sort_eigpairs,Random Projection,1.5666999388486147e-05,
9,rp_back_projection,Random Projection,0.002744249999523163,
9,rp_eigendecomp_total,Random Projection,0.2182062929496169,
9,kmeans,Random Projection,0.3644847910036333,
9,method_total,Random Projection,0.5845457490067929,
9,sampling,Random Sampling,0.06373362499289215,
9,rs_sampling_mask,Random Sampling,0.003661124996142462,
9,rs_sampling_select_edges,Random Sampling,0.006247124983929098,
9,rs_sampling_weights,Random Sampling,0.00021491700317710638,
9,rs_sampling_stack_symmetry,Random Sampling,0.0018019169801846147,
9,rs_sampling_build_sparse,Random Sampling,0.018243541999254376,
9,rs_sampling_finalize_sparse,Random Sampling,0.032015625009080395,
9,rs_sampling_total,Random Sampling,0.06218425097176805,
9,eigendecomp,Random Sampling,0.1344870000029914,
9,rs_eig_eigsh_solver,Random Sampling,0.13397045899182558,
9,rs_eig_sort_eigpairs,Random Sampling,0.00046816698159091175,
9,rs_eig_eigendecomp_total,Random Sampling,0.1344386259734165,
9,kmeans,Random Sampling,0.6003587080049329,
9,method_total,Random Sampling,0.7985793330008164,
9,eigendecomp,Non-random,0.13980579099734314,
9,nr_eig_eigsh_solver,Non-random,0.13887591700768098,
9,nr_eig_sort_eigpairs,Non-random,0.000839374988572672,
9,nr_eig_eigendecomp_total,Non-random,0.13971529199625365,
9,kmeans,Non-random,0.6176842910062987,
