rho_n,method,rep,seed,n,K,m,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,hypergraph_laplacian_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_core_eigensolver,rp_lift_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
0.5,Gaussian random projection,6,70260433,5000,3,3,3157,0.6542,0.00018079738389003915,0.000488532433409959,0.0960451249993639,0.010192415997153148,0.49381983300554566,0.013606541993794963,754,0.1508,1.8942,9.0,3144.4830368000003,0.6288966073600001,1.8866898220800001,0.11097779555911182,0.003612375003285706,0.011965917001361959,0.050757000004523434,0.006325624999590218,0.003444959002081305,eigsh,0.0006609170086449012,0.07799329100816976,0.0002320829953532666,0.4155887079978129,0.9849292944788913,0.9832567040104072,0.600051622997853,7.2e-07,8e-08,sparse,5.413038999999998,0.6337832499993965,26.862547874450684,393.453125,393.546875,0.09375
0.5,Gaussian random projection,7,70260434,5000,3,3,3131,0.6556,0.0003004925563863048,0.0005932489136454327,0.08994083300058264,0.010062624991405755,0.4242488330055494,0.015471917009563185,764,0.1528,1.8786,8.0,3144.4830368000003,0.6288966073600001,1.8866898220800001,0.11097779555911182,0.0033660000044619665,0.011350583008606918,0.06284216699714307,0.004805584001587704,0.007227666996186599,eigsh,0.0003103749913861975,0.09067258299910463,0.00035479200596455485,0.3332163749873871,0.9865049244221257,0.9846455176282339,0.5242472079844447,7.2e-07,8e-08,sparse,4.975473000000008,0.5594148340023821,26.851170539855957,393.546875,393.578125,0.03125
0.5,Gaussian random projection,8,70260435,5000,3,3,3175,0.6498,0.0008569815529513662,0.0012876568135252926,0.09532408400264103,0.009091125000850298,0.5274116660002619,0.015094208996742964,697,0.1394,1.905,8.0,3144.4830368000003,0.6288966073600001,1.8866898220800001,0.11097779555911182,0.0033737920020939782,0.016489582994836383,0.04572762499446981,0.006007750009302981,0.009390708000864834,eigsh,0.0005541249993257225,0.08219950000056997,0.00014283299969974905,0.44506554199324455,0.9857010430212191,0.9840152201769133,0.6318230839970056,7.2e-07,8e-08,sparse,5.732872999999998,0.6676163749943953,26.869553565979004,393.578125,393.59375,0.015625
0.5,Gaussian random projection,9,70260436,5000,3,3,3112,0.6526,0.0004045864068161449,0.0007473804665200688,0.08475204200658482,0.009265000000596046,0.5093133339978522,0.015552750002825633,781,0.1562,1.8672,10.0,3144.4830368000003,0.6288966073600001,1.8866898220800001,0.11097779555911182,0.003462082997430116,0.011274666001554579,0.05316845900961198,0.007029000000329688,0.004982250000466593,eigsh,0.00042920799751300365,0.08085324999410659,0.0003615419991547242,0.4280950409884099,0.984461839490771,0.9795284925521435,0.6033268749888521,7.2e-07,8e-08,sparse,5.497901000000013,0.6370341669971822,26.846531867980957,393.59375,394.90625,1.3125
0.5,Gaussian random projection,10,70260437,5000,3,3,3130,0.6624,-0.000266309120792104,0.00012109066140393557,0.09280395800305996,0.010117875004652888,0.5257862500002375,0.012771291003446095,770,0.154,1.878,8.0,3144.4830368000003,0.6288966073600001,1.8866898220800001,0.11097779555911182,0.003330499996081926,0.011203540998394601,0.050577667003381066,0.004542915994534269,0.00546270799532067,eigsh,0.0002753750013653189,0.07585583299805876,0.0001245419989572838,0.4498020409955643,0.9865501054453832,0.984178199449002,0.6287042490002932,7.2e-07,8e-08,sparse,5.665338999999989,0.6615421250025975,26.851691246032715,394.90625,394.9375,0.03125
1.0,Gaussian random projection,1,120260428,5000,3,3,6228,0.6342,0.006279358315844227,0.006264784737999225,0.1793999579967931,0.014295625005615875,0.5092626249970635,0.01678187499055639,122,0.0244,3.7368,13.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.0035521249956218526,0.01985541600151919,0.0880756249971455,0.009023791993968189,0.00438570900587365,eigsh,0.0003293750050943345,0.12585287500405684,0.00045229199167806655,0.38295374999870546,0.9968030847811694,0.8328666127082412,0.7029544999968493,1.44e-06,1.6e-07,sparse,5.920090999999999,0.76714358299796,27.97771644592285,394.9375,395.765625,0.828125
1.0,Gaussian random projection,2,120260429,5000,3,3,6316,0.6516,0.00089000834321634,0.0011769788303130895,0.19429816699994262,0.014162124993163161,0.45562470800359733,0.01817624999966938,101,0.0202,3.7896,12.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.003565791994333267,0.019212833009078167,0.045301541991648264,0.009954416993423365,0.004568207994452678,eigsh,0.00036962500598747283,0.08410049999656621,0.000436166999861598,0.3710832499928074,0.9954419503278645,0.8381250184591554,0.664080208982341,1.44e-06,1.6e-07,sparse,5.013869999999997,0.7263907909946283,28.010849952697754,395.765625,396.328125,0.5625
1.0,Gaussian random projection,3,120260430,5000,3,3,6323,0.6492,0.0033202690810951625,0.003337925699244486,0.18739795900182799,0.01426762501068879,0.4754561249865219,0.016617832996416837,135,0.027,3.7938,11.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.0034146249963669106,0.016132958000525832,0.056649584003025666,0.007950917002744973,0.0040608340059407055,eigsh,0.00027533399406820536,0.08966466700076126,0.0003877910057781264,0.3853990839998005,0.9963978588224588,0.8772353177968442,0.6771171260188567,1.44e-06,1.6e-07,sparse,5.273458999999988,0.7382609579944983,28.013548851013184,396.328125,402.65625,6.328125
1.0,Gaussian random projection,4,120260431,5000,3,3,6361,0.6424,0.002097011492180056,0.0024733002702436585,0.19716362499457318,0.014365124996402301,0.47883404200547375,0.013726791992667131,117,0.0234,3.8166,13.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.003438457992160693,0.019039082995732315,0.043833250005263835,0.009177291998639703,0.0038000409986125305,eigsh,0.000334459007717669,0.08065329100645613,0.0002499170077499002,0.3979258750041481,0.9958861205138064,0.8398042906030317,0.6903578330093296,1.44e-06,1.6e-07,sparse,5.233050999999989,0.7481237920001149,28.025996208190918,402.65625,402.84375,0.1875
1.0,Gaussian random projection,5,120260432,5000,3,3,6271,0.6002,0.012120996406887668,0.011435033021185884,0.18516129199997522,0.014430416995310225,0.4029318339889869,0.01828916699741967,113,0.0226,3.7626,12.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.003262707992689684,0.01614870800403878,0.05292516700865235,0.009079625000595115,0.0022613750043092296,eigsh,0.0012712500029010698,0.08606187500117812,0.00034170800063293427,0.31652445800136775,0.9964037266114804,0.8473514503446428,0.6025197499984642,1.44e-06,1.6e-07,sparse,4.862804000000011,0.6680131250031991,27.99398136138916,402.84375,411.125,8.28125
