K,rep,seed,n,m,rho_n,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,p_in,p_out,sampling_mode,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_lift_sec,rs_sample_matrix_wall_sec,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec
6,7,20860513,5000,3,8.0,32337,198158,0.00792632,0.5298860420000011,0.07309491699999171,0,0.0,19.4022,40.0,32555.284142080003,6.511056828416001,19.533170485248004,0.027694498899779957,1.152e-05,1.28e-06,sparse,CountSketch random projection,countsketch_random_projection,0.7196,0.03415219102276561,0.04449045568550388,0.017445957999996153,0.20594466699999714,0.00045399999999062857,0.6013207910000062,0.8077256669999997,0.999990810720883,0.5406764607198601,1.4107004169999868,8.573367000000076,0.8273345830000096,21.788034439086914,519.50390625,525.84765625,6.34375,,,,,,,,,,,,,0.0006036670000071354,166.0,18.0,43.0,0.0,0.0022600409999995463,0.08453104199999473,0.0948582080000051,0.013263457999997286,0.010080500000000825,0.0002758339999928694
6,8,20860514,5000,3,8.0,32631,199824,0.00799296,0.5325505420000098,0.075519958000001,0,0.0,19.5786,38.0,32555.284142080003,6.511056828416001,19.533170485248004,0.027694498899779957,1.152e-05,1.28e-06,sparse,Non-random,non_random,0.4796,0.18617589782011307,0.19441680047130316,0.017676334000000793,0.2882899580000071,0.00015341599998919264,0.3651071249999944,0.6535572920000021,1.0000000000000007,0.556401522729138,1.2616209990000016,6.670920000000024,0.673670541000007,6.901924133300781,525.84765625,525.84765625,0.0,,,,,,,,,,,,,,,,,,,,,,,
6,8,20860514,5000,3,8.0,32631,199824,0.00799296,0.5325505420000098,0.075519958000001,0,0.0,19.5786,38.0,32555.284142080003,6.511056828416001,19.533170485248004,0.027694498899779957,1.152e-05,1.28e-06,sparse,Gaussian random projection,gaussian_random_projection,0.6952,0.04971218359251687,0.06284653260808998,0.017766833999999676,0.2210970419999967,0.00026087499999505326,0.5266378750000058,0.7480012919999979,0.9999912677916751,0.5396076700292265,1.3560662920000084,7.811638000000016,0.7679474579999948,28.06091594696045,525.84765625,525.84765625,0.0,0.009690375000005247,0.09269920799999909,0.09386545799999624,0.014119542000003094,0.01041170800000657,0.00026375000000200544,,,,,,,,,,,,,,,,,
6,8,20860514,5000,3,8.0,32631,199824,0.00799296,0.5325505420000098,0.075519958000001,0,0.0,19.5786,38.0,32555.284142080003,6.511056828416001,19.533170485248004,0.027694498899779957,1.152e-05,1.28e-06,sparse,Random sampling,random_sampling,0.762,0.015891746381051546,0.022428736562215255,0.017280333999991626,0.4581014169999804,0.0001415420000228096,0.5410932090000244,0.9993412919999969,1.061336314466648,0.7038940855654024,1.6074066680000385,10.540571,1.0188476250000065,8.947305679321289,525.84765625,525.84765625,0.0,,,,,,,0.007928415999998606,0.4501482919999944,102412.0,71639.0,0.7,139766.0,,,,,,,,,,,
6,8,20860514,5000,3,8.0,32631,199824,0.00799296,0.5325505420000098,0.075519958000001,0,0.0,19.5786,38.0,32555.284142080003,6.511056828416001,19.533170485248004,0.027694498899779957,1.152e-05,1.28e-06,sparse,CountSketch random projection,countsketch_random_projection,0.713,0.045871260148693256,0.059457556017457246,0.017145999999996775,0.20320029199999112,0.00026141600000073595,0.5532881669999767,0.7567554579999864,0.9999903855212959,0.5398749934347624,1.3648203749999794,8.075016000000005,0.776064582999993,21.807100296020508,525.84765625,525.84765625,0.0,,,,,,,,,,,,,0.000601041999999552,166.0,16.0,48.0,0.0,0.002288334000013492,0.08098762499997747,0.09587516600001322,0.013338790999995354,0.00980770799998254,0.00025533299998414805
6,9,20860515,5000,3,8.0,32748,200566,0.00802264,0.539431417000003,0.07339508399999772,0,0.0,19.6488,36.0,32555.284142080003,6.511056828416001,19.533170485248004,0.027694498899779957,1.152e-05,1.28e-06,sparse,Non-random,non_random,0.4818,0.17962652225186768,0.1860448125094975,0.01803758400001243,0.25219858299999487,0.00014229200002091602,0.31472729099999697,0.567074875000003,1.0,0.556653770178239,1.1798946670000134,5.958687999999938,0.5874462499999993,6.927398681640625,525.875,525.875,0.0,,,,,,,,,,,,,,,,,,,,,,,
6,9,20860515,5000,3,8.0,32748,200566,0.00802264,0.539431417000003,0.07339508399999772,0,0.0,19.6488,36.0,32555.284142080003,6.511056828416001,19.533170485248004,0.027694498899779957,1.152e-05,1.28e-06,sparse,Gaussian random projection,gaussian_random_projection,0.6862,0.04627304769875524,0.060312097920525755,0.017784500000004755,0.21910483300001715,0.000262583000022687,0.5782889999999838,0.7976615839999965,0.9999886548257745,0.5392450361095482,1.4104829170000244,8.442703999999935,0.8177920420000078,28.06940746307373,525.875,525.875,0.0,0.009582625000007283,0.09375091699999416,0.09222712499999375,0.01374899999999002,0.009501499999998941,0.0002545829999860416,,,,,,,,,,,,,,,,,
6,9,20860515,5000,3,8.0,32748,200566,0.00802264,0.539431417000003,0.07339508399999772,0,0.0,19.6488,36.0,32555.284142080003,6.511056828416001,19.533170485248004,0.027694498899779957,1.152e-05,1.28e-06,sparse,Random sampling,random_sampling,0.7834,0.008545550345644397,0.012811535043995235,0.018434333000016068,0.45046141699998543,0.00014950000002045272,0.5413421249999999,0.9919578330000149,1.06203847711359,0.7039938134749097,1.6047795430000065,10.379390999999941,1.0126042500000096,8.981744766235352,525.875,525.875,0.0,,,,,,,0.008049833000001172,0.44238924999999085,102783.0,71928.0,0.7,140337.0,,,,,,,,,,,
6,9,20860515,5000,3,8.0,32748,200566,0.00802264,0.539431417000003,0.07339508399999772,0,0.0,19.6488,36.0,32555.284142080003,6.511056828416001,19.533170485248004,0.027694498899779957,1.152e-05,1.28e-06,sparse,CountSketch random projection,countsketch_random_projection,0.6696,0.05387125956648749,0.06549076030386863,0.019723249999998416,0.21217304200001763,0.0002507080000100359,0.6438732500000128,0.8563028750000115,0.9999920033216049,0.5400562122087433,1.4691235010000412,8.84170000000006,0.8782464999999888,21.81559181213379,525.875,526.32421875,0.44921875,,,,,,,,,,,,,0.000606415999982346,166.0,15.0,44.0,0.0,0.002286083999990751,0.09105670799999643,0.09549929199999951,0.01381195799999091,0.008609083000010287,0.00025737499998967905
6,10,20860516,5000,3,8.0,32492,199002,0.00796008,0.5482766249999997,0.07360379200000011,0,0.0,19.4952,36.0,32555.284142080003,6.511056828416001,19.533170485248004,0.027694498899779957,1.152e-05,1.28e-06,sparse,Non-random,non_random,0.5414,0.14245711927644353,0.15145781512362091,0.017575750000020207,0.33634812500000066,0.00014354199998933836,0.4343643749999728,0.7708625420000033,0.9999999999999989,0.5568485137303596,1.3927364589999627,7.883703999999966,0.7908817499999827,6.8737030029296875,526.32421875,526.32421875,0.0,,,,,,,,,,,,,,,,,,,,,,,
