rho_n,method,rep,seed,n,K,m,rho_n_multiplier,rho_n_base_equivalent,density_regime,num_hyperedges_total,theta_nnz,theta_density,misclassification_rate,ARI,NMI,generation_wall_sec,hypergraph_laplacian_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
4.0,CountSketch random projection,4,420260510,5000,3,3,4.0,1.0,rho_n_x4,25119,155046,0.00620184,0.0248,0.9269502558306151,0.8788352866858836,1.1170083750000686,0.09646108300012202,0.25675758300008056,0.017376708000028884,0,0.0,15.0714,29.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.0006687089999104501,163,18,45,0,0.0018589169999359,0.07093841699997938,0.09179587500011621,0.012659334000090894,0.007642999999916356,0.00018929199995909585,0.18580279200000405,0.00022016699995219824,0.0707303750000392,0.999979687602828,0.6873678067532264,1.470222792000186,5.76e-06,6.4e-07,sparse,5.371012999999948,1.7074002910001127,28.400421142578125,622.9609375,622.9609375,0.0
4.0,CountSketch random projection,5,420260511,5000,3,3,4.0,1.0,rho_n_x4,24964,154190,0.0061676,0.0302,0.911420004218226,0.8580312546206496,1.095703624999942,0.09381179199999679,0.2586418749999666,0.01757470799998373,0,0.0,14.9784,32.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.0006017910000082338,163,14,42,0,0.0017760410000846605,0.06926629200006573,0.09266970899989246,0.013248583999939001,0.009506999999985055,0.00019850000012411328,0.1873157910001737,0.0002336249999643769,0.07108825000000252,0.9999784145784372,0.6856875442997102,1.4481530830000793,5.76e-06,6.4e-07,sparse,5.281676999999945,1.6870914169999196,28.35092544555664,622.9609375,622.9609375,0.0
4.0,CountSketch random projection,6,420260512,5000,3,3,4.0,1.0,rho_n_x4,25093,154904,0.00619616,0.0282,0.9171572191679743,0.8653508772730206,1.1287575829999241,0.09447249999993801,0.2575632080001924,0.017582790999995268,0,0.0,15.0558,31.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.0006317919999219157,163,20,47,0,0.001779166999995141,0.07029208299991296,0.09430425000005016,0.012638333000040802,0.009464375000106884,0.0004027500001484441,0.189585291999947,0.00030158399999891117,0.06767095899999731,0.9999740470060202,0.6865353191203335,1.4807879179998054,5.76e-06,6.4e-07,sparse,5.062042999999903,1.6957685410000067,28.39248275756836,622.9609375,622.9609375,0.0
4.0,CountSketch random projection,7,420260513,5000,3,3,4.0,1.0,rho_n_x4,25550,157630,0.0063052,0.0266,0.9217625743855631,0.8716502136484315,1.1842358339999919,0.10071404099994652,0.25625737499990464,0.017463541999859444,0,0.0,15.33,31.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.0006318329999430716,163,10,46,0,0.0020087909999801923,0.07219933299984405,0.09236199999986638,0.012300125000137996,0.007428249999975378,0.0001850420001119346,0.1871587499999805,0.0002207909999469848,0.06887379199997667,0.9999823559578093,0.6837343344709276,1.5412032079998426,5.76e-06,6.4e-07,sparse,5.454095000000052,1.7627849159998732,28.552520751953125,622.9609375,622.9609375,0.0
4.0,CountSketch random projection,8,420260514,5000,3,3,4.0,1.0,rho_n_x4,25104,154926,0.00619704,0.0182,0.9461297964792416,0.9061152624287401,1.0778185000001486,0.09613287499996659,0.2548566660000233,0.017572040999993987,0,0.0,15.0624,30.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.0006377079998856061,163,15,47,0,0.001781334000042989,0.07106662499995764,0.09249958400005198,0.012766667000050802,0.009961792000012792,0.00035337500003151945,0.18911429099989618,0.0002316250001968001,0.06550624999999854,0.9999803540934632,0.6928340089258049,1.4288035410002067,5.76e-06,6.4e-07,sparse,5.25602200000003,1.650572208000085,28.394943237304688,622.9609375,622.9609375,0.0
4.0,CountSketch random projection,9,420260515,5000,3,3,4.0,1.0,rho_n_x4,25092,154924,0.00619696,0.0242,0.9286907962870382,0.8810648350232794,1.1174462920000678,0.09761824999986857,0.2731442919998699,0.02068787500002145,0,0.0,15.0552,35.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.000614499999983309,163,18,48,0,0.0018545840000570024,0.07430129199997282,0.10314683299998251,0.01307483300001877,0.01091695900004197,0.00022800000010647636,0.2042069999999967,0.0002534579998609843,0.06867966699996941,0.9999764915433584,0.6860289746879091,1.4882046669997635,5.76e-06,6.4e-07,sparse,5.384437000000162,1.7313381669998762,28.393207550048828,622.9609375,622.9609375,0.0
4.0,CountSketch random projection,10,420260516,5000,3,3,4.0,1.0,rho_n_x4,25203,155602,0.00622408,0.0292,0.9143406791681845,0.8626007409632432,1.1060784999999669,0.09663637499988909,0.2592552080000132,0.01753162499994687,0,0.0,15.1218,33.0,25155.864294400002,5.031172858880001,15.093518576640001,0.11097779555911182,0.0006408340000234602,163,19,46,0,0.001806791000035446,0.07375324999998156,0.0920812910001132,0.013811375000159387,0.009601459000123214,0.00019725000015569094,0.1919425409998894,0.0002287079998950503,0.0670792910000273,0.9999778552134384,0.6846070683238998,1.4619654149996677,5.76e-06,6.4e-07,sparse,5.2461330000001,1.69304304100001,28.432437896728516,622.9609375,622.9609375,0.0
8.0,CountSketch random projection,1,820260507,5000,3,3,4.0,2.0,rho_n_x4,50294,304140,0.0121656,0.0008,0.9976001806968461,0.9938697876144393,2.22066745799998,0.18865166699993097,0.31801641700008076,0.01789708299997983,0,0.0,30.1764,52.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.0006712499998684507,163,17,48,0,0.0035884170001736493,0.13485208300016893,0.09019104200001493,0.021249291999993147,0.010049334000086674,0.00021558399998866662,0.26088800000002266,0.00029650000010406075,0.0568257499999163,0.9999973971609976,0.6668962009175384,2.727329374999954,1.152e-05,1.28e-06,sparse,6.983532000000196,3.1887740419999773,37.1843376159668,622.9609375,622.9609375,0.0
8.0,CountSketch random projection,2,820260508,5000,3,3,4.0,2.0,rho_n_x4,50466,305182,0.01220728,0.0008,0.9976010814890793,0.9944697325539389,2.2588345419999314,0.1974821249998513,0.3252654159998656,0.02229066699987925,0,0.0,30.2796,51.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.0006487919999926817,163,17,47,0,0.0038413750000927394,0.13306629199996678,0.09441787499986276,0.02196287499987193,0.009968333000188068,0.00036237500012248347,0.264322041000014,0.00023754199992254144,0.06070183399992857,0.9999969856345531,0.6693180857734985,2.781578083999648,1.152e-05,1.28e-06,sparse,6.97552799999994,3.2380679170000803,37.25040817260742,622.9609375,622.9609375,0.0
8.0,CountSketch random projection,3,820260509,5000,3,3,4.0,2.0,rho_n_x4,50262,304000,0.01216,0.0008,0.9976010803362161,0.9941223250097896,2.177342334000059,0.18976487499980976,0.3258376669998597,0.017658416999893234,0,0.0,30.1572,52.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.0006379999999808206,163,14,43,0,0.0035712920000605664,0.1350503330002084,0.0945377919999828,0.021348958999851675,0.010511499999893203,0.00034912499995698454,0.2660603340000307,0.0002326250000805885,0.059539709000091534,0.9999967850227726,0.6670101892193134,2.6929398770000716,1.152e-05,1.28e-06,sparse,7.1109379999998055,3.1310534169999755,37.178558349609375,622.9609375,622.9609375,0.0
8.0,CountSketch random projection,4,820260510,5000,3,3,4.0,2.0,rho_n_x4,50313,304298,0.01217192,0.0014,0.9958032411286483,0.989777544329539,2.1915619999999763,0.18820449999998345,0.31952220800008035,0.01941387500005476,0,0.0,30.1878,53.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.0006309160000910197,163,19,49,0,0.0035869160001311684,0.13255449999996927,0.09182541700010916,0.020856834000142044,0.01014554199991835,0.00021108300006744685,0.2598729579999599,0.0002477499999713473,0.059396707999894716,0.9999967071853012,0.6686973579205383,2.6992839159997857,1.152e-05,1.28e-06,sparse,6.9693130000000565,3.1470652920002067,37.193572998046875,622.9609375,622.9609375,0.0
8.0,CountSketch random projection,5,820260511,5000,3,3,4.0,2.0,rho_n_x4,50397,304694,0.01218776,0.001,0.9970010813931228,0.9928420191046308,2.190503791999845,0.18879195799991066,0.3121329999999034,0.01802100000008977,0,0.0,30.2382,51.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.0006972920000407612,163,14,45,0,0.0035719170000447775,0.13347254199993586,0.08880441700011943,0.020102124999993976,0.0076975409999704425,0.0001992080001400609,0.25461870800018005,0.0003550000001268927,0.057153708999976516,0.9999974272219376,0.6673671346130261,2.691423167000039,1.152e-05,1.28e-06,sparse,6.399499999999989,3.192514666000079,37.22102355957031,622.9609375,622.9609375,0.0
8.0,CountSketch random projection,6,820260512,5000,3,3,4.0,2.0,rho_n_x4,50343,304374,0.01217496,0.0008,0.997601080624432,0.9941223244661187,2.188215666999895,0.18422908299999108,0.31415266600015457,0.01765787499994076,0,0.0,30.2058,54.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.0006269170000905433,163,19,46,0,0.003546042000152738,0.1313251249998757,0.0882482090000849,0.01965312500010441,0.009599333999858572,0.0003472079999937705,0.25339341699987017,0.0002336249999643769,0.06052083300005506,0.9999972643867401,0.6677322816251132,2.6865926249997756,1.152e-05,1.28e-06,sparse,7.133632000000034,3.1164925840000706,37.199947357177734,622.9609375,622.9609375,0.0
8.0,CountSketch random projection,7,820260513,5000,3,3,4.0,2.0,rho_n_x4,50211,303470,0.0121388,0.0004,0.998800360096072,0.996934976549586,2.227014625000038,0.18367883299993082,0.3081985829999212,0.01839012499999626,0,0.0,30.1266,53.0,50311.728588800004,10.062345717760001,30.187037153280002,0.11097779555911182,0.0005940839998856973,163,18,43,0,0.003530459000103292,0.13037037499998405,0.08561450000001969,0.021131292000063695,0.008561041000120895,0.00024291599993375712,0.2501140829999713,0.0003790000000662985,0.05769675000010466,0.9999964927569491,0.6693718922098646,2.718883291000111,1.152e-05,1.28e-06,sparse,7.108475999999882,3.1515597919999436,37.14888381958008,622.9609375,622.9609375,0.0
