n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
200,10,Non-random,9.44363760472226,0.5723654454997739,0.0399275690357627,0.1228486250038258,0.0004816250002477,0.0196375839877873,,,,,,,,,0.1228486250038258,0.1228469159977976,1.7090060282498598e-06,0.1429678339918609,,,,,,,0.0924213750113267,0.030418207985349,7.333001121878624e-06,,,,,,,,,
200,11,Random Projection,8.466183387184756,1.6924468566259612,0.0578315866425435,0.039443958987249,0.0012102079926989,0.0125100830045994,2.274999860674143e-05,0.0004787500074598,0.0001127909927163,8.687502122484148e-05,0.0001362499897368,9.091699030250312e-05,6.166985258460045e-06,0.0385055420047137,0.039443958987249,0.0394400419900193,3.916997229680419e-06,0.0531642499845474,,,,,,,,,,,,,,,,,,
200,11,Random Sampling,11.17258215571786,1.516282225237449,0.0372923915632413,0.0486634169938042,0.0012102079926989,0.0058402499998919,,,,,,,,,0.0486634169938042,0.0486567100160755,6.706977728754282e-06,0.0557138749863952,0.0007660000119358,0.0004889169940724,0.002821334026521,4.7792011173442006e-05,0.0011118749971501,0.0434207919752225,,,,,,,,,,,,
200,11,Non-random,9.273070472066888,0.8986883763003166,0.0287752675386444,0.1229445409844629,0.0012102079926989,0.0190299169917125,,,,,,,,,0.1229445409844629,0.1229428750229999,1.6659614630043509e-06,0.1431846659688744,,,,,,,0.0828346670023165,0.0400766660168301,3.154200385324657e-05,,,,,,,,,
200,12,Random Projection,8.066004548621068,0.6442786069651741,0.0261896067794084,0.0431316249887459,0.0008788749983068,0.0085567499918397,2.099998528137803e-05,0.0003735829959623,9.304200648330152e-05,8.399999933317304e-05,7.387500954791903e-05,6.483300239779055e-05,5.750014679506421e-06,0.0424129999883007,0.0431316249887459,0.0431290830019861,2.541986759752035e-06,0.0525672499788925,,,,,,,,,,,,,,,,,,
200,12,Random Sampling,10.57917536736107,1.0658073270013568,0.0520716962457125,0.0394938329991418,0.0008788749983068,0.0042227079975418,,,,,,,,,0.0394938329991418,0.0394885000132489,5.332985892891884e-06,0.0445954159949906,0.0003223330131731,0.0035711670061573,0.0016941249778028,2.8250011382624507e-05,8.441699901595712e-05,0.033788208005717,,,,,,,,,,,,
200,12,Non-random,9.28076700838652,0.4192672998643147,0.0274380165289256,0.1493301669834181,0.0008788749983068,0.1093792500032577,,,,,,,,,0.1493301669834181,0.1493282509618438,1.9160215742886062e-06,0.2595882919849828,,,,,,,0.1194357079803012,0.0298839590104762,8.583971066400409e-06,,,,,,,,,
200,13,Random Projection,7.846694040394074,0.8093622795115333,0.0323423942517281,0.0474424160202033,0.0010074590099975,0.0116768330044578,2.475001383572817e-05,0.0004154170164838,0.0001171670155599,8.82500025909394e-05,8.22919828351587e-05,6.879100692458451e-05,5.749985575675964e-06,0.046636250015581,0.0474424160202033,0.0474386670393869,3.7489808164536953e-06,0.0601267080346588,,,,,,,,,,,,,,,,,,
200,13,Random Sampling,10.139662442999915,0.8394391677973767,0.0210736083987755,0.0265562919958028,0.0010074590099975,0.0108606249850708,,,,,,,,,0.0265562919958028,0.0265523749985732,3.916997229680419e-06,0.0384243759908713,0.0004238330002408,0.0004288339987397,0.0031117080070544,5.608401261270046e-05,9.120799950324e-05,0.0224407079804223,,,,,,,,,,,,
200,13,Non-random,9.30217867216822,0.4215287200361827,0.0193877551020408,0.1379643749969545,0.0010074590099975,0.0148056659963913,,,,,,,,,0.1379643749969545,0.1379631659947335,1.2090022210031748e-06,0.1537775000033434,,,,,,,0.1101460420177318,0.0277923329849727,2.479099202901125e-05,,,,,,,,,
